RNDRUSDT,ARUSDT,RNDRUSDT_perc,ARUSDT_perc,spread,zscore
0.438,9.74,1.0,1.0,-0.03992370484167623,
0.492,8.99,1.1232876712328768,0.9229979466119097,0.05087740179397643,
0.555,9.77,1.267123287671233,1.0030800821355235,0.07560425089289774,
0.558,10.72,1.2739726027397262,1.1006160164271048,0.0319895158210709,
0.542,10.48,1.2374429223744292,1.0759753593429158,0.027765869944479826,
0.48,9.83,1.095890410958904,1.0092402464065708,-0.0023398376379545893,
0.482,9.99,1.100456621004566,1.0256673511293635,-0.008190740386893824,
0.606,9.2,1.3835616438356164,0.9445585215605748,0.15457309193599372,
0.587,9.08,1.3401826484018264,0.9322381930184804,0.14146126899769806,
0.529,9.75,1.2077625570776256,1.0010266940451744,0.0505856137365151,
0.49,10.74,1.1187214611872145,1.1026694045174539,-0.03699184702254654,
0.512,10.18,1.1689497716894977,1.0451745379876796,0.01248631259874089,
0.511,11.63,1.1666666666666667,1.1940451745379876,-0.059662493563521046,
0.525,12.1,1.1986301369863015,1.242299794661191,-0.06872452038853005,
0.502,11.96,1.1461187214611872,1.2279260780287475,-0.08485498048320828,
0.514,11.72,1.17351598173516,1.2032854209445585,-0.061078626359799326,
0.549,12.18,1.2534246575342467,1.2505133470225873,-0.048649971762999566,
0.514,11.33,1.17351598173516,1.1632443531827514,-0.041942050909259954,
0.522,11.7,1.1917808219178083,1.2012320328542094,-0.052097263516181935,
0.501,11.68,1.143835616438356,1.1991786447638604,-0.07211590067256457,
0.495,11.98,1.13013698630137,1.2299794661190966,-0.09283634332682567,-1.2362182029623536
0.464,10.93,1.0593607305936075,1.12217659137577,-0.07231479403691182,-0.9078599252477807
0.5,12.81,1.1415525114155252,1.3151950718685832,-0.12856290133694792,-1.5054050006512074
0.508,14.32,1.1598173515981736,1.4702258726899384,-0.194655796030062,-2.041681117786358
0.519,14.02,1.1849315068493151,1.4394250513347022,-0.1689353533758009,-1.528082489330391
0.529,15.93,1.2077625570776256,1.635523613963039,-0.2526555049412631,-2.0962720762610534
0.514,15.43,1.17351598173516,1.584188911704312,-0.24312143385082796,-1.7346489636806357
0.586,16.49,1.3378995433789953,1.693018480492813,-0.22313366456255035,-1.379444106209839
0.619,15.51,1.41324200913242,1.5924024640657084,-0.14204688522529763,-0.5677229590935872
0.582,13.83,1.3287671232876712,1.419917864476386,-0.09661240636143564,0.029114034713834697
0.567,14.22,1.2945205479452053,1.459958932238193,-0.13074898181197503,-0.3184048034390925
0.557,13.37,1.271689497716895,1.3726899383983573,-0.09904106095823517,0.16197263130220033
0.562,13.65,1.2831050228310503,1.4014373716632444,-0.10778014076887887,0.13019096886143977
0.604,13.31,1.3789954337899544,1.3665297741273101,-0.04909697242738309,1.0151188178828854
0.556,12.66,1.269406392694064,1.299794661190965,-0.06520268000981733,0.7657999525040731
0.539,12.29,1.2305936073059363,1.261806981519507,-0.06404746740289535,0.760902590356916
0.579,14.44,1.321917808219178,1.4825462012320327,-0.12954397309176646,-0.17871627106722832
0.599,13.98,1.367579908675799,1.4353182751540041,-0.08697262768856617,0.5124405424677397
0.605,13.53,1.3812785388127853,1.3891170431211497,-0.05889196370717453,0.9792069591462415
0.6,14.73,1.36986301369863,1.5123203285420945,-0.1227737343242189,0.017852207279217505
0.727,15.47,1.6598173515981736,1.5882956878850103,-0.03208415953806287,1.4217260017448328
0.709,14.44,1.6187214611872145,1.4825462012320327,0.0004560269082335422,1.7240657157488426
0.684,13.9,1.5616438356164384,1.427104722792608,0.0019528236859035486,1.5953793305956203
0.707,13.98,1.6141552511415524,1.4353182751540041,0.021027372311433812,1.6336397597397092
0.684,14.0,1.5616438356164384,1.4373716632443532,-0.0029539905321834814,1.2041232032676177
0.766,14.7,1.7488584474885844,1.5092402464065708,0.04469830994120738,1.5983136943721297
0.729,14.88,1.6643835616438356,1.5277207392197125,-0.0011339556513494387,0.9854438330728728
0.744,14.65,1.6986301369863013,1.504106776180698,0.025151717050250766,1.2913651352062847
0.763,15.1,1.7420091324200913,1.5503080082135523,0.02207105306885926,1.224980950962175
0.705,14.38,1.6095890410958904,1.4763860369609856,-0.00059988456091431,0.7696424330374608
0.724,15.57,1.6529680365296804,1.5985626283367556,-0.039990973756149906,0.030559301755339406
0.706,14.79,1.6118721461187213,1.5184804928131415,-0.019717822855071065,0.32159533580992117
0.729,14.92,1.6643835616438356,1.5318275154004106,-0.0030966813385842062,0.5714176455015495
0.792,14.56,1.808219178082192,1.4948665297741273,0.0775678498465292,1.9152704950416737
0.722,13.88,1.6484018264840181,1.4250513347022589,0.040934186529520855,1.106116647872801
0.687,13.92,1.5684931506849316,1.4291581108829567,0.0039714608422861675,0.3656239443235881
0.667,13.87,1.5228310502283107,1.424024640657084,-0.013575132048670335,-0.010624258656840026
0.641,13.17,1.4634703196347032,1.3521560574948666,-0.005227432522061148,0.04219407024185308
0.611,12.61,1.3949771689497716,1.2946611909650922,-0.007749272900773874,-0.10893717759813049
0.564,11.85,1.2876712328767121,1.2166324435318274,-0.017457484843312554,-0.4162244745594001
0.549,12.24,1.2534246575342467,1.2566735112936345,-0.05159406029385183,-1.8148702949923265
0.608,12.64,1.3881278538812785,1.2977412731006162,-0.012221317166200008,-0.5294245155868482
0.612,12.19,1.3972602739726028,1.2515400410677617,0.013859346815191631,0.3557432522683495
0.603,12.45,1.3767123287671232,1.2782340862422996,-0.007898370151834588,-0.38208574254001404
0.587,12.45,1.3401826484018264,1.2782340862422996,-0.023898370151834603,-0.8535840384923087
