1000LUNCUSDT,THETAUSDT,1000LUNCUSDT_perc,THETAUSDT_perc,spread,zscore
0.1724,0.75,1.0,1.0,0.017087947987628138,
0.1751,0.752,1.015661252900232,1.0026666666666666,0.019373782515595156,
0.1726,0.75,1.0011600928074247,1.0,0.017287947987628144,
0.1733,0.75,1.0052204176334107,1.0,0.01798794798762815,
0.1695,0.751,0.9831786542923435,1.0013333333333334,0.013980865251611657,
0.1722,0.758,0.9988399071925754,1.0106666666666666,0.015231286099496144,
0.1726,0.754,1.0011600928074247,1.0053333333333334,0.016459617043562164,
0.1709,0.748,0.9912993039443155,0.9973333333333333,0.016002113459661127,
0.1689,0.747,0.9796983758700696,0.996,0.01420919619567762,
0.1686,0.745,0.9779582366589328,0.9933333333333333,0.014323361667710616,
0.1679,0.745,0.9738979118329466,0.9933333333333333,0.01362336166771061,
0.1639,0.732,0.9506960556844547,0.976,0.012315437235925042,
0.1655,0.734,0.9599767981438516,0.9786666666666667,0.01350127176389207,
0.1677,0.741,0.972737819025522,0.988,0.014251692611776584,
0.1633,0.738,0.947215777262181,0.984,0.010472940819826082,
0.1605,0.739,0.9309744779582367,0.9853333333333333,0.00746585808380959,
0.1585,0.738,0.9193735498839908,0.984,0.005672940819826083,
0.1599,0.744,0.9274941995359628,0.992,0.0058304444037270975,
0.1578,0.743,0.9153132250580046,0.9906666666666667,0.003937527139743602,
0.1578,0.745,0.9153132250580046,0.9933333333333333,0.0035233616677106117,
0.1592,0.758,0.9234338747099768,1.0106666666666666,0.0022312860994961603,-1.8921258337824962
0.1554,0.749,0.9013921113689096,0.9986666666666667,0.0002950307236446459,-1.9364874421240013
0.1571,0.752,0.9112529002320185,1.0026666666666666,0.00137378251559514,-1.5738949006538812
0.1557,0.754,0.9031322505800464,1.0053333333333334,-0.00044038295643783476,-1.6709597193168648
0.1534,0.756,0.8897911832946637,1.008,-0.0031545484284708214,-1.8636575077401383
0.1516,0.754,0.8793503480278423,1.0053333333333334,-0.004540382956437827,-1.8039455386552925
0.1518,0.754,0.8805104408352667,1.0053333333333334,-0.004340382956437849,-1.5778496283651275
0.1495,0.754,0.867169373549884,1.0053333333333334,-0.006640382956437846,-1.6954991371439678
0.1476,0.745,0.8561484918793504,0.9933333333333333,-0.006676638332289375,-1.5356564786121596
0.1478,0.751,0.8573085846867748,1.0013333333333334,-0.007719134748388368,-1.5093043176562526
0.1515,0.752,0.87877030162413,1.0026666666666666,-0.004226217484404854,-0.9556228878841225
0.1491,0.746,0.8648491879350348,0.9946666666666667,-0.005383721068305869,-1.0257072520394204
0.1512,0.74,0.877030162412993,0.9866666666666667,-0.0020412246522069077,-0.47710783002034224
0.153,0.743,0.8874709976798144,0.9906666666666667,-0.0008624728602563969,-0.21611226771192166
0.1536,0.744,0.8909512761020881,0.992,-0.00046955559627290255,-0.039129497800927684
0.1516,0.744,0.8793503480278423,0.992,-0.0024695555962728766,-0.3554920816245578
0.1499,0.741,0.8694895591647333,0.988,-0.0035483073882233984,-0.5277972347232484
0.1499,0.743,0.8694895591647333,0.9906666666666667,-0.0039624728602563886,-0.5594579433883721
0.1452,0.735,0.8422273781902552,0.98,-0.007005810972124438,-1.3091650913387811
0.1475,0.739,0.855568445475638,0.9853333333333333,-0.0055341419161904215,-0.8171692201508304
0.1467,0.74,0.8509280742459396,0.9866666666666667,-0.006541224652206912,-1.0758889299112426
0.1465,0.738,0.8497679814385151,0.984,-0.006327059180173927,-0.9399035375801122
0.1461,0.736,0.8474477958236659,0.9813333333333333,-0.006312893708140921,-0.8560211935809758
0.1461,0.735,0.8474477958236659,0.98,-0.006105810972124426,-0.720869509464737
0.1474,0.738,0.8549883990719258,0.984,-0.005427059180173915,-0.34169361958065564
0.1463,0.74,0.8486078886310906,0.9866666666666667,-0.0069412246522068954,-0.9835428175194418
0.1462,0.74,0.8480278422273781,0.9866666666666667,-0.007041224652206912,-0.9516553852830608
0.1464,0.738,0.8491879350348028,0.984,-0.006427059180173916,-0.6101164667269531
0.1525,0.739,0.8845707656612529,0.9853333333333333,-0.0005341419161904171,1.8524370272099375
0.1507,0.733,0.8741299303944315,0.9773333333333333,-0.0010916455000914427,1.4381095575698535
0.1496,0.722,0.8677494199535963,0.9626666666666667,8.6264596090041e-05,1.7079189642198869
0.1502,0.715,0.87122969837587,0.9533333333333333,0.002135843748205496,2.1057898796445764
0.1494,0.719,0.8665893271461718,0.9586666666666667,0.0005075128041395205,1.3757284708835678
0.1498,0.726,0.8689095127610208,0.968,-0.0005420663479759613,0.9830448300507185
0.1504,0.724,0.8723897911832947,0.9653333333333333,0.000472099124057046,1.2647156799270283
0.1493,0.716,0.8660092807424593,0.9546666666666667,0.001028761012188989,1.3811122519978782
0.1499,0.719,0.8694895591647333,0.9586666666666667,0.001007512804139521,1.2686829896756564
0.1512,0.718,0.877030162412993,0.9573333333333333,0.0025145955401560116,1.5291901531172354
0.1508,0.721,0.8747099767981438,0.9613333333333333,0.001493347332106515,1.1331964187877277
0.1496,0.713,0.8677494199535963,0.9506666666666667,0.0019500092202384967,1.1431141375545277
0.1492,0.715,0.8654292343387471,0.9533333333333333,0.001135843748205495,0.8382446677227847
0.1482,0.715,0.8596287703016241,0.9533333333333333,0.00013584374820549416,0.49790175341486415
0.1483,0.716,0.8602088167053363,0.9546666666666667,2.8761012188988078e-05,0.39969868201902164
0.1485,0.717,0.861368909512761,0.956,2.1678276172498734e-05,0.327003115779351
0.1465,0.716,0.8497679814385151,0.9546666666666667,-0.001771238987811008,-0.31645282677718695
