MKRUSDT,10000NFTUSDT,MKRUSDT_perc,10000NFTUSDT_perc,spread,zscore
921.4,0.006419,1.0,1.0,-10.338498533201118,
882.6,0.006285,0.9578901671369655,0.9791244742171678,-29.6879674842138,
977.6,0.006389,1.0609941393531583,0.995326374824739,50.21609797030362,
1053.5,0.006431,1.1433687866290427,1.0018694500701044,120.0196628653971,
1034.6,0.0064,1.1228565226828737,0.9970400373890014,105.61941258568504,
1001.6,0.006259,1.0870414586498807,0.9750739990652749,93.08601615215684,
1002.5,0.006564,1.0880182331235078,1.0225891883470946,49.71428503319339,
946.2,0.006497,1.0269155632732798,1.0121514254556785,3.1395505576870164,
910.7,0.006052,0.9883872368135447,0.9428259853559744,32.23273202633857,
908.6,0.006028,0.9861080963750815,0.9390870852157657,33.61640922914228,
892.1,0.006078,0.9682005643585848,0.9468764605078672,9.8587483899679,
908.0,0.006238,0.9854569133926634,0.9718024614425922,2.534233704610074,
904.1,0.006609,0.981224224006946,1.029599626109986,-55.21760972206357,
940.4,0.006625,1.0206207944432386,1.0320922262034584,-21.24006119059925,
932.6,0.006668,1.0121554156718038,1.0387910889546659,-35.28164951228928,
995.0,0.006642,1.079878445843282,1.034740613802773,30.892334124081344,
988.2,0.006599,1.072498372042544,1.0280417510515656,30.333922445771464,
960.7,0.006648,1.042652485348383,1.0356753388378253,-4.278585176619458,
996.4,0.006703,1.0813978728022575,1.044243651659137,23.437987900288817,
939.8,0.006553,1.0199696114608205,1.0208755257828321,-11.3890295821883,
865.5,0.006392,0.9393314521380508,0.9957937373422652,-62.31936168004688,-1.6223512500759047
823.5,0.00638,0.8937486433687867,0.9939242872721608,-102.57752307864507,-2.087016681442939
855.0,0.006465,0.9279357499457348,1.0071662252687335,-83.41554650524142,-1.6000335314048457
891.7,0.006539,0.9677664423703062,1.0186945007010437,-57.456884547219374,-1.0492080341951155
910.4,0.006539,0.9880616453223355,1.0186945007010437,-38.75688454721944,-0.6694504103617692
