ANTUSDT,CVCUSDT,ANTUSDT_perc,CVCUSDT_perc,spread,zscore
1.67,0.1399,1.0,1.0,-0.2748272324681482,
1.666,0.1338,0.9976047904191617,0.956397426733381,-0.19402776057353988,
1.729,0.1432,1.0353293413173654,1.023588277340958,-0.261702356607854,
1.922,0.1469,1.1508982035928144,1.050035739814153,-0.12013810185540374,
1.875,0.1509,1.122754491017964,1.0786275911365262,-0.22274431293383534,
1.687,0.1418,1.010179640718563,1.0135811293781274,-0.2842401827304033,
1.677,0.1472,1.004191616766467,1.052180128663331,-0.3693085676862857,
1.569,0.1437,0.9395209580838323,1.0271622587562546,-0.42865313299265817,
1.597,0.1392,0.9562874251497007,0.9949964260185846,-0.33809614552942246,
1.536,0.1335,0.9197604790419163,0.9542530378842031,-0.31985729474265745,
1.516,0.1358,0.9077844311377246,0.9706933523945676,-0.3718308661127556,
1.555,0.1411,0.9311377245508982,1.008577555396712,-0.4065090957916777,
1.559,0.1395,0.9335329341317365,0.9971408148677628,-0.38026661136030526,
1.634,0.1484,0.9784431137724551,1.060757684060043,-0.4289904310098156,
1.683,0.1431,1.0077844311377246,1.0228734810578985,-0.30631220133089343,
1.686,0.143,1.0095808383233533,1.0221586847748392,-0.3019220460539327,
1.7,0.147,1.0179640718562875,1.0507505360972123,-0.3435282571323641,
1.76,0.1467,1.0538922155688624,1.0486061472480344,-0.279357791301482,
1.75,0.1509,1.0479041916167666,1.0786275911365262,-0.34774431293383534,
1.694,0.1501,1.0143712574850299,1.0729092208720516,-0.39262307071814906,
1.55,0.1362,0.9281437125748504,0.9735525375268048,-0.34339148722059853,-0.30245619385591443
1.516,0.1313,0.9077844311377246,0.9385275196568978,-0.30927387864951994,0.15751288316692474
1.605,0.1359,0.9610778443113773,0.9714081486776268,-0.2842210213897165,0.5749433977752958
1.644,0.1368,0.9844311377245509,0.9778413152251609,-0.25773241888236376,0.9367138833334205
1.746,0.1399,1.0455089820359282,1.0,-0.19882723246814815,2.0835987944949586
1.771,0.1421,1.0604790419161676,1.0157255182273053,-0.20441064856128577,1.9291866212047504
1.713,0.1386,1.025748502994012,0.9907076483202287,-0.21375521386765772,1.6270921677978036
1.912,0.1512,1.1449101796407186,1.080771979985704,-0.18991477876471796,1.7198991091362459
1.889,0.1549,1.1311377245508982,1.1072194424588993,-0.264350524012267,0.6360976114402171
1.756,0.1457,1.051497005988024,1.041458184417441,-0.26945623853187395,0.5148169347990904
1.776,0.1456,1.0634730538922157,1.0407433881343817,-0.24806608325491353,0.7609485217454156
1.686,0.1405,1.0095808383233533,1.004288777698356,-0.26716816412991307,0.4303045867942538
1.724,0.1425,1.0323353293413173,1.0185847033595425,-0.25697126966912864,0.5055785897968621
1.709,0.1438,1.0233532934131737,1.027877055039314,-0.2900432882696191,-0.07154346573657114
1.584,0.1315,0.9485029940119761,0.9399571122230165,-0.24405418920344157,0.619523151537118
1.614,0.1345,0.9664670658682636,0.9614010007147964,-0.2557588475122654,0.3544042503307314
1.723,0.1445,1.0317365269461078,1.032880629020729,-0.28577437520834414,-0.23195727954038367
1.89,0.1499,1.1317365269461077,1.071479628305933,-0.1938427601642274,1.383770649384303
1.992,0.1494,1.192814371257485,1.0679056468906363,-0.08489198377942353,2.6257654572056817
1.971,0.1478,1.180239520958084,1.0564689063616868,-0.08364949934805033,2.224449727224606
1.955,0.1504,1.1706586826347307,1.0750536097212295,-0.13579353654903148,1.4279334800887822
2.031,0.1642,1.2161676646706587,1.1736954967834168,-0.2516349647696208,-0.3741748528158473
1.949,0.1675,1.1670658682634731,1.1972837741243747,-0.379510088909327,-2.1442999064188646
1.926,0.1553,1.1532934131736527,1.1100786275911365,-0.23291114512011002,-0.05785481150710567
1.966,0.156,1.177245508982036,1.115082201572552,-0.2026422320588359,0.3492221263154282
2.032,0.164,1.2167664670658684,1.172265904217298,-0.2478546542156992,-0.28291151652300667
2.017,0.1623,1.2077844311377246,1.1601143674052896,-0.2392220145073658,-0.13140192337940723
2.08,0.162,1.2455089820359282,1.1579699785561115,-0.1720515486764831,0.8200521617290947
2.102,0.163,1.2586826347305389,1.1651179413867048,-0.16395310144609132,0.9073844447187278
2.112,0.1547,1.2646706586826348,1.1057898498927805,-0.038570213458345215,2.216699995631611
2.238,0.1652,1.340119760479042,1.18084345961401,-0.05853651753922895,1.7142894491751401
2.171,0.1701,1.3,1.215868477483917,-0.19365412611030752,0.11764451276104329
2.181,0.1752,1.3059880239520958,1.2523230879199427,-0.25455204523530783,-0.6028479483742953
2.095,0.1739,1.254491017964072,1.2430307362401716,-0.3224800266348171,-1.31337322827422
2.008,0.1716,1.2023952095808383,1.2265904217298071,-0.37750645526471915,-1.7683171421555282
2.006,0.1991,1.2011976047904191,1.4231593995711223,-0.7617991564289373,-3.440790815812138
1.992,0.1864,1.192814371257485,1.3323802716225877,-0.5992494362549166,-2.0161039386714745
1.863,0.1771,1.1155688622754492,1.2659042172980701,-0.5989649954975631,-1.765124002851848
1.758,0.1672,1.0526946107784432,1.1951393852751966,-0.5663396230784441,-1.421694224647714
1.643,0.15,0.9838323353293413,1.072194424588992,-0.44223291544118815,-0.7204144198389856
1.593,0.1469,0.9538922155688623,1.050035739814153,-0.4491381018554037,-0.681047368758318
1.645,0.1497,0.9850299401197605,1.0700500357398142,-0.4360624496103056,-0.5472791151525307
1.649,0.1467,0.9874251497005988,1.0486061472480344,-0.39035779130148196,-0.2708295142009704
1.725,0.1484,1.032934131736527,1.060757684060043,-0.3379904310098154,-0.002972773544195938
1.679,0.148,1.0053892215568863,1.0578984989278055,-0.37842980990197206,-0.1826456608042825
1.754,0.1569,1.0502994011976048,1.1215153681200858,-0.42715362955148306,-0.3909602340790599
1.533,0.143,0.9179640718562874,1.0221586847748392,-0.4549220460539327,-0.4893463574642634
1.589,0.142,0.951497005988024,1.015010721944246,-0.38502049328432464,-0.07245693913428647
1.512,0.1397,0.9053892215568863,0.9985704074338813,-0.43004692191422644,-0.2606122679988512
1.659,0.1478,0.9934131736526947,1.0564689063616868,-0.3956494993480504,-0.0028167334114356643
1.586,0.1459,0.9497005988023953,1.0428877769835598,-0.44223654908579557,-0.1883559104109523
1.659,0.1448,0.9934131736526947,1.0350250178699072,-0.3539448410392272,0.5987430714086334
1.733,0.1434,1.0377245508982036,1.0250178699070764,-0.2604826671617757,1.4397513507322526
1.769,0.141,1.0592814371257484,1.0078627591136526,-0.19111894051471667,1.910883916940294
1.844,0.1418,1.1041916167664672,1.0135811293781274,-0.12724018273040327,2.100543233473106
1.868,0.1432,1.118562874251497,1.023588277340958,-0.122702356607854,1.8560916883621468
1.931,0.1444,1.1562874251497006,1.0321658327376697,-0.07638421993138378,2.0307205959129093
1.911,0.1316,1.1443113772455091,0.9406719085060757,0.08155565551959776,2.5171159549678763
1.847,0.1355,1.1059880239520958,0.9685489635453897,-0.03666040028187356,1.638049147401216
1.82,0.14,1.0898203592814373,1.0007147962830594,-0.12621738774510916,1.021157360673229
2.048,0.1499,1.2263473053892215,1.071479628305933,-0.03584276016422727,1.4050910856758865
1.962,0.1491,1.1748502994011976,1.0657612580414584,-0.11072151794854102,0.8772488277203461
1.962,0.1519,1.1748502994011976,1.0857755539671194,-0.1496458657034434,0.57807421356564
1.93,0.1519,1.1556886227544911,1.0857755539671194,-0.18164586570344343,0.3304154110875391
1.734,0.1394,1.0383233532934133,0.9964260185847034,-0.20387645608334415,0.15591420576589068
1.759,0.1398,1.0532934131736527,0.9992852037169407,-0.18443707719118763,0.22414112156677427
1.657,0.1336,0.9922155688622755,0.9549678341672623,-0.20024745001961808,0.05781545806046704
1.721,0.1384,1.0305389221556887,0.9892780557541101,-0.20297490331373602,-0.043432418217994366
1.75,0.1416,1.0479041916167666,1.0121515368120086,-0.21845987217648166,-0.22234800395875925
1.62,0.1291,0.970059880239521,0.9228020014295926,-0.17469046255638232,0.01784096328019755
1.683,0.1309,1.0077844311377246,0.9356683345246604,-0.13671325754167674,0.25339403066157046
1.66,0.1289,0.9940119760479041,0.9213724088634738,-0.13191015200246103,0.19925015188039366
1.606,0.1242,0.9616766467065869,0.8877769835596856,-0.12057285398530371,0.23639054400260961
1.668,0.1327,0.9988023952095808,0.9485346676197285,-0.17673605252697144,-0.5872413977916504
1.649,0.1319,0.9874251497005988,0.9428162973552537,-0.18461481031128457,-0.7038265693990692
1.628,0.13,0.9748502994011976,0.9292351679771266,-0.17920186004902994,-0.5881868890011871
1.597,0.129,0.9562874251497007,0.9220872051465333,-0.19630030727942183,-0.7654629436513518
1.65,0.1286,0.9880239520958084,0.9192280200142959,-0.13773968617157872,0.07646772900110446
1.675,0.128,1.0029940119760479,0.91493924231594,-0.10439875450981395,0.9339412043077258
1.685,0.1276,1.0089820359281438,0.9120800571837026,-0.08883813340197055,1.4228767021060678
1.665,0.1286,0.9970059880239521,0.9192280200142959,-0.1227396861715786,0.6836677105695318
1.692,0.1277,1.0131736526946107,0.912794853466762,-0.08322828867893173,1.7865089310732016
1.674,0.1276,1.0023952095808384,0.9120800571837026,-0.09983813340197067,1.3477439620368297
1.605,0.1229,0.9610778443113773,0.8784846318799142,-0.10350083538481347,1.1644200429431852
1.677,0.1275,1.004191616766467,0.9113652609006434,-0.09544797812500994,1.2187858347568135
1.72,0.1289,1.0299401197604792,0.9213724088634738,-0.07191015200246098,1.5606070754496075
1.707,0.1283,1.0221556886227545,0.9170836311651179,-0.07656922034069624,1.3124773013808175
1.684,0.1284,1.0083832335329341,0.9177984274481772,-0.100959375617657,0.7182715545720192
1.689,0.1285,1.011377245508982,0.9185132237312367,-0.09734953089461795,0.7229308001114413
1.676,0.131,1.0035928143712576,0.9363831308077198,-0.1451034128186377,-0.5197278141556911
1.684,0.1307,1.0083832335329341,0.934238741958542,-0.1329329469877556,-0.26580000818883964
1.614,0.1246,0.9664670658682636,0.8906361686919229,-0.11813347509314687,0.11346658617173129
1.624,0.1224,0.9724550898203594,0.8749106504646176,-0.07755005900000933,1.115229671857791
1.617,0.1215,0.9682634730538923,0.8684774839170837,-0.07203866150736227,1.1569917343572131
1.572,0.117,0.9413173652694612,0.836311651179414,-0.05448167404412674,1.4630067329174505
1.538,0.1152,0.9209580838323354,0.823445318084346,-0.06345887905883241,1.1581365789902967
1.527,0.1145,0.9143712574850299,0.8184417441029307,-0.06472779212010704,1.0642301386749782
1.583,0.1179,0.9479041916167665,0.8427448177269479,-0.05599307153677402,1.412565804255092
1.631,0.1216,0.9766467065868264,0.8691922802001429,-0.0594288167843231,1.1891854532383663
1.605,0.1206,0.9610778443113773,0.8620443173695497,-0.07152726401471532,0.6546016396932423
1.583,0.1146,0.9479041916167665,0.81915654038599,-0.010117947397067617,2.4129140650863183
1.545,0.1144,0.9251497005988024,0.8177269478198713,-0.04533763684314618,1.1588330479126658
1.558,0.1157,0.9329341317365271,0.8270192994996426,-0.0504096554436364,0.921712958576564
1.565,0.1174,0.937125748502994,0.8391708363116512,-0.06704229515197002,0.345484165712322
1.585,0.1195,0.9491017964071856,0.854181558255897,-0.07623555596814646,0.009037152648374017
1.625,0.1176,0.9730538922155689,0.8406004288777699,-0.00982260570589144,1.8677151668762098
1.654,0.1215,0.9904191616766467,0.8684774839170837,-0.035038661507362345,1.032948123470912
1.728,0.1239,1.0347305389221557,0.8856325947105075,0.0055976118455787205,1.8915270018983121
1.749,0.1233,1.047305389221557,0.8813438170121516,0.03493854350734327,2.197360825939088
1.81,0.125,1.0838323353293413,0.8934953538241601,0.07230590379900992,2.432591915392606
1.816,0.1276,1.087425149700599,0.9120800571837026,0.04216186659802945,1.6921135465951698
1.816,0.1231,1.087425149700599,0.879914224446033,0.10471885406126491,2.4512485096190257
1.844,0.1233,1.1041916167664672,0.8813438170121516,0.12993854350734324,2.4026170436952308
1.805,0.1221,1.0808383233532934,0.8727662616154396,0.10762040683087282,1.7787567135675662
1.851,0.1182,1.1083832335329342,0.8448892065761259,0.20783646263234368,2.5523847341854937
1.92,0.1241,1.1497005988023952,0.8870621872766262,0.19481730129165697,2.0161188159554957
2.072,0.1315,1.2407185628742516,0.9399571122230165,0.24394581079655842,2.1354057475297594
2.022,0.1374,1.2107784431137725,0.9821300929235168,0.1119266494558715,0.7495402111590708
1.853,0.1281,1.1095808383233534,0.9156540385989993,0.07221109021322536,0.2979236984242183
1.906,0.1328,1.141317365269461,0.9492494639027877,0.05987379219606792,0.11751243968412248
1.724,0.1082,1.0323353293413173,0.7734095782701931,0.21985199032842284,1.6047186970197596
1.652,0.0808,0.9892215568862275,0.5775553967119371,0.52875453621568,3.153187991836705
1.826,0.0967,1.0934131736526946,0.6912080057183703,0.48171984717891414,2.297672860401174
1.977,0.0937,1.1838323353293414,0.6697641172265905,0.6744245054877378,2.6713376502234767
1.771,0.0891,1.0604790419161676,0.6368834882058614,0.5323716482279341,1.7150000820214684
1.808,0.0874,1.0826347305389223,0.6247319513938528,0.5930042879362676,1.7652064620720604
1.905,0.0878,1.1407185628742516,0.6275911365260901,0.6844436668284246,1.8840217554872287
1.87,0.0916,1.1197604790419162,0.6547533952823446,0.5966177663039145,1.3638427654007297
1.972,0.0915,1.1808383233532935,0.6540385989992852,0.7000079215808752,1.5966894435544141
2.017,0.0907,1.2077844311377246,0.6483202287348107,0.7561291637965615,1.6158900612352014
2.183,0.0935,1.307185628742515,0.6683345246604718,0.8832048160416592,1.8298376236183946
2.101,0.0978,1.2580838323353294,0.6990707648320229,0.7414281391323454,1.197702883664138
1.779,0.0935,1.0652694610778444,0.6683345246604718,0.4792048160416593,0.18952093107960744
1.842,0.0935,1.102994011976048,0.6683345246604718,0.5422048160416595,0.36260702616470547
1.871,0.09614,1.1203592814371257,0.687205146533238,0.5345047167298944,0.2663981896228007
1.899,0.10126,1.137125748502994,0.7238027162258757,0.49132876654950186,0.03879808659369025
1.878,0.10161,1.1245508982035928,0.7263045032165834,0.465463223080139,-0.12715789095512695
1.808,0.09962,1.0826347305389223,0.7120800571837027,0.42312731309165885,-0.35702742970083884
1.795,0.09838,1.0748502994011977,0.7032165832737669,0.42736523852597275,-0.4393834135043686
1.791,0.09786,1.0724550898203593,0.6994996426018585,0.4305940459661688,-0.5767480293498934
1.855,0.1028,1.1107784431137724,0.7348105789849894,0.4259203752843057,-0.8552050424883385
1.881,0.10244,1.1263473053892217,0.7322373123659758,0.4569249342813646,-0.8268989577681596
1.955,0.10576,1.1706586826347307,0.7559685489635455,0.48477177908626623,-0.5918165866024673
1.966,0.10372,1.177245508982036,0.7413867047891352,0.5241309467362663,-0.3084756273711035
1.946,0.10377,1.1652694610778442,0.7417441029306648,0.503435869097786,-0.41130472222372666
1.98,0.1031,1.18562874251497,0.7369549678341673,0.5467499094534234,-0.07785096546896754
2.162,0.10306,1.2946107784431138,0.7366690493209436,0.7293059715642076,1.248883157795039
2.15,0.10149,1.2874251497005988,0.7254467476769121,0.7391314094124921,1.274481730170337
2.17,0.1017,1.2994011976047903,0.7269478198713367,0.7562120833308743,1.286224684152215
2.256,0.09616,1.3508982035928143,0.6873481057898498,0.9192266856745022,2.109975483974714
2.154,0.09777,1.2898203592814372,0.6988563259471051,0.7948451857154335,1.2970851608629796
2.255,0.09586,1.3502994011976048,0.685203716940672,0.9223971515053846,2.0286851821538314
2.346,0.098,1.4047904191616767,0.7005003573981415,0.9836478285784238,2.0928409303658513
2.361,0.09784,1.4137724550898205,0.6993566833452466,1.0008720770215613,1.8737536749992265
2.186,0.09589,1.3089820359281437,0.6854181558255897,0.8529801049222963,1.0389561198187491
2.203,0.09735,1.3191616766467065,0.695854181558256,0.8496838378786686,0.93444741210381
2.108,0.09829,1.2622754491017965,0.7025732666190136,0.7416163782752374,0.3668372488599238
2.144,0.10044,1.2838323353293415,0.7179413867047891,0.7477280398205806,0.3388616296362563
1.825,0.09305,1.0928143712574852,0.6651179413867048,0.531460514787983,-0.7753392972970709
1.862,0.08908,1.1149700598802397,0.6367405289492495,0.6236496792833264,-0.3705533555766641
1.855,0.0881,1.1107784431137724,0.629735525375268,0.6302732009975422,-0.40538975162214513
1.801,0.08053,1.078443113772455,0.5756254467476769,0.681507955463474,-0.20068371335913895
1.935,0.08838,1.158682634730539,0.6317369549678342,0.706380766222052,-0.13180865751727502
1.971,0.08646,1.180239520958084,0.618012866333095,0.7690717475396993,0.19241382663042408
2.004,0.08556,1.2,0.6115796997855611,0.8145831450323464,0.4301958918494241
2.099,0.08559,1.2568862275449104,0.6117941386704789,0.9091660984492582,1.0334048447124173
2.1,0.08514,1.25748502994012,0.6085775553967119,0.9164217971955817,1.0116711808538195
2.112,0.0839,1.2646706586826348,0.5997140814867763,0.9456597226298955,1.1325750506287855
2.181,0.08298,1.3059880239520958,0.5931379556826305,1.027449151177935,1.5669580971231136
2.138,0.0808,1.280239520958084,0.5775553967119371,1.01475453621568,1.3236939261333764
2.195,0.07511,1.31437125748503,0.5368834882058613,1.150854371474749,1.9885064746258256
2.205,0.07315,1.3203592814371259,0.5228734810578985,1.1881014149031806,1.9002846991655573
2.189,0.0711,1.3107784431137726,0.5082201572551822,1.2005995980808768,1.7443348323340608
2.235,0.07529,1.3383233532934131,0.5381701215153681,1.1883520919762196,1.5380186785901808
2.198,0.07777,1.3161676646706588,0.5558970693352395,1.1168762411075919,1.1250416364184757
2.075,0.08,1.2425149700598803,0.5718370264474625,0.9628757784313664,0.3480478526486403
2.074,0.0781,1.2419161676646706,0.5582558970693353,0.9882887286936213,0.43776711036338517
2.18,0.07854,1.3053892215568863,0.5614010007147963,1.0881720454749941,0.838566774118698
2.151,0.07769,1.2880239520958083,0.5553252323087919,1.0709883653291605,0.6846563398641943
2.151,0.0756,1.2880239520958083,0.540385989992852,1.1000426106176409,0.7622836059912875
