BALUSDT,SUNUSDT,BALUSDT_perc,SUNUSDT_perc,spread,zscore
4.642,0.00635,1.0,1.0,-1.6476993650652467,
4.432,0.005918,0.9547608789314951,0.9319685039370078,-1.4298017074734064,
4.775,0.006218,1.0286514433433864,0.9792125984251968,-1.3839528585788505,
5.597,0.006483,1.2057302886686774,1.0209448818897637,-0.824436375388661,
5.563,0.006215,1.1984058595433003,0.978740157480315,-0.5929813470677976,
5.183,0.006086,1.1165445928479103,0.9584251968503937,-0.8452063520924566,
5.141,0.005975,1.1074967686342092,0.9409448818897639,-0.7772604261834415,
4.895,0.005776,1.0545023696682463,0.9096062992125984,-0.8261501626168295,
4.78,0.005797,1.029728565273589,0.9129133858267717,-0.9619507431942109,
4.552,0.005612,0.9806118052563548,0.8837795275590551,-1.0067075333458533,
4.543,0.005599,0.9786729857819905,0.8817322834645669,-1.0028309834646167,
4.617,0.005717,0.9946143903489875,0.9003149606299212,-1.045710436232759,
4.648,0.005812,1.0012925463162428,0.9152755905511812,-1.1088083007494838,
4.948,0.005952,1.065919862128393,0.9373228346456693,-0.9474788379320236,
4.891,0.006136,1.0536406721240843,0.9662992125984252,-1.1867315439433632,
4.91,0.006077,1.0577337354588539,0.957007874015748,-1.109291817559292,
5.133,0.006095,1.1057733735458852,0.9598425196850394,-0.904120886625619,
4.965,0.005945,1.0695820766910813,0.9362204724409449,-0.9235453110728971,
5.04,0.005913,1.085738905644119,0.9311811023622047,-0.816849188288316,
4.645,0.005668,1.0006462731581214,0.8925984251968505,-0.9691757482188699,
4.364,0.005529,0.940112020680741,0.8707086614173228,-1.1124957148733472,-0.38169612659038354
4.155,0.005668,0.8950883239982765,0.8925984251968505,-1.4591757482188692,-2.0365349570176536
4.365,0.005575,0.9403274450667816,0.8779527559055119,-1.157058891376182,-0.7892798189914043
4.645,0.005688,1.0006462731581214,0.8957480314960631,-0.9889858249592329,-0.05312056536023565
4.801,0.005694,1.0342524773804394,0.8966929133858269,-0.8389288479813413,0.7829735584949464
5.216,0.005801,1.1236535975872468,0.9135433070866141,-0.5299127585422827,2.385878579203735
5.071,0.00565,1.0924170616113742,0.889763779527559,-0.525346679152543,2.0758193848651256
5.738,0.005925,1.2361051271003878,0.9330708661417323,-0.13073523433253342,2.902041439139895
5.677,0.006069,1.2229642395519171,0.955748031496063,-0.3343677868631474,1.8825581532237248
5.33,0.005851,1.1482119775958637,0.9214173228346457,-0.46543795039319136,1.312006014383803
5.67,0.005956,1.2214562688496338,0.9379527559055119,-0.22944085328009667,1.7752828965730716
5.45,0.005945,1.1740629039207238,0.9362204724409449,-0.43854531107289674,1.0691284628047069
5.46,0.005879,1.1762171477811287,0.9258267716535433,-0.36317205782969886,1.1587899095331147
5.693,0.005872,1.226411029728565,0.9247244094488188,-0.12323853097057214,1.600881546060404
5.01,0.005622,1.0792761740629038,0.8853543307086615,-0.5586125717160355,0.42522902253037587
5.018,0.00589,1.0809995691512277,0.9275590551181103,-0.8160676000368987,-0.30116980158367623
6.064,0.005957,1.3063334769495907,0.9381102362204724,0.1635686428828862,2.000853054488782
6.13,0.006171,1.3205514864282635,0.9718110236220473,0.017600821761001306,1.458419236039946
6.152,0.006187,1.3252908229211546,0.9743307086614174,0.0237527603687111,1.322594070490836
6.361,0.006154,1.370314519603619,0.9691338582677166,0.2654393869903098,1.6434163630967737
6.164,0.006283,1.3278759155536406,0.9894488188976379,-0.05933560798503201,0.8623974305961117
6.29,0.006314,1.3550193881947437,0.9943307086614174,0.03595877306740558,0.9776495792753738
5.93,0.006215,1.2774666092201636,0.978740157480315,-0.2259813470677976,0.31548301526195477
5.936,0.006207,1.2787591555364066,0.9774803149606299,-0.21205731637165215,0.26742470263577295
5.995,0.006152,1.291469194312796,0.9688188976377954,-0.09857960533565358,0.5393734513528141
6.346,0.006336,1.3670831538130115,0.9977952755905511,0.07016768865300715,1.0422537012533761
6.197,0.006314,1.334984920292977,0.9943307086614174,-0.05704122693259439,0.5112354289853495
6.15,0.006492,1.3248599741490736,1.0223622047244096,-0.28035090992182443,-0.38422993239455144
6.283,0.006715,1.35351141749246,1.05748031496063,-0.36823326557687075,-0.6750665897662332
5.931,0.006477,1.277682033606204,1.02,-0.48449335236655244,-1.0704210551533044
6.433,0.006675,1.385825075398535,1.0511811023622049,-0.17861311209614605,0.030646472130637363
6.337,0.006627,1.365144334338647,1.0436220472440945,-0.2270689279192748,-0.15721271393580274
7.196,0.006901,1.5501938819474363,1.0867716535433072,0.3605330207377522,1.8327800922129636
7.131,0.006989,1.536191296854804,1.1006299212598427,0.20836868308015521,1.1623013214047244
6.753,0.006709,1.454760878931495,1.056535433070866,0.10770975744523792,0.7568249842983819
6.779,0.00677,1.460361912968548,1.0661417322834645,0.07328902338713039,0.5654877256585269
6.8,0.006775,1.4648858250753984,1.0669291338582678,0.08933650420203954,0.589184303258647
6.515,0.006534,1.403489875053856,1.0289763779527559,0.04304792892341336,0.40773562567848176
6.195,0.006277,1.3345540715208961,0.988503937007874,-0.022392584962921624,0.10579090772522894
5.59,0.005864,1.2042223179663938,0.9234645669291339,-0.21831450027442756,-0.7629567748888255
5.669,0.005873,1.2212408444635932,0.9248818897637795,-0.1482290348075903,-0.361862433140267
6.141,0.00591,1.322921154674709,0.9307086614173229,0.28712232322273845,1.6096531519112576
6.275,0.005817,1.351788022404136,0.9160629921259843,0.5132391800654261,2.2132079605068755
6.475,0.005889,1.394872899612236,0.9274015748031497,0.6419229038001193,2.236761636601805
