BCHUSDT,LINKUSDT,BCHUSDT_perc,LINKUSDT_perc,spread,zscore
721.94,33.158,1.0,1.0,-14.842115968828693,
706.28,34.095,0.97830844668532,1.0282586404487604,-51.32257687306878,
460.46,24.701,0.6378092362246169,0.7449484287351469,-88.4046796111358,
516.62,28.58,0.7155996343186414,0.8619337716388201,-118.43738809304318,
552.13,28.558,0.7647865473585062,0.8612702816816454,-82.43854055847191,
523.57,29.207,0.7252264731141093,0.8808432354183002,-125.41954282832444,
497.13,26.665,0.688602930991495,0.8041799867302007,-95.37543224286196,
560.71,30.75,0.77667119151176,0.927378008323783,-122.565531275755,
689.97,33.888,0.9557165415408483,1.0220158031244344,-63.03296597960275,
973.31,39.085,1.348186829930465,1.178750226189758,104.82791414917449,
758.99,31.681,1.0513200542981411,0.9554556969660414,55.02732987488798,
972.58,39.465,1.3471756655677756,1.190210507268231,95.65418400657973,
1428.81,52.27,1.9791256891154387,1.576391820978346,267.352698543619,
1166.16,40.677,1.6153142920464305,1.2267627721816756,262.3031289201989,
552.06,19.837,0.7646895863922208,0.5982568309306955,111.27506621407633,
661.61,26.819,0.9164334986286948,0.808824416430424,65.68263501513911,
656.08,27.528,0.9087735822921572,0.8302068882321008,44.398412196455865,
613.48,23.313,0.849765908524254,0.7030882441643042,95.45715575181543,
556.14,21.647,0.7703410255699918,0.6528439592255262,75.13624632434903,
477.79,18.406,0.6618140011635316,0.5550998250799203,68.80237630368958,
527.04,19.241,0.7300329667285369,0.5802822848181434,99.49839033246172,0.6164840636999593
498.03,18.376,0.6898495719865916,0.5541950660474094,89.70898657810488,0.48817538101925917
437.87,15.472,0.6065185472476937,0.4666143917003438,94.07686114151284,0.47000791437385453
455.01,16.746,0.6302601324209768,0.5050364919476446,82.9081448213401,0.31242484566305495
526.23,22.064,0.7289109898329501,0.6654201097774293,35.960363509975366,-0.18214130151680893
555.69,23.029,0.7697177050724437,0.6945231919898667,43.97773301628098,-0.17090045913944504
703.36,27.9,0.9742637892345624,0.8414259002352372,83.41244479370528,0.13393972659263517
672.34,27.984,0.9312962296035682,0.8439592255262682,50.52593602534216,-0.33107061235715524
659.08,25.766,0.9129290522758123,0.7770673743892875,86.55065564711867,-0.021885762822663916
764.76,33.53,1.0593124082333711,1.0112190120031366,19.711916628420568,-1.1569449414956587
646.4,29.43,0.8953652658115632,0.8875686108932987,-7.544679201478743,-1.4262816896730672
608.71,27.375,0.8431587112502424,0.8255926171662947,0.4281245959742819,-1.2228735775559876
503.31,24.6,0.6971631991578247,0.7419024066590265,-43.31042502060399,-1.6378463253995619
571.1,27.57,0.791062969221819,0.8314735508776162,-41.51484218772566,-1.6255727806541043
584.79,25.557,0.8100257639138986,0.7707642197961275,16.90470722554562,-0.7481205758761251
612.44,26.544,0.848325345596587,0.8005307919657397,22.62322919728001,-0.5519063136476037
617.24,29.7,0.8549740975704352,0.8957114421858978,-42.704171671216955,-1.767536574041482
596.9,29.994,0.8268000110812532,0.9045780807045056,-69.57695236048767,-1.9765952054105422
600.52,32.336,0.8318142781948638,0.9752096025091983,-117.99699444984753,-2.3459413705166745
679.36,33.752,0.9410200293653211,1.017914228843718,-70.62099940225312,-1.4072149052638887
574.61,28.98,0.7959248691026954,0.8739972254056336,-69.33552508524815,-1.250185776896753
568.77,24.759,0.7878355542011801,0.7466976295313348,18.616540524994548,0.15873390361714085
453.17,19.484,0.627711444164335,0.5876108329814826,20.2288471096972,0.24838183754960616
457.85,20.408,0.634193977338837,0.6154774111828216,4.377250657703826,0.05791491962323081
432.81,18.867,0.5995096545419286,0.5690029555461729,13.578798420173314,0.2969180677438754
451.54,22.98,0.625453638806549,0.6930454189034321,-59.08347020217394,-0.9754908113925853
447.72,21.871,0.6201623403606947,0.6595994933349417,-38.26111039128574,-0.5234566404081582
376.88,27.54,0.5220378424799844,0.8305687918451052,-235.06823191331034,-3.0777254910181737
388.06,25.5,0.537523893952406,0.7690451776343566,-178.5587332530651,-1.935062687481523
302.53,16.64,0.41905144471839756,0.5018396766994391,-67.21649887572568,-0.3418715011785191
289.86,17.77,0.4015015098207607,0.535918933590687,-104.99548587870459,-0.8158572674039923
324.68,18.065,0.44973266476438484,0.5448157307437119,-76.73048691045574,-0.3505950867449047
333.69,15.604,0.4622129262819625,0.4705953314433922,-13.036224065914837,0.6143264641652174
302.7,14.599,0.41928692135080475,0.44028590385427346,-21.694779872999902,0.46627400099739597
304.01,13.641,0.4211014765770008,0.41139393208275526,0.9023082233309196,0.7627962575125488
281.97,13.319,0.3905726237637477,0.4016828518004705,-13.982741497944062,0.575377617983967
279.83,12.703,0.3876083885087403,0.38310513299957777,-2.4350105299484994,0.7806544744176431
327.4,14.547,0.4535002908828988,0.43871765486458775,4.160677935986712,0.8324043033269057
376.62,16.868,0.5216777017480677,0.5087158453465227,1.807263038717565,0.7367760392762671
378.57,18.079,0.5243787572374435,0.5452379516255504,-23.15157170518296,0.3077708823717502
319.76,15.237,0.44291769399119035,0.4595271126123409,-18.811358375566783,0.33682704211230485
328.13,13.727,0.4545114552455882,0.41398757464262015,23.11135877000686,0.8943682204614856
