RENUSDT,FLOWUSDT,RENUSDT_perc,FLOWUSDT_perc,spread,zscore
0.0705,0.732,1.0,1.0,0.00267156028729347,
0.072,0.7328,1.0212765957446808,1.0010928961748635,0.004097430844984512,
0.0708,0.733,1.0042553191489363,1.0013661202185793,0.002878898484407269,
0.071,0.735,1.0070921985815602,1.0040983606557377,0.0028935748786348414,
0.0714,0.7356,1.0127659574468086,1.0049180327868854,0.00323797779690313,
0.0708,0.7391,1.0042553191489363,1.0096994535519126,0.0023136614868013855,
0.07,0.729,0.9929078014184399,0.9959016393442623,0.0024495456959521267,
0.0705,0.7215,1.0,0.9856557377049181,0.003644509217598693,
0.0689,0.7199,0.9773049645390073,0.9834699453551913,0.0021927681022166357,
0.068,0.715,0.9645390070921988,0.976775956284153,0.001746810936359075,
0.068,0.712,0.9645390070921988,0.9726775956284153,0.0020247963450177042,
0.0671,0.7,0.9517730496453902,0.9562841530054644,0.0022367379796522507,
0.067,0.7008,0.9503546099290782,0.9573770491803278,0.0020626085373432745,
0.0666,0.705,0.9446808510638299,0.9631147540983607,0.0012734289652211878,
0.0674,0.7041,0.9560283687943264,0.9618852459016393,0.0021568245878187814,
0.0673,0.705,0.9546099290780142,0.9631147540983607,0.00197342896522118,
0.0668,0.7074,0.9475177304964539,0.9663934426229509,0.0012510406382942735,
0.0661,0.708,0.9375886524822696,0.9672131147540983,0.0004954435565625581,
0.0667,0.7064,0.9460992907801419,0.9650273224043716,0.0012437024411804803,
0.0667,0.7045,0.9460992907801419,0.9624316939890711,0.0014197598666642747,
0.0683,0.7111,0.9687943262411348,0.971448087431694,0.0024081919676152974,0.2178186618791608
0.0678,0.7017,0.9617021276595745,0.9586065573770491,0.0027792129147456712,0.6446545889912446
0.0669,0.7039,0.9489361702127661,0.9616120218579235,0.0016753569483960173,-0.584642953250575
0.0648,0.7069,0.9191489361702128,0.9657103825136611,-0.0007026284602626165,-2.795474007782699
0.0652,0.7048,0.924822695035461,0.9628415300546448,-0.00010803867420158819,-1.871487641490698
0.0652,0.6951,0.924822695035461,0.9495901639344263,0.0007907808137946615,-0.9046512059710604
0.065,0.7006,0.921985815602837,0.9571038251366121,8.114089792050916e-05,-1.4467822895536493
0.0657,0.6875,0.9319148936170213,0.9392076502732241,0.001995010515729867,0.43261249437033555
0.0655,0.6859,0.9290780141843973,0.9370218579234972,0.0019432694003478218,0.5190120741136526
0.0654,0.6919,0.9276595744680852,0.9452185792349727,0.0012872985830305467,-0.16039180086409838
0.0661,0.6968,0.9375886524822696,0.9519125683060109,0.0015332557488881154,0.12745433731001957
0.0657,0.6889,0.9319148936170213,0.9411202185792349,0.0018652839916891706,0.5125025389569698
0.0662,0.6828,0.9390070921985816,0.9327868852459016,0.0029305209892950684,1.6005624007889039
0.0656,0.684,0.9304964539007093,0.9344262295081968,0.002219326825831619,0.8208532645558768
0.0655,0.6852,0.9290780141843973,0.9360655737704918,0.002008132662368156,0.5532221014153167
0.0652,0.6833,0.924822695035461,0.9334699453551913,0.0018841900878519557,0.43888408593762746
0.064,0.6816,0.9078014184397164,0.9311475409836065,0.0008417151527585209,-0.6196484752542968
0.0637,0.6804,0.9035460992907803,0.9295081967213115,0.0006529093162219723,-0.7790982289126922
0.0635,0.6714,0.9007092198581561,0.9172131147540984,0.001286865542197875,-0.15460379300636665
0.0641,0.6803,0.9092198581560286,0.9293715846994536,0.001062175496510595,-0.38644234961011215
0.0635,0.6821,0.9007092198581561,0.9318306010928963,0.0002953842513154087,-1.1150197744360812
0.0629,0.6821,0.8921985815602838,0.9318306010928963,-0.0003046157486845946,-1.5483253065026217
0.0633,0.6829,0.8978723404255319,0.9329234972677595,2.1254809006443498e-05,-1.1257325318402693
0.0634,0.702,0.899290780141844,0.9590163934426229,-0.0016485856261201914,-2.3065368855841744
0.0628,0.6963,0.8907801418439717,0.9512295081967214,-0.0017204133496687979,-2.1502656198150385
0.0629,0.6933,0.8921985815602838,0.9471311475409837,-0.001342427941010152,-1.6837885961070316
0.0635,0.6974,0.9007092198581561,0.9527322404371585,-0.0011223413328436127,-1.3708965140826581
0.0627,0.6933,0.8893617021276597,0.9471311475409837,-0.0015424279410101438,-1.5286813272568158
0.0628,0.6932,0.8907801418439717,0.9469945355191257,-0.0014331617607215436,-1.307920710536237
0.0625,0.6815,0.8865248226950355,0.9310109289617486,-0.0006490186669528553,-0.7054161353676353
0.0626,0.6761,0.8879432624113477,0.9236338797814209,-4.864493136731707e-05,-0.2553746173277173
0.0622,0.6712,0.8822695035460993,0.9169398907103825,5.397902775108876e-06,-0.17131941628126224
0.0635,0.672,0.9007092198581561,0.918032786885246,0.001231268460466145,0.7212698927115259
0.0632,0.6783,0.89645390070922,0.9266393442622951,0.0003474991022830165,0.19887237937537272
0.0637,0.677,0.9035460992907803,0.9248633879781422,0.0009679594460350882,0.7886648540494767
0.0629,0.6702,0.8921985815602838,0.9155737704918033,0.0007980597056613248,0.7397764779514321
0.0631,0.6632,0.895035460992908,0.9060109289617486,0.0016466923258648056,1.544677289299348
0.0623,0.6622,0.8836879432624114,0.9046448087431694,0.0009393541287510132,0.885840079972476
0.0626,0.6672,0.8879432624113477,0.9114754098360656,0.0007760451143199593,0.7279076556125952
0.0618,0.658,0.8765957446808511,0.8989071038251367,0.000828533700873102,0.8129248530873757
0.0616,0.6573,0.8737588652482271,0.8979508196721312,0.0006933969628934514,0.7139236837652705
0.0617,0.6502,0.875177304964539,0.8882513661202186,0.0014512957633855475,1.3192967305007475
