ALPHAUSDT,NEOUSDT,ALPHAUSDT_perc,NEOUSDT_perc,spread,zscore
0.1172,9.21,1.0,1.0,-0.005929830577336162,
0.10969,8.88,0.9359215017064846,0.9641693811074918,-0.00902801254362054,
0.11929,9.31,1.0178327645051195,1.01085776330076,-0.00517674513300756,
0.1281,9.64,1.0930034129692832,1.0466883821932682,-0.0007785631667232007,
0.13227,9.73,1.1285836177474402,1.0564603691639523,0.002188213733172545,
0.12376,9.49,1.0559726962457339,1.0304017372421281,-0.003113191333216095,
0.12422,9.51,1.0598976109215017,1.03257328990228,-0.0029205742443503546,
0.11625,8.93,0.9918941979522184,0.9695982627578718,-0.0031364698214562114,
0.11439,8.63,0.976023890784983,0.9370249728555917,-0.000985726154442021,
0.11375,8.47,0.9705631399317407,0.9196525515743756,0.0005133371346322246,
0.11098,8.22,0.9469283276450512,0.8925081433224755,0.0010856235238107248,
0.11156,8.25,0.9518771331058021,0.8957654723127035,0.0012645491571093154,
0.11259,8.3,0.9606655290102388,0.9011943539630836,0.0016260918792735946,
0.11805,8.59,1.0072525597269626,0.9326818675352876,0.003209039667826555,
0.11348,8.38,0.968259385665529,0.9098805646036916,0.0014465602347364798,
0.11657,8.52,0.9946245733788396,0.9250814332247556,0.0026648798567965315,
0.12201,9.26,1.0410409556313993,1.0054288816503798,-0.0017882878551718495,
0.12014,9.13,1.0250853242320819,0.991313789359392,-0.0019202989327990472,
0.12576,9.36,1.0730375426621162,1.0162866449511399,0.0006247975891567614,
0.11948,9.25,1.019453924914676,1.004343105320304,-0.004184596399604709,
0.10615,8.34,0.9057167235494881,0.9055374592833875,-0.005348673942994958,-1.2015671435828728
0.1035,8.06,0.8831058020477816,0.8751357220412594,-0.004255313187115042,-0.9191339735183993
0.10855,8.54,0.9261945392491467,0.9272529858849076,-0.0056225030543377436,-1.570221741432535
0.11598,8.7,0.9895904436860068,0.9446254071661236,-0.00033156634341198477,0.22697127728622826
0.11706,8.85,0.9988054607508532,0.9609120521172637,-0.0012569381769191035,-0.10911341590198796
0.12501,9.26,1.0666382252559727,1.0054288816503798,0.001211712144828167,0.8427457155443189
0.12643,9.32,1.078754266211604,1.011943539630836,0.001829563411425289,0.9791135517154909
0.13916,10.4,1.1873720136518773,1.1292073832790444,0.00012088621017417034,0.2866639185919285
0.14274,10.51,1.2179180887372014,1.1411509229098804,0.002230280198935619,0.9923379728572482
0.13208,9.75,1.126962457337884,1.058631921824104,0.0017308308220382873,0.742863512791293
0.13527,9.87,1.1541808873720136,1.071661237785016,0.0033165333552326037,1.2384632718317186
0.12975,10.53,1.1070819112627988,1.1433224755700324,-0.011027102712198644,-2.845696523937164
0.13325,10.04,1.1369453924914676,1.0901194353963082,-0.0009762213894087823,-0.0501904715414164
0.13448,10.26,1.1474402730375426,1.1140065146579803,-0.0026874334118858756,-0.4706948701731399
0.12114,9.21,1.033617747440273,1.0,-0.001989830577336163,-0.21461537734106995
0.12085,9.27,1.0311433447098977,1.0065146579804558,-0.0030819793107389887,-0.473124106872327
0.12781,10.04,1.090529010238908,1.0901194353963082,-0.006416221389408783,-1.3116717624459664
0.13812,11.01,1.1784982935153583,1.1954397394136806,-0.009074292579421384,-1.8049322704895379
0.16743,11.3,1.4285836177474402,1.2269272529858848,0.016358655209131517,3.193727391249241
0.15578,11.35,1.3291808873720137,1.2323561346362648,0.004040197931295841,0.927246637590902
0.15163,10.98,1.2937713310580203,1.1921824104234526,0.004836781787280003,0.9741148536886047
0.16161,11.17,1.378924914675768,1.2128121606948967,0.012276644131504366,1.9319264084235994
0.16219,10.96,1.3838737201365188,1.1900108577633008,0.015664164698414307,2.066669614091514
0.16237,10.73,1.385409556313993,1.1650380021715525,0.018919068176458526,2.114362585767161
0.16642,10.81,1.4199658703071674,1.1737242128121606,0.02189953653192142,2.0781657126673228
0.17107,11.8,1.459641638225256,1.281216069489685,0.013314082430774532,1.022648363607332
0.17579,11.43,1.499914675767918,1.2410423452768728,0.02298066628675874,1.793647963127938
0.17517,11.46,1.4946245733788395,1.2442996742671009,0.02195959192005728,1.5027720920022458
0.17317,11.67,1.4775597269624572,1.267100977198697,0.017152071353147336,0.9598251653754507
0.1599,11.01,1.364334470989761,1.1954397394136806,0.01270570742057861,0.5031139453934004
0.1664,11.7,1.4197952218430034,1.270358306188925,0.009980996986445945,0.21768757296228766
0.16009,11.73,1.3659556313993175,1.273615635179153,0.003269922619744514,-0.40249089693999957
0.16444,12.02,1.4030716723549488,1.3051031487513571,0.0037428704082974606,-0.45875273328055416
0.16062,12.0,1.3704778156996589,1.3029315960912051,0.0001902533194317324,-0.8240273248089027
0.15485,11.51,1.3212457337883958,1.2497285559174809,0.0009711346422215938,-0.7765312874724283
0.15589,11.27,1.3301194539249146,1.2236699239956568,0.005219729575832971,-0.38732374482678
0.15309,11.14,1.3062286689419795,1.2095548317046687,0.004157718498205787,-0.5546696107544685
0.14287,10.95,1.2190273037542663,1.1889250814332246,-0.0035221438460185384,-1.4428974077698065
0.13792,10.43,1.1767918088737201,1.1324647122692724,-0.001520188156527269,-1.3581796320568138
0.12395,9.54,1.05759385665529,1.035830618892508,-0.0035916486110517676,-1.4345993747920611
0.12482,9.55,1.0650170648464163,1.0369163952225842,-0.0028553400666189305,-1.265077771459299
0.12947,9.87,1.1046928327645051,1.071661237785016,-0.002483466644767396,-1.1478221260410435
0.12726,9.68,1.0858361774744028,1.051031487513572,-0.0021533289889917318,-1.0146483852870094
0.13148,9.94,1.1218430034129694,1.0792616720955481,-0.001409306833737356,-0.8506285201289315
