ANTUSDT,EGLDUSDT,ANTUSDT_perc,EGLDUSDT_perc,spread,zscore
1.67,58.55,1.0,1.0,-0.38719740373315403,
1.666,58.22,0.9976047904191617,0.9943637916310846,-0.3796026105097221,
1.729,60.66,1.0353293413173654,1.0360375747224595,-0.4023338088890367,
1.922,63.0,1.1508982035928144,1.07600341588386,-0.2915514335642817,
1.875,61.72,1.122754491017964,1.0541417591801878,-0.29357769015218205,
1.687,55.15,1.010179640718563,0.9419299743808711,-0.250735897794764,
1.677,56.26,1.004191616766467,0.9608881298035867,-0.29973656590994424,
1.569,51.99,0.9395209580838323,0.8879590093936807,-0.2577069687461431,
1.597,50.24,0.9562874251497007,0.858070025619129,-0.16821942892491304,
1.536,50.94,0.9197604790419163,0.8700256191289496,-0.253814444853405,
1.516,51.06,0.9077844311377246,0.8720751494449189,-0.2780307332982894,
1.555,50.53,0.9311377245508982,0.8630230572160548,-0.22040879266671687,
1.559,51.09,0.9335329341317365,0.8725875320239113,-0.2360848054095106,
1.634,54.31,0.9784431137724551,0.9275832621690864,-0.2742218786805739,
1.683,54.13,1.0077844311377246,0.9245089666951325,-0.21889744601324734,
1.686,54.63,1.0095808383233533,0.9330486763450043,-0.23346531453359876,
1.7,56.1,1.0179640718562875,0.9581554227156277,-0.271114847983432,
1.76,54.34,1.0538922155688624,0.9280956447480787,-0.1492759507917949,
1.75,56.32,1.0479041916167666,0.9619128949615714,-0.2288447101323865,
1.694,52.41,1.0143712574850299,0.895132365499573,-0.1474639783032381,
1.55,50.36,0.9281437125748504,0.8601195559350983,-0.21943571736979717,0.5875293859517667
1.516,49.3,0.9077844311377246,0.8420153714773697,-0.21619183610665216,0.5648658388148037
1.605,52.46,0.9610778443113773,0.8959863364645603,-0.23822076515527346,0.12442966855598536
1.644,58.03,0.9844311377245509,0.9911187019641333,-0.3949268204719887,-2.7227563086330218
1.746,59.6,1.0455089820359282,1.0179333902647312,-0.34808992762589197,-1.7107217372647419
1.771,59.9,1.0604790419161676,1.0230572160546543,-0.3336306487381031,-1.381069740337217
1.713,57.63,1.025748502994012,0.9842869342442357,-0.3118725256557071,-0.9527889092234826
1.912,60.11,1.1449101796407186,1.0266438941076004,-0.2000091535166506,0.7621164854210161
1.889,60.89,1.1311377245508982,1.0399658411614006,-0.2504150284083988,-0.05040585929399669
1.756,55.75,1.051497005988024,0.9521776259607174,-0.20281734001918594,0.7598402226129588
1.776,56.15,1.0634730538922157,0.9590093936806149,-0.19687163483546688,0.7995242495559464
1.686,55.27,1.0095808383233533,0.9439795046968404,-0.25595218623964877,-0.1761132814334535
1.724,54.59,1.0323353293413173,0.9323654995730146,-0.19405988505197058,0.8023424222823645
1.709,54.53,1.0233532934131737,0.93134073441503,-0.20695174082952827,0.5678337606715088
1.584,50.16,0.9485029940119761,0.8567036720751494,-0.17840856996165666,0.9350126083577431
1.614,50.88,0.9664670658682636,0.869000853970965,-0.1737063006309627,0.9537392859222034
1.723,54.92,1.0317365269461078,0.93800170794193,-0.2066546782754024,0.42599337345321836
1.89,56.72,1.1317365269461077,0.9687446626814689,-0.10289900494866777,1.746267666250877
1.992,55.6,1.192814371257485,0.9496157130657559,0.03845302053691957,2.8379314800469446
1.971,56.97,1.180239520958084,0.9730145175064048,-0.03068293920884324,1.7938812068029117
1.955,57.11,1.1706586826347307,0.975405636208369,-0.051601942394541744,1.4620071592221426
2.031,58.83,1.2161676646706587,1.0047822374039284,-0.03603541010455036,1.44273964401608
1.949,55.73,1.1670658682634731,0.9518360375747225,-0.00911462527837159,1.501664622027811
1.926,57.45,1.1532934131736527,0.9812126387702819,-0.09254809298838107,0.7238241113944662
1.966,58.49,1.177245508982036,0.9989752348420154,-0.08908925951071178,0.6856273191649723
2.032,62.55,1.2167664670658684,1.0683176771989753,-0.16574035189596525,-0.10956383344753745
2.017,64.67,1.2077844311377246,1.1045260461144322,-0.2552281144222559,-1.1055765479208903
2.08,67.19,1.2455089820359282,1.1475661827497865,-0.28077017176482677,-1.4294133933078468
2.102,66.27,1.2586826347305389,1.1318531169940222,-0.2264452936873802,-0.8157768985177208
2.112,61.97,1.2646706586826348,1.0584116140051238,-0.0653616244123576,0.8375229586742803
2.238,67.19,1.340119760479042,1.1475661827497865,-0.12277017176482685,0.17055197942557465
2.171,64.73,1.3,1.1055508112724168,-0.1033362586446982,0.3387481526591808
2.181,66.31,1.3059880239520958,1.132536293766012,-0.1488507231690086,-0.23630923780150315
2.095,64.89,1.254491017964072,1.1082835183603759,-0.18495797657120994,-0.6664588965919453
2.008,62.84,1.2023952095808383,1.073270708795901,-0.1999297156377695,-0.8493685060248648
2.006,60.63,1.2011976047904191,1.0355251921434672,-0.12427973677781612,0.012283991556772457
1.992,60.38,1.192814371257485,1.0312553373185314,-0.12949580251764026,-0.0754999396072834
1.863,57.46,1.1155688622754492,0.9813834329632793,-0.15589945035878783,-0.43092861018226947
1.758,54.8,1.0526946107784432,0.9359521776259607,-0.16743838983051806,-0.5315257414184422
1.643,52.33,0.9838323353293413,0.8937660119555936,-0.19565311933998197,-0.8154136602299196
1.593,52.58,0.9538922155688623,0.8980358667805295,-0.25443705360015767,-1.4560420749051757
1.645,54.62,0.9850299401197605,0.9328778821520068,-0.2741139571631914,-1.541475292174596
1.649,53.9,0.9874251497005988,0.9205807002561913,-0.24481622649388557,-1.0687099314454565
1.725,54.02,1.032934131736527,0.9226302305721606,-0.17303251493876992,0.015225383414310333
1.679,55.1,1.0053892215568863,0.9410760034158839,-0.25697911094272907,-1.178763115653787
1.754,57.31,1.0502994011976048,0.9788215200683178,-0.2596290898026825,-1.1204075052152225
1.533,51.8,0.9179640718562874,0.8847139197267293,-0.28703117870840944,-1.3965737008538779
1.589,51.89,0.951497005988024,0.8862510674637063,-0.2341933950420727,-0.6111058642858097
1.512,49.63,0.9053892215568863,0.8476515798462854,-0.23178662933008432,-0.6337493015229226
1.659,52.98,0.9934131736526947,0.904867634500427,-0.2024913484164388,-0.18198993683764023
1.586,54.14,0.9497005988023953,0.9246797608881299,-0.31624880338365413,-1.8719427020968185
1.659,52.53,0.9934131736526947,0.8971818958155423,-0.18668026674812266,0.33930613940102927
1.733,52.8,1.0377245508982036,0.9017933390264731,-0.12216691574911209,1.5141274168558732
1.769,52.15,1.0592814371257484,0.8906917164816397,-0.06332868667265545,2.2104406773813614
1.844,50.97,1.1041916167664672,0.8705380017079419,0.05313148303537396,2.900422691282761
1.868,51.48,1.118562874251497,0.8792485055508112,0.05921225714461564,2.3727086373011357
1.931,51.17,1.1562874251497006,0.8739538855678908,0.13310433562723323,2.4775270452716245
1.911,48.63,1.1443113772455091,0.8305721605465415,0.20234910771061854,2.4303133654292677
1.847,51.05,1.1059880239520958,0.8719043552519214,0.053320624072117795,1.2791154570959709
1.82,52.95,1.0898203592814373,0.9043552519214347,-0.04043727630521787,0.6176176859227761
2.048,53.74,1.2263473053892215,0.9178479931682324,0.1598054914326268,1.6783241430184737
1.962,53.71,1.1748502994011976,0.9173356105892401,0.07485956354384804,1.0581900635326644
1.962,52.84,1.1748502994011976,0.902476515798463,0.10542765476925942,1.1255814966851392
1.93,51.67,1.1556886227544911,0.8824935952177627,0.11453646710688181,1.0708242836812674
1.734,49.0,1.0383233532934133,0.8368915456874466,0.01234888500555864,0.42023616363284155
1.759,49.74,1.0532934131736527,0.8495303159692571,0.011348439595438187,0.3505473163318438
1.657,48.62,0.9922155688622755,0.830401366353544,-0.05129953491897421,-0.09805069441972432
1.721,49.04,1.0305389221556887,0.8375747224594364,-0.0020565444760693996,0.14056731387823307
1.75,51.18,1.0479041916167666,0.8741246797608881,-0.048247021743173635,-0.25321883598783756
1.62,47.36,0.970059880239521,0.8088812980358668,-0.044028506247688615,-0.3082994197413341
1.683,47.84,1.0077844311377246,0.8170794192997439,0.002106339972773874,-0.025048496377148302
1.66,47.75,0.9940119760479041,0.8155422715627669,-0.017731443693562943,-0.39234192258066275
1.606,45.9,0.9616766467065869,0.7839453458582408,-0.006730330168262411,-0.42128648611024716
1.668,47.66,0.9988023952095808,0.8140051238257899,-0.006569227359899399,-0.5314781349888171
1.649,47.78,0.9874251497005988,0.8160546541417593,-0.029785515804783946,-0.882953260941716
1.628,47.95,0.9748502994011976,0.8189581554227157,-0.05675859110170367,-1.1401969124144087
1.597,46.2,0.9562874251497007,0.789069171648164,-0.026271051280473356,-0.679074697454418
1.65,46.75,0.9880239520958084,0.798462852263023,0.007404293347140101,-0.16954701936476987
1.675,46.45,1.0029940119760479,0.7933390264731,0.04294501445935084,0.5173822098829999
1.685,47.32,1.0089820359281438,0.808198121263877,0.022376923233939472,0.1993660036410632
1.665,47.75,0.9970059880239521,0.8155422715627669,-0.012731443693562827,-0.4253902362557063
1.692,47.49,1.0131736526946107,0.8111016225448335,0.023403847937019773,0.37961851228839816
1.674,47.81,1.0023952095808384,0.8165670367207516,-0.00583958791600514,-0.16722169138781007
1.605,48.1,0.9610778443113773,0.8215200683176772,-0.08502895165780888,-1.861935455668277
1.677,51.98,1.004191616766467,0.8877882152006832,-0.14935561137573594,-3.021211062016429
1.72,55.25,1.0299401197604792,0.9436379163108455,-0.22124947149883445,-3.1359607930960274
1.707,54.35,1.0221556886227545,0.9282664389410761,-0.20262730816220187,-2.293469531104069
1.684,55.28,1.0083832335329341,0.9441502988898378,-0.2583035436100556,-2.442082752384212
1.689,55.41,1.011377245508982,0.9463706233988044,-0.2578711894253467,-2.0442964097707352
1.676,53.86,1.0035928143712576,0.9198975234842016,-0.21641079701225752,-1.439946667426877
1.684,56.75,1.0083832335329341,0.9692570452604612,-0.30995307705988884,-1.9980056402223532
1.614,56.59,0.9664670658682636,0.9665243381725023,-0.37433135913337634,-2.1340236069139236
1.624,54.8,0.9724550898203594,0.9359521776259607,-0.30143838983051796,-1.396489673430269
1.617,55.45,0.9682634730538923,0.9470538001707943,-0.33127661890697513,-1.445160656466815
1.572,53.17,0.9413173652694612,0.9081127241673784,-0.2961671384541724,-1.0814452723393126
1.538,53.3,0.9209580838323354,0.910333048676345,-0.3347347842694637,-1.2246666656364913
1.527,56.25,0.9143712574850299,0.9607173356105893,-0.44938520853953734,-1.757653830741201
1.583,55.8,0.9479041916167665,0.9530315969257045,-0.37757412687122094,-1.1709447529977424
1.631,57.3,0.9766467065868264,0.9786507258753202,-0.38227773243227525,-1.0968211173720777
1.605,56.24,0.9610778443113773,0.9605465414175919,-0.37103385116913046,-0.9459513863808426
1.583,56.51,0.9479041916167665,0.9651579846285226,-0.40252050017012,-1.0817801775799718
1.545,57.95,0.9251497005988024,0.9897523484201538,-0.4911159615087324,-1.5838496947003193
1.558,55.7,0.9329341317365271,0.9513236549957302,-0.3990605531671507,-0.8610351751481085
1.565,54.91,0.937125748502994,0.9378309137489326,-0.3643033209049953,-0.511058367276892
1.585,56.65,0.9491017964071856,0.9675491033304868,-0.40543950335581846,-0.883646818145483
1.625,57.8,0.9730538922155689,0.9871904355251921,-0.40584560095262656,-0.8323917318818781
1.654,56.69,0.9904191616766467,0.9682322801024765,-0.33784493283744665,0.11328936373714886
1.728,57.14,1.0347305389221557,0.9759180187873613,-0.2796560145057627,1.03772695677246
1.749,55.26,1.047305389221557,0.9438087105038429,-0.19260082886924135,2.100911915320598
