DODOUSDT,BATUSDT,DODOUSDT_perc,BATUSDT_perc,spread,zscore
0.12514,0.373,1.0,1.0,-0.025707732155039964,
0.12054,0.3644,0.9632411698897234,0.9769436997319035,-0.026829741547711963,
0.12578,0.4057,1.0051142720153428,1.0876675603217159,-0.038292184813135954,
0.13098,0.4346,1.0466677321400033,1.1651474530831099,-0.04477985092380793,
0.12901,0.4314,1.0309253635927762,1.1565683646112601,-0.045455714883871956,
0.12539,0.3945,1.0019977625059933,1.0576407506702414,-0.03415270867335998,
0.12742,0.3883,1.0182195940546588,1.0410187667560322,-0.029615320095983944,
0.12077,0.3715,0.9650791113952374,0.9959785522788204,-0.029471105886319973,
0.12135,0.3851,0.9697139204091417,1.0324396782841823,-0.03439118405604798,
0.1165,0.3927,0.930957327792872,1.0528150134048258,-0.04231475715089596,
0.11909,0.4037,0.9516541473549625,1.0823056300268097,-0.04417334978817597,
0.12501,0.4126,0.9989611634968836,1.1061662198391422,-0.04185266564924797,
0.1232,0.401,0.9844973629534921,1.0750670241286864,-0.03897142250447996,
0.12854,0.4057,1.0271695700815087,1.0876675603217159,-0.03553218481313597,
0.12186,0.4413,0.9737893559213681,1.1831099195710457,-0.05660944825742398,
0.1335,0.4405,1.0668051782004155,1.1809651474530831,-0.044645914247439966,
0.1357,0.4523,1.0843854882531563,1.2126005361930294,-0.047218040894703966,
0.13705,0.432,1.0951734057855202,1.1581769436997318,-0.037658365391359944,
0.1461,0.4325,1.1674924085024774,1.1595174262734584,-0.028810574147599938,
0.13458,0.4077,1.0754355122263066,1.093029490616622,-0.030301019838095966,
0.12434,0.3749,0.9936071599808215,1.005093833780161,-0.027276125428751963,1.2235518386711468
0.12275,0.3667,0.9809013904427042,0.9831099195710457,-0.025549901826415977,1.4306364053208944
0.13315,0.385,1.0640083106920248,1.032171581769437,-0.022550742304799976,1.7040210991629072
0.14769,0.3885,1.1801981780405943,1.041554959785523,-0.009426203598479982,2.5160993001856573
0.14622,0.3887,1.168451334505354,1.0420911528150134,-0.010977087100975974,2.005917071319194
0.16476,0.3983,1.3166054019498161,1.067828418230563,0.003680504779216026,2.5558605104093997
0.15288,0.3833,1.221671727665015,1.0276139410187668,-0.0021332325335839675,1.8397164924981566
0.16277,0.4139,1.3007032124021096,1.109651474530831,-0.004618408415471953,1.501838241341802
0.16689,0.43,1.333626338500879,1.1528150134048256,-0.007009530366399952,1.236592489167417
0.14859,0.3929,1.1873901230621704,1.0533512064343165,-0.010305640653391984,0.9549547720360825
0.15246,0.4015,1.2183154866549466,1.076407506702413,-0.009913631260719952,0.8886794418218804
0.15345,0.387,1.2262266261786798,1.0375335120643432,-0.003059577329759977,1.165185786308176
0.15866,0.387,1.26785999680358,1.0375335120643432,0.0021504226702400153,1.3204700322103546
