10000NFTUSDT,REQUSDT,10000NFTUSDT_perc,REQUSDT_perc,spread,zscore
0.006419,0.0812,1.0,1.0,0.00215755780851294,
0.006285,0.0789,0.9791244742171678,0.9716748768472907,0.0021442636833949617,
0.006389,0.0847,0.995326374824739,1.043103448275862,0.0019438749554316,
0.006431,0.0896,1.0018694500701044,1.103448275862069,0.001728718961117726,
0.0064,0.0973,0.9970400373890014,1.1982758620689655,0.001293616684338781,
0.006259,0.0905,0.9750739990652749,1.1145320197044335,0.0015094862274682387,
0.006564,0.0897,1.0225891883470946,1.104679802955665,0.0018564708796011166,
0.006497,0.0842,1.0121514254556785,1.036945812807882,0.002078115363014649,
0.006052,0.1181,0.9428259853559744,1.454433497536946,-0.00014598427111603331,
0.006028,0.1153,0.9390870852157657,1.4199507389162562,-2.3037988650961502e-05,
0.006078,0.1029,0.9468764605078672,1.267241379310345,0.0006777241194086377,
0.006238,0.1031,0.9718024614425922,1.269704433497537,0.0008272279563754188,
0.006609,0.1332,1.029599626109986,1.640394088669951,-0.00038144458012409534,
0.006625,0.1202,1.0320922262034584,1.480295566502463,0.0003168060170351634,
0.006668,0.1218,1.0387910889546659,1.5000000000000002,0.0002758367127694084,
0.006642,0.1165,1.034740613802773,1.434729064039409,0.0005279850331497216,
0.006599,0.1177,1.0280417510515656,1.4495073891625616,0.0004220080549504051,
0.006648,0.1135,1.0356753388378253,1.3977832512315271,0.0006914274786480124,
0.006703,0.1143,1.044243651659137,1.4076354679802956,0.0007044428265151345,
0.006553,0.1088,1.0208755257828321,1.3399014778325122,0.0008430873099286671,
0.006392,0.1145,0.9957937373422652,1.4100985221674878,0.0003829466634819147,-0.7021309862476481
0.00638,0.1075,0.9939242872721608,1.3238916256157636,0.0007383123696445932,-0.18450662544657617
0.006465,0.1129,1.0071662252687335,1.3903940886699508,0.0005399159677476704,-0.3750441145132669
0.006539,0.1132,1.0186945007010437,1.3940886699507389,0.0005981717231978408,-0.21448875909642204
0.006539,0.1121,1.0186945007010437,1.3805418719211824,0.0006559006198805471,-0.04862061544364996
0.006679,0.1152,1.040504751518928,1.4187192118226601,0.0006332100928656478,-0.0350336768397378
0.006355,0.1136,0.99002959962611,1.3990147783251232,0.00039317939713140286,-0.37413125282911347
0.006536,0.1179,1.0182271381835177,1.4519704433497538,0.0003485118919171861,-0.3790049295895786
0.006646,0.1273,1.035363763826141,1.5677339901477834,-3.480777064412358e-05,-1.3867736814971001
0.00651,0.1202,1.014176663031625,1.480295566502463,0.00020180601703516376,-0.7789778721303525
0.006884,0.1229,1.0724411902165447,1.5135467980295567,0.00043410781608670297,-0.11055286736115165
0.006855,0.1195,1.0679233525471257,1.4716748768472907,0.0005835425876514313,0.4187189930903744
0.006735,0.1196,1.049228851846082,1.4729064039408868,0.00045829450613482127,0.04984592241696893
0.006665,0.1185,1.0383237264371397,1.45935960591133,0.00044602340281752785,-0.18560672856738178
0.005864,0.121,0.9135379342576726,1.4901477832512315,-0.00048617863509771344,-3.184097079453888
0.005794,0.1162,0.9026328088487302,1.4310344827586208,-0.0003042707223004492,-2.162880256113203
0.00608,0.1224,0.9471880355195513,1.5073891625615763,-0.0003436517763302487,-1.937813811999963
0.006163,0.1282,0.9601183985044399,1.578817733990148,-0.0005650405042936114,-2.1083919366612056
0.006152,0.1292,0.9584047359401776,1.5911330049261085,-0.0006285213194597078,-1.9296630428280452
0.0062,0.1315,0.9658825362205951,1.6194581280788178,-0.0007012271943417307,-1.8100341167857672
0.006227,0.1354,0.9700887988783299,1.667487684729064,-0.0008789023734895075,-1.8896410540634976
0.006336,0.1322,0.9870696370151113,1.6280788177339904,-0.0006019637649579994,-1.2319390111095785
0.006205,0.1317,0.9666614737498052,1.62192118226601,-0.0007067233573749511,-1.2913446870608685
0.006185,0.1299,0.9635457236329646,1.5997536945812807,-0.0006322578900759745,-1.0498241448679444
0.006238,0.1365,0.9718024614425922,1.681034482758621,-0.0009256312701722159,-1.4245232535137649
0.006367,0.1372,0.9918990496962143,1.6896551724137931,-0.0008333678407884812,-1.1538092149403327
0.006444,0.1341,1.0038946876460508,1.6514778325123154,-0.0005936773137735817,-0.6459761486044954
0.00644,0.1324,1.0032715376226826,1.6305418719211822,-0.000508459927991217,-0.416344516883879
0.006551,0.1348,1.0205639507711481,1.6600985221674878,-0.0005234138843898499,-0.3790320600496825
0.006258,0.133,0.9749182115594328,1.637931034482759,-0.0007219484170908766,-0.7197721957231452
0.00643,0.1362,1.0017136625642622,1.6773399014778325,-0.0007178870256223848,-0.6383923117496078
0.006213,0.1345,0.9679077737965415,1.6564039408866997,-0.0008456696398400215,-0.8406036272902176
0.006283,0.1369,0.9788128992054838,1.685960591133005,-0.0009016235962386529,-0.9471655805122371
0.00621,0.1353,0.9674404112790155,1.6662561576354682,-0.0008906542919728984,-0.9270834019925729
0.006282,0.1352,0.9786571116996416,1.6650246305418719,-0.0008134062104562878,-0.7854083969543144
0.006353,0.1344,0.9897180246144259,1.6551724137931034,-0.0007004215583234106,-0.10119658912217455
0.006411,0.1332,0.9987536999532637,1.640394088669951,-0.0005794445801240956,0.7592692762213304
0.006165,0.1304,0.960429973516124,1.6059113300492611,-0.0006784982976590229,0.2552381108270279
0.00608,0.1261,0.9471880355195513,1.5529556650246306,-0.0005378307924448072,1.30548811564829
0.005715,0.1147,0.8903255958872097,1.41256157635468,-0.0003045494995513043,2.4623690359097976
0.005794,0.1213,0.9026328088487302,1.4938423645320198,-0.0005719228796475439,0.7275925120701079
