AAVEUSDT,ENJUSDT,AAVEUSDT_perc,ENJUSDT_perc,spread,zscore
314.17,2.3508,1.0,1.0,94.0394192720218,
319.85,3.3128,1.0180793837731166,1.4092223923770633,9.637056391166311,
315.19,3.0854,1.0032466499029187,1.3124893653224434,26.270953812274968,
266.44,3.2945,0.8480758824840054,1.4014378084056491,-42.05931861848063,
238.68,3.8411,0.7597160772829996,1.6339543985026375,-121.00333062541989,
191.66,2.7271,0.6100518827386446,1.1600731665815893,-63.70757984654986,
179.8,2.6908,0.5723016201419614,1.1446316147694402,-72.16842207880029,
183.36,2.3364,0.5836330649011682,0.9938744257274119,-35.42215450606102,
267.83,3.1892,0.8525002387242575,1.356644546537349,-30.808951870711326,
265.33,2.856,0.8445427634720055,1.2149055640632975,-2.107867346905664,
209.51,2.2971,0.6668682560397237,0.9771567126084737,-5.592074608745435,
242.35,2.5084,0.7713976509533055,1.067041007316658,7.461643398817188,
158.41,1.6129,0.5042174618836935,0.6861068572400885,7.376899074291259,
148.92,1.7856,0.47401088582614503,0.7595712098009189,-18.284851517729265,
173.49,2.0585,0.5522169526052774,0.8756593500085077,-19.269401237256744,
158.21,1.7341,0.5035808638635134,0.7376637740343712,-4.1723549601782395,
137.53,1.5318,0.43775662857688513,0.6516079632465543,-5.908839356439103,
131.59,1.3747,0.41884966737753443,0.5847796494810278,2.8621161618378324,
116.74,1.342,0.37158226437915776,0.5708694912370257,-8.925832625891957,
115.64,1.2961,0.3680809752681669,0.5513442232431512,-5.727724043530955,
152.73,1.4425,0.486138078110577,0.6136208950144632,17.65327603364446,0.7252863549849641
169.17,1.7922,0.538466435369386,0.7623787646758551,1.3471197972253606,0.5401595151744649
243.04,1.8783,0.773593914122927,0.7990045941807045,67.15465467867895,2.109363203856378
176.32,1.6662,0.5612248145908266,0.7087799897907096,20.29584923900063,0.9135293621561955
166.89,1.4222,0.5312092179393322,0.604985536838523,33.71418244370827,1.143189821843103
166.34,1.39,0.5294585733838367,0.5912880721456525,36.17941330105083,1.2652394948065357
146.58,1.095,0.4665626889900373,0.46579887697805,44.04342270838178,1.42037207548528
125.93,0.9578,0.400833943406436,0.40743576654755825,36.24092810053705,1.1523254573354735
92.13,0.7745,0.2932488779959894,0.32946231070273946,19.605270217024355,0.43375965384016296
94.17,0.7168,0.29974217780182705,0.304917474902161,27.048339175678592,0.6726245294193812
95.48,0.6131,0.30391189483400705,0.2608048323974817,38.068880787679326,1.0572381651330909
103.64,0.6318,0.32988509405735744,0.26875957120980093,44.477799513384106,1.2079929753662384
70.35,0.4881,0.2239233535983703,0.2076314446145993,24.64396951959921,0.3245237982446533
54.06,0.4417,0.1720724448546965,0.18789348306959333,12.698898456887882,-0.19868986558810287
65.48,0.5495,0.2084221918069835,0.23375021269355112,14.024429934480168,-0.2216544846194593
57.65,0.4792,0.1834993793169303,0.20384549940445806,12.777371837311904,-0.3791944222281322
77.71,0.5255,0.24735016074100005,0.2235409222392377,28.501806971008783,0.33958564012695763
88.16,0.4974,0.2806124072954133,0.21158754466564575,41.58311091794437,0.9312291970035402
90.63,0.584,0.2884743928446382,0.24842606772162668,35.94382544447027,0.5597197482189176
98.53,0.6128,0.31362001464175443,0.2606772162668028,41.14697300063593,0.7823166180044092
101.25,0.6818,0.3222777477162046,0.29002892632295385,37.405764020616154,0.4870353727056761
107.29,0.6981,0.34150300792564536,0.2969627360898418,41.9194204499738,0.7185907733988101
85.85,0.5702,0.2732597001623325,0.2425557257103965,32.45606724047422,-0.030678598503404653
78.54,0.4884,0.24999204252474774,0.2077590607452782,32.805877306642614,0.15387432793453618
88.72,0.535,0.28239488175191774,0.22758209971073678,38.62222022738287,0.6453057316923394
91.43,0.5427,0.2910207849253589,0.23085758039816232,40.61118676149662,0.7963199007787223
72.92,0.469,0.2321036381576853,0.19950655096137485,29.002507077836576,-0.29926491843432784
73.6,0.4581,0.23426807142629782,0.1948698315467075,30.70319081525998,-0.07462397308765079
72.63,0.4358,0.23118057102842407,0.18538369916624128,31.821378645034493,0.05989067966764435
75.46,0.452,0.2401884330139733,0.19227497022290285,33.13439914537767,0.13272248158003097
75.73,0.4279,0.24104784034121654,0.18202314105836312,35.66114025289183,0.35721690099659253
88.65,0.4228,0.2821720724448547,0.17985366683682152,49.05870787315417,1.6139117740294802
83.8,0.459,0.2667345704554859,0.19525267993874426,40.81891417639016,0.8277828689758492
87.08,0.4474,0.27717477798644047,0.19031818955249277,45.18514641071233,1.1490743856268288
56.57,0.3101,0.18006175000795746,0.13191254041177472,27.532015873853137,-0.7548094570352956
56.08,0.2921,0.17850208485851607,0.12425557257103965,28.727548651249595,-0.803536847454851
61.5,0.3036,0.19575389120539835,0.12914752424706483,33.07068048791297,-0.4873211926390436
64.33,0.312,0.20476175319094755,0.13272077590607453,35.11409852512796,-0.20686418997090833
59.7,0.3033,0.19002450902377693,0.12901990811638592,31.29877270086958,-0.7911728477733048
55.75,0.2614,0.17745169812521883,0.11119618853156374,31.272318443809123,-0.7456917043124172
54.4,0.2611,0.17315466148900274,0.1110685724008848,29.950410656765733,-0.8852979469632587
52.09,0.2431,0.16580195435592196,0.10341160456014974,29.325943434162202,-0.9104505317002864
56.03,0.2554,0.17834293535347104,0.10864386591798537,32.11416270294128,-0.3698174138138202
