WAVESUSDT,BALUSDT,WAVESUSDT_perc,BALUSDT_perc,spread,zscore
1.499,5.484,1.0,1.0,0.10532331911823167,
1.51,5.506,1.0073382254836556,1.0040116703136397,0.11073234775072605,
1.51,5.488,1.0073382254836556,1.00072939460248,0.11530677886959406,
1.516,5.51,1.011340893929286,1.0047410649161195,0.11571580750208899,
1.52,5.546,1.0140093395597065,1.011305616338439,0.11056694526435296,
1.528,5.539,1.019346230820547,1.0100291757840991,0.12034589069946833,
1.516,5.522,1.011340893929286,1.0069292487235595,0.1126661867561769,
1.507,5.505,1.0053368912608405,1.0038293216630196,0.10798648281288536,
1.497,5.471,0.9986657771847899,0.9976294675419403,0.10662707492630275,
1.484,5.43,0.9899933288859238,0.9901531728665207,0.10404661247483538,
1.482,5.46,0.9886591060707137,0.9956236323851203,0.09442256061005527,
1.426,5.44,0.9513008672448298,0.9919766593727207,0.04350526185324188,
1.436,5.445,0.9579719813208805,0.9928884026258207,0.05223458654244517,
1.44,5.4,0.9606404269513008,0.9846827133479213,0.067670664339615,
1.43,5.421,0.9539693128752501,0.988512035010941,0.052333828034269114,
1.43,5.45,0.9539693128752501,0.9938001458789205,0.04496391123164867,
1.424,5.402,0.9499666444296196,0.9850474106491612,0.05116239421529656,
1.417,5.465,0.9452968645763842,0.9965353756382203,0.028151885299258828,
1.424,5.44,0.9499666444296196,0.9919766593727207,0.04150526185324188,
1.415,5.474,0.9439626417611741,0.9981765134938002,0.023864669739824818,
1.43,5.52,0.9539693128752501,1.0065645514223194,0.02717445688049569,-1.4319686822422346
1.414,5.439,0.943295530353569,0.9917943107221007,0.031759396915401306,-1.1777140301152458
1.408,5.412,0.9392928619079385,0.986870897155361,0.0326210435937031,-1.0484881724728894
1.413,5.409,0.9426284189459639,0.9863238512035011,0.038383448780181295,-0.8079690232576808
1.413,5.369,0.9426284189459639,0.9790299051787016,0.048548851266554616,-0.45171046808109666
1.404,5.363,0.9366244162775182,0.9779358132749818,0.041073661639510206,-0.6001880893368263
1.405,5.373,0.9372915276851234,0.9797592997811817,0.0395323110179171,-0.5786294027149151
1.378,5.31,0.9192795196797864,0.9682713347921225,0.02854281993395502,-0.8846130565820981
1.385,5.245,0.923949299533022,0.9564186725018236,0.052061598974311396,0.08497199753318152
1.387,5.237,0.9252835223482321,0.9549598832968637,0.05609467947158597,0.41482468364925507
1.379,5.287,0.9199466310873915,0.9640773158278628,0.03538792636361965,-0.5590467427136604
1.352,5.26,0.9019346230820547,0.9591539022611232,0.015249573041921538,-2.014176181480354
1.348,5.26,0.8992661774516344,0.9591539022611232,0.011249573041921535,-1.9740611313231133
