SANDUSDT,BLZUSDT,SANDUSDT_perc,BLZUSDT_perc,spread,zscore
0.4337,0.05206,1.0,1.0,0.020701141628896857,
0.4369,0.05233,1.0073783721466452,1.005186323472916,0.021759195955439403,
0.4359,0.05227,1.0050726308508187,1.0040338071456012,0.02123518388287443,
0.4349,0.05249,1.002766889554992,1.008259700345755,0.018489894815612695,
0.4367,0.05299,1.0069172238874797,1.017864003073377,0.01632332875365433,
0.4385,0.0531,1.0110675582199677,1.0199769496734536,0.017250684220023516,
0.4342,0.05301,1.0011528706479134,1.0182481751824817,0.013664666111176005,
0.4306,0.05285,0.9928522019829376,1.0151747983096426,0.011333967251002663,
0.4287,0.05295,0.988471293520867,1.017095658855167,0.008640654038611084,
0.4266,0.05249,0.9836292367996311,1.008259700345755,0.010189894815612666,
0.425,0.0524,0.9799400507263085,1.006530925854783,0.00930387670676519,
0.4147,0.05104,0.9561909153792946,0.9804072224356511,0.00979293639529194,
0.4162,0.0514,0.9596495273230344,0.9873223203995389,0.008437008830681936,
0.4197,0.0517,0.9677196218584276,0.9930849020361122,0.009557069193506906,
0.4166,0.05132,0.9605718238413651,0.9857856319631194,0.0094716594005953,
0.4147,0.05125,0.9561909153792946,0.9844410295812523,0.008126978649269478,
0.4125,0.0515,0.9511182845284759,0.9892431809450632,0.003943695618290222,
0.4144,0.05184,0.9554991929905465,0.9957741067998462,0.003146430696158553,
0.4131,0.05155,0.952501729305972,0.9902036112178255,0.004147039012094456,
0.4126,0.05145,0.9513488586580586,0.9882827506723012,0.004440352224486077,
0.4168,0.05215,0.9610329721005304,1.001728774490972,0.0030871597377443716,-1.3177236887690442
0.4123,0.05185,0.9506571362693106,0.9959661928543987,0.0009670993749194001,-1.5203137194836456
0.4125,0.05175,0.9511182845284759,0.9940453323088743,0.0019604125873110556,-1.277621923943155
0.4142,0.05204,0.9550380447313812,0.9996158278908951,0.00135980427137522,-1.325628150983263
0.4151,0.0529,0.9571132118976252,1.016135228582405,-0.004562689355193106,-2.182497688714041
0.4138,0.05195,0.9541157482130506,0.9978870533999232,0.001673786162527724,-0.9464319740031713
0.4155,0.05215,0.9580355084159557,1.001728774490972,0.0017871597377443482,-0.8737009093182483
0.4101,0.05185,0.9455845054184921,0.9959661928543987,-0.0012329006250805796,-1.4289882892250292
0.4093,0.05165,0.9437399123818309,0.99212447176335,-0.000446274200297303,-1.1461663945728553
0.4117,0.05185,0.9492736914918147,0.9959661928543987,0.0003670993749194107,-0.869076404476167
0.4124,0.05257,0.9508877103988933,1.0097963887821744,-0.004644755754300622,-1.810329634600776
0.4076,0.052,0.9398201521789257,0.9988474836726853,-0.00492287044366807,-1.6700688205202856
0.4063,0.0522,0.936822688494351,1.0026892047637341,-0.007809496868451449,-2.013341219425015
0.4082,0.05243,0.9412035969564215,1.0071071840184402,-0.007734117256952278,-1.7692223124087407
0.4106,0.05231,0.9467373760664054,1.004802151363811,-0.0043821414020822624,-1.017131223146489
0.4078,0.05225,0.9402813004380909,1.0036496350364963,-0.006706153474647258,-1.4179051831321063
0.405,0.0521,0.9338252248097765,1.0007683442182098,-0.008316183656059739,-1.6470300620437446
0.4061,0.052,0.9363615402351857,0.9988474836726853,-0.006422870443668072,-1.10377055689739
0.4031,0.05169,0.9294443163477059,0.9928928159815597,-0.006963599485253935,-1.1163157004148474
0.4054,0.05192,0.934747521328107,0.9973107952362659,-0.006488219873754808,-0.9219527613618995
0.4058,0.05166,0.9356698178464377,0.9923165578179023,-0.004025605521536413,-0.2587466230073237
0.4037,0.0517,0.9308277611252018,0.9930849020361122,-0.006442930806493108,-0.8059318622055441
0.4026,0.052,0.9282914456997926,0.9988474836726853,-0.009922870443668075,-1.5642087417984467
0.4031,0.05201,0.9294443163477059,0.9990395697272377,-0.009502201764907237,-1.3359193713523685
0.4025,0.05226,0.9280608715702099,1.0038417210910489,-0.012085484795886448,-1.8150758325220713
0.4041,0.05198,0.9317500576435325,0.9984633115635804,-0.008264207801189749,-0.7533642199422608
0.4041,0.05233,0.9317500576435325,1.005186323472916,-0.011040804044560593,-1.3743365324517056
0.4048,0.0521,0.933364076550611,1.0007683442182098,-0.008516183656059773,-0.6300539988200696
0.4048,0.0521,0.933364076550611,1.0007683442182098,-0.008516183656059773,-0.5584144070855015
0.4019,0.05155,0.9266774267927138,0.9902036112178255,-0.007052960987905588,0.022517323919235416
0.3938,0.05115,0.9080009222965183,0.982520169035728,-0.01197970813833893,-1.8483723502878637
0.3938,0.0507,0.9080009222965183,0.9738762965808683,-0.008409798682576408,-0.23929034149905062
0.3978,0.05115,0.9172238874798248,0.982520169035728,-0.007979708138338926,0.022365796276915144
0.4009,0.05109,0.9243716854968873,0.9813676527084134,-0.004403720210903961,1.5404591503505454
0.4005,0.05111,0.9234493889785567,0.9817518248175182,-0.004962382853382241,1.1866914940728226
0.3956,0.05075,0.9121512566290063,0.9748367268536304,-0.007006455288772251,0.3845566829706792
0.3962,0.05055,0.9135347014065023,0.9709950057625816,-0.004819828863988906,1.2823375879086993
0.3952,0.05041,0.9112289601106757,0.9683058009988476,-0.004709190366640581,1.2084573520564421
0.3953,0.05045,0.9114595342402583,0.9690741452170573,-0.004926515651597241,1.0617193357104595
0.3882,0.0504,0.8950887710398894,0.968113714944295,-0.011629859045401425,-1.493056584149269
0.3867,0.04995,0.8916301590961494,0.9594698424894352,-0.009559949589638905,-0.6379525316233527
0.3818,0.04936,0.880332026746599,0.9481367652708413,-0.009779401636528073,-0.6486762486641283
