DGBUSDT,ALICEUSDT,DGBUSDT_perc,ALICEUSDT_perc,spread,zscore
0.01003,2.307,1.0,1.0,-0.0012419014142521917,
0.00943,2.322,0.9401794616151544,1.0065019505851756,-0.001915190760248632,
0.01022,2.665,1.0189431704885343,1.1551798872995231,-0.002801073805367184,
0.01104,2.72,1.1006979062811564,1.1790203727785002,-0.0022498014073541253,
0.01122,2.799,1.11864406779661,1.213263979193758,-0.002455791962935364,
0.01026,2.595,1.0229312063808573,1.1248374512353707,-0.0024190568573838056,
0.01009,2.585,1.0059820538384845,1.1205028175119203,-0.002540197293386179,
0.0092,2.736,0.917248255234297,1.1859557867360209,-0.004167976709750325,
0.00925,2.576,0.9222333000997008,1.116601647160815,-0.0033362236857883178,
0.00935,2.32,0.9322033898305084,1.0056350238404854,-0.001985418847449103,
0.00917,2.226,0.9142572283150547,0.9648894668400521,-0.0017061389458714275,
0.0092,2.212,0.917248255234297,0.9588209796272216,-0.001607735556274751,
0.00934,2.227,0.9312063808574276,0.965322930212397,-0.0015410249022711885,
0.00953,2.33,0.950149551345962,1.0099696575639359,-0.0018542784114467317,
0.00948,2.223,0.9451645064805583,0.9635890767230169,-0.0013814810766721378,
0.00973,2.304,0.9700897308075773,0.9986996098829648,-0.0015272435450529032,
0.0103,2.423,1.0269192422731803,1.0502817511920244,-0.0015386723566246478,
0.01037,2.348,1.0338983050847457,1.0177719982661464,-0.001102225626642455,
0.01082,2.391,1.0787637088733797,1.0364109232769831,-0.0008623217518322467,
0.01012,2.237,1.0089730807577268,0.9696575639358475,-0.0008098844662688138,
0.00913,2.061,0.9102691924227316,0.893368010403121,-0.0009399561399106061,1.1446997514493538
0.00865,2.006,0.8624127617148554,0.8695275249241439,-0.0011512285379236646,0.8847246618459166
0.00936,2.135,0.9332003988035892,0.9254442999566536,-0.0010715169134930327,0.9109529243645685
0.00937,2.183,0.9341974077766699,0.9462505418292154,-0.0012960428206816362,0.5818440703023104
0.0105,2.2,1.0468594217347955,0.9536194191590811,-0.00024910407947759984,1.6013079241046055
0.01024,2.233,1.0209371884346958,0.9679237104464673,-0.0006703406406697639,1.0298882459515228
0.00998,2.173,0.995014955134596,0.9419159081057651,-0.0006371832566840121,0.9692324155464741
0.01104,2.364,1.1006979062811564,1.024707412223667,-0.0005104009290386579,1.0084740133811705
0.01152,2.443,1.148554336989033,1.058951018638925,-0.00041639148461989836,1.217474754510373
0.01084,2.451,1.0807577268195414,1.0624187256176854,-0.0011354791358179992,0.014581481325188531
0.0112,2.522,1.1166500498504486,1.0931946250541829,-0.0011223820402011392,-0.0467991634076601
0.01068,2.353,1.0648055832502492,1.0199393151278717,-0.0008166554086412696,0.5661515562884228
0.01064,2.369,1.0608175473579262,1.0268747290853923,-0.0009348307110374713,0.22502021260840224
0.01074,2.362,1.0707876370887337,1.023840485478977,-0.0008006290162391339,0.4838952339837851
0.00993,2.165,0.9900299102691923,0.9384482011270048,-0.000648095605485911,0.8217847195621358
0.01003,2.201,1.0,0.9540528825314262,-0.0007239900358773626,0.5338007495614521
0.01063,2.541,1.0598205383848454,1.1014304291287387,-0.0017852152117966268,-2.395792687346833
0.01142,2.778,1.1385842472582253,1.2041612483745123,-0.0021531868785403512,-2.7865300331267138
0.01133,2.846,1.1296111665004984,1.2336367576939749,-0.0025754319137242052,-2.7821107184989295
0.01142,2.829,1.1385842472582253,1.2262678803641094,-0.0024023706549282427,-2.0673572273073932
0.01228,2.874,1.2243270189431703,1.245773732119636,-0.0017622386929175577,-0.9692657718211026
0.01152,2.93,1.148554336989033,1.270047680970958,-0.0027958522513042584,-2.1244569292650533
0.0111,2.718,1.106679960119641,1.1781534460338101,-0.0021800294945545987,-1.1816057379666296
0.0111,2.696,1.106679960119641,1.1686172518422195,-0.0020725384537598236,-0.9577608137284537
0.01159,2.725,1.155533399800598,1.1811876896402256,-0.0017242311893529375,-0.4864151571153557
0.01263,2.852,1.259222333000997,1.236237537928045,-0.0013047476521227779,0.11222890368507056
0.01246,2.759,1.242273180458624,1.1959254442999567,-0.001020353706944862,0.5215174766768912
0.01231,2.795,1.2273180458624127,1.211530125704378,-0.0013462481373363137,0.1299684347285137
0.01249,2.899,1.2452642073778661,1.2566103164282618,-0.0016743876029116193,-0.2610589897160916
0.01294,2.745,1.2901296111665004,1.1898569570871262,-0.00047195031734818815,1.5021343635510447
0.01307,2.86,1.3030907278165502,1.2397052449068053,-0.0009038353033208792,0.8436471844944714
0.01287,2.856,1.283150548354935,1.2379713914174253,-0.0010842914777218302,0.5789116840730233
0.01345,2.941,1.340977068793619,1.2748157780667533,-0.0009195977717016447,0.8295849756399353
0.01337,2.88,1.333000997008973,1.248374512353706,-0.0007015544313161304,1.1125477731589957
0.0133,2.769,1.3260219341974075,1.2002600780234072,-0.0002292132709424896,1.6599349810355961
0.01263,2.732,1.259222333000997,1.1842219332466408,-0.0007184328841512745,1.0050724467662886
0.01253,2.745,1.2492522432701894,1.1898569570871262,-0.0008819503173481888,0.7998919222562835
0.01193,2.533,1.1894317048853438,1.0979627221499784,-0.00044612756059852696,1.2631280386615695
0.01142,2.39,1.1385842472582253,1.035977459904638,-0.00025743579543248407,1.3604785724790232
0.01049,2.164,1.0458624127617147,0.9380147377546598,-8.320964908615017e-05,1.4570875852812704
0.01056,2.151,1.05284147557328,0.9323797139141742,5.0307784110765336e-05,1.493437597444953
0.01076,2.223,1.0727816550348952,0.9635890767230169,-0.00010148107667213788,1.1691534906560606
