ASTRUSDT,AKROUSDT,ASTRUSDT_perc,AKROUSDT_perc,spread,zscore
0.04773,0.004774,1.0,1.0,-0.0019592486934862374,
0.04461,0.004552,0.9346323067253299,0.9534981147884374,-0.002768604954492958,
0.04684,0.004632,0.9813534464697256,0.9702555509007122,-0.0013712693649409885,
0.04889,0.00468,1.0243033731405824,0.9803100125680771,0.0001791319887901946,
0.04918,0.00468,1.030379216425728,0.9803100125680771,0.0004691319887901932,
0.04851,0.004512,1.0163419233186675,0.9451193967323002,0.0015477272507310527,
0.05235,0.004544,1.0967944688874922,0.95182237117721,0.0050546614865518424,
0.04705,0.004147,0.9857531950555206,0.868663594470046,0.0038867586234002036,
0.04545,0.004257,0.9522313010685103,0.8917050691244242,0.001141845059034148,
0.04469,0.004085,0.9363084014246805,0.8556765814830332,0.00217207354149742,
0.04258,0.004158,0.8921014037293107,0.870967741935484,-0.0006977327330364089,
0.0429,0.004164,0.8988057825267127,0.8722245496439046,-0.0004401825638200088,
0.04272,0.004238,0.8950345694531741,0.8877251780477586,-0.0013903971434844273,
0.0443,0.004538,0.9281374397653467,0.9505655634687894,-0.0029328886826645584,
0.04278,0.004193,0.896291640477687,0.8782991202346041,-0.0008620234126074169,
0.04368,0.004317,0.9151477058453802,0.9042731462086301,-0.0012526532488018674,
0.04541,0.00468,0.9513932537188351,0.9803100125680771,-0.0033008680112098093,
0.04451,0.004446,0.9325371883511419,0.9312945119396734,-0.0017653246106493214,
0.04518,0.004633,0.9465744814582023,0.9704650188521157,-0.003041677670071588,
0.04298,0.004375,0.9004818772260632,0.9164222873900295,-0.0025563349463766927,
0.04006,0.004354,0.8393044206997695,0.9120234604105573,-0.005257760538634082,-1.8311164086175837
0.04009,0.004271,0.839932956212026,0.894637620444072,-0.004363871212794246,-1.3619327514794148
0.04233,0.00438,0.8868636077938403,0.9174696271470466,-0.0032583764720296934,-0.9189521034800652
0.04213,0.004442,0.8826733710454641,0.9304566401340595,-0.0041036913901269095,-1.1517532816084133
0.04109,0.004609,0.8608841399539074,0.9654377880184333,-0.006881878346937181,-1.8665512612899007
0.04296,0.005234,0.9000628535512256,1.0963552576455804,-0.011517069053562423,-2.613432459156081
0.04122,0.00481,0.8636077938403519,1.0075408462505238,-0.008843947678187858,-1.6597565669385574
0.04402,0.004968,0.9222711083176198,1.0406367825722667,-0.007688459888822725,-1.2832891755294935
0.04659,0.005183,0.9761156505342552,1.0856723921240052,-0.007356245491901801,-1.1205918785687163
0.04215,0.004775,0.8830923947203017,1.0002094679514035,-0.007549656998616837,-1.077768347435033
