10000NFTUSDT,FILUSDT,10000NFTUSDT_perc,FILUSDT_perc,spread,zscore
0.01994,19.82,1.0,1.0,0.0021236379252718533,
0.024248,22.45,1.2160481444332998,1.132694248234107,0.004067509153499144,
0.020833,20.57,1.0447843530591776,1.037840565085772,0.002342456716591425,
0.018595,19.8,0.9325476429287864,0.9989909182643795,0.0007966160908366646,
0.016613,20.35,0.8331494483450351,1.0267406659939455,-0.001679783462195654,
0.015972,18.46,0.8010030090270813,0.9313824419778002,-0.000621846816320968,
0.015359,17.24,0.7702607823470411,0.8698284561049444,-0.00013817871686746912,
0.015458,17.64,0.7752256770310932,0.8900100908173563,-0.0003987420281637011,
0.017699,23.7,0.8876128385155466,1.1957618567103936,-0.003605126194301568,
0.018807,25.43,0.9431795386158476,1.2830474268415741,-0.00405223751565776,
0.016561,21.03,0.8305416248746239,1.0610494450050454,-0.002343041091399243,
0.015921,19.7,0.7984453360080241,0.9939455095862765,-0.0017874930813392767,
0.015902,18.91,0.7974924774322969,0.9540867810292634,-0.001096355541529228,
0.014447,15.12,0.7245235707121365,0.7628657921291624,0.0008555068330025443,
0.013125,13.11,0.6582246740220662,0.6614530776992936,0.001340312472266094,
0.007945,9.16,0.3984453360080241,0.46215943491422806,-0.00028899982868364413,
0.008134,8.45,0.40792377131394186,0.42633703329969724,0.0005382250488671636,
0.007826,7.62,0.39247743229689064,0.384460141271443,0.0009763189198068369,
0.008333,7.37,0.41790371113340025,0.37184661957618564,0.0017080459893669808,
0.008269,5.68,0.41469408224674026,0.2865792129162462,0.0031632009795935483,
0.00597,5.49,0.2993981945837512,0.27699293642785067,0.001034993552459256,0.42847702280182054
0.006259,5.82,0.3138916750250752,0.29364278506559033,0.0010273538206398676,0.4582976025992671
0.006609,5.31,0.331444332998997,0.2679112008072654,0.0018357970425425607,0.9837167493542794
0.006553,5.49,0.32863590772316953,0.27699293642785067,0.0016179935524592562,0.905281443956564
0.006355,5.68,0.31870611835506524,0.2865792129162462,0.0012492009795935484,0.6889776363944976
0.006665,5.64,0.3342527582748245,0.28456104944500504,0.001595157310723171,0.7945259601052929
0.006227,9.76,0.31228686058174526,0.49243188698284557,-0.002546344795627988,-1.3323021686588006
0.00644,8.79,0.3229689067201605,0.44349142280524717,-0.001461403765734631,-0.729034536388066
0.006282,8.22,0.3150451354062187,0.4147325933400606,-0.0011070260471375062,-0.527903725697236
0.005865,6.41,0.29413239719157475,0.32341069626639757,0.00010299793647793043,-0.005267188441250182
0.00568,5.64,0.28485456369107326,0.28456104944500504,0.0006101573107231712,0.18027118145252713
0.005849,6.26,0.2933299899699097,0.3158425832492432,0.0002218341782140162,-0.16752072017527228
0.005838,6.41,0.29277833500501504,0.32341069626639757,7.599793647793032e-05,-0.3587534541212278
0.005545,5.25,0.2780842527582748,0.2648839556004036,0.0008257315392369942,0.15059304943046728
0.005249,5.71,0.26323971915747246,0.28809283551967707,0.00011623373124633116,-0.3859678249154723
0.005111,5.38,0.25631895687061185,0.2714429868819374,0.0002748734630657196,-0.22123601059268905
0.005634,5.43,0.28254764292878637,0.2739656912209889,0.0007529280491536915,0.12350238205195972
0.00567,5.15,0.28435305917753256,0.25983854692230074,0.0010406223670610506,0.33635558471394866
0.006494,5.12,0.32567703109327983,0.25832492431886983,0.0018915896154082686,0.9664823612787894
0.006258,5.39,0.31384152457372116,0.27194752774974773,0.001412884380283314,0.6044669969924074
0.005938,5.83,0.2977933801404213,0.2941473259334006,0.0006973647378574616,0.14395953598357783
0.005121,4.29,0.25682046138415243,0.21644803229061554,0.0012646834863479436,0.6386650307359178
0.004503,4.17,0.22582748244734205,0.21039354187689202,0.0007545524797368127,0.19666507203643796
0.004745,4.35,0.23796389167502507,0.21947527749747728,0.0008347489896535099,0.32176755049748546
0.004707,4.58,0.23605817452357072,0.23107971745711403,0.0005900000856581778,0.1447994652358687
0.004652,4.28,0.23329989969909729,0.21594349142280525,0.0008046725691303494,0.3739284648599258
0.004538,3.05,0.22758274824473423,0.15388496468213925,0.0017963297513662545,1.30518363152487
0.004448,2.96,0.2230692076228686,0.1493440968718466,0.001787231496407905,1.3722992721899923
0.004344,3.11,0.21785356068204614,0.156912209889001,0.0015483952546718194,1.0827099950329475
0.00427,3.34,0.21414242728184557,0.16851664984863773,0.0012676463506764882,0.6586970660176052
