ALPHAUSDT,C98USDT,ALPHAUSDT_perc,C98USDT_perc,spread,zscore
0.1172,0.5297,1.0,1.0,-0.04051322045974842,
0.10969,0.5112,0.9359215017064846,0.9650745705116104,-0.04251501849919466,
0.11929,0.5362,1.0178327645051195,1.0122710968472721,-0.04035853466210519,
0.1281,0.5439,1.0930034129692832,1.0268076269586561,-0.033841137640281654,
0.13227,0.5423,1.1285836177474402,1.0237870492731735,-0.029194752605855356,
0.12376,0.5086,1.0559726962457339,0.9601661317727017,-0.027670892818251983,
0.12422,0.5011,1.0598976109215017,0.9460071738720031,-0.024977837969378802,
0.11625,0.4759,0.9918941979522184,0.8984330753256561,-0.025444773677164953,
0.11439,0.4708,0.976023890784983,0.8888049839531811,-0.025786296379931226,
0.11375,0.4674,0.9705631399317407,0.8823862563715311,-0.02541397818177539,
0.11098,0.4619,0.9469283276450512,0.8720030205776855,-0.026546404625935077,
0.11156,0.4757,0.9518771331058021,0.8980555031149708,-0.030075225547861698,
0.11259,0.4745,0.9606655290102388,0.8957900698508591,-0.028687936772041983,
0.11805,0.4935,1.0072525597269626,0.931659429865962,-0.02888500905585399,
0.11348,0.4834,0.968259385665529,0.9125920332263546,-0.03044782852603814,
0.11657,0.5098,0.9946245733788396,0.9624315650368135,-0.03521818159407168,
0.12201,0.5207,1.0410409556313993,0.983009250519162,-0.03302355464110067,
0.12014,0.5103,1.0250853242320819,0.9633754955635265,-0.03179705191732987,
0.12576,0.5212,1.0730375426621162,0.9839531810458751,-0.029422424964358845,
0.11948,0.4923,1.019453924914676,0.9293939966018502,-0.027097720280034293,
0.10615,0.4535,0.9057167235494881,0.8561449877289032,-0.02887538319519714,0.3635697065968522
0.1035,0.4404,0.8831058020477816,0.8314140079290165,-0.027624980725832013,0.5361702598731324
0.10855,0.4528,0.9261945392491467,0.8548234849915046,-0.026266964742635637,0.8153052674163361
0.11598,0.463,0.9895904436860068,0.8740796677364547,-0.021873919337103143,2.0514082631338004
0.11706,0.4732,0.9988054607508532,0.8933358504814046,-0.02383087393157063,1.3346952587316208
0.12501,0.4788,1.0666382252559727,0.9039078723805929,-0.017548221552062593,2.5685884160339696
0.12643,0.479,1.078754266211604,0.9042854445912781,-0.0161877696813659,2.344616749239003
0.13916,0.52,1.1873720136518773,0.9816877477817634,-0.015665136188539153,2.0847933673306938
0.14274,0.5521,1.2179180887372014,1.042288087596753,-0.021642610941716295,0.8782863676317575
0.13208,0.5,1.126962457337884,0.943930526713234,-0.016790323258210726,1.59716479334386
0.13527,0.4952,1.1541808873720136,0.9348687936567869,-0.01217116815493191,2.0350307892850674
0.12975,0.4747,1.1070819112627988,0.8961676420615444,-0.011587484901345257,1.8310969451588084
0.13325,0.4905,1.1369453924914676,0.9259958467056826,-0.012791787116304715,1.4770432984115227
0.13448,0.4835,1.1474402730375426,0.9127808193316973,-0.009477602590689777,1.6832931192037992
0.12114,0.435,1.033617747440273,0.8212195582405136,-0.008377181234643344,1.6053087813326392
0.12085,0.4347,1.0311433447098977,0.8206531999244856,-0.008577859040688404,1.4181245190883622
0.12781,0.4694,1.090529010238908,0.8861619784783841,-0.011949459474808216,0.9484864580475484
0.13812,0.4988,1.1784982935153583,0.9416650934491223,-0.01039303448239104,1.0557596919675196
0.16743,0.4956,1.4285836177474402,0.9356239380781575,0.019869735586461518,3.3016918179515593
0.15578,0.5077,1.3291808873720137,0.9584670568246179,0.004617073763612811,1.6846993329186972
0.15163,0.5032,1.2937713310580203,0.9499716820841987,0.0018069066729367034,1.2987811133074032
0.16161,0.4976,1.378924914675768,0.9393996601850104,0.013454254293428697,2.000951125563141
0.16219,0.4805,1.3838737201365188,0.9071172361714178,0.019125619348859507,2.1022622534438624
0.16237,0.4741,1.385409556313993,0.8950349254294885,0.021211159486564574,1.95703107984218
0.16642,0.5681,1.4199658703071674,1.0724938644515765,-0.0027264612859790316,0.2153175171775757
0.17107,0.5965,1.459641638225256,1.1261091183688883,-0.006532295647045411,-0.12608491715361417
0.17579,0.5696,1.499914675767918,1.0753256560317161,0.00619692774424635,0.7624511854365694
0.17517,0.5885,1.4946245733788395,1.1110062299414765,-5.037047491404656e-05,0.22951295127520924
0.17317,0.579,1.4775597269624572,1.093071549933925,0.0007781656669919867,0.2390494361856105
0.1599,0.5171,1.364334470989761,0.9762129507268266,0.005938311686358444,0.582667240715063
0.1664,0.5459,1.4197952218430034,1.030583349065509,0.0038633810666854895,0.3370389603134188
0.16009,0.5519,1.3659556313993175,1.0419105153860675,-0.00423306281241298,-0.4351033901714907
0.16444,0.5585,1.4030716723549488,1.0543703983386823,-0.0018481510794213785,-0.266229036286438
0.16062,0.5584,1.3704778156996589,1.0541816122333398,-0.005638377014769741,-0.6828429848947628
0.15485,0.5342,1.3212457337883958,1.0084953747404193,-0.004203053369072368,-0.5784797669025156
0.15589,0.5231,1.3301194539249146,0.9875401170473854,0.0001418678072599433,-0.18644958809581935
0.15309,0.5047,1.3062286689419795,0.9528034736643385,0.0028202957031620846,0.03546615946776394
0.14287,0.47,1.2190273037542663,0.8872946951104399,0.0029318961372819252,-0.03021506757899083
0.13792,0.4359,1.1767918088737201,0.8229186331885974,0.008134852183491859,0.4919277661058983
0.12395,0.4001,1.05759385665529,0.7553332074759299,0.00482396732877978,0.19706371119885183
0.12482,0.408,1.0650170648464163,0.7702473097979989,0.003341816221300059,0.005400863820504496
0.12947,0.4263,1.1046928327645051,0.8047951670757033,0.002543162390049536,-0.1071849710762552
0.12726,0.4013,1.0858361774744028,0.7575986407400416,0.00777667855296009,0.6620108166832294
0.13148,0.4082,1.1218430034129694,0.7706248820086843,0.009942268091996775,1.1578775132764068
0.1313,0.4098,1.120307167235495,0.7736454596941665,0.009285883057570485,1.4594772677078098
0.13405,0.4232,1.1437713310580204,0.7989427978100813,0.008046158394250436,1.0971840375671205
0.11928,0.3884,1.0177474402730375,0.7332452331508402,0.0036375328930218914,0.12775823737472644
0.11916,0.3745,1.0167235494880547,0.7070039645082122,0.007656127879600169,0.9858746819061144
0.11462,0.3676,0.9779863481228669,0.6939777232395696,0.0051705383405634825,0.3939583954000912
0.12584,0.4221,1.0737201365187714,0.796866150651312,0.00016367310541851032,-0.6962215288655462
0.1216,0.4298,1.037542662116041,0.811402680762696,-0.0063689298727579585,-1.8284208856979522
0.12191,0.4389,1.0401877133105804,0.8285822163488769,-0.008768369756057368,-1.9583007408804234
0.12257,0.427,1.0458191126279863,0.8061166698131018,-0.0045652560625119715,-1.1981027921944223
0.12095,0.4364,1.0319965870307168,0.8238625637153106,-0.00898401813976632,-1.7824454931736182
0.11839,0.4415,1.0101535836177473,0.8334906550877856,-0.013062495437000082,-2.168738507652846
0.1193,0.434,1.0179180887372015,0.8193316971870871,-0.009919440588126896,-1.5762642273405512
0.11885,0.43,1.0140784982935154,0.8117802529733812,-0.009178478002061216,-1.3406719931487039
0.10711,0.388,0.9139078498293515,0.7324900887294696,-0.00841337084837153,-1.1276552096133277
0.11667,0.4025,0.9954778156996587,0.7598640740041535,-0.0031706102228596517,-0.40284368376642815
0.11806,0.399,1.0073378839590443,0.7532565603171608,-0.0007385179600521707,-0.030381742090728272
0.12905,0.4522,1.101109215017065,0.8536907683594488,-0.005588320354725784,-0.6202605040862027
0.12877,0.443,1.0987201365187713,0.8363224466679253,-0.0031291064067747176,-0.2472791482625199
0.1299,0.4438,1.1083617747440273,0.8378327355106664,-0.002237298923987857,-0.09516170207635055
0.12817,0.4441,1.0936006825938567,0.8383990938266944,-0.004056621117942749,-0.279559997036332
0.11641,0.4013,0.9932593856655291,0.7575986407400416,-0.003073321447039923,-0.053921799134571805
0.11855,0.4052,1.011518771331058,0.7649612988484048,-0.002094509968453978,0.2033236814824878
0.1114,0.3912,0.9505119453924915,0.7385312441004342,-0.005076140917224067,-0.22819533672305747
0.11235,0.4408,0.9586177474402731,0.8321691523503871,-0.018894076984438568,-2.3886636941733044
0.1158,0.451,0.9880546075085325,0.8514253350953371,-0.018481031578906085,-2.1188738058494097
0.10625,0.3855,0.9065699658703071,0.7277704360959034,-0.008529019232080479,-0.321028614553384
0.1076,0.392,0.9180887372013652,0.7400415329431754,-0.00911433343443721,-0.36558212783590843
0.10546,0.3716,0.8998293515358362,0.7015291674532754,-0.005180424245502205,0.4171103346976434
