ILVUSDT,CREAMUSDT,ILVUSDT_perc,CREAMUSDT_perc,spread,zscore
166.0,16.79,1.0,1.0,77.90730575249326,
155.0,16.06,0.9337349397590361,0.9565217391304347,70.73742289368921,
168.3,17.35,1.013855421686747,1.0333531864204886,77.26913369897308,
179.4,18.23,1.080722891566265,1.0857653365098274,83.75200618629852,
183.8,19.45,1.1072289156626507,1.1584276354973198,81.75098849827243,
175.3,18.35,1.0560240963855423,1.0929124478856465,79.02239788911562,
174.9,17.66,1.0536144578313253,1.0518165574746874,82.24264559791727,
165.8,16.78,0.9987951807228916,0.9994044073853485,77.75977311059184,
158.8,17.34,0.9566265060240965,1.0327575938058369,67.82160105707166,
141.7,19.71,0.8536144578313253,1.173913043478261,38.28683718770945,
119.9,17.94,0.7222891566265061,1.0684931506849316,25.77355957115718,
115.8,18.27,0.6975903614457831,1.0881477069684335,19.942136753904208,
111.2,17.86,0.6698795180722892,1.0637284097677189,17.493298435945775,
117.7,18.2,0.7090361445783133,1.0839785586658726,22.209408260594245,
113.6,18.12,0.6843373493975903,1.07921381774866,18.52914712538282,
117.9,18.58,0.7102409638554217,1.1066110780226324,20.415648652848418,
119.7,19.46,0.7210843373493976,1.1590232281119714,17.598521140173844,
114.6,19.87,0.6903614457831325,1.1834425253126863,10.347359458132274,
115.4,20.6,0.6951807228915663,1.2269207861822515,7.31724231693633,
108.3,19.89,0.6524096385542169,1.1846337105419893,3.9424247419351275,
98.7,16.8,0.594578313253012,1.0005955926146517,10.554838394394679,-1.0483899350040544
92.2,16.1,0.555421686746988,0.9589041095890413,7.727553461294903,-1.036123651633192
96.8,16.95,0.5831325301204819,1.0095294818344254,7.867828022916058,-0.9379340116511019
102.8,17.1,0.619277108433735,1.018463371054199,13.080817651437428,-0.69463911431176
102.8,17.62,0.619277108433735,1.049434187016081,10.352515030311551,-0.7134296873055109
118.0,18.08,0.7108433734939759,1.0768314472900535,23.13901655777714,-0.1771817088243309
111.4,17.62,0.6710843373493977,1.049434187016081,18.95251503031156,-0.25702139854192135
129.3,17.71,0.7789156626506025,1.0547945205479452,36.3803088074244,0.7249243536198863
128.4,16.84,0.7734939759036145,1.002977963073258,40.04496896200038,1.2973429797666105
125.2,16.5,0.7542168674698795,0.9827278141751042,38.628859137351924,1.7326894522515652
126.8,16.24,0.7638554216867469,0.9672424061941631,41.593010447914864,1.9337828488523734
119.3,15.95,0.7186746987951808,0.9499702203692675,35.61456383277353,1.3133729211790726
116.4,16.13,0.7012048192771084,0.9606908874329958,31.77015138699919,0.9195546024311338
116.2,16.3,0.7000000000000001,0.9708159618820728,30.678206299323406,0.7666737825948586
103.1,15.32,0.6210843373493976,0.912447885646218,22.720007392983717,0.11590969532642106
106.4,15.15,0.6409638554216868,0.9023228111971412,26.911952480659494,0.4235969366590226
115.7,15.86,0.696987951807229,0.9446098868374032,32.4867700556607,0.8153620935360691
118.3,17.4,0.7126506024096385,1.0363311494937462,27.00679690848021,0.34238312668710225
120.6,18.08,0.7265060240963855,1.0768314472900535,25.739016557777134,0.18728704141013747
117.6,18.28,0.708433734939759,1.0887432995830852,21.689669395805623,-0.21014423819991396
117.2,17.4,0.7060240963855422,1.0363311494937462,25.906796908480217,0.06769556887450431
115.3,17.97,0.694578313253012,1.0702799285288862,21.016157496861453,-0.45706420274108206
113.9,19.02,0.686144578313253,1.132817153067302,14.107084896511125,-1.2208280275432304
112.8,19.17,0.6795180722891566,1.1417510422870758,12.220074525032487,-1.4921686253537083
111.3,18.55,0.6704819277108434,1.104824300178678,13.973050727144127,-1.3180325288993735
116.5,19.89,0.7018072289156626,1.1846337105419893,12.14242474193513,-1.5482227149177867
112.9,20.04,0.6801204819277109,1.193567599761763,7.755414370456521,-1.7830294782101632
112.4,22.2,0.6771084337349398,1.3222156045265039,-4.077534978835587,-2.40967978104371
112.9,21.65,0.6801204819277109,1.289458010720667,-0.691830283413978,-1.8402646998518275
105.8,20.61,0.6373493975903615,1.227516378796903,-2.3352250411622464,-1.7465929385479
115.0,21.2,0.6927710843373494,1.262656343061346,3.7692008310218625,-1.173701488048335
116.8,20.6,0.7036144578313253,1.2269207861822515,8.717242316936321,-0.7234077696816327
121.2,20.99,0.7301204819277108,1.2501488981536628,11.07101535109193,-0.45805479805356075
117.1,20.4,0.7054216867469879,1.2150089338892198,10.06658947890783,-0.4761696851231402
113.0,20.55,0.6807228915662651,1.2239428231089935,5.1795791074292055,-0.8413121303779967
108.1,20.3,0.6512048192771084,1.2090530077427042,1.5912630598935635,-1.0716108194665794
106.7,19.95,0.6427710843373494,1.1882072662298988,2.027620593343684,-0.9408089324151454
102.9,18.6,0.6198795180722891,1.1078022632519358,5.310713936651254,-0.5595318886657875
103.2,18.16,0.6216867469879518,1.0815961882072662,7.919277692988544,-0.2027285865086383
90.0,16.45,0.5421686746987951,0.9797498511018463,3.6911959278448023,-0.6240732625266403
90.3,17.6,0.5439759036144578,1.0482430017867779,-2.0425502534912994,-1.249520546585231
92.1,18.35,0.5548192771084337,1.0929124478856465,-4.1776021108843935,-1.5106781220192067
90.8,17.91,0.5469879518072289,1.066706372840977,-3.169038354547098,-1.3171944953124055
91.6,18.57,0.5518072289156626,1.1060154854079811,-5.831883989053026,-1.584307815192335
89.8,18.0,0.5409638554216867,1.072066706372841,-4.6412445774342785,-1.268224102026376
91.4,18.04,0.5506024096385542,1.0744490768314472,-3.251114009828555,-0.9682200320665857
79.1,16.51,0.4765060240963855,0.9833234067897559,-7.523608220746667,-1.5671532714800633
