XMRUSDT,BITUSDT,XMRUSDT_perc,BITUSDT_perc,spread,zscore
118.89,0.425,1.0,1.0,-7.6347205808737755,
111.17,0.417,0.9350660274203045,0.9811764705882353,-12.973078781704388,
122.74,0.432,1.0323828749264026,1.0164705882352942,-5.868657155147005,
126.54,0.462,1.0643451930355792,1.0870588235294119,-10.999813902032216,
127.36,0.469,1.0712423248380856,1.1035294117647059,-12.263750476305418,
125.31,0.462,1.0539994953318192,1.0870588235294119,-12.22981390203222,
120.41,0.462,1.0127849272436706,1.0870588235294119,-17.129813902032225,
117.67,0.45,0.9897384136596854,1.0588235294117647,-16.297351203278126,
118.95,0.445,1.0005046681806713,1.0470588235294118,-13.528825078797254,
113.04,0.445,0.9507948523845572,1.0470588235294118,-19.43882507879725,
115.39,0.445,0.9705610227941794,1.0470588235294118,-17.088825078797257,
116.06,0.445,0.976196484145008,1.0470588235294118,-16.418825078797255,
116.51,0.445,0.9799814955000421,1.0470588235294118,-15.968825078797252,
123.95,0.44,1.0425603499032718,1.035294117647059,-7.040298954316384,
122.5,0.435,1.0303642022037178,1.0235294117647058,-7.001772829835517,
125.58,0.442,1.0562705021448398,1.04,-6.005709404108742,
130.43,0.452,1.0970645134157626,1.0635294117647058,-4.1327616530704745,
125.31,0.454,1.0539994953318192,1.0682352941176472,-9.848172102862804,
127.2,0.456,1.0698965430229623,1.0729411764705883,-8.553582552655158,
129.88,0.45,1.0924383884262763,1.0588235294117647,-4.087351203278132,
130.27,0.443,1.0957187316006394,1.0423529411764707,-1.6134146290048932,1.7869787421935492
123.15,0.439,1.0358314408276559,1.0329411764705883,-7.5425937294202186,0.6283709918833962
124.2,0.458,1.044663133989402,1.0776470588235294,-12.148993002447511,-0.278768426441954
133.97,0.469,1.1268399360753638,1.1035294117647059,-5.653750476305419,0.9880360938850576
138.81,0.465,1.1675498359828413,1.0941176470588236,0.3770704232792639,1.862891996183825
138.94,0.464,1.1686432837076288,1.091764705882353,0.8047756481754504,1.6916505595702107
136.03,0.465,1.1441668769450752,1.0941176470588236,-2.4029295767207373,1.0636221313843608
147.03,0.533,1.2366893767347968,1.2541176470588236,-11.64688486966054,-0.4680826936806345
146.38,0.518,1.2312221381108588,1.2188235294117649,-7.831306496217934,0.101262150845564
151.59,0.506,1.2750441584658088,1.1905882352941177,0.9511562025361684,1.4441947979565914
151.12,0.531,1.2710909243838844,1.2494117647058824,-6.961474419868182,0.03208585723238459
149.42,0.511,1.2567919925981998,1.2023529411764706,-2.707369921944718,0.7567036366895641
148.65,0.533,1.2503154176129196,1.2541176470588236,-10.026884869660535,-0.8675147990499362
151.38,0.56,1.2732778198334596,1.3176470588235296,-15.33492594185725,-2.0922057353023193
144.86,0.529,1.2184372108671884,1.2447058823529413,-12.626063970075819,-1.3493073356284844
151.06,0.545,1.270586256203213,1.2823529411764707,-11.189347568414632,-0.9713121860660766
161.65,0.617,1.3596601900916814,1.451764705882353,-22.03412376093911,-2.5256813370622404
162.33,0.673,1.3653797628059552,1.583529411764706,-38.02561635512484,-3.298702838902333
159.86,0.68,1.3446042560349905,1.6,-42.57955292939806,-2.79518273631287
155.65,0.698,1.3091933720245605,1.6423529411764706,-52.14824697752917,-2.70699537240919
154.67,0.689,1.3009504584069307,1.6211764705882352,-50.44889995346361,-2.1440778039940938
160.71,0.689,1.3517537219278326,1.6211764705882352,-44.40889995346359,-1.5729855718849688
156.88,0.689,1.3195390697283202,1.6211764705882352,-48.2388999534636,-1.578789482982848
156.65,0.747,1.3176045083690806,1.7576470588235296,-65.73580299744168,-2.094594426052595
159.4,0.739,1.3407351333165112,1.7388235294117647,-60.604161198272294,-1.6278731114747529
161.55,0.792,1.3588190764572294,1.863529411764706,-74.23253811776951,-1.922802737869723
160.64,0.748,1.351164942383716,1.76,-62.04350822233786,-1.28710877521747
164.71,0.752,1.385398267305913,1.7694117647058825,-59.16432912192255,-1.0647409251898545
167.08,0.763,1.4053326604424259,1.795294117647059,-60.06908659578045,-1.0011595983848949
158.77,0.707,1.3354361174194636,1.663529411764706,-51.707594001594714,-0.5900750873225773
167.73,0.742,1.4107998990663637,1.7458823529411764,-53.16727687296083,-0.5794658253927256
159.52,0.712,1.3417444696778535,1.6752941176470588,-52.446120126075584,-0.476321659784501
166.36,0.705,1.3992766422743714,1.6588235294117646,-43.52218355180236,0.039158391606037506
166.74,0.659,1.402472874085289,1.5505882352941178,-29.447743206578394,0.8804171147842234
165.74,0.607,1.394061737740769,1.428235294117647,-14.967071511977366,1.6859379403423598
164.17,0.553,1.380856253679872,1.3011764705882354,-0.46098936758403397,2.3015592148808452
169.62,0.498,1.426696946757507,1.171764705882353,21.362798001705556,2.8058187110620274
169.11,0.501,1.4224072672218018,1.1788235294117648,19.95968232701705,2.307209904717881
161.0,0.505,1.3541929514677433,1.188235294117647,10.658861427432328,1.7176725737796235
145.38,0.451,1.2228110017663385,1.0611764705882354,11.114943571825705,1.5396073893465383
148.84,0.463,1.2519135335183784,1.0894117647058825,11.002480873071619,1.37464223827571
154.29,0.479,1.2977542265960131,1.1270588235294117,11.689197274732834,1.2581591882920409
153.78,0.493,1.293464547060308,1.16,7.011324126186423,1.0201233088281798
154.34,0.527,1.298174783413239,1.24,-2.550653520283504,0.6740934558192404
150.6,0.531,1.2667171334847338,1.2494117647058824,-7.481474419868192,0.4631947289764999
154.02,0.571,1.2954832197829929,1.3435294117647059,-15.96968341571511,0.14758679636411162
142.68,0.527,1.2001009336361343,1.24,-14.2106535202835,0.1225412740877692
