1000BTTUSDT,LDOUSDT,1000BTTUSDT_perc,LDOUSDT_perc,spread,zscore
0.00091,1.5695,1.0,1.0,0.00016391431618414682,
0.000927,1.629,1.0186813186813186,1.037910162472125,0.00015263008669256129,
0.000919,1.5313,1.0098901098901099,0.9756610385473082,0.00019107326688294602,
0.000917,1.58,1.0076923076923077,1.0066900286715517,0.00016592298156798454,
0.000933,1.6479,1.0252747252747252,1.0499522140809174,0.0001496456843834696,
0.00088,1.4523,0.967032967032967,0.9253265371137305,0.00018962711780454698,
0.000864,1.4405,0.9494505494505494,0.9178082191780822,0.00017923642718271004,
0.000927,1.915,1.0186813186813186,1.2201338005734312,1.6675639052335747e-05,
0.000954,2.2638,1.0483516483516484,1.4423701815864924,-0.0001221317432445546,
0.00096,2.4471,1.054945054945055,1.5591589678241478,-0.0002032661846866991,
0.000947,2.331,1.0406593406593407,1.485186365084422,-0.00016107628478799236,
0.000982,2.1482,1.079120879120879,1.36871615164065,-3.91795259466175e-05,
0.000964,2.0841,1.0593406593406594,1.3278751194647977,-2.6708616527951375e-05,
0.000969,2.2906,1.0648351648351648,1.4594456833386429,-0.0001198715306458065,
0.000965,2.5903,1.0604395604395604,1.6503982159923545,-0.00026633848154711986,
0.000955,2.4299,1.0494505494505495,1.5482000637145588,-0.00020008990322022407,
0.000983,2.6564,1.0802197802197802,1.6925135393437403,-0.0002797601213688644,
0.000971,2.6108,1.067032967032967,1.6634597005415737,-0.0002700834681786745,
0.000976,2.4635,1.0725274725274725,1.5696081554635235,-0.0001950621739919429,
0.000988,2.3808,1.0857142857142856,1.5169162153552087,-0.00014374947182464693,
0.000963,2.2618,1.0582417582417583,1.441095890410959,-0.0001121810128414763,-0.39309952233133555
0.001014,2.7129,1.114285714285714,1.7285122650525646,-0.0002756182552558319,-1.2176779148432635
0.001006,2.6358,1.1054945054945053,1.6793883402357441,-0.000246967598217156,-0.9595880397439525
0.00102,2.8224,1.120879120879121,1.7982797069130299,-0.0003216707448243797,-1.2926760750353445
0.001015,2.9409,1.1153846153846154,1.873781459063396,-0.0003830015212067811,-1.5268369600050615
0.001008,2.674,1.1076923076923078,1.7037273016884358,-0.00026312654891595504,-0.7196287449055396
0.000983,2.7498,1.0802197802197802,1.7520229372411598,-0.00032415923119263044,-1.092063485865031
0.000978,2.5732,1.0747252747252747,1.639503026441542,-0.0002452097366007987,-0.437901710472404
0.000956,2.472,1.0505494505494506,1.5750238929595413,-0.00021910277820502656,-0.09380381682190131
0.000951,2.2374,1.0450549450549451,1.425549538069449,-0.00011258210192391848,1.0437994545232732
0.000875,1.8595,0.9615384615384616,1.1847722204523734,-8.941592262235723e-06,1.8599416986914996
0.000871,1.8574,0.9571428571428572,1.1834342147180632,-1.1943325339003287e-05,1.6392934823700311
