1000LUNCUSDT,BAKEUSDT,1000LUNCUSDT_perc,BAKEUSDT_perc,spread,zscore
0.1724,0.1251,1.0,1.0,0.024642150906450166,
0.1751,0.1265,1.015661252900232,1.0111910471622703,0.025688585848648637,
0.1726,0.1272,1.0011600928074247,1.0167865707434054,0.02236180331974788,
0.1733,0.1279,1.0052204176334107,1.0223820943245405,0.022235020790847104,
0.1695,0.1279,0.9831786542923435,1.0223820943245405,0.018435020790847106,
0.1722,0.1289,0.9988399071925754,1.0303756994404476,0.01995390289241747,
0.1726,0.1275,1.0011600928074247,1.0191846522781776,0.02200746795021899,
0.1709,0.1275,0.9912993039443155,1.0191846522781776,0.020307467950218983,
0.1689,0.1272,0.9796983758700696,1.0167865707434054,0.01866180331974787,
0.1686,0.126,0.9779582366589328,1.0071942446043167,0.019779144797863468,
0.1679,0.1263,0.9738979118329466,1.009592326139089,0.01872480942833457,
0.1639,0.125,0.9506960556844547,0.9992006394884093,0.016260262696293104,
0.1655,0.1258,0.9599767981438516,1.0055955235811351,0.016915368377549395,
0.1677,0.1239,0.972737819025522,0.9904076738609113,0.02135949238456572,
0.1633,0.124,0.947215777262181,0.9912070343725021,0.01684138059472276,
0.1605,0.124,0.9309744779582367,0.9912070343725021,0.014041380594722763,
0.1585,0.1244,0.9193735498839908,0.994404476418865,0.011568933435350925,
0.1599,0.1255,0.9274941995359628,1.003197442046363,0.011669703747078264,
0.1578,0.1255,0.9153132250580046,1.003197442046363,0.009569703747078273,
0.1578,0.125,0.9153132250580046,0.9992006394884093,0.01016026269629311,
0.1592,0.1271,0.9234338747099768,1.0159872102318146,0.009079915109590858,-1.7226181491792234
0.1554,0.1259,0.9013921113689096,1.006394884092726,0.006697256587706424,-1.9256975375048972
0.1571,0.127,0.9112529002320185,1.015187849720224,0.007098026899433785,-1.6833720523328557
0.1557,0.1285,0.9031322505800464,1.0271782573940849,0.003926350051789318,-1.9740918509488776
0.1534,0.1276,0.8897911832946637,1.0199840127897681,0.002689356160376022,-1.9089783899078157
0.1516,0.127,0.8793503480278423,1.015187849720224,0.0015980268994338076,-1.8071892096030229
0.1518,0.1279,0.8805104408352667,1.0223820943245405,0.0007350207908470852,-1.7045720272327103
0.1495,0.127,0.867169373549884,1.015187849720224,-0.0005019731005662109,-1.6854272001779014
0.1476,0.126,0.8561484918793504,1.0071942446043167,-0.0012208552021365227,-1.5987355299049133
0.1478,0.127,0.8573085846867748,1.015187849720224,-0.002201973100566218,-1.549468836768616
0.1515,0.1275,0.87877030162413,1.0191846522781776,0.000907467950218982,-1.0357628347359762
0.1491,0.1268,0.8648491879350348,1.0135891286970424,-0.0006657495208802489,-1.1500141004575177
0.1512,0.127,0.877030162412993,1.015187849720224,0.0011980268994337961,-0.8045592903979616
0.153,0.1288,0.8874709976798144,1.029576338928857,0.0008720146822604191,-0.7749994457650681
0.1536,0.1281,0.8909512761020881,1.023980815347722,0.002298797211161191,-0.49452830420276234
0.1516,0.1283,0.8793503480278423,1.0255795363709033,6.257363147527117e-05,-0.8418159708028542
0.1499,0.1283,0.8694895591647333,1.0255795363709033,-0.0016374263685247359,-1.1170608016541919
0.1499,0.1288,0.8694895591647333,1.029576338928857,-0.0022279853177395725,-1.1596163196579152
0.1452,0.1278,0.8422273781902552,1.0215827338129497,-0.005746867419309909,-1.8149795111234208
0.1475,0.1277,0.855568445475638,1.0207833733013592,-0.0033287556294669673,-1.1661090480109186
0.1467,0.1281,0.8509280742459396,1.023980815347722,-0.0046012027888387985,-1.4186503065962561
0.1465,0.128,0.8497679814385151,1.023181454836131,-0.004683090998995859,-1.3954328419809483
0.1461,0.1283,0.8474477958236659,1.0255795363709033,-0.005437426368524734,-1.5173708227175071
0.1461,0.1285,0.8474477958236659,1.0271782573940849,-0.0056736499482106795,-1.5549863406219044
0.1474,0.1287,0.8549883990719258,1.0287769784172665,-0.00460987352789663,-1.1082947868445587
0.1463,0.1288,0.8486078886310906,1.029576338928857,-0.005827985317739565,-1.4138818605936867
0.1462,0.1289,0.8480278422273781,1.0303756994404476,-0.0060460971075825265,-1.3537493191191026
0.1464,0.1289,0.8491879350348028,1.0303756994404476,-0.005846097107582521,-1.163288908750632
0.1525,0.1288,0.8845707656612529,1.029576338928857,0.00037201468226041867,1.0456539685956543
0.1507,0.1244,0.8741299303944315,0.994404476418865,0.003768933435350924,1.9505493983994653
0.1496,0.1229,0.8677494199535963,0.982414068745004,0.004440610282995416,1.8660052824537967
0.1502,0.1227,0.87122969837587,0.9808153477218227,0.005276833862681324,1.8827907623273499
0.1494,0.1241,0.8665893271461718,0.9920063948840928,0.0028232688048798193,1.1479520403104018
0.1498,0.1254,0.8689095127610208,1.0023980815347724,0.0016878155369212389,0.8460785266458326
0.1504,0.1257,0.8723897911832947,1.0047961630695446,0.0019334801673923652,0.8867780243268977
0.1493,0.125,0.8660092807424593,0.9992006394884093,0.0016602626962931022,0.8314279409083482
0.1499,0.1254,0.8694895591647333,1.0023980815347724,0.0017878155369212556,0.8314951643508152
0.1512,0.1255,0.877030162412993,1.003197442046363,0.0029697037470782783,1.0424129104753816
0.1508,0.126,0.8747099767981438,1.0071942446043167,0.001979144797863458,0.7417547936759757
0.1496,0.1252,0.8677494199535963,1.0007993605115908,0.001724039116607179,0.6091593985128488
0.1492,0.1246,0.8654292343387471,0.9960031974420465,0.002032709855664977,0.6226478650969127
0.1482,0.1234,0.8596287703016241,0.9864108713029577,0.0024500513337805674,0.6534730857331461
