AXSUSDT,JASMYUSDT,AXSUSDT_perc,JASMYUSDT_perc,spread,zscore
14.908,0.0096,1.0,1.0,-1.2971536480266526,
13.994,0.0093,0.9386906359001879,0.96875,-1.7047425965258185,
14.712,0.0102,0.9868526965387712,1.0625000000000002,-2.50597575102832,
17.121,0.0103,1.1484437885698953,1.0729166666666667,-0.2657794348619298,
17.819,0.0104,1.1952642876308022,1.0833333333333335,0.2634168813044582,
16.177,0.0098,1.0851220821035685,1.0208333333333335,-0.36576101569387376,
15.899,0.0098,1.0664743761738664,1.0208333333333335,-0.6437610156938742,
15.305,0.0094,1.0266299973168769,0.9791666666666667,-0.562546280359431,
14.37,0.0092,0.9639119935605044,0.9583333333333334,-1.1599389126922102,
14.572,0.0094,0.9774617654950362,0.9791666666666667,-1.2955462803594315,
14.051,0.0092,0.9425140863965656,0.9583333333333334,-1.4789389126922092,
13.934,0.0093,0.9346659511671586,0.96875,-1.764742596525819,
14.176,0.0094,0.9508988462570432,0.9791666666666667,-1.6915462803594306,
14.87,0.0103,0.9974510330024148,1.0729166666666667,-2.5167794348619292,
14.445,0.0099,0.968942849476791,1.0312500000000002,-2.2665646995274855,
14.798,0.0103,0.9926214113227797,1.0729166666666667,-2.5887794348619284,
15.335,0.0111,1.0286423396833915,1.1562500000000002,-3.4022089055308165,
14.84,0.0109,0.9954386906359002,1.1354166666666667,-3.559601537863596,
15.14,0.0112,1.0155621143010465,1.1666666666666667,-3.766012589364429,
14.394,0.0106,0.9655218674537162,1.1041666666666667,-3.499190486362762,
13.421,0.0097,0.9002548966997586,1.0104166666666667,-2.952957331860265,-0.9234001049046314
12.823,0.0096,0.8601422055272337,1.0,-3.3821536480266516,-1.1649775833714457
13.4,0.0094,0.8988462570431983,0.9791666666666667,-2.4675462803594304,-0.3862219131162407
13.944,0.0095,0.9353367319559969,0.9895833333333334,-2.0923499641930423,-0.09672980493709983
13.96,0.0082,0.936409981218138,0.8541666666666669,0.11809792564389987,1.658875427818849
14.35,0.0092,0.962570431982828,0.9583333333333334,-1.1799389126922097,0.7291984511492663
14.515,0.0091,0.9736383149986585,0.9479166666666669,-0.8461352288585982,1.0646919555400256
16.36,0.0095,1.0973973705393079,0.9895833333333334,0.3236500358069563,1.928446613571929
16.82,0.0099,1.1282532868258655,1.0312500000000002,0.10843530047251448,1.657499806695035
15.55,0.0092,1.043064126643413,0.9583333333333334,0.020061087307791325,1.4684392161835247
15.76,0.0092,1.0571505232090153,0.9583333333333334,0.2300610873077904,1.4872439661254306
15.341,0.009,1.0290448081566943,0.9375,0.14866845497501302,1.311941980992009
18.215,0.009,1.2218272068687952,0.9375,3.0226684549750136,2.5422493304187315
17.199,0.009,1.1536758787228336,0.9375,2.0066684549750153,1.7248440444723443
15.257,0.0084,1.0234102495304536,0.875,1.0774905579766791,1.1317563024771942
15.113,0.0087,1.0137510061711832,0.90625,0.427079506475847,0.737709565779701
16.747,0.0091,1.1233565870673463,0.9479166666666669,1.3858647711414012,1.1001236254294429
17.13,0.0092,1.1490474912798496,0.9583333333333334,1.6000610873077896,1.0982398273033367
18.206,0.0094,1.2212235041588408,0.9791666666666667,2.338453719640569,1.3346977356322682
19.077,0.0096,1.2796485108666489,1.0,2.8718463519733497,1.4733989909385492
18.013,0.0103,1.2082774349342635,1.0729166666666667,0.6262205651380732,0.2570057036862098
17.803,0.0102,1.1941910383686611,1.0625000000000002,0.5850242489716813,0.15348525748564565
17.18,0.0096,1.1524013952240408,1.0,0.9748463519733477,0.3053191675092225
17.159,0.0097,1.1509927555674806,1.0104166666666667,0.7850426681397344,0.07398037785202971
17.699,0.0098,1.187214918164744,1.0208333333333335,1.1562389843061283,0.2849612736980657
18.423,0.0103,1.23577944727663,1.0729166666666667,1.0362205651380698,0.1357785119836605
17.925,0.0101,1.2023745639924874,1.0520833333333335,0.8758279328052936,-0.11669541248721389
18.48,0.0105,1.2396028977730078,1.0937500000000002,0.7556131974708471,-0.3550413083580865
18.63,0.0104,1.2496646096055808,1.0833333333333335,1.0744168813044581,-0.03035397680920633
17.581,0.0099,1.1792997048564529,1.0312500000000002,0.8694353004725137,-0.32380270202413897
18.52,0.0103,1.2422860209283606,1.0729166666666667,1.1332205651380711,-0.07183693898223706
18.41,0.01,1.2349074322511404,1.0416666666666667,1.529631616638902,0.36812468968169243
18.648,0.0104,1.2508720150254897,1.0833333333333335,1.0924168813044588,-0.28580542685569416
19.248,0.0103,1.2911188623557823,1.0729166666666667,1.8612205651380727,1.0152498455896612
18.56,0.0104,1.2449691440837134,1.0833333333333335,1.0044168813044578,-0.3220532033742326
18.16,0.0107,1.2181379125301852,1.1145833333333335,0.09800582980362904,-1.6556044387109738
17.925,0.0115,1.2023745639924874,1.1979166666666667,-1.4874236408652592,-3.010438606252661
16.95,0.0109,1.136973437080762,1.1354166666666667,-1.4496015378635967,-2.3668878855600064
16.075,0.0102,1.0782801180574189,1.0625000000000002,-1.1429757510283203,-1.7834180115606837
14.2,0.009,0.9525087201502549,0.9375,-0.992331545024987,-1.4901680076513906
14.1,0.0092,0.9458009122618728,0.9583333333333334,-1.4299389126922097,-1.7663749974218168
14.435,0.0094,0.9682720686879528,0.9791666666666667,-1.4325462803594302,-1.565546629371465
14.233,0.0093,0.954722296753421,0.96875,-1.4657425965258177,-1.4272612819735702
14.654,0.0092,0.9829621679635095,0.9583333333333334,-0.8759389126922095,-0.8493160921105316
14.531,0.0091,0.9747115642607996,0.9479166666666669,-0.8301352288585981,-0.7417316523767632
