TRBUSDT,AXSUSDT,TRBUSDT_perc,AXSUSDT_perc,spread,zscore
10.959,14.908,1.0,1.0,-11.42517034075367,
10.918,13.994,0.996258782735651,0.9386906359001879,-10.093811091260186,
11.47,14.712,1.0466283420020075,0.9868526965387712,-10.619878860555941,
12.673,17.121,1.1564011314900995,1.1484437885698953,-13.033961390129027,
11.942,17.819,1.0896979651428051,1.1952642876308022,-14.812999416547466,
11.086,16.177,1.0115886485993248,1.0851220821035685,-13.203557526319566,
11.013,15.899,1.0049274568847524,1.0664743761738664,-12.859144100324832,
10.555,15.305,0.9631353225659276,1.0266299973168769,-12.425260736868452,
11.259,14.37,1.0273747604708459,0.9639119935605044,-10.317370257353783,
10.632,14.572,0.970161511086778,0.9774617654950362,-11.247670660414707,
10.05,14.051,0.9170544757733371,0.9425140863965656,-11.047395858460543,
10.184,13.934,0.9292818687836482,0.9346659511671586,-10.737721862628229,
10.619,14.176,0.9689752714663746,0.9508988462570432,-10.666081751443791,
11.994,14.87,1.0944429236244182,0.9974510330024148,-10.333113829286763,
11.207,14.445,1.0226298019892326,0.968942849476791,-10.481981793143731,
11.925,14.798,1.088146728716124,0.9926214113227797,-10.294006754928414,
15.212,15.335,1.3880828542750252,1.0286423396833915,-7.813305351184436,
15.451,14.84,1.4098914134501324,0.9954386906359002,-6.8310692149707855,
16.355,15.14,1.492380691668948,1.0155621143010465,-6.377515358130573,
14.19,14.394,1.2948261702710102,0.9655218674537162,-7.422405948806569,
14.47,13.421,1.3203759467104663,0.9002548966997586,-5.681458957824992,1.965641709518342
14.535,12.823,1.326307144812483,0.8601422055272337,-4.718569645793153,1.9979038707848762
16.469,13.4,1.5027831006478696,0.8988462570431983,-3.6509277278038077,2.0230249241654463
17.181,13.944,1.5677525321653436,0.9353367319559969,-3.7557367340668897,1.729607689281102
16.55,13.96,1.5101742859749978,0.936409981218138,-4.410760528368744,1.3771485072287915
16.702,14.35,1.5240441646135598,0.962570431982828,-4.844340514476464,1.1614731217109544
17.397,14.515,1.5874623597043525,0.9736383149986585,-4.397085893214353,1.1956655817106936
17.813,16.36,1.6254220275572588,1.0973973705393079,-6.751329673647039,0.3658876637066332
16.882,16.82,1.5404690208960674,1.1282532868258655,-8.373013759825376,-0.2738405479525445
15.277,15.55,1.3940140523770417,1.043064126643413,-8.071125087115616,-0.2074997868086697
16.57,15.76,1.5119992700063876,1.0571505232090153,-7.093437387327462,0.09056500909574236
16.776,15.341,1.5307966055297018,1.0290448081566943,-6.258314274047628,0.35131196142932886
20.375,18.215,1.8592024819782829,1.2218272068687952,-6.974588325518386,-0.027087938030564446
20.555,17.199,1.8756273382607902,1.1536758787228336,-5.269077387350578,0.6681575116441006
20.544,15.257,1.8746235970435259,1.0234102495304536,-2.364189353962889,1.8633170624632702
21.77,15.113,1.986495118167716,1.0137510061711832,-0.9219752052461914,2.249878917019046
21.212,16.747,1.9355780636919426,1.1233565870673463,-3.933405198323161,0.810891338207919
18.526,17.13,1.6904827082763025,1.1490474912798496,-7.194474774423821,-0.8856192370791113
23.434,18.206,2.1383337895793413,1.2212235041588408,-3.9020749412235887,0.7512118254535839
32.003,19.077,2.9202481978282693,1.2796485108666489,3.3591297564691587,3.066042154694377
26.407,18.013,2.409617665845424,1.2082774349342635,-0.6392879224574664,1.4139563690601213
28.495,17.803,2.6001459987225113,1.1941910383686611,1.7640243777543887,1.9367885013877746
27.79,17.18,2.5358153116160236,1.1524013952240408,1.9944508683828772,1.7491731570307874
27.65,17.159,2.5230404233962953,1.1509927555674806,1.8859820984040638,1.5341818111572758
27.91,17.699,2.5467652158043617,1.187214918164744,1.3351790407164472,1.2577294763726858
32.544,18.423,2.9696140158773607,1.23577944727663,4.8821023485574955,1.8844542555382107
31.755,17.925,2.8976183958390362,1.2023745639924874,4.840842946202741,1.6428130596434547
32.525,18.48,2.967880281047541,1.2396028977730078,4.7775175813571344,1.4506116744380353
29.937,18.63,2.7317273473857107,1.2496646096055808,1.9642945097772468,0.772577196460547
39.341,17.581,3.5898348389451593,1.1792997048564529,12.943354523692634,2.5225019931105535
38.7,18.52,3.531344100739119,1.2422860209283606,10.892458095602503,1.8782851908630385
36.078,18.41,3.292088694223926,1.2349074322511404,8.435621681427754,1.3116786120798531
39.338,18.648,3.589561091340451,1.2508720150254897,11.338267741187657,1.628994484318444
40.044,19.248,3.653983027648508,1.2911188623557823,11.143375454868078,1.455463074845765
39.201,18.56,3.5770599507254315,1.2449691440837134,11.333398609847862,1.354708312446512
39.886,18.16,3.6395656538005294,1.2181379125301852,12.618993467394244,1.4146272615207451
40.415,17.925,3.6878364814307876,1.2023745639924874,13.500842946202742,1.3992032420611895
40.11,16.95,3.660005474952094,1.136973437080762,14.65979291147205,1.4438325209857692
41.0,16.075,3.741217264348937,1.0782801180574189,16.86359416235476,1.7027324340257037
41.591,14.2,3.7951455424765035,0.9525087201502549,20.26988255710343,2.042883010100503
41.588,14.1,3.794871794871795,0.9458009122618728,20.417031271490025,1.7911544250297395
44.317,14.435,4.043890865954923,0.9682720686879528,22.643033078294927,1.885293309193947
45.124,14.233,4.117528971621499,0.954722296753421,23.753333481355853,1.7995979470769266
41.1,14.654,3.750342184505886,0.9829621679635095,19.097207393788285,1.0401692766181496
37.285,14.531,3.402226480518295,0.9747115642607996,15.466890312483791,0.4461236183841579
37.696,14.709,3.439729902363354,0.9866514623021196,15.610625600875654,0.39437344704418925
37.31,13.3,3.404507710557533,0.8921384491548163,17.34022098658279,0.6061982599584655
38.05,13.79,3.4720321197189525,0.9250067078078884,17.344492286088467,0.5353214695659896
37.153,13.178,3.3901815859111233,0.8839549235309901,17.36640241813443,0.46700787100072055
34.96,13.835,3.19007208686924,0.9280252213576604,14.186925364614499,-0.33986549994227705
22.273,13.847,2.0323934665571675,0.9288301583042662,1.4819075188881108,-2.6514552328286114
19.014,14.13,1.735012318642212,0.9478132546283875,-2.202013342825957,-2.6361250537411838
20.605,14.005,1.8801897983392646,0.9394284947679099,-0.42332744984271287,-2.064310389219691
19.065,14.03,1.7396660279222558,0.9411054467400054,-2.000864628439359,-1.9699584094748777
18.911,15.17,1.725613650880555,1.017574456667561,-3.8665599724465487,-1.908450822355758
18.876,14.56,1.722419928825623,0.9766568285484304,-2.985652814688315,-1.6073061030961049
18.331,14.28,1.6726891139702529,0.9578749664609606,-3.1102364144058505,-1.452538894223872
15.907,13.13,1.451501049365818,0.8807351757445667,-3.8075261989600016,-1.3689515698778874
17.187,13.505,1.5683000273747607,0.9058894553259995,-3.090583877909733,-1.1783051232063813
15.887,13.827,1.4496760653344285,0.9274885967265898,-4.874062738234571,-1.2138317306803967
17.261,14.697,1.5750524682909024,0.9858465253555138,-4.806356553397951,-1.0973573097447105
17.472,14.67,1.5943060498220643,0.9840354172256507,-4.55481640051357,-0.9791434995184554
16.558,14.527,1.5109042795875536,0.9744432519452643,-5.254103738940739,-0.9585562490649776
16.51,14.23,1.5065243179122185,0.9545210625167696,-4.856162057212551,-0.8520251945216153
15.195,13.143,1.386531617848344,0.8816071907700564,-4.539045531830258,-0.7460066156297978
18.124,13.3,1.653800529245369,0.8921384491548163,-1.8457790134172143,-0.38248379339704963
15.775,12.677,1.439456154758646,0.8503488060101959,-3.2593525227887223,-0.4730576312218801
16.302,12.81,1.4875444839857652,0.8592701905017441,-2.9320503129228968,-0.3550445636322066
17.074,13.155,1.5579888675974087,0.8824121277166622,-2.678063377556647,-0.2263389237890811
14.125,12.028,1.2888949721689935,0.8068151328145963,-3.9348873664197157,-0.38505526160949827
14.763,12.263,1.3471119627703259,0.822578481352294,-3.649736845228217,-0.2796594505883923
14.082,12.396,1.2849712565015057,0.8314998658438423,-4.53043463536239,-0.8532940996522438
13.349,11.747,1.2180855917510722,0.7879661926482425,-4.288969478993383,-0.5868535130695237
15.23,12.346,1.3897253399032758,0.8281459618996513,-3.3073602781690887,0.4322417874062794
15.371,13.147,1.4025914773245736,0.8818755030855917,-4.369051480405721,-0.603685247168842
14.938,12.685,1.363080573044986,0.8508854306412665,-4.108364419939649,-0.2951653276609222
15.193,12.366,1.386349119445205,0.8294875234773276,-3.374390021046411,0.56346179952258
15.483,12.49,1.4128113879003559,0.8378052052589214,-3.270574426885787,0.6963934537592301
15.549,12.33,1.418833835203942,0.8270727126375101,-2.9643364838672355,0.9785986131524937
16.305,12.483,1.4878182315904735,0.8373356587067347,-2.4380640168787266,1.4736706962677641
15.986,12.709,1.4587097362898076,0.8524953045344782,-3.0964001113924304,0.6870381607519103
16.386,12.56,1.495209416917602,0.8425006707807889,-2.4726785269564076,1.2505275146519013
15.632,12.54,1.4264075189342094,0.8411591092031124,-3.196648784079086,0.39014409113656495
14.894,12.135,1.3590656081759285,0.813992487255165,-3.3265464908133726,0.1552443374359407
15.327,12.68,1.398576512455516,0.8505500402468473,-3.7118569842203204,-0.4359398230808186
15.5,12.965,1.414362624327037,0.8696672927287362,-3.966780820222116,-0.8660278644672814
15.437,12.738,1.4086139246281595,0.854440568822109,-3.688943238564546,-0.389216869030246
15.054,12.68,1.3736654804270463,0.8505500402468473,-3.98485698422032,-0.8128387315877075
15.075,12.438,1.3755817136600055,0.8343171451569628,-3.6004970954047586,-0.13203556665236252
15.052,12.335,1.3734829820239074,0.8274081030319292,-3.4688439195865683,0.16092518962620464
15.465,12.407,1.4111689022721052,0.8322377247115643,-3.1639509939449155,0.6374364206952197
15.062,11.908,1.374395474039602,0.7987657633485377,-2.8177089091558027,1.1423770657940155
