HOTUSDT,SANDUSDT,HOTUSDT_perc,SANDUSDT_perc,spread,zscore
0.001443,0.4337,1.0,1.0,-0.00010352786936686578,
0.001452,0.4369,1.006237006237006,1.0073783721466452,-0.00010593872752221291,
0.001453,0.4359,1.006930006930007,1.0050726308508187,-0.00010137283434866673,
0.001457,0.4349,1.0097020097020097,1.002766889554992,-9.380694117512101e-05,
0.001459,0.4367,1.0110880110880112,1.0069172238874797,-9.822554888750355e-05,
0.001467,0.4385,1.0166320166320166,1.0110675582199677,-9.664415659988638e-05,
0.001462,0.4342,1.0131670131670132,1.0011528706479134,-8.631081595363867e-05,
0.00146,0.4306,1.0117810117810118,0.9928522019829376,-7.547360052887354e-05,
0.00146,0.4287,1.0117810117810118,0.988471293520867,-6.869840349913651e-05,
0.00145,0.4266,1.0048510048510046,0.9836292367996311,-7.121002783468978e-05,
0.001452,0.425,1.006237006237006,0.9799400507263085,-6.350459875701644e-05,
0.001415,0.4147,0.9805959805959805,0.9561909153792946,-6.37758990694934e-05,
0.001425,0.4162,0.9875259875259875,0.9596495273230344,-5.912473882981224e-05,
0.001431,0.4197,0.9916839916839917,0.9677196218584276,-6.560536493722307e-05,
0.001422,0.4166,0.9854469854469855,0.9605718238413651,-6.355109609923059e-05,
0.00142,0.4147,0.9840609840609841,0.9561909153792946,-5.877589906949339e-05,
0.00142,0.4125,0.9840609840609841,0.9511182845284759,-5.0930934087692207e-05,
0.001426,0.4144,0.9882189882189881,0.9554991929905465,-5.170613111742952e-05,
0.001424,0.4131,0.9868329868329867,0.952501729305972,-4.907046999182e-05,
0.001427,0.4126,0.988911988911989,0.9513488586580586,-4.4287523405046793e-05,
0.001441,0.4168,0.9986139986139986,0.9610329721005304,-4.5264274733939746e-05,1.3107854926907114
0.00143,0.4123,0.990990990990991,0.9506571362693106,-4.02177554529831e-05,1.4218505369292591
0.001436,0.4125,0.9951489951489951,0.9511182845284759,-3.493093408769225e-05,1.5544139192048847
0.001536,0.4142,1.0644490644490645,0.9550380447313812,5.9007047517279634e-05,3.616835408626037
0.00157,0.4151,1.088011088011088,0.9571132118976252,8.979774366108819e-05,3.1125654395691194
0.001537,0.4138,1.065142065142065,0.9541157482130506,6.143340478669793e-05,2.0923429820853747
0.001518,0.4155,1.051975051975052,0.9580355084159557,3.6371386391670065e-05,1.4234838457443824
0.001493,0.4101,1.0346500346500347,0.9455845054184921,3.0627209528817775e-05,1.1862502355933984
0.001479,0.4093,1.024948024948025,0.9437399123818309,1.9479924067654624e-05,0.8798983743649842
0.001479,0.4117,1.024948024948025,0.9492736914918147,1.0921780451144357e-05,0.6432050106026792
0.001513,0.4124,1.0485100485100485,0.9508877103988933,4.2425655229662426e-05,1.1472310071546874
0.001503,0.4076,1.0415800415800416,0.9398201521789257,4.954194246268272e-05,1.1647478057827556
0.001486,0.4063,1.0297990297990296,0.936822688494351,3.717760358829241e-05,0.8412300935104761
0.0015,0.4082,1.0395010395010396,0.9412035969564215,4.440240655855508e-05,0.8925771156604805
0.001477,0.4106,1.0235620235620235,0.9467373760664054,1.2844262942044793e-05,0.209037690212679
0.001471,0.4078,1.0194040194040195,0.9402813004380909,1.682876382797351e-05,0.2229897994538573
0.001489,0.405,1.0318780318780318,0.9338252248097765,4.481326471390216e-05,0.7478405002781585
0.001482,0.4061,1.027027027027027,0.9363615402351857,3.389078222300161e-05,0.43373814994485677
0.001443,0.4031,1.0,0.9294443163477059,5.588461743639365e-06,-0.3160310258563721
0.001462,0.4054,1.0131670131670132,0.934747521328107,1.6386907444483666e-05,-0.1332864860696246
0.00145,0.4058,1.0048510048510046,0.9356698178464377,2.9605501750652134e-06,-0.60831979073301
0.001434,0.4037,0.9937629937629937,0.9308277611252018,-5.551074160488204e-06,-1.0074412287390118
0.001427,0.4026,0.988911988911989,0.9282914456997926,-8.628591669587564e-06,-1.2687331323202364
0.001441,0.4031,0.9986139986139986,0.9294443163477059,3.588461743639316e-06,-1.0127737758713973
0.001436,0.4025,0.9951489951489951,0.9280608715702099,7.279976477667614e-07,-1.0283959710754378
0.001435,0.4041,0.9944559944559944,0.9317500576435325,-5.977431429906666e-06,-1.3233664249533823
0.001442,0.4041,0.9993069993069992,0.9317500576435325,1.022568570093179e-06,-0.9225767318871928
0.001427,0.4048,0.988911988911989,0.933364076550611,-1.6473556651388534e-05,-1.626111142844949
0.001435,0.4048,0.9944559944559944,0.933364076550611,-8.473556651388556e-06,-1.111057617949536
0.001426,0.4019,0.9882189882189881,0.9266774267927138,-7.13246644810559e-06,-0.960659275035225
0.0014,0.3938,0.9702009702009702,0.9080009222965183,-4.248731742383582e-06,-0.7753720852239437
0.001397,0.3938,0.968121968121968,0.9080009222965183,-7.2487317423835466e-06,-0.8364313394227942
0.001402,0.3978,0.9715869715869716,0.9172238874798248,-1.6512304436567312e-05,-1.2193287227264387
0.001402,0.4009,0.9715869715869716,0.9243716854968873,-2.756657327455947e-05,-1.6340042492699018
0.001412,0.4005,0.9785169785169785,0.9234493889785567,-1.6140216005141282e-05,-0.9874921964618487
0.001406,0.3956,0.9743589743589742,0.9121512566290063,-4.667339454766462e-06,-0.26893346006475327
0.001417,0.3962,0.9819819819819819,0.9135347014065023,4.193124641106239e-06,0.29977425808078323
0.001415,0.3952,0.9805959805959805,0.9112289601106757,5.759017814652243e-06,0.6502534836167873
0.001421,0.3953,0.9847539847539847,0.9114595342402583,1.1402428497297524e-05,1.456069101210667
0.001401,0.3882,0.9708939708939708,0.8950887710398894,1.6720270029473407e-05,1.7881990421841134
0.001398,0.3867,0.9688149688149688,0.8916301590961494,1.9069109789792305e-05,1.9447152038554782
0.00139,0.3818,0.9632709632709632,0.880332026746599,2.854198634016751e-05,2.290854921491182
0.001395,0.3825,0.9667359667359667,0.8819460456536777,3.10458611186852e-05,2.071387454827539
0.001397,0.3834,0.968121968121968,0.8840212128199217,2.9836557262493844e-05,1.7305245178848916
0.001399,0.382,0.9695079695079695,0.8807931750057644,3.6828807705458324e-05,1.866525831736134
0.001399,0.3826,0.9695079695079695,0.8821766197832603,3.4689271801330865e-05,1.5498557795829069
0.001398,0.3855,0.9688149688149688,0.8888632695411576,2.334818159804744e-05,0.8748528648745489
0.001393,0.3846,0.9653499653499653,0.8867881023749136,2.155748545423883e-05,0.7234284788894083
0.001388,0.384,0.9618849618849618,0.8854046575974176,1.8697021358366275e-05,0.5090988443656127
0.001397,0.3853,0.968121968121968,0.8884021212819921,2.306136023275682e-05,0.6672195863589987
0.001401,0.388,0.9708939708939708,0.894627622780724,1.7433448664182487e-05,0.311691624279195
0.0014,0.3888,0.9702009702009702,0.8964722158173853,1.3580734125346033e-05,0.05700929659975227
0.001411,0.3894,0.9778239778239778,0.8978556605948813,2.24411982212183e-05,0.4830829637118351
0.001404,0.387,0.972972972972973,0.8923218814848974,2.3999341837728722e-05,0.50024905238818
0.00141,0.3879,0.9771309771309771,0.8943970486511414,2.6790037981537246e-05,0.6430497463663386
0.001413,0.3876,0.9792099792099792,0.8937053262623934,3.085980593360116e-05,0.9698169249450299
0.001403,0.3873,0.9722799722799722,0.8930136038736454,2.192957388566486e-05,-0.006929396737482791
0.001414,0.3867,0.9799029799029798,0.8916301590961494,3.506910978979226e-05,1.4306314622094911
0.001419,0.3874,0.9833679833679833,0.8932441780032282,3.7572984568310167e-05,1.6580587996002585
0.00142,0.3836,0.9840609840609841,0.884482361079087,5.212337862778478e-05,2.7937441180017757
