1INCHUSDT,REQUSDT,1INCHUSDT_perc,REQUSDT_perc,spread,zscore
2.547,0.4788,1.0,1.0,-0.5945271788452682,
2.4227,0.3713,0.95119748723989,0.7754803675856308,-0.013492651431178615,
2.7543,0.3931,1.081389870435807,0.8210108604845447,0.17507206766066252,
2.5531,0.3765,1.0023949744797802,0.7863408521303258,0.08278884119623342,
2.1501,0.3001,0.8441696113074205,0.6267752715121135,0.18106844951657286,
2.4333,0.292,0.955359246171967,0.6098579782790309,0.5174145860007973,
1.6911,0.2356,0.6639575971731448,0.4920634920634921,0.1452691659650267,
1.661,0.2282,0.652139772281115,0.47660818713450287,0.16372242645678758,
1.8598,0.2654,0.7301923831959167,0.5543024227234754,0.11844387371442289,
1.6569,0.2502,0.650530035335689,0.5225563909774436,0.015274895265066757,
1.4848,0.2207,0.582960345504515,0.46094402673350043,0.036731812090328386,
1.3839,0.2027,0.5433451118963486,0.42335004177109437,0.05393433761082722,
1.3031,0.2014,0.5116215155084413,0.42063492063492064,-0.018336035546025586,
1.3093,0.2086,0.5140557518649391,0.43567251461988304,-0.05937704575422531,
1.556,0.2107,0.6109148017275225,0.44005847953216376,0.17354432626838356,
1.747,0.2673,0.6859049862583432,0.5582706766917293,-0.00682250397940698,
1.9791,0.2723,0.7770318021201413,0.5687134502923976,0.19247123893156548,
1.5857,0.2391,0.6225755791126816,0.4993734335839599,0.016904786002707617,
1.4611,0.2151,0.5736552807224186,0.4492481203007519,0.04977482003003919,
1.4178,0.2104,0.5566548881036513,0.4394319131161237,0.037312701693724915,
1.1598,0.1893,0.455359246171967,0.39536340852130325,-0.08224489339057905,-0.705258383168632
1.302,0.1703,0.5111896348645465,0.3556808688387636,0.18461888354772515,0.7017441303459433
0.9786,0.1184,0.3842167255594817,0.24728487886382625,0.20174783213183,0.7569316942662354
0.9969,0.1144,0.3914016489988221,0.23893065998329158,0.246292837803052,1.0516259494563627
0.9206,0.1206,0.36144483706321157,0.2518796992481203,0.12931307901265798,0.15068777281205745
0.8586,0.1217,0.3371024734982332,0.25417710944026733,0.06009570245307194,-0.33073062189333974
0.6509,0.0988,0.25555555555555554,0.20634920634920634,0.002648359920817689,-0.8226529023613629
0.5802,0.0808,0.22779740871613663,0.16875522138680032,0.05005088544131653,-0.266948094179646
0.6924,0.0905,0.27184923439340397,0.1890142021720969,0.09860674668860325,0.30216471909108406
0.6271,0.1332,0.24621122889674124,0.27819548872180455,-0.24685868885169127,-2.6703015938602657
0.6393,0.1088,0.2510011778563015,0.227234753550543,-0.07456415425723717,-1.0730046738707952
0.645,0.1136,0.2532391048292108,0.23725981620718464,-0.10035816106270357,-1.1924708649277524
0.675,0.1185,0.26501766784452296,0.24749373433583957,-0.10250829300995035,-1.1108752238984212
0.7615,0.1354,0.29897919120533956,0.28279030910609854,-0.12689344197086327,-1.220762346146587
0.8065,0.1324,0.31664703572830777,0.27652464494569756,-0.06220968771744673,-0.7179581484671698
0.8391,0.1352,0.3294464075382803,0.28237259816207183,-0.04798119168730208,-0.5397442707353154
0.6995,0.1219,0.2746368276403612,0.25459482038429404,-0.10031654783048904,-0.9013174111739963
0.631,0.1046,0.24774244208873183,0.2184628237259816,-0.055306898302454166,-0.4810576463377295
0.672,0.1136,0.26383981154299174,0.23725981620718464,-0.07335816106270354,-0.5879136274317157
0.6482,0.1237,0.25449548488417745,0.25835421888053467,-0.1634268003825391,-1.1917792949300063
0.571,0.1066,0.22418531605810754,0.22263993316624894,-0.12842940113806522,-0.8439718736172571
0.6005,0.1015,0.23576756968983117,0.21198830409356725,-0.06546701890725715,-0.367197746286461
0.553,0.1024,0.2171181782489203,0.21386800334168757,-0.11887214518328204,-0.7052585695817548
0.6071,0.1038,0.23835885355319983,0.2167919799498747,-0.07395789716820989,-0.2580422758534523
0.5693,0.1161,0.22351786415390656,0.2424812030075188,-0.1924612896072172,-1.359460122093552
0.5795,0.1077,0.22752257557911268,0.224937343358396,-0.12714677769765126,-0.5929547441506713
0.6133,0.1087,0.24079308990969764,0.22702589807852966,-0.09990802911545671,-0.18203436159481548
0.6337,0.111,0.24880251276010992,0.2318295739348371,-0.0945989073764093,-0.05264673798554127
0.5214,0.0807,0.20471142520612484,0.16854636591478694,-0.008092989416902951,1.2517444240603992
0.5037,0.0825,0.1977620730270907,0.17230576441102757,-0.037603241968952816,1.154006932649648
0.5191,0.0894,0.20380840204161757,0.18671679197994986,-0.06747587675181066,0.5620225178680269
0.4969,0.0927,0.1950922654102866,0.19360902255639098,-0.11132800643056884,-0.42374837890825506
0.435,0.0936,0.1707891637220259,0.1954887218045113,-0.17913313270659387,-1.7608340515661682
0.39,0.0881,0.15312131919905772,0.1840016708437761,-0.1880462499086636,-1.715174616132127
0.3982,0.088,0.1563407930899097,0.18379281537176273,-0.179190124766883,-1.4200330784447888
0.3857,0.085,0.15143305850019628,0.17752715121136176,-0.17200637051346662,-1.1626659882064734
0.3973,0.0868,0.15598743619945032,0.18128654970760233,-0.17221662306551655,-1.0613954535612526
