ALPHAUSDT,GALAUSDT,ALPHAUSDT_perc,GALAUSDT_perc,spread,zscore
0.1172,0.05632,1.0,1.0,-0.02957792570255141,
0.10969,0.05419,0.9359215017064846,0.9621803977272727,-0.03153684293006499,
0.11929,0.05775,1.0178327645051195,1.025390625,-0.031214708972342756,
0.1281,0.06209,1.0930034129692832,1.102450284090909,-0.033715365889052135,
0.13227,0.06886,1.1285836177474402,1.22265625,-0.047188948222260135,
0.12376,0.06071,1.0559726962457339,1.0779474431818181,-0.03445888972659615,
0.12422,0.06009,1.0598976109215017,1.0669389204545454,-0.03238308159563766,
0.11625,0.0567,0.9918941979522184,1.0067471590909092,-0.03151825971830015,
0.11439,0.05649,0.976023890784983,1.0030184659090908,-0.03283096986749161,
0.11375,0.05444,0.9705631399317407,0.9666193181818182,-0.028128378466741807,
0.11098,0.0519,0.9469283276450512,0.9215198863636364,-0.024278777414105446,
0.11156,0.05327,0.9518771331058021,0.9458451704545454,-0.027269192155094338,
0.11259,0.05308,0.9606655290102388,0.9424715909090909,-0.025744025147219962,
0.11805,0.05525,1.0072525597269626,0.9810014204545454,-0.025939353605574658,
0.11348,0.05325,0.968259385665529,0.9454900568181818,-0.025297069312160192,
0.11657,0.05418,0.9946245733788396,0.9620028409090908,-0.024630781508597918,
0.12201,0.05702,1.0410409556313993,1.0124289772727273,-0.02659222520524647,
0.12014,0.05411,1.0250853242320819,0.9607599431818181,-0.0208783515583284,
0.12576,0.05542,1.0730375426621162,0.9840198863636362,-0.01867239777051488,
0.11948,0.05308,1.019453924914676,0.9424715909090909,-0.018854025147219955,
0.10615,0.04808,0.9057167235494881,0.8536931818181818,-0.019153314413683786,1.3573560083057172
0.1035,0.04717,0.8831058020477816,0.8375355113636362,-0.019431725060180205,1.1957628442321757
0.10855,0.04885,0.9261945392491467,0.8673650568181818,-0.018760043866648354,1.1710415321501508
0.11598,0.04958,0.9895904436860068,0.8803267045454545,-0.013232527633744634,1.7054014545466443
0.11706,0.04959,0.9988054607508532,0.8805042613636364,-0.012178589055211714,1.6290283809665196
0.12501,0.05084,1.0666382252559727,0.9026988636363636,-0.007486266738595759,2.214947303409887
0.12643,0.05068,1.078754266211604,0.8998579545454546,-0.005649283995122628,2.134129746442247
0.13916,0.05569,1.1873720136518773,0.9888139204545455,-0.005976056150125836,1.8411836914291564
0.14274,0.05832,1.2179180887372014,1.0355113636363635,-0.009250209995965847,1.3026438801901652
0.13208,0.05365,1.126962457337884,0.9525923295454546,-0.007739526170843086,1.3806203747428851
0.13527,0.0541,1.1541808873720136,0.9605823863636364,-0.005722290136861347,1.479806318210211
0.12975,0.0522,1.1070819112627988,0.9268465909090909,-0.006290620058117591,1.2683753255351065
0.13325,0.05373,1.1369453924914676,0.9540127840909091,-0.006778017542579645,1.1047177286300573
