TRBUSDT,ALICEUSDT,TRBUSDT_perc,ALICEUSDT_perc,spread,zscore
10.959,2.307,1.0,1.0,-11.406750778499482,
10.918,2.322,0.996258782735651,1.0065019505851756,-11.593171784861639,
11.47,2.665,1.0466283420020075,1.1551798872995231,-14.366465463676255,
12.673,2.72,1.1564011314900995,1.1790203727785002,-13.696675820337495,
11.942,2.799,1.0896979651428051,1.213263979193758,-15.193559787178177,
11.086,2.595,1.0115886485993248,1.1248374512353707,-14.071834100652866,
11.013,2.585,1.0049274568847524,1.1205028175119203,-14.047886763078095,
10.555,2.736,0.9631353225659276,1.1859557867360209,-15.969791560457125,
11.259,2.576,1.0273747604708459,1.116601647160815,-13.7146341592608,
10.632,2.32,0.970161511086778,1.0056350238404854,-11.859782317346683,
10.05,2.226,0.9170544757733371,0.9648894668400521,-11.530477344143844,
10.184,2.212,0.9292818687836482,0.9588209796272216,-11.26075107153917,
10.619,2.227,0.9689752714663746,0.965322930212397,-10.971172077901322,
11.994,2.33,1.0944429236244182,1.0099696575639359,-10.594729654921455,
11.207,2.223,1.0226298019892326,0.9635890767230169,-10.34439314287141,
11.925,2.304,1.088146728716124,0.9986996098829648,-10.411666577227049,
15.212,2.423,1.3880828542750252,1.0502817511920244,-8.27833989436682,
15.451,2.348,1.4098914134501324,1.0177719982661464,-7.312234862556039,
16.355,2.391,1.492380691668948,1.0364109232769831,-6.825108414127552,
14.19,2.237,1.2948261702710102,0.9696575639358475,-7.497119415476094,
14.47,2.061,1.3203759467104663,0.893368010403121,-5.510846274160135,1.9780107329562373
14.535,2.006,1.326307144812483,0.8695275249241439,-4.9126359174989,1.8758733706503425
16.469,2.135,1.5027831006478696,0.9254442999566536,-4.229256572213433,1.8041092261418685
17.181,2.183,1.5677525321653436,0.9462505418292154,-3.9826037925723305,1.6546575364724874
16.55,2.2,1.5101742859749978,0.9536194191590811,-4.778414266449442,1.297420591295318
16.702,2.233,1.5240441646135598,0.9679237104464673,-4.946340480446182,1.150277262003476
17.397,2.173,1.5874623597043525,0.9419159081057651,-3.6696564549975648,1.3580710415572217
17.813,2.364,1.6254220275572588,1.024707412223667,-5.105350602675674,0.8874534883600035
16.882,2.443,1.5404690208960674,1.058951018638925,-6.802234569516358,0.33207798131768934
15.277,2.451,1.3940140523770417,1.0624187256176854,-8.484792439576177,-0.3197000311627728
16.57,2.522,1.5119992700063876,1.0931946250541829,-7.880118536357038,-0.1833422997651825
16.776,2.353,1.5307966055297018,1.0199393151278717,-6.0357085313434276,0.44426722603054436
20.375,2.369,1.8592024819782829,1.0268747290853923,-2.591824271463061,1.6690627090301244
20.555,2.362,1.8756273382607902,1.023840485478977,-2.343961135160722,1.619359297830576
20.544,2.165,1.8746235970435259,0.9384482011270048,-0.445098584937746,2.1016349592568533
21.77,2.201,1.986495118167716,0.9540528825314262,0.43189099979307954,2.138249793522036
21.212,2.541,1.9355780636919426,1.1014304291287387,-3.422318477749105,0.6374309848501442
18.526,2.778,1.6904827082763025,1.2041612483745123,-8.40597037827116,-1.3918926739189723
23.434,2.846,2.1383337895793413,1.2336367576939749,-4.157212273779596,0.28333622659051394
32.003,2.829,2.9202481978282693,1.2262678803641094,4.576598200097511,2.849179093181393
26.407,2.874,2.409617665845424,1.245773732119636,-1.4556648189889536,0.8278929445679611
28.495,2.93,2.6001459987225113,1.270047680970958,0.08943009059233376,1.2021580169404023
27.79,2.718,2.5358153116160236,1.1781534460338101,1.439713647177463,1.4493148816924117
27.65,2.696,2.5230404233962953,1.1686172518422195,1.512997789841954,1.3260611588505309
27.91,2.725,2.5467652158043617,1.1811876896402256,1.4918505108751212,1.199840449606237
32.544,2.852,2.9696140158773607,1.236237537928045,4.894619323675538,1.8307899999453532
31.755,2.759,2.8976183958390362,1.1959254442999567,5.007229563120905,1.6312587360313504
