SFPUSDT,CRVUSDT,SFPUSDT_perc,CRVUSDT_perc,spread,zscore
0.3552,0.724,1.0,1.0,0.06591609339827603,
0.359,0.699,1.0106981981981982,0.9654696132596685,0.07970517857098747,
0.3688,0.831,1.0382882882882882,1.1477900552486187,0.03676280885907096,
0.3834,0.842,1.0793918918918919,1.1629834254143647,0.04696761138307792,
0.4032,0.819,1.135135135135135,1.1312154696132597,0.07595756974197249,
0.3741,0.749,1.0532094594594594,1.0345303867403315,0.07482700822556454,
0.3692,0.737,1.0394144144144144,1.0179558011049723,0.07472176910846601,
0.3468,0.696,0.9763513513513513,0.9613259668508287,0.06870386879171286,
0.3435,0.709,0.9670608108108109,0.9792817679558011,0.06020954450190291,
0.3254,0.687,0.9161036036036037,0.9488950276243096,0.05089993945388899,
0.3299,0.746,0.9287725225225225,1.0303867403314917,0.03182569844628996,
0.338,0.777,0.9515765765765766,1.0732044198895028,0.027539232832127725,
0.3406,0.796,0.9588963963963963,1.0994475138121549,0.02254752810086702,
0.3522,0.866,0.9915540540540541,1.1961325966850829,0.006178089617274896,
0.3405,0.956,0.9586148648648649,1.3204419889502763,-0.0414826170044863,
0.3488,0.96,0.9819819819819819,1.3259668508287292,-0.03478087063212021,
0.3594,1.05,1.0118243243243243,1.4502762430939227,-0.06014157725388147,
0.3498,1.009,0.9847972972972973,1.3936464088397789,-0.05335947757063464,
0.3505,1.014,0.986768018018018,1.4005524861878453,-0.05465729460517699,
0.3325,0.953,0.9360923423423424,1.3162983425414365,-0.04828392678376098,
0.305,0.887,0.8586711711711711,1.2251381215469614,-0.04941274192780276,-1.2912374385354655
0.2844,0.875,0.8006756756756755,1.2085635359116023,-0.06521798104490123,-1.4248325081554174
0.2985,1.048,0.8403716216216216,1.4475138121546962,-0.1202424504400646,-2.0796033359940784
0.3062,1.168,0.8620495495495496,1.6132596685082872,-0.1604900592690795,-2.2504396454737114
0.309,1.105,0.8699324324324323,1.526243093922652,-0.13251756463384667,-1.6193519355074475
0.3165,1.174,0.8910472972972973,1.6215469613259668,-0.1525874397105303,-1.6839209813194171
0.3124,1.078,0.8795045045045045,1.4889502762430942,-0.11832935264731831,-1.1218573149344464
0.3432,1.34,0.9662162162162162,1.8508287292817682,-0.19221496525733445,-1.8763906757432607
0.3646,1.247,1.0264639639639639,1.722375690607735,-0.13365556841484788,-1.0239938802043411
0.353,1.156,0.9938063063063062,1.5966850828729282,-0.10889529838617806,-0.6169714186548976
0.3723,1.402,1.0481418918918919,1.93646408839779,-0.1878878964856588,-1.6039447170313765
0.3626,1.433,1.0208333333333333,1.9792817679558012,-0.20997436209982118,-1.7316744714386272
0.3686,1.395,1.0377252252252251,1.9267955801104972,-0.18879095263729967,-1.3212055262490279
0.365,1.375,1.02759009009009,1.899171270718232,-0.18439968449913047,-1.1742050506681985
0.3311,1.176,0.9321509009009009,1.6243093922651934,-0.13878656652434723,-0.3883209025288097
0.3359,1.168,0.9456644144144143,1.6132596685082872,-0.13079005926907955,-0.18747704388911382
0.3602,1.325,1.0140765765765767,1.830110497237569,-0.1692215141537075,-0.7948127387102359
0.3796,1.544,1.0686936936936937,2.132596685082873,-0.23732590026666006,-1.8117302244931424
0.4142,1.423,1.1661036036036037,1.9654696132596687,-0.1543787280307365,-0.27134785677339257
0.3932,1.358,1.106981981981982,1.8756906077348068,-0.14940710658168677,-0.10047986126112192
0.3842,1.316,1.081644144144144,1.8176795580110499,-0.1416254434915315,0.16262381172022436
0.417,1.304,1.1739864864864864,1.8011049723756907,-0.10403068260862997,1.1932313680209965
0.3794,1.333,1.0681306306306306,1.841160220994475,-0.15321802140897517,0.07066205044933745
0.3916,1.331,1.1024774774774775,1.8383977900552486,-0.1402188945951583,0.4857246379324795
0.4438,1.328,1.2494369369369367,1.834254143646409,-0.08682020437443305,1.791851208061949
0.447,1.442,1.2584459459459458,1.9917127071823204,-0.1291704327619972,0.6408629220304687
0.4339,1.372,1.2215653153153152,1.8950276243093924,-0.11430099427840518,0.9679017861708997
0.438,1.402,1.2331081081081081,1.93646408839779,-0.12218789648565881,0.7685585615623056
0.4388,1.426,1.2353603603603605,1.9696132596685083,-0.13097741825146186,0.4715110587661006
0.4108,1.292,1.1565315315315314,1.7845303867403317,-0.10543592172572841,1.0954879487719134
0.4307,1.386,1.2125563063063063,1.9143646408839778,-0.12309488197512347,0.6585652442462054
0.4387,1.36,1.2350788288288288,1.8784530386740332,-0.10470623339550367,1.046217834053932
0.4491,1.417,1.2643581081081081,1.9571823204419891,-0.11708134758928573,0.6453172081539349
0.4356,1.433,1.2263513513513513,1.9792817679558012,-0.13697436209982117,-0.003376909821650938
0.4172,1.387,1.1745495495495495,1.9157458563535912,-0.13699444538203198,-0.07778246900804332
0.4193,1.333,1.1804617117117118,1.841160220994475,-0.11331802140897518,0.6471630250868541
0.4158,1.284,1.1706081081081081,1.7734806629834254,-0.09723941447046075,1.0795449953768
0.3949,1.181,1.1117680180180178,1.6312154696132597,-0.07698438355888959,1.5309549634326964
