ASTRUSDT,QNTUSDT,ASTRUSDT_perc,QNTUSDT_perc,spread,zscore
0.04773,56.05,1.0,1.0,0.029347149999738188,
0.04461,52.38,0.9346323067253299,0.9345227475468333,0.02743080851001402,
0.04684,55.63,0.9813534464697256,0.992506690454951,0.02859489838511035,
0.04889,58.51,1.0243033731405824,1.0438893844781445,0.029700338028272637,
0.04918,63.45,1.030379216425728,1.1320249776984836,0.028370154638419052,
0.04851,61.57,1.0163419233186675,1.0984834968777877,0.028316742649132556,
0.05235,58.66,1.0967944688874922,1.0465655664585192,0.033111142176354004,
0.04705,57.71,0.9857531950555206,1.0296164139161463,0.028122715905172,
0.04545,51.2,0.9522313010685103,0.913470115967886,0.028657815878440584,
0.04469,53.5,0.9363084014246805,0.9545049063336307,0.02714347948235491,
0.04258,52.5,0.8921014037293107,0.936663693131133,0.02536145182847912,
0.0429,55.8,0.8988057825267127,0.9955396966993756,0.024599143086269235,
0.04272,55.71,0.8950345694531741,0.9939339875111508,0.024448660597420416,
0.0443,60.64,0.9281374397653467,1.0818911685994648,0.02441175693102807,
0.04278,59.57,0.896291640477687,1.0628010704727922,0.023242687341380974,
0.04368,61.97,0.9151477058453802,1.1056199821587869,0.023355553710682875,
0.04541,64.39,0.9513932537188351,1.1487957181088315,0.024291860633062292,
0.04451,72.91,0.9325371883511419,1.3008028545941124,0.02059753624408405,
0.04518,84.91,0.9465744814582023,1.5148974130240858,0.01733186809059356,
0.04298,81.25,0.9004818772260632,1.449598572702944,0.016332246877408158,
0.04006,78.88,0.8393044206997695,1.407314897413024,0.01418954133772253,-2.2912534465358507
0.04009,79.74,0.839932956212026,1.4226583407671722,0.013937485120055715,-1.9910538005034926
0.04233,84.66,0.8868636077938403,1.5104371097234612,0.014563861177124614,-1.6405649335012216
0.04213,97.33,0.8826733710454641,1.736485280999108,0.010208451551730911,-2.0403936376920737
0.04109,104.21,0.8608841399539074,1.8592328278322925,0.006912001810396369,-2.15404633916988
0.04296,102.63,0.9000628535512256,1.831043710972346,0.00930019811727261,-1.5987538166982287
0.04122,98.63,0.8636077938403519,1.759678858162355,0.00887208750176944,-1.4808458603684347
0.04402,103.91,0.9222711083176198,1.8538804638715434,0.00994039351423362,-1.2466973212391106
0.04659,106.96,0.9761156505342552,1.9082961641391614,0.01151007785855479,-0.9373359383955006
0.04215,96.56,0.8830923947203017,1.7227475468331848,0.010480990258246545,-0.9975593097131055
0.04443,102.93,0.9308610936517913,1.8363960749330956,0.01067180641343534,-0.8873172781230234
0.04336,100.79,0.9084433270479783,1.7982158786797504,0.010303667234141153,-0.8614862930022783
0.04327,100.51,0.9065577205112089,1.793220338983051,0.010305499491055928,-0.7830290270292543
0.04395,97.65,0.9208045254556882,1.7421944692239073,0.011923500400971163,-0.4419415757921809
0.04085,87.73,0.8558558558558558,1.5652096342551296,0.012076986074523295,-0.3387813130228805
0.0411,92.87,0.8610936517913261,1.656913470115968,0.01064120821544487,-0.5467321875853289
0.04339,96.83,0.9090718625602345,1.7275646743978592,0.011632437724793013,-0.25095372031439916
0.04431,103.67,0.9283469516027656,1.849598572702944,0.010309106877303437,-0.533247239321733
0.04523,106.36,0.9476220406452964,1.897591436217663,0.010346861266229315,-0.4660163607931173
0.04545,106.19,0.9522313010685103,1.8945584299732383,0.01062261656507043,-0.26919129477673787
0.04775,102.54,1.0004190236748376,1.8294380017841214,0.01411971562842379,1.5957879304178106
0.04839,103.69,1.0138277812696417,1.8499553969669937,0.014382547430380956,1.7147544711025666
0.04604,103.4,0.9645924994762203,1.8447814451382696,0.012127659410756969,0.6131627079253984
0.04573,105.27,0.9580976325162371,1.8781445138269404,0.0112043511235047,0.21624222199509155
0.04814,103.66,1.0085899853341713,1.8494201605709188,0.014142386600764681,1.7515165487278965
0.04967,107.29,1.0406452964592499,1.914183764495986,0.014481846984333802,1.8608913580100124
0.05039,120.17,1.0557301487534045,2.1439785905441573,0.010977563166254013,-0.31600064944331246
0.0512,126.36,1.0727006075843286,2.2544157002676184,0.009757414343745177,-1.1555864136079388
0.05185,128.74,1.0863188770165515,2.296877787689563,0.009626840159969556,-1.2172393129844676
0.04732,125.61,0.9914100146658286,2.241034790365745,0.0061233936033383285,-2.6420804296096096
0.04955,126.75,1.038131154410224,2.2613737734165924,0.007979505128756725,-1.5277487747753704
0.04917,124.18,1.0301697045883091,2.2155218554861733,0.008442394058295936,-1.2048347326198552
0.05026,128.23,1.05300649486696,2.287778768956289,0.008204106056492903,-1.2222050186729843
0.0502,126.75,1.0517494238424472,2.2613737734165924,0.00862950512875673,-0.9722494826738708
0.04705,118.68,0.9857531950555206,2.1173951828724356,0.008126241961979079,-1.0851474026987598
0.04507,113.81,0.9442698512465953,2.0305084745762714,0.007743467287603972,-1.131753000857302
0.04477,116.21,0.9379844961240309,2.0733273862622656,0.006656333656905877,-1.4237111215236091
0.0425,109.79,0.8904253090299602,1.9587867975022304,0.006491916119023285,-1.3354371058644747
0.0428,108.82,0.8967106641525245,1.9414808206958072,0.007110049294763769,-1.0157398667960555
0.03995,99.15,0.8369997904881625,1.768956289027654,0.007431541881784846,-0.831570383943642
0.04036,104.82,0.845589775822334,1.8701159678858161,0.005981938679260598,-1.227456158870379
0.0408,110.87,0.8548082966687618,1.978055307760928,0.0044377059852091436,-1.6039440954197188
0.0407,107.33,0.8527131782945736,1.9148974130240857,0.005498728090488833,-1.158617970205482
0.04052,109.91,0.8489419652210349,1.96092774308653,0.00447255943748838,-1.3930770097299445
