ICPUSDT,TOMOUSDT,ICPUSDT_perc,TOMOUSDT_perc,spread,zscore
3.82,0.2652,1.0,1.0,-0.19857206522917759,
3.82,0.2672,1.0,1.0075414781297134,-0.2288780385717799,
3.79,0.2676,0.9921465968586388,1.009049773755656,-0.2649392332403009,
3.79,0.2682,0.9921465968586388,1.01131221719457,-0.2740310252430813,
3.79,0.2688,0.9921465968586388,1.0135746606334841,-0.28312281724586263,
3.83,0.2701,1.0026178010471205,1.018476621417798,-0.26282169991855486,
3.8,0.2702,0.9947643979057592,1.0188536953242835,-0.29433699858568474,
3.83,0.2696,1.0026178010471205,1.0165912518853697,-0.25524520658290406,
3.84,0.2691,1.0052356020942408,1.0147058823529411,-0.23766871324725347,
3.89,0.2671,1.018324607329843,1.0071644042232277,-0.15736273990465,
3.91,0.2671,1.0235602094240839,1.0071644042232277,-0.13736273990464998,
3.85,0.261,1.0078534031413613,0.9841628959276019,-0.10492952120971077,
3.91,0.2622,1.0235602094240839,0.9886877828054299,-0.06311310521527203,
3.92,0.2635,1.0261780104712042,0.9935897435897436,-0.0728119878879645,
3.9,0.2633,1.0209424083769634,0.9928355957767722,-0.08978139055370393,
3.91,0.2635,1.0235602094240839,0.9935897435897436,-0.08281198788796429,
3.87,0.2625,1.013089005235602,0.9898190045248869,-0.10765900121666272,
3.88,0.2644,1.0157068062827226,0.9969834087481148,-0.12644967589213607,
3.87,0.2634,1.013089005235602,0.993212669683258,-0.1212966892208347,
3.9,0.2642,1.0209424083769634,0.9962292609351433,-0.10341907855787591,
3.93,0.2671,1.0287958115183247,1.0071644042232277,-0.11736273990464996,0.664851418955343
3.91,0.2658,1.0235602094240839,1.002262443438914,-0.11766385723195771,0.6089821520156167
3.91,0.2655,1.0235602094240839,1.001131221719457,-0.11311796123056794,0.6007237067089028
3.98,0.2668,1.0418848167539267,1.0060331825037707,-0.06281684390325948,1.1209524973667386
4.0,0.2669,1.0471204188481675,1.0064102564102566,-0.044332142570389976,1.2460623352945384
3.99,0.2675,1.0445026178010473,1.0086726998491706,-0.06342393457317108,0.9310068740687263
4.02,0.266,1.0523560209424083,1.0030165912518854,-0.010694454566219314,1.5460792407447723
3.96,0.2625,1.036649214659686,0.9898190045248869,-0.017659001216662862,1.4541998746364757
3.96,0.2606,1.036649214659686,0.9826546003016592,0.011131673458810276,1.892176476290014
3.96,0.2615,1.036649214659686,0.9860482654600302,-0.002506014545361701,1.6735161295443879
3.97,0.2625,1.0392670157068065,0.9898190045248869,-0.007659001216662631,1.4362066011290764
3.95,0.2598,1.0340314136125655,0.9796380090497737,0.01325406279585195,1.683978455809027
3.99,0.2589,1.0445026178010473,0.9762443438914028,0.06689175080002263,2.2863656905446805
4.05,0.2604,1.0602094240837696,0.9819004524886878,0.10416227079306983,2.3686986102225474
4.06,0.2607,1.06282722513089,0.9830316742081447,0.10961637479167985,2.052826916849414
4.01,0.2606,1.049738219895288,0.9826546003016592,0.0611316734588101,1.2581185430401456
4.01,0.2593,1.049738219895288,0.9777526395173454,0.08083055613150236,1.3580460246400115
4.01,0.2586,1.049738219895288,0.9751131221719457,0.09143764680141331,1.3424067087102123
3.96,0.256,1.036649214659686,0.9653092006033183,0.08083541214679713,1.1081586429094068
4.0,0.2576,1.0471204188481675,0.971342383107089,0.09659063347271468,1.1955951132175437
4.01,0.2591,1.049738219895288,0.976998491704374,0.0838611534657625,0.9446170503745195
4.01,0.2592,1.049738219895288,0.9773755656108597,0.08234585479863243,0.8511307868565859
4.04,0.2582,1.0575916230366493,0.973604826546003,0.1274988414699343,1.3902774163405873
4.04,0.259,1.0575916230366493,0.9766214177978885,0.11537645213289238,1.1641758933820456
4.06,0.2588,1.06282722513089,0.975867269984917,0.138407049467153,1.4228897561354894
4.07,0.26,1.0654450261780106,0.9803921568627452,0.13022346546159103,1.1899123577387878
4.03,0.2599,1.0549738219895288,0.9800150829562595,0.09173876412872106,0.4529835627202822
4.05,0.2594,1.0602094240837696,0.9781297134238311,0.11931525746437144,0.9196184596710499
4.04,0.2598,1.0575916230366493,0.9796380090497737,0.10325406279585181,0.5157617782634479
4.01,0.259,1.049738219895288,0.9766214177978885,0.08537645213289213,0.024657117277198385
4.03,0.256,1.0549738219895288,0.9653092006033183,0.1508354121467974,1.569708195102967
4.0,0.2552,1.0471204188481675,0.9622926093514328,0.13295780148383907,1.113287329771621
3.99,0.2579,1.0445026178010473,0.9724736048265461,0.08204473747132424,-0.7975262221104097
4.02,0.2596,1.0523560209424083,0.9788838612368025,0.08628466013011149,-0.6915625984830466
3.96,0.2592,1.036649214659686,0.9773755656108597,0.03234585479863261,-2.378172758777542
3.93,0.258,1.0287958115183247,0.9728506787330318,0.02052943880419411,-2.269793662981649
3.93,0.2585,1.0287958115183247,0.9747360482654601,0.012952945468543309,-2.1704574781056727
3.95,0.2586,1.0340314136125655,0.9751131221719457,0.0314376468014137,-1.5081408845684712
3.94,0.2583,1.031413612565445,0.9739819004524887,0.025983542802804127,-1.4757301001809195
3.91,0.2565,1.0235602094240839,0.9671945701357466,0.0232589188111465,-1.3983891377271682
3.95,0.257,1.0340314136125655,0.9690799396681751,0.055682425475495734,-0.6076682405029306
3.96,0.2555,1.036649214659686,0.9634238310708899,0.08841190548244793,0.13002910347691382
4.0,0.2545,1.0471204188481675,0.9596530920060332,0.14356489215374957,1.2589752264893028
4.02,0.2544,1.0523560209424083,0.9592760180995475,0.1650801908208792,1.6044742437837416
4.05,0.2536,1.0602094240837696,0.9562594268476622,0.20720258015792092,2.106507670990202
