AVAXUSDT,AKROUSDT,AVAXUSDT_perc,AKROUSDT_perc,spread,zscore
16.913,0.004774,1.0,1.0,-5.452669259178798,
16.08,0.004552,0.9507479453674686,0.9534981147884374,-5.245623474608692,
18.29,0.004632,1.0814166617394902,0.9702555509007122,-3.41041474832765,
20.471,0.00468,1.2103707207473542,0.9803100125680771,-1.4542895125590256,
21.36,0.00468,1.2629338378761898,0.9803100125680771,-0.5652895125590263,
19.73,0.004512,1.1665582687873233,0.9451193967323002,-1.408227837749216,
19.32,0.004544,1.1423165612250932,0.95182237117721,-1.968144347236798,
18.1,0.004147,1.070182699698457,0.868663594470046,-1.328242651406466,
17.791,0.004257,1.051912729852776,0.8917050691244242,-2.1525806527700375,
16.988,0.004085,1.004434458700408,0.8556765814830332,-2.1497794142742777,
16.114,0.004158,0.9527582333116538,0.870967741935484,-3.365776451542825,
16.324,0.004164,0.9651747176727962,0.8722245496439046,-3.1838857970717456,
16.65,0.004238,0.9844498314905693,0.8877251780477586,-3.204567725261782,
17.915,0.004538,1.0592443682374504,0.9505655634687894,-3.3450350017078776,
18.037,0.004193,1.0664577543901141,0.8782991202346041,-1.6067476337948676,
19.159,0.004317,1.1327972565482172,0.9042731462086301,-1.0656741080592518,
20.18,0.00468,1.193165020989771,0.9803100125680771,-1.745289512559026,
19.71,0.004446,1.1653757464672145,0.9312945119396734,-1.119025036931074,
19.885,0.004633,1.1757228167681666,0.9704650188521157,-1.8200996392491362,
19.15,0.004375,1.1322651215041684,0.9164222873900295,-1.3463977815055017,
17.335,0.004354,1.0249512209542955,0.9120234604105573,-3.063015072154272,-0.518642280588404
16.741,0.004271,0.9898303080470644,0.894637620444072,-3.268169125670852,-0.8742278173069656
18.82,0.00438,1.1127535032223734,0.9174696271470466,-1.699822236112933,0.4477349286371559
19.751,0.004442,1.1677999172234377,0.9304566401340595,-1.0592854732451222,1.0549815060998338
19.354,0.004609,1.144326849169278,0.9654377880184333,-2.238662257133452,-0.23297335334218838
21.247,0.005234,1.2562525867675751,1.0963552576455804,-3.2737190830628045,-1.303212739387074
20.621,0.00481,1.21923963814817,1.0075408462505238,-1.9133253323523327,0.3262850620695944
23.968,0.004968,1.4171347484183763,1.0406367825722667,0.6934619020527286,2.629193154897665
24.713,0.005183,1.461183704842429,1.0856723921240052,0.43121035393302876,2.0545843529619936
23.573,0.004775,1.3937799325962277,1.0002094679514035,1.2026458498997172,2.2197937679585587
24.998,0.004919,1.4780346479039792,1.0303728529534981,1.9530215572055916,2.2538969963832245
23.62,0.00476,1.3965588600484835,0.997067448680352,1.3199192137220166,1.6411438513694243
23.587,0.004992,1.394607698220304,1.045664013405949,0.20002451993704184,0.8770596091142984
23.803,0.004875,1.407378939277479,1.021156263091747,0.9641567577510166,1.2207481434572764
20.909,0.004769,1.2362679595577366,0.9989526602429829,-1.4332448045713662,-0.31233263967659336
20.7,0.004705,1.2239106013125998,0.9855467113531631,-1.3424117855961981,-0.2628339498298057
23.388,0.004875,1.3828416011352216,1.021156263091747,0.5491567577510175,0.887550368264298
24.185,0.005149,1.4299651155915567,1.0785504817762883,0.062496645263586004,0.5266948527584604
24.48,0.005135,1.4474073198131614,1.0756179304566402,0.42308511816440486,0.6997712225410161
24.215,0.005171,1.43173889907172,1.083158776707164,-0.01057095500912908,0.3788077823937388
23.71,0.005343,1.401880210488973,1.1191872643485548,-1.3213721935048817,-0.4478738754896819
23.557,0.005251,1.3928339147401405,1.0999162128194386,-1.0433622287280855,-0.3551900890399823
22.82,0.005016,1.3492579672441318,1.0506912442396314,-0.6794128621786442,-0.2134241294665794
23.02,0.005023,1.3610831904452196,1.0521575198994555,-0.5122070986290552,-0.13477613426891757
23.36,0.004962,1.381186069887069,1.039379974863846,0.11357124758164971,0.29960562714349737
24.955,0.005101,1.4754922249157452,1.0684960201089233,1.0573714094949622,0.9361544414241183
26.627,0.005147,1.57435109087684,1.0781315458734815,2.51386642710656,2.0255324546832028
27.895,0.005163,1.6493230059717376,1.0814830330959364,3.7069081723627697,2.5198308736075785
27.93,0.005192,1.651392420031928,1.087557603686636,3.6060463356396504,2.0614444268878844
27.406,0.005026,1.6204103352450776,1.0527859237536659,3.8597382286064814,1.9091598242779264
29.155,0.005169,1.7238219121385916,1.082739840804357,4.93879882683385,2.1451326429321655
28.514,0.005206,1.6859220717791048,1.090490155006284,4.124457862738829,1.5607736415854385
29.323,0.005442,1.7337550996275055,1.139924591537495,3.8278236052679055,1.2927723533431907
29.142,0.005332,1.7230532726305208,1.116883116883117,4.1621616066314715,1.3066395086600697
28.157,0.00512,1.6648140483651628,1.0724759111855888,4.170358481986707,1.1938764084330529
27.88,0.005156,1.6484361142316561,1.0800167574361124,3.724702408813176,0.9092141311611973
27.095,0.004963,1.602022113167386,1.0395894428152495,3.8438863566601604,0.879079229062438
25.54,0.004705,1.5100810027789273,0.9855467113531631,3.4975882144038017,0.6523143203161453
24.18,0.004452,1.4296694850115295,0.932551319648094,3.3228656175400033,0.5072398910879654
22.415,0.004097,1.3253118902619285,0.8581901968998744,3.2210018946678787,0.4020671698916946
22.275,0.004049,1.3170342340211671,0.8481357352325094,3.3058766588992547,0.37899643732058885
22.96,0.004124,1.3575356234848932,0.8638458315877672,3.6395098397877312,0.4735391056499214
22.556,0.003938,1.3336486726186958,0.8248847926267281,4.106899551184313,0.67275516381444
23.495,0.004049,1.3891680955478034,0.8481357352325094,4.525876658899257,0.8983633046768598
22.983,0.004002,1.3588955241530185,0.8382907415165481,4.234066532209141,0.6652603299055042
