ANTUSDT,CROUSDT,ANTUSDT_perc,CROUSDT_perc,spread,zscore
1.67,0.1167,1.0,1.0,-0.22235553014400944,
1.666,0.11436,0.9976047904191617,0.979948586118252,-0.1884111261976773,
1.729,0.12106,1.0353293413173654,1.0373607540702656,-0.23405535971922675,
1.922,0.12721,1.1508982035928144,1.0900599828620394,-0.1407810367576643,
1.875,0.12893,1.122754491017964,1.1047986289631533,-0.21567179521394264,
1.687,0.12415,1.010179640718563,1.0638389031705227,-0.326161431597076,
1.677,0.1243,1.004191616766467,1.0651242502142244,-0.33859376518337925,
1.569,0.1201,0.9395209580838323,1.0291345329905741,-0.3784884247668854,
1.597,0.11737,0.9562874251497007,1.0057412167952013,-0.3062199534961645,
1.536,0.11515,0.9197604790419163,0.9867180805484148,-0.3312214164188747,
1.516,0.11269,0.9077844311377246,0.9656383890317052,-0.3113311456034997,
1.555,0.11299,0.9311377245508982,0.9682090831191088,-0.2771958127761065,
1.559,0.11321,0.9335329341317365,0.9700942587832049,-0.27676323536935143,
1.634,0.11838,0.9784431137724551,1.0143958868894603,-0.285597666310607,
1.683,0.11615,1.0077844311377246,0.9952870608397602,-0.20043697366089708,
1.686,0.11959,1.0095808383233533,1.024764353041988,-0.253218490573454,
1.7,0.12337,1.0179640718562875,1.0571550985432734,-0.30051329694829865,
1.76,0.1221,1.0538922155688624,1.0462724935732648,-0.2199195392509301,
1.75,0.12461,1.0479041916167666,1.0677806341045415,-0.27062058792840604,
1.694,0.11931,1.0143712574850299,1.0223650385604113,-0.24067813454568787,
1.55,0.1131,0.9281437125748504,0.9691516709511568,-0.283979524072729,-0.2995373603351359
1.516,0.11009,0.9077844311377246,0.9433590402742074,-0.26917069677424155,-0.0029943782331465258
1.605,0.11583,0.9610778443113773,0.9925449871465296,-0.2732479953434499,-0.003868886977498409
1.644,0.1185,0.9844311377245509,1.0154241645244215,-0.27754353317964964,-0.0461469312123055
1.746,0.11963,1.0455089820359282,1.025107112253642,-0.19386711286313485,1.7871934949949386
1.771,0.11964,1.0604790419161676,1.0251928020565553,-0.1690292684355552,2.090576515752859
1.713,0.12075,1.025748502994012,1.0347043701799485,-0.2450285369741998,0.5314356229562524
1.912,0.13241,1.1449101796407186,1.134618680377035,-0.23510193441618066,0.6562367207315045
1.889,0.1354,1.1311377245508982,1.1602399314481575,-0.30658645056982725,-1.0371460618363662
1.756,0.13204,1.051497005988024,1.1314481576692372,-0.3851021782366322,-2.4189846247595694
1.776,0.13439,1.0634730538922157,1.151585261353899,-0.40320873775538524,-2.387582878224908
1.686,0.13094,1.0095808383233533,1.1220222793487575,-0.43726506527040776,-2.4349264486889592
1.724,0.12629,1.0323353293413173,1.0821765209940017,-0.3238627240950043,-0.6766689574167842
1.709,0.12854,1.0233532934131737,1.1014567266495285,-0.37534772788955406,-1.312589763379336
1.584,0.11989,0.9485029940119761,1.0273350471293916,-0.3600831577460606,-1.0156904609879467
1.614,0.12045,0.9664670658682636,1.032133676092545,-0.3391638698015931,-0.6518907196404674
1.723,0.1312,1.0317365269461078,1.1242502142245074,-0.4044811101533339,-1.413186240156506
1.89,0.13512,1.1317365269461077,1.157840616966581,-0.301046094542061,-0.00494805998907748
1.992,0.13751,1.192814371257485,1.1783204798628963,-0.23780127635049464,0.878062661008326
1.971,0.1404,1.180239520958084,1.2030848329048842,-0.30566423677993937,-0.034073049507393885
1.955,0.13994,1.1706586826347307,1.1991431019708656,-0.31420508044860895,-0.1059081417785027
2.031,0.1384,1.2161676646706587,1.1859468723221935,-0.21323312229589453,1.2243988481643977
1.949,0.1512,1.1670658682634731,1.2956298200514138,-0.5027922549937809,-2.2170288430489964
1.926,0.14421,1.1532934131736527,1.23573264781491,-0.41244550987204476,-1.0503463283324936
1.966,0.14252,1.177245508982036,1.2212510711225366,-0.3450412181330267,-0.23965644521329352
2.032,0.14721,1.2167664670658684,1.261439588688946,-0.3550921815981116,-0.2839950996966591
2.017,0.14453,1.2077844311377246,1.2384747215081404,-0.3266344881894918,0.17756375622122963
2.08,0.1467,1.2455089820359282,1.25706940874036,-0.2988222474046802,0.6195593827274237
2.102,0.15072,1.2586826347305389,1.291516709511568,-0.3420087875176101,0.07850218479076077
2.112,0.1457,1.2646706586826348,1.2485004284490147,-0.2506066901626576,1.3773174526880578
2.238,0.15143,1.340119760479042,1.2976006855184234,-0.21752183315944595,1.634035722682465
2.171,0.15121,1.3,1.2957155098543274,-0.2809544105662014,0.6896322561845546
2.181,0.15536,1.3059880239520958,1.3312767780634105,-0.33824897312059354,-0.1810979973058203
2.095,0.15418,1.254491017964072,1.3211653813196231,-0.4051146155750076,-1.0749433626335116
2.008,0.15208,1.2023952095808383,1.3031705227077977,-0.45806194536676026,-1.6598124212920906
2.006,0.15091,1.2011976047904191,1.2931448157669236,-0.4410897433935945,-1.3211328467970906
1.992,0.15049,1.192814371257485,1.2895458440445589,-0.448279209351945,-1.2867435163679122
1.863,0.14295,1.1155688622754492,1.224935732647815,-0.45501390774709627,-1.298343693720975
1.758,0.14046,1.0526946107784432,1.203598971722365,-0.5196371702144607,-1.7830367007980632
1.643,0.12229,0.9838323353293413,1.0479005998286204,-0.3400004951269142,0.23278694115460452
1.593,0.12465,0.9538922155688623,1.0681233933161953,-0.42826921021808717,-0.701374645992353
1.645,0.1277,0.9850299401197605,1.0942587832047987,-0.42572665980625546,-0.6120134496640237
1.649,0.1281,0.9874251497005988,1.0976863753213366,-0.42821288270306423,-0.5701249957999249
1.725,0.12869,1.032934131736527,1.1027420736932305,-0.3617800614758573,0.17513365976845005
1.679,0.12865,1.0053892215568863,1.1023993144815767,-0.4071314391861762,-0.42203288388004584
1.754,0.13165,1.0502994011976048,1.1281062553556127,-0.3807781109122437,-0.05471155801933801
1.533,0.12052,0.9179640718562874,1.0327335047129391,-0.42129895880853496,-0.5430957088268795
1.589,0.12013,0.951497005988024,1.0293916023993146,-0.3589748914841462,0.2952060667068961
1.512,0.11766,0.9053892215568863,1.0082262210796915,-0.3959224650963509,-0.1362562795543296
1.659,0.1233,0.9934131736526947,1.0565552699228793,-0.3403782079413571,0.620030056933606
1.586,0.12099,0.9497005988023953,1.0367609254498715,-0.3759202707122853,0.23886938538677616
1.659,0.12257,0.9934131736526947,1.050299914310197,-0.32854085115468057,1.2345664381861219
1.733,0.12195,1.0377245508982036,1.044987146529563,-0.24448720566462678,2.5246863390503975
1.769,0.11973,1.0592814371257484,1.0259640102827763,-0.17248866858733725,2.8164061770980666
1.844,0.1196,1.1041916167664672,1.0248500428449014,-0.09538064614587416,2.794647448154789
1.868,0.1201,1.118562874251497,1.0291345329905741,-0.07948842476688522,2.373645875756368
1.931,0.12023,1.1562874251497006,1.030248500428449,-0.01859644720834841,2.3362484379198722
1.911,0.11237,1.1443113772455091,0.9628963153384748,0.08885783271394754,2.4709816641665228
1.847,0.11344,1.1059880239520958,0.9720651242502142,0.007507186464983384,1.7186786537180316
1.82,0.11577,1.0898203592814373,0.9920308483290489,-0.057275061908928615,1.2241983890632278
2.048,0.12015,1.2263473053892215,1.0295629820051415,0.09970079737101334,1.8454991618646652
1.962,0.12409,1.1748502994011976,1.0633247643530421,-0.050188498162554884,0.9462407966018068
1.962,0.12339,1.1748502994011976,1.0573264781491003,-0.038837608093139186,0.9161557403221412
1.93,0.12178,1.1556886227544911,1.0435304198800344,-0.044730560933483154,0.8024525024998154
1.734,0.11034,1.0383233532934133,0.9455012853470437,-0.05522458608474712,0.6716562865218493
1.759,0.11179,1.0532934131736527,0.9579263067694944,-0.053737144085679756,0.6075835303188691
1.657,0.10573,0.9922155688622755,0.9059982862039417,-0.057470867199024056,0.5159513616456215
1.721,0.10625,1.0305389221556887,0.9104541559554413,-0.001902956964875635,0.7811217503325787
1.75,0.11112,1.0479041916167666,0.9521850899742931,-0.05187272073352456,0.3860027824169911
1.62,0.10198,0.970059880239521,0.8738646101113968,-0.03366252754144017,0.43852432936263164
1.683,0.10408,1.0077844311377246,0.891859468723222,-0.0047151977496873165,0.5938364859749096
1.66,0.10404,0.9940119760479041,0.891516709511568,-0.027066575460006348,0.32380792463571917
1.606,0.10183,0.9616766467065869,0.872579263067695,-0.045230193955136944,-0.008833610183542269
1.668,0.10865,0.9988023952095808,0.9310197086546701,-0.09382029434572936,-0.9674536261580642
1.649,0.12335,0.9874251497005988,1.0569837189374465,-0.35118898580345803,-3.564547939760818
1.628,0.11886,0.9748502994011976,1.0185089974293058,-0.2993811337867778,-2.39880076373537
1.597,0.11501,0.9562874251497007,0.9855184233076264,-0.2679512384049916,-1.8212367485134582
1.65,0.11528,0.9880239520958084,0.9878320479862895,-0.21932943886033773,-1.2511624384556763
1.675,0.11099,1.0029940119760479,0.9510711225364182,-0.12476469829206183,-0.3667168369439542
1.685,0.11202,1.0089820359281438,0.9598971722365038,-0.1314667222513446,-0.3729967204240154
1.665,0.11184,0.9970059880239521,0.9583547557840617,-0.14854792194778055,-0.4884120076837509
1.692,0.1098,1.0131736526946107,0.9408740359897172,-0.08846818517405519,0.15875496887124418
1.674,0.11087,1.0023952095808384,0.9500428449014567,-0.12381883142301908,-0.162434811516484
1.605,0.1096,0.9610778443113773,0.9391602399314481,-0.17222507372565077,-0.5902915429385844
1.677,0.10942,1.004191616766467,0.937617823479006,-0.09730627342208664,0.19868728161570945
1.72,0.11143,1.0299401197604792,0.9548414738646102,-0.08689954347855156,0.32374358537204145
1.707,0.11038,1.0221556886227545,0.9458440445586975,-0.08287320837442813,0.3828955374724884
1.684,0.10926,1.0083832335329341,0.9362467866323907,-0.08771178426336301,0.350153445285983
1.689,0.10796,1.011377245508982,0.9251071122536418,-0.06163155984873403,0.6753335108870672
1.676,0.10689,1.0035928143712576,0.9159383033419023,-0.057280913599770056,0.7269973646848971
1.684,0.10703,1.0083832335329341,0.9171379605826907,-0.05155109161365323,0.805668232204617
1.614,0.10338,0.9664670658682636,0.8858611825192803,-0.06236430768027157,0.7413683609086965
1.624,0.10178,0.9724550898203594,0.8721508140531277,-0.026419416093035553,1.1486486503942916
1.617,0.10189,0.9682634730538923,0.8730934018851756,-0.03520312738965825,1.0377172506413197
1.572,0.10331,0.9413173652694612,0.885261353898886,-0.1032292186733299,0.275525817368832
1.538,0.10347,0.9209580838323354,0.8866323907455014,-0.13982370783205367,-0.30832144454734534
1.527,0.1041,0.9143712574850299,0.8920308483290489,-0.16103950889452778,-0.8324002406217341
1.583,0.10468,0.9479041916167665,0.8970008568980291,-0.11444453209490058,-0.22371639006588515
1.631,0.10966,0.9766467065868264,0.9396743787489288,-0.14719800716017195,-1.1244916083207714
1.605,0.10833,0.9610778443113773,0.9282776349614396,-0.15163131602828228,-1.166901619278763
1.583,0.10528,0.9479041916167665,0.9021422450728364,-0.12417386644011397,-0.5389082114425997
1.545,0.10341,0.9251497005988024,0.8861182519280206,-0.13185077439753234,-0.7507391080881443
1.558,0.10602,0.9329341317365271,0.9084832904884319,-0.16117337879921068,-1.30689060933627
1.565,0.10533,0.937125748502994,0.9025706940874035,-0.14298464430221514,-0.859402570661805
1.585,0.1075,0.9491017964071856,0.921165381319623,-0.1581724035174037,-1.2425663097665438
1.625,0.10561,0.9730538922155689,0.9049700085689802,-0.08752500032998145,0.36749298763728994
1.654,0.10845,0.9904191616766467,0.929305912596401,-0.1045771828973252,-0.003569072088147557
1.728,0.11227,1.0347305389221557,0.9620394173093402,-0.09252061156185021,0.2852526661433288
1.749,0.10999,1.047305389221557,0.9425021422450729,-0.03454914105003937,1.4782817518204605
1.81,0.11232,1.0838323353293413,0.9624678663239075,-0.01133138942395151,1.7982383013988532
1.816,0.11076,1.087425149700599,0.9491002570694087,0.019964879873603625,2.1073454127174442
1.816,0.11422,1.087425149700599,0.9787489288774636,-0.036140948183793986,1.0629697209429634
1.844,0.11479,1.1041916167664672,0.9836332476435304,-0.01738381581174675,1.309768406408202
1.805,0.11207,1.0808383233532934,0.9603256212510711,-0.012277500113446083,1.3651831887055368
1.851,0.10943,1.1083832335329342,0.9377035132819195,0.07653157100549324,2.388758733016178
1.92,0.11074,1.1497005988023952,0.9489288774635819,0.1242891910184436,2.433135525928122
2.072,0.11712,1.2407185628742516,1.003598971722365,0.17283393581434114,2.4070771105086615
2.022,0.12173,1.2107784431137725,1.043101970865467,0.04808021692861786,1.0241474713703336
1.853,0.11985,1.1095808383233534,1.0269922879177378,-0.0904345354563798,-0.4116192816872948
1.906,0.12445,1.141317365269461,1.0664095972579264,-0.11202609876968306,-0.6619220702185401
1.724,0.1022,1.0323353293413173,0.8757497857754927,0.06677004986531476,1.1023455270119036
1.652,0.08015,0.9892215568862275,0.6868037703513282,0.35232308705190785,2.924076685837357
1.826,0.0956,1.0934131736526946,0.8191945158526136,0.2757927276626624,1.9729848751544907
1.977,0.08668,1.1838323353293414,0.7427592116538132,0.571435498261502,2.95536851903018
1.771,0.07979,1.0604790419161676,0.6837189374464439,0.47716068765903574,2.056562008252901
1.808,0.0659,1.0826347305389223,0.5646958011996572,0.7393947777507266,2.6183868623955733
1.905,0.06984,1.1407185628742516,0.5984575835475578,0.7725054822171584,2.2546784934728086
1.87,0.07397,1.1197604790419162,0.633847472150814,0.6705352308076062,1.6573041160263644
1.972,0.07063,1.1808383233532935,0.6052270779777207,0.8266951919959606,1.889314524258226
2.017,0.07025,1.2077844311377246,0.6019708654670095,0.877857103747929,1.7811896887211436
2.183,0.0726,1.307185628742515,0.622107969151671,1.0057505442291765,1.8596665676814177
2.101,0.07094,1.2580838323353294,0.6078834618680378,0.9506683692509337,1.5170759522902357
1.779,0.06387,1.0652694610778444,0.5473007712082262,0.7433123589520318,0.8878293493724335
1.842,0.06385,1.102994011976048,0.5471293916023994,0.8066366700968723,0.9595987488378469
1.871,0.06486,1.1203592814371257,0.5557840616966581,0.8192589572824298,0.9043924877260566
1.899,0.06766,1.137125748502994,0.579777206512425,0.8018553970047673,0.777036260747205
1.878,0.06558,1.1245508982035928,0.5619537275064267,0.8145837560681735,0.7344450397495809
1.808,0.06539,1.0826347305389223,0.5603256212510712,0.747664711944158,0.4823233506752083
1.795,0.06445,1.0748502994011977,0.5522707797772065,0.749907335751659,0.41739981909850576
1.791,0.06427,1.0724550898203593,0.5507283633247643,0.7488261360552229,0.3346113565728609
1.855,0.06325,1.1107784431137724,0.5419880034275921,0.8293660044420856,0.5741407094629248
1.881,0.06351,1.1263473053892217,0.5442159383033419,0.8511499595591601,0.6444820923425372
1.955,0.06566,1.1706586826347307,0.5626392459297344,0.8902865114888119,0.8088773139069771
1.966,0.06532,1.177245508982036,0.559725792630677,0.9067998009510994,0.9783695005504094
1.946,0.06498,1.1652694610778442,0.5568123393316196,0.8923130904133871,0.789800382284564
1.98,0.0637,1.18562874251497,0.5458440445586976,0.9470690036831755,1.4146503216436352
2.162,0.0649,1.2946107784431138,0.5561268209083119,1.1096103349927489,2.599285598430313
2.15,0.0688,1.2874251497005988,0.5895458440445587,1.0343696617488616,1.631667542321019
2.17,0.06655,1.2994011976047903,0.5702656383890317,1.090854665543412,1.927075862337713
2.256,0.0637,1.3508982035928143,0.5458440445586976,1.2230690036831753,2.456465729114462
2.154,0.06468,1.2898203592814372,0.5542416452442159,1.1051777575859936,1.4075504816661266
2.255,0.0639,1.3502994011976048,0.5475578406169666,1.2188258922347712,1.9462679329525854
2.346,0.0641,1.4047904191616767,0.5492716366752357,1.3065827807863668,2.10800013299424
2.361,0.0633,1.4137724550898205,0.5424164524421593,1.334555226579985,1.9471747212808566
2.186,0.06207,1.3089820359281437,0.5318766066838047,1.179500361987672,1.029887408365963
2.203,0.0623,1.3191616766467065,0.5338474721508141,1.1927707838220067,0.9984071606660778
2.108,0.06182,1.2622754491017965,0.5297343616109683,1.1055542512981777,0.48533600055870396
2.144,0.0608,1.2838323353293415,0.5209940017137961,1.1580941196850407,0.6872036145061978
1.825,0.05551,1.0928143712574852,0.47566409597257925,0.9248744174953388,-0.638404539019203
1.862,0.056,1.1149700598802397,0.4798628963153385,0.9539287944467479,-0.5655478891613864
1.855,0.0569,1.1107784431137724,0.4875749785775493,0.9323347929289277,-0.8073782803274766
1.801,0.05506,1.078443113772455,0.47180805484147387,0.9081714182542489,-1.0216492417628502
1.935,0.05725,1.158682634730539,0.4905741216795202,1.00665934789422,-0.4308075165632824
1.971,0.0571,1.180239520958084,0.4892887746358183,1.0450916814805233,-0.2205434201587009
2.004,0.0578,1.2,0.49528706083976004,1.0667407914111076,-0.1222418021084422
2.099,0.05877,1.2568862275449104,0.5035989717223651,1.146011700886346,0.4154240173483098
2.1,0.0603,1.25748502994012,0.5167095115681234,1.1222018983060518,0.1609269738775699
2.112,0.0598,1.2646706586826348,0.5124250214224507,1.1423096769270629,0.3163538484122792
2.181,0.05931,1.3059880239520958,0.5082262210796915,1.2192552999756539,0.8786650108862367
2.138,0.05806,1.280239520958084,0.4975149957155099,1.1965247465281816,0.6416495547713142
2.195,0.05754,1.31437125748503,0.4930591259640103,1.2619568362940332,1.1460307076482905
2.205,0.05785,1.3203592814371259,0.49571550985432733,1.2669300135490067,1.0888341917117819
2.189,0.05589,1.3107784431137726,0.47892030848329054,1.2827125057433704,1.1613982923155677
2.235,0.05575,1.3383233532934131,0.4777206512425022,1.3309826837572531,1.5022374731744472
2.198,0.05668,1.3161676646706588,0.4856898029134533,1.2789022155221725,1.1615317202414681
2.075,0.0573,1.2425149700598803,0.49100257069408737,1.145848570032119,0.13938796355990102
2.074,0.0571,1.2419161676646706,0.4892887746358183,1.148091681480523,0.17454447365083683
2.18,0.05935,1.3053892215568863,0.5085689802913453,1.217606677685973,0.67093430900356
2.151,0.05872,1.2880239520958083,0.5031705227077978,1.198822478748447,0.5071416707744014
2.15,0.05874,1.2874251497005988,0.5033419023136247,1.1974981676036065,0.4246742711800983
