ANTUSDT,STMXUSDT,ANTUSDT_perc,STMXUSDT_perc,spread,zscore
1.67,0.00695,1.0,1.0,-0.11684499121516101,
1.666,0.006611,0.9976047904191617,0.9512230215827339,-0.033688091643659046,
1.729,0.006979,1.0353293413173654,1.0041726618705036,-0.0653008911785049,
1.922,0.007183,1.1508982035928144,1.0335251798561151,0.07525070907935216,
1.875,0.007108,1.122754491017964,1.0227338129496404,0.04753320898455193,
1.687,0.006748,1.010179640718563,0.9709352517985611,-0.047910791470490155,
1.677,0.006938,1.004191616766467,0.998273381294964,-0.10675979123032908,
1.569,0.006903,0.9395209580838323,0.9932374100719426,-0.20576129127456944,
1.597,0.0076,0.9562874251497007,1.0935251798561152,-0.3569599903935574,
1.536,0.007154,0.9197604790419163,1.0293525179856116,-0.3032933909573039,
1.516,0.007342,0.9077844311377246,1.0564028776978418,-0.3716281907196708,
1.555,0.00735,0.9311377245508982,1.0575539568345325,-0.3346849907095588,
1.559,0.00709,0.9335329341317365,1.0201438848920863,-0.2638389910382004,
1.634,0.007239,0.9784431137724551,1.0415827338129497,-0.2271468908498635,
1.683,0.007004,1.0077844311377246,1.0077697841726618,-0.1177283911469047,
1.686,0.007235,1.0095808383233533,1.0410071942446044,-0.1741184908549196,
1.7,0.007497,1.0179640718562875,1.0787050359712231,-0.22747869052375025,
1.76,0.007623,1.0538922155688624,1.0968345323741007,-0.1998732903644853,
1.75,0.007833,1.0479041916167666,1.1270503597122303,-0.2638642900990442,
1.694,0.007737,1.0143712574850299,1.1132374100719424,-0.2951826902203887,
1.55,0.007033,0.9281437125748504,1.0119424460431656,-0.25818429111024854,-0.5853183653173643
1.516,0.006585,0.9077844311377246,0.9474820143884892,-0.17700349167652307,0.07133590476066393
1.605,0.007115,0.9610778443113773,1.0237410071942445,-0.22426649100660012,-0.23767802663511348
1.644,0.007613,0.9844311377245509,1.0953956834532375,-0.3133022903771254,-0.8766876909361724
1.746,0.007439,1.0455089820359282,1.070359712230216,-0.16656689059706253,0.502462718227629
1.771,0.00776,1.0604790419161676,1.1165467625899281,-0.22409599019131687,0.08768543902800725
1.713,0.00757,1.025748502994012,1.0892086330935253,-0.23324699043147756,0.09697817294627785
1.912,0.008102,1.1449101796407186,1.1657553956834532,-0.17102418975902678,1.0732513010787088
