ANTUSDT,TRXUSDT,ANTUSDT_perc,TRXUSDT_perc,spread,zscore
1.67,0.06493,1.0,1.0,-0.24971968797248678,
1.666,0.06311,0.9976047904191617,0.9719698136454643,-0.19990958737014686,
1.729,0.0638,1.0353293413173654,0.9825966425381178,-0.15731012001608868,
1.922,0.06587,1.1508982035928144,1.0144771292160788,-0.025511717953915047,
1.875,0.06482,1.122754491017964,0.9983058678576929,-0.04146742914487289,
1.687,0.06505,1.010179640718563,1.001848144155244,-0.23626760669351987,
1.677,0.06705,1.004191616766467,1.032650546742646,-0.30539958537740985,
1.569,0.06594,0.9395209580838323,1.015555213306638,-0.38058133720785103,
1.597,0.06491,0.9562874251497007,0.9996919759741258,-0.3221283681856477,
1.536,0.06483,0.9197604790419163,0.9984598798706299,-0.38076308903829204,
1.516,0.06512,0.9077844311377246,1.0029262282458031,-0.40933722594745614,
1.555,0.06477,0.9311377245508982,0.9975358077930078,-0.3599891296777753,
1.559,0.0663,0.9335329341317365,1.0210996457723702,-0.40122509337095136,
1.634,0.06729,0.9784431137724551,1.0363468350531342,-0.3554954228194769,
1.683,0.06808,1.0077844311377246,1.048513784075158,-0.32985255439961336,
1.686,0.06748,1.0095808383233533,1.0392730632989373,-0.3091129607944463,
1.7,0.06862,1.0179640718562875,1.0568304327737563,-0.3288181886442636,
1.76,0.06898,1.0538922155688624,1.0623748652394887,-0.27946194480736364,
1.75,0.06973,1.0479041916167666,1.0739257662097643,-0.31163643681382247,
1.694,0.06755,1.0143712574850299,1.0403511473894964,-0.3031825800483825,
1.55,0.06468,0.9281437125748504,0.9961496996765747,-0.3623281906370004,-0.7003579146187437
1.516,0.06454,0.9077844311377246,0.9939935314954567,-0.3921889521291282,-0.9013167824543996
1.605,0.0662,0.9610778443113773,1.0195595256430001,-0.3522684944367567,-0.4714128401136174
1.644,0.06675,0.9844311377245509,1.0280301863545356,-0.32952978857482673,-0.18992178106032137
1.746,0.067,1.0455089820359282,1.031880486677961,-0.23492128591031292,1.0700833423348568
1.771,0.06889,1.0604790419161676,1.0609887571230556,-0.26580100576658916,1.3019526046481447
1.713,0.06737,1.025748502994012,1.0375789311566301,-0.2788607019668323,1.1572347154447244
1.912,0.06881,1.1449101796407186,1.0597566610195595,-0.12243572661923308,3.0827169432564
1.889,0.06903,1.1311377245508982,1.0631449253041736,-0.15194024427446107,2.1791593614824656
