AAVEUSDT,KLAYUSDT,AAVEUSDT_perc,KLAYUSDT_perc,spread,zscore
66.37,0.2568,1.0,1.0,-23.915630476071556,
61.92,0.243,0.9329516347747476,0.9462616822429907,-23.513832576656498,
68.0,0.2492,1.024559288835317,0.9704049844236762,-19.61362583581399,
71.04,0.2545,1.070363115865602,0.9910436137071652,-18.436997492835715,
69.92,0.2544,1.0534880216965496,0.9906542056074767,-19.521839537042865,
65.48,0.2428,0.9865903269549495,0.9454828660436138,-19.883516665070772,
65.51,0.2432,0.9870423384059063,0.9470404984423677,-19.99414848824223,
60.13,0.237,0.9059816182009944,0.9228971962616823,-23.194355229084728,
59.87,0.2325,0.9020641856260357,0.9053738317757011,-21.872247218405924,
57.05,0.2416,0.8595751092361006,0.9408099688473521,-27.89162119555644,
56.32,0.2316,0.8485761639294862,0.9018691588785047,-25.105825616270145,
57.9,0.2315,0.8723821003465421,0.9014797507788164,-23.490667660477293,
57.65,0.234,0.8686153382552357,0.9112149532710282,-24.61961655529887,
63.02,0.2394,0.9495253879764954,0.9322429906542057,-21.14814616811345,
60.65,0.2326,0.9138164833509115,0.9057632398753895,-21.127405174198778,
62.94,0.2328,0.9483200241072773,0.9065420560747665,-18.9077210857845,
71.16,0.2429,1.072171161669429,0.9458722741433023,-14.238674620863648,
71.66,0.2386,1.0797046858520414,0.9291277258566979,-12.226882521770548,
81.85,0.2425,1.2332379086936867,0.9443146417445484,-3.4080427976921897,
77.71,0.2344,1.170860328461654,0.912772585669782,-4.70024837847032,
69.89,0.217,1.053036010245593,0.8450155763239876,-6.402764070512191,1.813205814927464
68.4,0.2135,1.0305861081814072,0.8313862928348911,-6.662235617761979,1.5678987195207361
79.75,0.2246,1.2015971071267137,0.8746105919003117,0.7852312892302393,2.159877628492593
91.15,0.228,1.3733614584902818,0.8878504672897197,10.989860792272907,2.605746258250732
90.35,0.225,1.3613078197981014,0.8761682242990655,11.244599466058787,2.1675077151493913
92.85,0.2339,1.3989754407111645,0.9108255451713396,10.615541400493996,1.819617130256768
88.16,0.231,1.328310983878258,0.899532710280374,6.945122118487021,1.3693984584714745
96.14,0.2516,1.4485460298327557,0.9797507788161994,7.682583225157302,1.2821160125601447
95.55,0.2637,1.4396564712972728,1.0268691588785048,2.8384705742209064,0.842697744490484
90.72,0.2542,1.3668826276932349,0.9898753894080997,1.3484763745428694,0.6608034582269203
95.31,0.2544,1.4360403796896188,0.9906542056074767,5.868160462957135,0.916333651707623
89.45,0.2526,1.3477474762693988,0.9836448598130841,0.6410036672286736,0.43797812751223775
89.3,0.2532,1.3454874190146149,0.985981308411215,0.2800559324714982,0.3358294309895374
90.63,0.2583,1.3655265933403644,1.0058411214953271,-0.1829998129644963,0.21254641545758357
81.22,0.2488,1.223745668223595,0.9688473520249222,-6.252994012642546,-0.48831212424590026
81.15,0.2454,1.2226909748380292,0.9556074766355142,-5.127623515685215,-0.507299949384294
83.39,0.2614,1.2564411631761336,1.01791277258567,-8.512896442543266,-1.0844309234895901
100.45,0.2745,1.5134850082868765,1.06892523364486,3.941411348591714,0.5102022281275064
95.6,0.3055,1.4404098237155338,1.1896417445482868,-11.80755494719574,-1.8123612647224112
95.03,0.3135,1.4318216061473557,1.2207943925233646,-15.190191410624749,-1.9984490019379155
98.53,0.3,1.484556275425644,1.1682242990654206,-6.94386737858828,-0.8839334303498766
96.58,0.3016,1.4551755311134547,1.1744548286604362,-9.456394671274083,-1.1703265277449415
93.43,0.2863,1.4077143287629954,1.1148753894080998,-7.227227434966068,-0.8782892861311778
94.93,0.2866,1.4303149013108332,1.1160436137071652,-5.832701302344674,-0.6526377343457096
96.4,0.2893,1.4524634624077144,1.126557632398754,-5.31196610875196,-0.5154989339303295
102.89,0.2973,1.550248606298026,1.157710280373832,-1.634602572180981,0.06201657679773866
99.02,0.2912,1.4919391291246042,1.133956386292835,-3.359967268816362,-0.10078901494379763
101.25,0.2905,1.5255386469790566,1.1312305295950156,-0.8838615782663055,0.37687227234814624
102.45,0.2987,1.5436191050173271,1.1631619937694706,-2.56681395328107,0.19130091842065525
97.78,0.2848,1.4732559891517252,1.1090342679127727,-2.349858098073142,0.2886890152612676
111.05,0.294,1.6731957209582642,1.144859813084112,7.685609968983485,1.9925169337113948
107.5,0.2973,1.6197076992617145,1.157710280373832,2.9753974278190185,1.2262624598144223
114.6,0.3096,1.7266837426548136,1.205607476635514,5.7509688652968975,1.6020112896837682
110.37,0.3026,1.662950128069911,1.178348909657321,3.982025770797307,1.2253151352480853
107.29,0.3007,1.6165436191050173,1.17095015576324,1.5700269308616868,0.794899647049437
107.0,0.2967,1.6121741750791019,1.1553738317757012,2.6863451625761883,0.8975950994760133
109.58,0.294,1.651047159861383,1.144859813084112,6.215609968983486,1.3308689382331618
99.91,0.2739,1.5053488021696548,1.066588785046729,3.612359083348906,0.8348755700605853
94.75,0.2732,1.4276028326050925,1.0638629283489098,-1.301535226101052,0.09342841185737273
83.39,0.2344,1.2564411631761336,0.912772585669782,0.9797516215296866,0.3919861901061926
82.7,0.2409,1.2460448998041282,0.9380841121495328,-1.9955155050063809,-0.28445007526872673
85.85,0.2488,1.2935061021545877,0.9688473520249222,-1.6229940126425504,-0.27173220926834485
88.35,0.2506,1.3311737230676508,0.9758566978193147,0.2441627830859261,0.04125209782112484
89.3,0.2584,1.3454874190146149,1.0062305295950158,-1.5481577687573775,-0.5097918050767172
88.3,0.2505,1.3304203706493896,0.9754672897196263,0.22932073887878346,-0.11825036384107754
