1000BTTUSDT,ONTUSDT,1000BTTUSDT_perc,ONTUSDT_perc,spread,zscore
0.00082,0.23239,1.0,1.0,-2.411211280178697e-05,
0.000776,0.22625,0.9463414634146342,0.9735788975429235,-4.580974018419156e-05,
0.000804,0.2399,0.9804878048780489,1.032316364731701,-6.739074771353612e-05,
0.000886,0.24849,1.0804878048780489,1.0692800895047119,-1.659227552870614e-05,
0.000876,0.24653,1.0682926829268293,1.0608459916519644,-1.9472951370646412e-05,
0.00086,0.23277,1.048780487804878,1.001635182236757,1.4507610065528018e-05,
0.000837,0.24901,1.0207317073170732,1.0715177073023796,-6.74810758155384e-05,
0.000927,0.23405,1.1304878048780487,1.0071431645079392,7.685825551332574e-05,
0.000847,0.2306,1.0329268292682927,0.9922974310426438,9.389718954808503e-06,
0.000809,0.2263,0.9865853658536586,0.9737940531003916,-1.2991355596386929e-05,
0.00081,0.24128,0.9878048780487805,1.0382546581178191,-6.64033330901293e-05,
0.000805,0.23637,0.9817073170731708,1.0171263823744567,-5.356869961254079e-05,
0.000815,0.23569,0.9939024390243902,1.0142002667928913,-4.1098730006683404e-05,
0.000874,0.24086,1.0658536585365854,1.0364473514350874,-8.777636276878151e-07,
0.000866,0.23386,1.0560975609756098,1.0063255733895606,1.654839407966833e-05,
0.000877,0.23663,1.0695121951219513,1.0182451912732906,1.7486900244042983e-05,
0.000936,0.24855,1.1414634146341462,1.0695382761736736,3.318978597665939e-05,
0.000905,0.24586,1.103658536585366,1.0579629071818923,1.196069515277203e-05,
0.000919,0.26125,1.1207317073170733,1.124187787770558,-2.9940528720972495e-05,
0.000896,0.2525,1.0926829268292684,1.0865355652136495,-2.115783158677736e-05,
0.000865,0.22545,1.0548780487804879,0.9701364086234348,4.609610641093478e-05,1.478869083955367
0.000806,0.21492,0.9829268292682927,0.9248246482206635,2.53443122192864e-05,0.8698997154171788
0.000837,0.22465,1.0207317073170732,0.9666939197039458,2.100195300606131e-05,0.6871387621680696
0.000854,0.2287,1.0414634146341464,0.9841215198588579,2.3291104618233826e-05,0.6726888044418109
