STORJUSDT,GTCUSDT,STORJUSDT_perc,GTCUSDT_perc,spread,zscore
1.7388,11.405,1.0,1.0,-0.09673230977275593,
1.692,10.493,0.9730848861283644,0.9200350723366945,0.003245898601882624,
1.6873,9.207,0.9703818725557857,0.8072775098640949,0.2055160476915594,
2.0721,15.165,1.1916839199447895,1.3296799649276634,-0.36857053728223077,
1.925,14.744,1.107085346215781,1.2927663305567734,-0.447914368723324,
1.5551,11.375,0.8943524269611226,0.9973695747479177,-0.27560407923411656,
1.662,11.332,0.955831608005521,0.9935992985532662,-0.16178361546206688,
1.0923,7.319,0.6281918564527261,0.6417360806663744,-0.08562731041006577,
1.165,7.279,0.6700023004370831,0.6382288469969312,-0.006489669691879918,
1.3474,8.575,0.7749022314239705,0.7518632178868917,-0.03266922896110325,
1.137,7.261,0.6538992408557627,0.6366505918456817,-0.031592731368696336,
0.9786,6.551,0.5628019323671498,0.5743971942130645,-0.07572460862089636,
0.9386,5.92,0.539797561536692,0.5190705830775976,-0.014170826291513783,
0.9143,5.566,0.5258224062571889,0.488031565103025,0.01850229406443149,
0.993,5.247,0.5710835058661146,0.46006137658921525,0.14854247879196403,
1.0778,6.489,0.6198527720266852,0.5689609820254274,0.03345373449229183,
1.3357,7.4,0.7681734529560618,0.648838228846997,0.14473646713560773,
1.4572,8.233,0.8380492293535773,0.7218763700131522,0.13217259917938629,
1.0974,6.327,0.6311249137336093,0.5547566856641825,0.07912617940094457,
1.0394,5.839,0.5977685760294457,0.5119684348969751,0.09966539616281267,
1.0662,5.849,0.6131815044858524,0.5128452433143359,0.1248559859832662,0.9015638715878277
0.9009,4.742,0.5181159420289856,0.41578255151249455,0.1377176928590611,0.8958342899722833
0.7881,4.44,0.4532436162870946,0.3893029373081982,0.07352188028136464,0.5034378679622035
0.5946,2.525,0.341959972394755,0.22139412538360367,0.18822392966451484,1.1720103916614184
0.591,2.79,0.3398895790200138,0.24462954844366508,0.14197455990653313,0.8488890388936555
0.5517,2.522,0.317287784679089,0.22113108285839544,0.14580675271837873,0.9114258495936666
0.5835,2.726,0.335576259489303,0.2390179745725559,0.14477478505563068,0.9006569648740965
0.4224,2.433,0.24292615596963424,0.21332748794388426,0.030830503316342406,-0.4281837463801825
0.5293,2.378,0.30440533701403266,0.20850504164839984,0.146582259303848,0.8908218687096726
0.8405,2.834,0.4833793420749943,0.24848750548005263,0.3843931551165287,2.8841695072153515
0.6512,2.534,0.3745111571198528,0.22218325295922842,0.24337546050292302,1.336497908879913
0.682,2.401,0.3922245226593053,0.21052170100832968,0.2955806158908912,1.662132437230169
0.6632,2.525,0.3814124683689901,0.22139412538360367,0.25682392966451484,1.2143245484752843
0.6566,2.454,0.3776167471819646,0.21516878562034197,0.2616507419392947,1.1698791885891804
0.687,3.2,0.39510006901311256,0.28057869355545817,0.17198874254512775,0.1240552799389134
0.6898,3.054,0.39671037497124456,0.26777729066199035,0.19828613116650623,0.39848215175886864
0.7086,3.055,0.40752242926155974,0.26786497150372646,0.21692519014855155,0.5410132295962848
0.5839,2.473,0.33580630319760757,0.21683472161332748,0.18589286259815646,0.1410707326126589
0.5266,1.96,0.30285254198297673,0.1718544498027181,0.21115560480889067,0.4036435953079669
0.5536,2.303,0.31838049229353577,0.20192897851819377,0.18295283565044657,-0.0005857784492911879
0.5533,2.328,0.31820795951230735,0.2041209995615958,0.1786293102015804,-0.10629453983568923
0.4665,1.787,0.26828847481021395,0.15668566418237614,0.17889840091504478,-0.13876093417154267
0.4535,1.733,0.2608120542903152,0.1519508987286278,0.1745892158845957,-0.22189446073713698
0.442,1.751,0.25419829767655855,0.15352915387987726,0.16019227756141208,-0.5019964824897784
0.462,1.799,0.26570048309178745,0.15773783428320912,0.17246710869958898,-0.31456702617373233
0.4155,1.709,0.23895790200138026,0.14984655852696188,0.1404518003155072,-0.7707012656381601
0.4127,1.629,0.23734759604324823,0.1428320911880754,0.15052708175187907,-0.6313697325210139
0.4342,1.935,0.24971244536461928,0.16966242875931611,0.12277913025775683,-1.0002040320641994
0.4566,2.367,0.26259489302967565,0.20754055238930294,0.07565261050134914,-1.814899187620851
0.294,1.707,0.16908212560386474,0.1496711968434897,0.01927368235141652,-2.24233031429476
0.3105,1.539,0.17857142857142858,0.13494081543182815,0.06281177336779736,-1.674652122150625
0.3345,1.664,0.19237405106970326,0.14590092064883822,0.06669414612346641,-1.4471450298034427
0.3321,1.807,0.1909937888198758,0.15843928101709776,0.04127958055595182,-1.6806153996441244
0.3192,1.708,0.18357487922705315,0.14975887768522578,0.04431274133346186,-1.4906272703343988
0.273,1.361,0.15700483091787443,0.11933362560280579,0.053959274563724624,-1.2547702235574112
0.265,1.288,0.15240395675178287,0.11293292415607191,0.0577079688744139,-1.085735503136127
0.2493,1.314,0.14337474120082816,0.11521262604121,0.037823502407593024,-1.2585413623091473
0.2596,1.363,0.14929836668967106,0.11950898728627796,0.04023739252781533,-1.1220848383140687
