ALPHAUSDT,ZILUSDT,ALPHAUSDT_perc,ZILUSDT_perc,spread,zscore
0.1172,0.04209,1.0,1.0,-0.029224065475159794,
0.10969,0.03868,0.9359215017064846,0.918983131385127,-0.024871246200503225,
0.11929,0.04166,1.0178327645051195,0.989783796626277,-0.025638167443458246,
0.1281,0.04551,1.0930034129692832,1.0812544547398433,-0.03022167307613502,
0.13227,0.04867,1.1285836177474402,1.1563316702304585,-0.03704478419282553,
0.12376,0.04562,1.0559726962457339,1.0838679021145166,-0.03494434466564007,
0.12422,0.04491,1.0598976109215017,1.066999287241625,-0.03201437349701655,
0.11625,0.0416,0.9918941979522184,0.9883582798764551,-0.02846943748554638,
0.11439,0.0397,0.976023890784983,0.9432169161320978,-0.023719655485004584,
0.11375,0.03874,0.9705631399317407,0.9204086481349488,-0.02101997615841507,
0.11098,0.04076,0.9469283276450512,0.9684010453789498,-0.03081721807478055,
0.11156,0.03895,0.9518771331058021,0.9253979567593251,-0.023940531011106533,
0.11259,0.03868,0.9606655290102388,0.918983131385127,-0.021971246200503225,
0.11805,0.03995,1.0072525597269626,0.9491565692563554,-0.020929363642970614,
0.11348,0.03902,0.968259385665529,0.9270610596341173,-0.022264049295337013,
0.11657,0.03945,0.9946245733788396,0.9372772630078403,-0.0206699473270386,
0.12201,0.04104,1.0410409556313993,0.9750534568781183,-0.02076129121170249,
0.12014,0.03981,1.0250853242320819,0.9458303635067711,-0.01835232707450965,
0.12576,0.04068,1.0730375426621162,0.9665003563791874,-0.015758911464231418,
0.11948,0.03929,1.019453924914676,0.9334758850083155,-0.017203334105940327,
0.10615,0.0368,0.9057167235494881,0.8743169398907104,-0.021871040852598722,0.5124485228936212
0.1035,0.03617,0.8831058020477816,0.8593490140175813,-0.022329376294524347,0.3811279255477322
0.10855,0.03723,0.9261945392491467,0.8845331432644333,-0.020966938884300304,0.5811386205595593
0.11598,0.03811,0.9895904436860068,0.9054407222618198,-0.0165983116003407,1.2137217656248231
0.11706,0.03812,0.9988054607508532,0.9056783083867902,-0.015553099926659347,1.2546419896231118
0.12501,0.03886,1.0666382252559727,0.9232596816345925,-0.010177436074238738,2.004401222446461
0.12643,0.03828,1.078754266211604,0.909479686386315,-0.00673971314775762,2.323396406476384
0.13916,0.04096,1.1873720136518773,0.9731527678783559,-0.0033329846011533604,2.454762841231358
0.14274,0.04403,1.2179180887372014,1.0460917082442385,-0.010433000780976143,1.2424064903852738
0.13208,0.0408,1.126962457337884,0.9693513898788311,-0.009856371380055129,1.2042014913155124
0.13527,0.04155,1.1541808873720136,0.9871703492516035,-0.00927549585395318,1.1712897964075217
0.12975,0.03991,1.1070819112627988,0.9482062247564742,-0.009090210337696053,1.1406094988922302
0.13325,0.04004,1.1369453924914676,0.951294844381088,-0.0060424585798384,1.4742948964713647
0.13448,0.03979,1.1474402730375426,0.9453551912568305,-0.003942750421872393,1.6054612227845408
0.12114,0.03699,1.033617747440273,0.8788310762651461,-0.007542019052652921,0.9567827757868872
0.12085,0.03736,1.0311433447098977,0.8876217628890472,-0.009119187126442621,0.6402001906263548
0.12781,0.04028,1.090529010238908,0.9569969113803755,-0.01231737841148578,0.06808934239432372
0.13812,0.04255,1.1784982935153583,1.0109289617486337,-0.009904328485817265,0.40101440721804565
0.16743,0.04223,1.4285836177474402,1.0033262057495842,0.020518897956379234,3.428155531808949
0.15578,0.04202,1.3291808873720137,0.9983368971252079,0.00959945280907068,1.8935764513669864
0.15163,0.04267,1.2937713310580203,1.0137799952482773,0.0031882115983590253,1.1287679558867887
0.16161,0.04267,1.378924914675768,1.0137799952482773,0.013168211598359042,1.8601651430137114
0.16219,0.04154,1.3838737201365188,0.9869327631266334,0.017679292472365465,1.994354460145505
0.16237,0.04158,1.385409556313993,0.9878831076265145,0.017720139167090893,1.777255786315118
0.16642,0.04285,1.4199658703071674,1.0180565454977428,0.017352021724623495,1.5592454201061692
0.17107,0.0455,1.459641638225256,1.081016868614873,0.012783115250183635,1.0702953901349237
0.17579,0.04599,1.499914675767918,1.0926585887384177,0.015798487260570232,1.1993542995451922
0.17517,0.04542,1.4946245733788395,1.0791161796151105,0.017161421860732745,1.186848642710521
0.17317,0.04563,1.4775597269624572,1.0841054882394867,0.014430867008041304,0.8826716702180978
0.1599,0.0431,1.364334470989761,1.0239961986220003,0.009962313566657444,0.4591412197458235
0.1664,0.04538,1.4197952218430034,1.0781658351152292,0.008530575166007331,0.27863210839461294
0.16009,0.04595,1.3659556313993175,1.0917082442385364,0.00023764056584482662,-0.4858329848134746
0.16444,0.04754,1.4030716723549488,1.1294844381088143,-0.0009437033188191002,-0.6478828069746349
0.16062,0.04724,1.3704778156996589,1.1223568543597053,-0.003720053529259859,-0.9230756220265272
0.15485,0.04666,1.3212457337883958,1.1085768591114278,-0.007472330602778715,-1.2338456578969585
0.15589,0.04575,1.3301194539249146,1.0869565217391304,-0.0032665929077823896,-0.8871842540146758
0.15309,0.04497,1.3062286689419795,1.068424803991447,-0.0033531034549283967,-0.9513801650806506
0.14287,0.0431,1.2190273037542663,1.0239961986220003,-0.007067686433342546,-1.3893602799960822
0.13792,0.04143,1.1767918088737201,0.9843193157519601,-0.006208035938129519,-1.3590452858839803
0.12395,0.03682,1.05759385665529,0.8747921121406509,-0.004140617505236005,-1.0498048824071184
0.12482,0.03723,1.0650170648464163,0.8845331432644333,-0.004696938884300297,-1.012688484033532
0.12947,0.03772,1.1046928327645051,0.896174863387978,-0.0017515668739136736,-0.6764159373794826
