FLMUSDT,10000NFTUSDT,FLMUSDT_perc,10000NFTUSDT_perc,spread,zscore
0.11815,0.006419,1.0,1.0,-0.01805630167855926,
0.10815,0.006285,0.9153618281845112,0.9791244742171678,-0.025212923516084285,
0.11166,0.006389,0.9450698264917476,0.995326374824739,-0.02390972447800517,
0.114,0.006431,0.9648751586965721,1.0018694500701044,-0.022460932558780913,
0.11266,0.0064,0.9535336436732966,0.9970400373890014,-0.023143136118208354,
0.10551,0.006259,0.8930173508252222,0.9750739990652749,-0.02730122327560404,
0.10534,0.006564,0.8915785019043588,1.0225891883470946,-0.033943091481237433,
0.1002,0.006497,0.8480744815911976,1.0121514254556785,-0.037661402399999946,
0.10588,0.006052,0.8961489631823952,0.9428259853559744,-0.022538840591780768,
0.09871,0.006028,0.8354633939906898,0.9390870852157657,-0.02919957883133749,
0.09624,0.006078,0.8145577655522641,0.9468764605078672,-0.03273054083226097,
0.10109,0.006238,0.8556072788827761,0.9718024614425922,-0.03127561923521617,
0.10787,0.006609,0.9129919593736774,1.029599626109986,-0.03236795728206859,
0.10584,0.006625,0.8958104104951333,1.0320922262034584,-0.0347374651223641,
0.1021,0.006668,0.8641557342361404,1.0387910889546659,-0.039389892443158325,
0.10706,0.006642,0.9061362674566229,1.034740613802773,-0.033878192202678084,
0.11373,0.006599,0.962589928057554,1.0280417510515656,-0.02629576488188387,
0.1146,0.006648,0.9699534490055014,1.0356753388378253,-0.02646550764278892,
0.11969,0.006703,1.0130342784595854,1.044243651659137,-0.02254256584380475,
0.12928,0.006553,1.094202285230639,1.0208755257828321,-0.009769679841034246,
0.11183,0.006392,0.9465086754126111,0.9957937373422652,-0.023803382198060594,0.5228491336162259
0.11938,0.00638,1.010410495133305,0.9939242872721608,-0.01599875131783894,1.5901204627320893
0.17026,0.006465,1.441049513330512,1.0071662252687335,0.033077613280591084,3.840828203855326
0.15569,0.006539,1.3177316969953448,1.0186945007010437,0.016937389519224327,2.2566150732320915
0.15718,0.006539,1.3303427845958526,1.0186945007010437,0.01842738951922432,1.9861901070440515
0.1716,0.006679,1.4523910283537875,1.040504751518928,0.029876695916638524,2.1299302737825774
0.15783,0.006355,1.3358442657638594,0.99002959962611,0.022981729682622798,1.6046955916263348
0.20287,0.006536,1.7170545916208209,1.0182271381835177,0.06418104723927973,2.5618469307545984
0.18966,0.006646,1.6052475666525603,1.035363763826141,0.048636930837248016,1.768932532323306
0.17431,0.00651,1.4753279729157849,1.014176663031625,0.03617274747975993,1.2388684470702118
0.19668,0.006884,1.6646635632670332,1.0724411902165447,0.050606751712852144,1.4939004856822509
0.24747,0.006855,2.0945408379179007,1.0679233525471257,0.10201210967338778,2.403927975641154
0.1739,0.006735,1.47185780787135,1.049228851846082,0.030988418475604185,0.5594771678392451
0.17364,0.006665,1.4696572154041472,1.0383237264371397,0.032213765276897094,0.524168649945497
0.15704,0.005864,1.329157850190436,0.9135379342576726,0.03261037653169162,0.46701329708752204
0.15428,0.005794,1.305797714769361,0.9026328088487302,0.031335723332984525,0.3620343751120885
0.16343,0.00608,1.3832416419805331,0.9471880355195513,0.034417020687702055,0.37878651384977996
0.16406,0.006163,1.3885738468049091,0.9601183985044399,0.033285823766169065,0.27402931231649313
0.17055,0.006152,1.4435040203131613,0.9584047359401776,0.040009235406372246,0.41657727629097424
0.22108,0.0062,1.8711807024968259,0.9658825362205951,0.08952071188548569,1.8983253747017543
0.2047,0.006227,1.7325433770630554,0.9700887988783299,0.07256779240498698,1.2162027806023252
0.25689,0.006336,2.1742699957680913,0.9870696370151113,0.12244489524297375,2.508197498296962
0.22069,0.006205,1.867879813796022,0.9666614737498052,0.08902461568539333,1.353693046974723
0.21146,0.006185,1.789758781210326,0.9635457236329646,0.08021900048576272,0.9623178053011875
0.21278,0.006238,1.8009310198899702,0.9718024614425922,0.08041438076478383,0.8811804175142824
0.23052,0.006367,1.9510791366906475,0.9918990496962143,0.09541709880240118,1.2609175888459554
0.2317,0.006444,1.961066440964875,1.0038946876460508,0.09496321732097895,1.129274471025961
0.21474,0.00644,1.817520101565806,1.0032715376226826,0.07808809428105284,0.49670316240471324
0.20797,0.006551,1.76022005924672,1.0205639507711481,0.06896275863900267,0.17215107042001723
0.20941,0.006258,1.7724079559881507,0.9749182115594328,0.07661999596441443,0.3927046437225458
0.20743,0.00643,1.755649597968684,1.0017136625642622,0.07099028668123755,0.143092514776659
0.19971,0.006213,1.6903089293271265,0.9679077737965415,0.06787486176524557,0.002390330767616653
0.20755,0.006283,1.7566652560304699,0.9788128992054838,0.07422951496395266,0.29049508164407956
0.19584,0.00621,1.657553956834532,0.9674404112790155,0.06406851948530096,-0.15715926864978771
