1INCHUSDT,SHIB1000USDT,1INCHUSDT_perc,SHIB1000USDT_perc,spread,zscore
2.6354,0.036219,1.0,1.0,0.21349091239910623,
2.547,0.036565,0.9664567048645367,1.0095529970457495,0.10195442204018113,
2.4227,0.030758,0.9192911891932912,0.8492227836218559,0.3659596229484996,
2.7543,0.038238,1.0451164908552781,1.0557442226455727,0.19738347299254588,
2.5531,0.034033,0.9687713440084996,0.9396449377398602,0.27736538616965634,
2.1501,0.028257,0.8158533808909464,0.780170628675557,0.2605976645313659,
2.4333,0.030489,0.923313349017227,0.8417957425660564,0.3945472411755251,
1.6911,0.022456,0.641686271533733,0.6200060741599712,0.18950165462421187,
1.661,0.021095,0.6302648554299157,0.5824291117921533,0.25040964126726717,
1.8598,0.028488,0.7056993245807087,0.786548496645407,-0.045148951864332654,
1.6569,0.03013,0.6287091143659407,0.8318838178856401,-0.35784697836535906,
1.4848,0.025481,0.5634059345829854,0.7035257737651509,-0.21907546484326956,
1.3839,0.02342,0.525119526447598,0.6466219387614235,-0.18215954972840054,
1.3031,0.023521,0.49446004401608856,0.6494105303846047,-0.26971326512219074,
1.3093,0.021493,0.4968126280640509,0.5934178193765703,-0.12790400949242153,
1.556,0.023114,0.5904227062305533,0.6381733344377261,0.010402201860706839,
1.747,0.025568,0.6628974728693936,0.7059278279356139,0.037306978332376506,
1.9791,0.026828,0.7509675950519845,0.7407161986802507,0.1851527070831116,
1.5857,0.024459,0.6016923427183729,0.6753085397167233,-0.049835889274421286,
1.4611,0.024651,0.5544129923351294,0.6806096247825726,-0.18727463536954714,
1.4178,0.023952,0.5379828489033922,0.6613103619647147,-0.18383357536697909,-1.0054617151624015
1.1598,0.021549,0.4400849965849586,0.594963969187443,-0.28114864377016646,-1.2955077415186136
1.302,0.018429,0.4940426500720953,0.5088213368673901,0.06968098027563219,0.23372332320949255
0.9786,0.013059,0.3713288305380587,0.3605566139319142,0.10536466012369006,0.46972344842423225
0.9969,0.011904,0.3782727479699476,0.3286672740826638,0.2008977421021828,0.9088706180895229
0.9206,0.01149,0.34932078621841084,0.317236809409426,0.15228128836979837,0.7334381219360778
0.8586,0.010808,0.32579494573878726,0.29840691349844,0.13588558439519427,0.7042336046663851
0.6509,0.008594,0.24698338013204826,0.23727877633286393,0.0762323753046169,0.5411889128179321
0.5802,0.00822,0.2201563330044775,0.2269527043816781,0.03054118280241458,0.3453617245304033
0.6924,0.010975,0.2627305152917963,0.303017753113007,-0.04148144996879566,0.020249375659293915
0.6271,0.010034,0.23795249298019275,0.27703691432673455,-0.043858220408828696,0.005556416029090993
0.6393,0.011209,0.24258177126811867,0.30947845053701095,-0.11022867177223061,-0.5125939139342658
0.645,0.010719,0.24474463079608408,0.2959496396918744,-0.07176312184196088,-0.3159912190920718
0.675,0.011581,0.25612810199590197,0.3197493028520942,-0.09940374233153726,-0.5466629432025161
0.7615,0.011699,0.2889504439553768,0.32300726138214747,-0.020794221702500226,-0.08184975112651782
0.8065,0.012037,0.3060256507551036,0.33233937988348655,0.0016042356925380918,0.04428249470458727
0.8391,0.016903,0.3183956894589056,0.46668875452110775,-0.2911777356558136,-1.929643361585411
0.6995,0.013477,0.2654246034757532,0.3720975178773572,-0.20168636002090734,-1.1759579013727688
0.631,0.011794,0.23943234423616908,0.32563019409702093,-0.15764672628081788,-0.7968175675438475
0.672,0.012843,0.2549897548759202,0.3545928932328336,-0.1867917505192932,-0.9361050404695521
0.6482,0.012991,0.24595886772406464,0.3586791463044259,-0.22048828396761966,-1.1462779709761912
0.571,0.010612,0.21666540183653332,0.2929953891603854,-0.138608195632698,-0.603812787242169
0.6005,0.01101,0.22785914851635425,0.3039840967448025,-0.13572184639238638,-0.6710579368419236
0.553,0.010953,0.20983531911664263,0.3024103371158784,-0.17941034364539565,-0.9043825124196946
0.6071,0.01105,0.23036351218031415,0.3050884894668544,-0.13179658516220438,-0.4850504178906178
0.5693,0.0103,0.21602033846854368,0.2843811259283801,-0.11944523322811806,-0.310137140290822
0.5795,0.010185,0.21989071867648174,0.2812059968524807,-0.10155535926489145,-0.058102048648305406
0.6133,0.01195,0.23271609622827652,0.32993732571302353,-0.18577820748310792,-0.8376116002373623
0.6337,0.011874,0.2404568566441527,0.3278389795411248,-0.16029620382045362,-0.48308854187597744
0.5214,0.009035,0.19784472945283446,0.24945470609348683,-0.08275661963262582,0.6272064122527168
0.5037,0.008803,0.19112848144494193,0.24304922830558545,-0.08494313476768178,0.6437433493528061
0.5191,0.00929,0.19697199666084844,0.2564952096965681,-0.10210807929021515,0.45265881279877557
0.4969,0.009361,0.1885482279729832,0.25845550677821033,-0.12905574060664193,0.06379066223663883
0.435,0.002,0.165060332397359,0.055219636102598085,0.3012630615091033,3.6032714629033396
0.39,0.002,0.14798512559763224,0.055219636102598085,0.2562630615091033,2.5106746276105305
0.3982,0.002,0.15109660772558245,0.055219636102598085,0.26446306150910326,2.1643983000595566
0.3857,0.008122,0.14635349472565834,0.22424694221265082,-0.15740570721153163,-0.4026553068625578
0.3973,0.00865,0.1507551035895879,0.2388249261437367,-0.18111225897312822,-0.6015064557919008
