AXSUSDT,C98USDT,AXSUSDT_perc,C98USDT_perc,spread,zscore
14.908,0.5297,1.0,1.0,-2.195720883360222,
13.994,0.5112,0.9386906359001879,0.9650745705116104,-2.5123660856593304,
14.712,0.5362,0.9868526965387712,1.0122710968472721,-2.601602298768647,
17.121,0.5439,1.1484437885698953,1.0268076269586561,-0.44123105240631944,
17.819,0.5423,1.1952642876308022,1.0237870492731735,0.3084320652326795,
16.177,0.5086,1.0851220821035685,0.9601661317727017,-0.2454135194959619,
15.899,0.5011,1.0664743761738664,0.9460071738720031,-0.2812426555631635,
15.305,0.4759,1.0266299973168769,0.8984330753256561,-0.061548552748972085,
14.37,0.4708,0.9639119935605044,0.8888049839531811,-0.8318723652746716,
14.572,0.4674,0.9774617654950362,0.8823862563715311,-0.5200882402918037,
14.051,0.4619,0.9425140863965656,0.8720030205776855,-0.8634962734077529,
13.934,0.4757,0.9346659511671586,0.8980555031149708,-1.4260906630440982,
14.176,0.4745,0.9508988462570432,0.8957900698508591,-1.1453433248148492,
14.87,0.4935,0.9974510330024148,0.931659429865962,-1.0648428467779318,
14.445,0.4834,0.968942849476791,0.9125920332263546,-1.1637194166817668,
14.798,0.5098,0.9926214113227797,0.9624315650368135,-1.6631608577252077,
15.335,0.5207,1.0286423396833915,0.983009250519162,-1.478115846640872,
14.84,0.5103,0.9954386906359002,0.9633754955635265,-1.6373055819873912,
15.14,0.5212,1.0155621143010465,0.9839531810458751,-1.6892605709030555,
14.394,0.4923,0.9655218674537162,0.9293939966018502,-1.5020955085486847,
13.421,0.4535,0.9002548966997586,0.8561449877289032,-1.2222649058030246,-0.0873696418200363
12.823,0.4404,0.8601422055272337,0.8314140079290165,-1.3972731301337404,-0.3776530132941778
13.4,0.4528,0.8988462570431983,0.8548234849915046,-1.2206622918359624,-0.24659231329517584
13.944,0.463,0.9353367319559969,0.8740796677364547,-1.006014666784564,-0.04773747657711496
13.96,0.4732,0.936409981218138,0.8933358504814046,-1.319367041733166,-0.5307824734587223
14.35,0.4788,0.962570431982828,0.9039078723805929,-1.1101879534696533,-0.04670901875093569
14.515,0.479,0.9736383149986585,0.9042854445912781,-0.9516458431745267,0.39159906657014076
16.36,0.52,1.0973973705393079,0.9816877477817634,-0.43051323267381036,1.6593864080676768
16.82,0.5521,1.1282532868258655,1.042288087596753,-1.0070045303061725,0.48410791994700886
15.55,0.5,1.043064126643413,0.943930526713234,-0.5947242621863538,1.5776575586913295
15.76,0.4952,1.0571505232090153,0.9348687936567869,-0.22973490926936435,2.3555598656480936
15.341,0.4747,1.0290448081566943,0.8961676420615444,0.013198785480273756,2.422539996601695
18.215,0.4905,1.2218272068687952,0.9259958467056826,2.377025498795186,3.736949079966026
