SHIB1000USDT,1000XECUSDT,SHIB1000USDT_perc,1000XECUSDT_perc,spread,zscore
0.010651,0.03695,1.0,1.0,0.0004668625789591412,
0.009672,0.03923,0.9080837480048821,1.0617050067659,-0.0011405496895110414,
0.010294,0.043,0.9664820204675616,1.1637347767253046,-0.001557634887814803,
0.010824,0.04279,1.0162426063280443,1.1580514208389718,-0.0009697548104557092,
0.011796,0.04037,1.1075016430382123,1.09255751014885,0.0006692441762538668,
0.010975,0.04025,1.0304196789033893,1.0893098782138027,-0.00011868149382664867,
0.011069,0.03928,1.0392451413012862,1.0630581867388365,0.00024266933968917354,
0.00998,0.03873,0.9370012205426719,1.048173207036536,-0.0006947399815131951,
0.010207,0.03825,0.9583137733546147,1.0351826792963466,-0.00033544266183526024,
0.010349,0.03745,0.9716458548493099,1.013531799729364,2.7052870961294037e-05,
0.010031,0.03817,0.9417895033330204,1.0330175913396484,-0.0004893931085556066,
0.010074,0.0382,0.9458266829405688,1.03382949932341,-0.0004546616910354774,
0.010034,0.03968,0.9420711670265701,1.0738836265223275,-0.0009025784267091032,
0.010474,0.04156,0.9833818420805558,1.1247631935047362,-0.000980742928781005,
0.010325,0.04259,0.9693925453009107,1.152638700947226,-0.0014136309272565692,
0.01046,0.04296,0.9820674115106562,1.1626522327469555,-0.0013806101111749746,
0.011275,0.04128,1.0585860482583795,1.1171853856562923,-0.00010256949230221142,
0.011195,0.04159,1.0510750164303821,1.125575101488498,-0.0002680115112608777,
0.011615,0.0403,1.0905079335273682,1.090663058186739,0.0005075375353735673,
0.011209,0.03788,1.0523894470002817,1.0251691474966171,0.000768536522083146,
0.010301,0.03721,0.9671392357525114,1.0070365358592694,4.5201530800257836e-05,0.6096617481839676
0.009905,0.03854,0.9299596282039245,1.0430311231393776,-0.0007173722924740111,-0.4055866075281725
0.01053,0.03894,0.9886395643601539,1.053856562922869,-0.0002026200588722913,0.29247202620335494
0.010596,0.03911,0.9948361656182517,1.0584573748308526,-0.00018347535959155857,0.24270903252408746
0.010825,0.04028,1.0163364942258941,1.0901217861975645,-0.0002769500763065199,0.03590360305082169
0.011032,0.04,1.0357712890808375,1.0825439783491206,7.2233601722745955e-06,0.609418367848719
0.010719,0.04216,1.0063843770537977,1.1410013531799732,-0.000901114578378423,-0.9468780825051893
0.011951,0.04343,1.1220542672049572,1.1753721244925577,-1.915123669295367e-05,0.651715775805952
0.012166,0.04075,1.1422401652427001,1.1028416779431667,0.0009345087981755054,2.0040381301986194
0.011907,0.04098,1.1179231996995587,1.109066305818674,0.000612116332496495,1.3403578368682219
0.01199,0.04174,1.125715895221106,1.1296346414073073,0.0004856455763397709,1.0822938394139152
0.011707,0.04172,1.0991456201295653,1.1290933694181327,0.0002081579646596842,0.6118498971828294
0.011595,0.04162,1.088630175570369,1.12638700947226,0.00012371990625925297,0.44401934843197344
0.011581,0.03812,1.0873157450004693,1.031664411366712,0.0010743878622441767,1.6457239110613135
0.010678,0.03914,1.002534973241949,1.0592692828146144,-0.0001097439420714285,-0.10626421898918524
0.010857,0.04187,1.0193409069570931,1.133152909336942,-0.0006831849477396696,-1.1101458457383686
0.011513,0.04429,1.0809313679466717,1.1986468200270637,-0.0006941839344492481,-1.314749068602549
0.011858,0.04499,1.1133226927049102,1.2175913396481735,-0.0005421175256462331,-0.9763498194207447
0.011733,0.0442,1.1015867054736643,1.1962110960757784,-0.0004493781870096355,-0.7883271255943253
0.011915,0.04385,1.1186743028823585,1.1867388362652234,-0.00017091139141114237,-0.2472759203117917
0.011699,0.04513,1.0983945169467655,1.2213802435723953,-0.0007397042438856312,-1.1612763714946357
0.011939,0.0428,1.1209276124307577,1.1583220568335588,0.00014248899538433536,0.4421996024653545
0.01173,0.04245,1.1013050417801145,1.1488497970230043,2.995579098282776e-05,0.17805477434977277
0.011826,0.04291,1.1103182799737112,1.161299052774019,-8.291403751914395e-07,0.10205710835893049
0.011823,0.04553,1.1100366162801614,1.2322056833558865,-0.0007259520102839076,-1.1750830643959669
0.01213,0.04478,1.1388602009201014,1.2119079837618405,-0.00021223744828713711,-0.24557231119181397
0.01196,0.04531,1.122899258285607,1.2262516914749664,-0.0005283157387648563,-0.7641987750857555
0.012037,0.04593,1.1301286264200545,1.2430311231393776,-0.0006221997766821842,-0.9868423287780785
0.01231,0.04335,1.1557600225330953,1.1732070365358593,0.0003618983165867024,0.7908530985467048
