CELUSDT,1INCHUSDT,CELUSDT_perc,1INCHUSDT_perc,spread,zscore
0.7779,0.7351,1.0,1.0,-0.6473519800750385,
0.7989,0.6758,1.026995757809487,0.9193307033056727,-0.5113779052301878,
0.892,0.6875,1.1466769507648797,0.9352469051829684,-0.44096250347107746,
0.8874,0.6601,1.1407635942923253,0.8979730648891308,-0.3924378887872848,
0.904,0.6799,1.1621030980845868,0.9249081757584002,-0.4142272088872515,
0.9049,0.675,1.1632600591335647,0.9182424159978235,-0.4038268215897851,
0.8992,0.623,1.155932639156704,0.8475037409876207,-0.30870638496360914,
0.919,0.6352,1.1813857822342204,0.8641001224323221,-0.31256041047975036,
1.1151,0.6941,1.433474739683764,0.944225275472725,-0.23065894350439997,
1.1453,0.7728,1.4722972104383596,1.051285539382397,-0.3530467966290163,
1.1667,0.7595,1.4998071731585036,1.0331927628894029,-0.30586003110732096,
1.0692,0.7658,1.374469726185885,1.0417630254387158,-0.41557481477549274,
1.0982,0.7615,1.4117495822085102,1.035913481159026,-0.3782377402083279,
1.2909,0.77,1.65946779791747,1.0474765338049246,-0.20201800388760693,
1.192,0.7416,1.5323306337575522,1.0088423343762754,-0.24585453465331075,
1.1731,0.7655,1.508034451729014,1.0413549176982724,-0.31109315841034135,
1.1815,0.7988,1.5188327548528087,1.0866548768874982,-0.36725701494210417,
1.294,0.8324,1.663452885975061,1.1323629438171678,-0.31990252783901796,
1.3586,0.8078,1.7464969790461498,1.0988981091008025,-0.20760670589663466,
1.4504,0.8065,1.8645070060419076,1.0971296422255477,-0.11328619498098047,
1.8005,0.8367,2.3145648540943564,1.1382124880968576,0.1782603975938175,3.0649767171573132
1.8581,0.8072,2.3886103612289498,1.0980818936199157,0.2930566068336673,2.92664024670622
2.3589,0.8825,3.0323949093713845,1.2005169364712285,0.6478608591807626,3.184827738378637
2.4743,0.864,3.180743026095899,1.1753502924772141,0.799129668365075,2.770933789357343
2.9725,0.8795,3.821185242319064,1.1964358590667936,1.2672774228322727,2.925253117032851
3.8888,0.873,4.99910014140635,1.1875935246905183,2.1961799774105444,3.2094505575248964
