ANTUSDT,KAVAUSDT,ANTUSDT_perc,KAVAUSDT_perc,spread,zscore
1.67,1.711,1.0,1.0,-0.2839374941698427,
1.666,1.608,0.9976047904191617,0.9398012857977791,-0.17031296938930862,
1.729,1.77,1.0353293413173654,1.0344827586206897,-0.2923146491412161,
1.922,1.834,1.1508982035928144,1.0718877849210988,-0.1724017324999949,
1.875,1.821,1.122754491017964,1.0642898889538281,-0.2045559186927428,
1.687,1.826,1.010179640718563,1.0672121566335475,-0.39826584708014745,
1.677,1.92,1.004191616766467,1.1221507890122735,-0.515612500763353,
1.569,1.99,0.9395209580838323,1.163062536528346,-0.7035514981870175,
1.597,1.893,0.9562874251497007,1.1063705435417883,-0.5647788874713688,
1.536,1.774,0.9197604790419163,1.0368205727644653,-0.4898825918511398,
1.516,1.792,0.9077844311377246,1.0473407364114553,-0.5304383340457965,
1.555,1.798,0.9311377245508982,1.0508474576271187,-0.4982902481106819,
1.559,1.748,0.9335329341317365,1.021624780829924,-0.4371909642366363,
1.634,1.799,0.9784431137724551,1.0514319111630626,-0.42043223378816297,
1.683,1.804,1.0077844311377246,1.054354178842782,-0.3771421621755675,
1.686,1.827,1.0095808383233533,1.0677966101694913,-0.4004078327576286,
1.7,1.874,1.0179640718562875,1.0952659263588544,-0.44008115959923155,
1.76,1.826,1.0538922155688624,1.0672121566335475,-0.3252658470801475,
1.75,1.901,1.0479041916167666,1.1110461718293396,-0.42091477289121615,
1.694,1.791,1.0143712574850299,1.0467562828755113,-0.3512963483683156,
1.55,1.673,0.9281437125748504,0.977790765634132,-0.36054203842556776,0.2834075789519082
1.516,1.601,0.9077844311377246,0.9357101110461717,-0.312319069646942,0.6641232630879662
1.605,1.64,0.9610778443113773,0.9585037989479835,-0.26785651106869746,1.097410383072656
1.644,1.699,0.9844311377245509,0.9929865575686733,-0.29623366604007173,0.8713580944551793
1.746,1.729,1.0455089820359282,1.01052016364699,-0.22849323636449892,1.4970149414708267
1.771,1.761,1.0604790419161676,1.0292226767971946,-0.2400367780438879,1.448258628456901
1.713,1.747,1.025748502994012,1.02104032729398,-0.28204897855915534,1.0114726010300112
