ETHUSDT,BTCUSDT,ETHUSDT_perc,BTCUSDT_perc,spread,zscore
1128.27,20574.38,1.0,1.0,-328.0079603571496,
1128.53,20576.32,1.00023044129508,1.0000942920272688,-327.8852757582986,
1125.85,20723.51,0.9978551233304085,1.0072483350652606,-340.9835509619727,
1050.1,19983.85,0.930716938321501,0.9712977985241839,-364.3795769341882,
1144.74,21110.32,1.0145975697306495,1.0260489015950904,-349.4724016415921,
1224.86,21237.8,1.085608941122249,1.032244957077686,-278.3755806820459,
1242.12,21492.92,1.1009066978648727,1.0446448447049193,-279.1732637444911,
1197.85,21041.02,1.0616696358141224,1.022680634847806,-291.45726901291755,
1192.37,20737.14,1.056812642363973,1.0079108094630311,-275.42829782674676,
1144.16,20279.54,1.0140835083800863,0.9856695560206431,-291.24885062787916,
1099.92,20116.0,0.9748730357095376,0.9777208353301533,-323.9133038732841,
1071.14,19886.73,0.9493649569695198,0.9665773646642085,-336.46531314058234,
1059.49,19276.62,0.9390394143245855,0.9369234941709057,-304.9310351019001,
1066.98,19242.37,0.9456778962482385,0.9352588024523703,-295.0167812414081,
1074.16,19309.6,0.9520416212431423,0.9385264586344764,-292.5953969214338,
1150.61,20230.0,1.019800225123419,0.9832617070356433,-281.29235321915576,
1132.42,20172.5,1.0036781975945475,0.9804669691140145,-295.41243797891343,
1186.35,20559.5,1.0514770400701958,0.9992767704300202,-268.87473707410936,
1236.98,21607.5,1.0963510507236742,1.0502139068103145,-292.4233661484384,
1215.77,21641.78,1.0775523589211802,1.051880056652983,-316.05974344296874,
1217.01,21574.23,1.0786513866361775,1.0485968471467912,-310.03847779986677,-0.12010588931138454
1168.35,20850.0,1.0355234119492673,1.0133962724514662,-307.43665667915957,-0.060373625646726874
1096.56,19957.2,0.9718950251269642,0.9700024982526813,-316.03325969675416,-0.4149824558875944
1038.61,19327.32,0.9205332057043083,0.9393877239557158,-329.39963862677473,-0.9782481138636003
1115.15,20236.64,0.98837157772519,0.9835844385104192,-317.2223399529853,-0.6866860306872647
1193.23,20584.15,1.0575748712630841,1.000474862425988,-263.7394920423176,1.7172272007086569
1231.18,20811.2,1.0912104372180418,1.011510431906089,-241.86034865617853,2.3494482331488222
1355.55,21196.19,1.201441144406924,1.030222538905182,-144.74037767080267,3.5935591524147266
1338.27,20786.8,1.1861256614108324,1.010324490944563,-133.04328897162372,2.8205865549200024
1581.73,22437.06,1.4019073448731243,1.0905339553366857,-6.390564177923579,3.2789166876979357
1542.35,23373.7,1.3670043517952262,1.1360585349351962,-112.06700610175903,1.7120951061080172
1521.74,23220.5,1.3487374475967633,1.1286123810292217,-121.83333627906109,1.427249573351848
1575.11,23138.07,1.3960399549753162,1.1246059419530503,-62.62884735291914,1.803052266807192
1535.21,22659.37,1.360676079307258,1.1013391412037687,-68.64591821371914,1.5402843257126153
1548.81,22431.41,1.3727299316652928,1.0902593419582995,-38.910650767360494,1.6082528800200835
1597.67,22578.66,1.41603516888688,1.0974163012445575,-0.47317283911138475,1.7082136775958143
1440.3,21295.44,1.2765561434762955,1.035046499578602,-67.01540528113378,1.0379864005427963
1448.62,21249.35,1.283930264918858,1.0328063348688998,-55.433102786824975,1.0306543193173872
1636.15,22951.5,1.4501404805587317,1.115537867969776,11.616788931811698,1.4164552145871376
1724.38,23820.21,1.528339847731483,1.157760768489743,38.358509482231284,1.4566776144446678
1721.51,23772.51,1.525796130358868,1.1554423511182352,38.86476960326695,1.325321565565898
1696.93,23640.45,1.5040105648470667,1.149023688684665,23.632126240247544,1.105449496162522
1678.55,23295.98,1.487720137910252,1.1322810213479093,29.634103680356475,1.059129302679202
1630.2,23265.55,1.4448669201520914,1.1308019974356456,-16.562026393372662,0.6164427445667346
1630.78,22984.57,1.4453809815026546,1.1171452068057457,3.9060568101626814,0.7381157697893058
1618.11,22818.5,1.4341513999308675,1.1090735176467041,2.990679835328365,0.6859352894705935
1607.93,22619.29,1.4251287369158092,1.0993910873620494,6.910989661566191,0.6878878924895163
1736.79,23310.46,1.5393389880081896,1.132984809262782,86.84919285116166,1.8141795230391968
1690.29,22953.0,1.498125448695791,1.1156107741764272,65.65061722989208,1.3825958184616671
1700.19,23176.39,1.5068999441623017,1.1264684525122992,59.73881956871446,1.2100024760110812
1777.24,23813.13,1.5751903356466095,1.1574166511943496,91.71963991529037,1.5785623364986032
1702.74,23149.01,1.509160041479433,1.1251376712202261,64.22680703441597,1.049213577771863
1853.55,23952.81,1.6428248557526124,1.1642056771577078,158.1429310325591,2.390858296528369
1880.33,23937.5,1.6665603091458605,1.163461547808488,186.0065902034828,2.3597996170859195
1958.04,24399.61,1.7354356669946023,1.1859220059122073,231.00792008751137,2.473228744319153
1983.32,24441.81,1.757841651377773,1.187973100525994,253.30095620684642,2.2770359930167183
1935.13,24305.42,1.7151302436473541,1.1813439821758904,214.76479515670144,1.6082059116058054
1899.18,24100.84,1.6832673030391663,1.1714005476714242,193.2951996758104,1.2590657112667318
1872.85,23857.3,1.6599306903489413,1.159563495959538,184.20323719943826,1.0654719678283733
1833.25,23338.77,1.6248327084828986,1.1343607924029788,181.30537893027008,0.9382210847533514
1843.44,23203.17,1.633864234624691,1.1277700713217116,201.0933007837807,1.0588746101366737
1608.68,20835.52,1.425793471420848,1.0126924845365934,133.9182541500354,0.24997495418390817
1575.37,21141.14,1.3962703962703962,1.0275468811210835,78.976123789638,-0.4217709944873175
1618.08,21516.65,1.434124810550666,1.0457982208941412,95.10709993114438,-0.2754466928454577
