ICPUSDT,QNTUSDT,ICPUSDT_perc,QNTUSDT_perc,spread,zscore
3.82,113.17,1.0,1.0,-0.32867069715191155,
3.82,114.14,1.0,1.008571176106742,-0.3642296843060806,
3.79,113.57,0.9921465968586388,1.0035345056110276,-0.37333419700930026,
3.79,113.54,0.9921465968586388,1.0032694176902006,-0.3722344345199966,
3.79,114.64,0.9921465968586388,1.0129893081205266,-0.4125590591278172,
3.83,114.57,1.0026178010471205,1.0123707696385966,-0.3699929466527738,
3.8,114.0,0.9947643979057592,1.0073340991428823,-0.3790974593559939,
3.83,113.92,1.0026178010471205,1.006627198020677,-0.3461647593845161,
3.84,113.33,1.0052356020942408,1.001413802244411,-0.31453609709486674,
3.89,113.51,1.018324607329843,1.0030043297693736,-0.27113467203069197,
3.91,113.4,1.0235602094240839,1.002032340726341,-0.2471022095699098,
3.85,111.36,1.0078534031413613,0.9840063621100998,-0.23231836029722386,
3.91,111.86,1.0235602094240839,0.9884244941238844,-0.1906477351189606,
3.92,111.99,1.0261780104712042,0.9895732084474683,-0.18541337257261237,
3.9,110.69,1.0209424083769634,0.9780860652116284,-0.157756998036096,
3.91,110.77,1.0235602094240839,0.9787929663338341,-0.15068969800757426,
3.87,110.9,1.013089005235602,0.979941680657418,-0.19545533546122584,
3.88,110.04,1.0157068062827226,0.9723424935937086,-0.15392881076783915,
3.87,110.4,1.013089005235602,0.9755235486436336,-0.17712596063948904,
3.9,111.27,1.0209424083769634,0.9832110983476186,-0.1790190728293113,
3.93,113.12,1.0287958115183247,0.9995581867986215,-0.21683775966973728,0.5593166820518306
3.91,111.82,1.0235602094240839,0.9880710435627815,-0.18918138513322091,0.7876226008228615
3.91,111.38,1.0235602094240839,0.9841830873906512,-0.1730515352900932,0.8773232378066201
3.98,110.43,1.0418848167539267,0.9757886365644606,-0.06822572312879371,1.8040512394415342
4.0,110.24,1.0471204188481675,0.9741097463992223,-0.041260560696533055,1.8464701365494764
3.99,110.27,1.0445026178010473,0.9743748343200495,-0.05236032318583739,1.6179296227638504
4.02,110.28,1.0523560209424083,0.9744631969603251,-0.022726910682272283,1.7583193452684343
3.96,108.18,1.036649214659686,0.95590704250243,-0.0057435364309776915,1.8021229413420186
3.96,108.99,1.036649214659686,0.9630644163647609,-0.03543712364219109,1.3892877856509165
3.96,110.15,1.036649214659686,0.9733144826367413,-0.07796127322862123,0.8295226854102683
3.97,111.16,1.0392670157068065,0.982239109304586,-0.10498661036852885,0.41769007806427644
3.95,110.38,1.0340314136125655,0.975346823363082,-0.09639278564661957,0.46215766399700586
3.99,110.94,1.0445026178010473,0.9802951312185207,-0.07692168544696454,0.6654164071715827
4.05,110.77,1.0602094240837696,0.9787929663338341,-0.010689698007574577,1.478248093903674
4.06,111.34,1.06282722513089,0.9838296368295485,-0.021585185304354937,1.1966257371353173
4.01,110.15,1.049738219895288,0.9733144826367413,-0.02796127322862141,1.0045468849785653
4.01,109.58,1.049738219895288,0.9682778121410267,-0.007065785931841262,1.175700860424576
4.01,110.02,1.049738219895288,0.9721657683131572,-0.02319563577496897,0.8703762708617551
3.96,109.1,1.036649214659686,0.9640364054077936,-0.03946958610297324,0.5693414236101219
4.0,109.83,1.0471204188481675,0.970486878147919,-0.026230473342709004,0.6881989218403505
4.01,110.45,1.049738219895288,0.9759653618450119,-0.03895889812166331,0.4209991248953022
4.01,110.1,1.049738219895288,0.9728726694353627,-0.026128335746446574,0.5836470148595931
4.04,111.48,1.0575916230366493,0.9850667137934082,-0.04671741025444032,0.050086403459840466
4.04,111.16,1.0575916230366493,0.982239109304586,-0.034986610368529014,0.25527389949710044
4.06,111.61,1.06282722513089,0.9862154281169921,-0.03148304770809229,0.32441392508180267
4.07,111.55,1.0654450261780106,0.985685252275338,-0.019283522729483416,0.7204733764426802
4.03,111.14,1.0549738219895288,0.9820623840240347,-0.0442534353756594,-0.19096989018238494
4.05,110.92,1.0602094240837696,0.9801184059379694,-0.016188510454095528,0.8038652315897472
4.04,110.64,1.0575916230366493,0.9776442520102501,-0.015924060553922814,0.846306411252758
4.01,110.54,1.049738219895288,0.9767606256074932,-0.04225818558957606,-0.10208110138234848
4.03,110.18,1.0549738219895288,0.9735795705575683,-0.009061035717924604,1.015813303490468
4.0,109.31,1.0471204188481675,0.965892020853583,-0.007167923528102804,1.0943398879890227
3.99,109.71,1.0445026178010473,0.9694265264646107,-0.0318314233854915,-0.20421717626970762
4.02,110.68,1.0523560209424083,0.9779977025713529,-0.03739041053966208,-0.8623573675947095
3.96,110.76,1.036649214659686,0.9787046036935584,-0.10032311051114018,-3.4835996969730525
3.93,109.11,1.0287958115183247,0.9641247680480692,-0.06983617359940775,-1.7037445728699978
3.93,109.29,1.0287958115183247,0.9657152955730318,-0.07643474853523324,-1.7465109892568202
3.95,109.44,1.0340314136125655,0.967040735177167,-0.06193356098175418,-1.029007350867681
3.94,110.09,1.031413612565445,0.9727843067950871,-0.09576174825001216,-2.078078219987437
3.91,108.98,1.0235602094240839,0.9629760537244854,-0.08507053614575666,-1.4903544166974896
3.95,109.0,1.0340314136125655,0.9631527790050367,-0.045803711138626024,-0.04345293638078236
3.96,107.93,1.036649214659686,0.9536979764955378,0.003421150979890708,1.5644973743903077
4.0,108.27,1.0471204188481675,0.9567023062649112,0.03095717610111004,2.1220246384584946
4.02,107.92,1.0523560209424083,0.953609613855262,0.06378773847632502,2.4447407068405305
4.05,107.29,1.0602094240837696,0.9480427675178935,0.11688275075171362,2.7698721011157876
