BCHUSDT,CREAMUSDT,BCHUSDT_perc,CREAMUSDT_perc,spread,zscore
119.58,16.79,1.0,1.0,-6.572503295940166,
112.78,16.06,0.9431343033952166,0.9565217391304347,-7.8876118482905895,
116.33,17.35,0.9728215420638903,1.0333531864204886,-14.03009125578096,
114.26,18.23,0.9555109550091989,1.0857653365098274,-22.712015192673576,
115.5,19.45,0.96588058203713,1.1584276354973198,-30.63854610518382,
112.91,18.35,0.944221441712661,1.0929124478856465,-24.963641184068024,
111.5,17.66,0.9324301722696103,1.0518165574746874,-21.189291733549936,
103.21,16.78,0.8631041980264258,0.9994044073853485,-22.86736779665732,
104.56,17.34,0.8743937113229637,1.0327575938058369,-25.724955756498076,
103.23,19.71,0.8632714500752635,1.173913043478261,-44.862069086538455,
101.42,17.94,0.8481351396554608,1.0684931506849316,-33.37308571347033,
106.58,18.27,0.8912861682555612,1.0881477069684335,-30.692557189805044,
105.67,17.86,0.8836762000334505,1.0637284097677189,-28.522001719207353,
108.1,18.2,0.9039973239672185,1.0839785586658726,-28.64660869482495,
106.8,18.12,0.8931259407927747,1.07921381774866,-29.345524700561995,
106.45,18.58,0.8901990299381167,1.1066110780226324,-33.151757667574046,
111.45,19.46,0.9320120421475163,1.1590232281119714,-34.7636816044667,
108.32,19.87,0.9058370965044321,1.1834425253126863,-40.974237075064394,
111.3,20.6,0.9307576517812343,1.2269207861822515,-43.47912852271399,
106.65,19.89,0.8918715504264928,1.1846337105419893,-42.79450807363014,
99.05,16.8,0.8283157718682054,1.0005955926146517,-27.177638795223046,0.10728522927201507
97.6,16.1,0.8161899983274795,0.9589041095890413,-23.3681538454221,0.6147867208228577
102.31,16.95,0.8555778558287339,1.0095294818344254,-25.04467128446609,0.606423737174872
103.05,17.1,0.861766181635725,1.018463371054199,-25.431703773709174,0.6930124863575923
106.15,17.62,0.8876902492055528,1.049434187016081,-26.23874973641844,0.6176582533971242
109.49,18.08,0.9156213413614317,1.0768314472900535,-26.354982703430508,0.5677618988436942
110.2,17.62,0.9215587890951664,1.049434187016081,-22.188749736418444,1.1101076729527153
121.31,17.71,1.0144673022244524,1.0547945205479452,-11.754969229964303,2.2242898712582426
128.19,16.84,1.0720020070245861,1.002977963073258,1.661819207645479,2.867854629754951
121.65,16.5,1.0173105870546915,0.9827278141751042,-2.3235738167369107,2.096726529532891
123.0,16.24,1.0286001003512293,0.9672424061941631,0.9799491646177358,2.0479599746178185
123.25,15.95,1.0306907509616994,0.9499702203692675,3.4088786438209837,1.9085143751993427
122.43,16.13,1.023833416959358,0.9606908874329958,1.236439656729317,1.5505007788170375
131.85,16.3,1.1026091319618665,0.9708159618820728,9.379136168920496,1.8038009359763554
117.7,15.32,0.9842783074092658,0.912447885646218,2.592415098641851,1.2545600641290353
118.85,15.15,0.9938953002174277,0.9023228111971412,5.019718586450637,1.2583042915302443
127.35,15.86,1.0649774209734069,0.9446098868374032,8.185098137366822,1.2946234377698804
155.67,17.4,1.301806322127446,1.0363311494937462,24.934231247804718,1.9146620030680828
151.55,18.08,1.267352400066901,1.0768314472900535,15.705017296569508,1.3184130506914051
145.26,18.28,1.2147516307074762,1.0887432995830852,7.91230731091207,0.8428506211524567
139.18,17.4,1.1639070078608464,1.0363311494937462,8.444231247804737,0.8122209720407553
137.75,17.97,1.151948486368958,1.0702799285288862,2.7315077886810855,0.39242237802493196
133.65,19.02,1.1176618163572505,1.132817153067302,-9.257719636020369,-0.4410364597934893
133.66,19.17,1.117745442381669,1.1417510422870758,-10.374752125263456,-0.5938484627124319
134.1,18.55,1.1214249874560962,1.104824300178678,-5.276351169725444,-0.3243684596608174
141.9,19.89,1.1866532865027597,1.1846337105419893,-7.544508073630141,-0.6236057450451865
141.3,20.04,1.181635725037632,1.193567599761763,-9.271540562873184,-0.9476397427028345
140.97,22.2,1.1788760662318114,1.3222156045265039,-25.830808407973308,-2.4124418367136653
143.55,21.65,1.2004515805318616,1.289458010720667,-19.11835594741538,-1.6852063246316367
134.6,20.61,1.1256062886770362,1.227516378796903,-20.254264021996846,-1.5792550333854667
142.15,21.2,1.1887439371132298,1.262656343061346,-17.13725847968621,-1.2176018347102708
142.9,20.6,1.1950158889446396,1.2269207861822515,-11.879128522713984,-0.7472548818300482
143.09,20.99,1.1966047834085969,1.2501488981536628,-14.619412994745915,-0.8787513004547777
144.2,20.4,1.2058872721190834,1.2150089338892198,-9.076418537056554,-0.41897000737137785
139.35,20.55,1.1653286502759659,1.2239428231089935,-15.053451026299626,-0.7917899242270181
137.16,20.3,1.1470145509282488,1.2090530077427042,-15.365063544227837,-0.7452906920516356
136.25,19.95,1.139404582706138,1.1882072662298988,-13.645321069327366,-0.5517853490928519
133.7,18.6,1.1180799464793443,1.1078022632519358,-6.052028666139819,0.08687328617463799
129.09,18.16,1.079528349222278,1.0815961882072662,-7.356066697693478,0.12992144206833492
114.35,16.45,0.956263589228968,0.9797498511018463,-9.247896320322553,0.07285782821782166
