MATICUSDT,BATUSDT,MATICUSDT_perc,BATUSDT_perc,spread,zscore
1.598,1.0726,1.0,1.0,-0.42335051607051377,
1.6522,1.6577,1.0339173967459323,1.545496923363789,-1.4717910036267863,
2.051,1.166,1.283479349186483,1.0870781279134811,-0.14636593486688332,
2.0839,1.1999,1.3040675844806007,1.1186835726272608,-0.17735161684972,
2.222,1.1332,1.390488110137672,1.0564982286033937,0.08644676038494659,
2.8758,1.3367,1.799624530663329,1.2462241282864068,0.356744215148745,
2.551,1.3001,1.5963704630788487,1.212101435763565,0.1009181372895065,
2.1146,1.0339,1.3232790988735919,0.9639194480701101,0.16618092619307778,
2.3318,1.0565,1.4591989987484353,0.9849897445459631,0.3407904715378536,
1.617,0.7603,1.0118898623279098,0.708838336751818,0.18418926219614784,
1.6039,0.8343,1.00369211514393,0.7778295730001865,0.031633791201165495,
1.7382,0.942,1.0877346683354192,0.8782397911616632,-0.037030455098288284,
1.6591,0.8037,1.038235294117647,0.7493007644974827,0.14450051299098265,
1.5119,0.7024,0.9461201501877347,0.6548573559574865,0.18820374558276232,
1.4527,0.6679,0.9090738423028786,0.6226925228416931,0.1940201476006933,
1.4347,0.6388,0.8978097622027534,0.5955621853440239,0.23086006930277425,
1.3601,0.6744,0.8511264080100125,0.6287525638635092,0.08917068055383681,
1.4651,0.8198,0.9168335419274093,0.7643110199515196,-0.07984047461738508,
1.6948,0.9032,1.060575719649562,0.8420660078314376,-0.007310559495513846,
1.688,0.9471,1.0563204005006257,0.8829945925787805,-0.09684157539659144,
1.4264,0.7409,0.8926157697121401,0.6907514450867052,0.030149209997534898,0.11638201970242114
1.3369,0.7224,0.8366082603254067,0.6735036360246132,-0.0244869222537194,-0.07973047112251584
1.3433,0.7225,0.840613266583229,0.6735968674249487,-0.018275375592901932,-0.6261733890700317
1.0997,0.6026,0.6881727158948685,0.5618124184225247,-0.03591982191319398,-0.8169817944535279
0.9763,0.5464,0.6109511889862327,0.509416371433899,-0.05340904529268031,-1.0494251911580585
0.7421,0.435,0.46439299123904876,0.4055565914600037,-0.07767202544347718,-1.1336020604240078
0.6761,0.4074,0.42309136420525656,0.379824724967369,-0.09165890382913233,-1.176361757595857
0.5997,0.3724,0.3752816020025031,0.34719373484989746,-0.10210023511528943,-1.1449374731326956
0.5978,0.3843,0.37409261576971214,0.3582882714898378,-0.12642618247799597,-1.2046978702171982
0.497,0.3072,0.31101376720901125,0.2864068618310647,-0.08192865796835902,-0.8308867048960269
0.384,0.3399,0.24030037546933666,0.3168935297408167,-0.2565528998810066,-2.054865489317663
0.5586,0.3945,0.34956195244055066,0.36779787432407235,-0.1848484230746017,-1.3150869940114862
0.462,0.401,0.28911138923654567,0.3738579153458885,-0.29369789012145825,-1.879176016641773
0.5717,0.4077,0.35775969962453064,0.3801044191683759,-0.19662426384667964,-1.0806643144918113
0.7529,0.3833,0.4711514392991239,0.3573559574864814,0.03055835091382808,0.6644708449810539
0.8791,0.3871,0.5501251564455569,0.3608987506992355,0.14959712402489656,1.6580388449993935
0.9283,0.3994,0.5809136420525657,0.37236621294051836,0.1756173633054603,1.9824535190089059
0.907,0.4295,0.567584480600751,0.4004288644415439,0.09759290821155531,1.3155915826366509
1.0006,0.4439,0.6261576971214017,0.41385418608987506,0.16405562736928836,1.6458682471834012
0.8206,0.3685,0.5135168961201502,0.34355771023680776,0.12614944511282455,1.250390511703645
0.783,0.3276,0.4899874843554443,0.3054260674995338,0.1656268608384296,1.3832940150945543
0.8957,0.3497,0.5605131414267834,0.32603020697370877,0.23667867287911737,1.6855639229456085
0.8933,0.3515,0.5590112640801,0.32770837217975013,0.23088651277383399,1.4750164713948792
0.7559,0.3031,0.4730287859824781,0.2825843744173037,0.18469792893811976,1.0925865361467395
0.819,0.3004,0.5125156445556945,0.2800671266082417,0.25288616909604467,1.3518254079093293
0.7655,0.291,0.47903629536921144,0.27130337497669216,0.2171007829791911,1.0464610269293801
0.8255,0.301,0.5165832290362954,0.28062651501025543,0.2582554490609503,1.1553671523195994
0.8022,0.2869,0.5020025031289111,0.2674808875629312,0.26152736988566994,1.0647374771567713
0.9,0.2825,0.5632040050062578,0.2633787059481633,0.36761931680969595,1.4555146349881036
0.9085,0.2972,0.568523153942428,0.2770837217975014,0.3484166759498818,1.2288748320140892
1.1693,0.3153,0.7317271589486858,0.293958605258251,0.5751066215578658,2.021714277672513
0.89,0.2226,0.5569461827284105,0.20753309714711915,0.47050286697995863,1.4326368732242445
0.8091,0.2188,0.5063204005006258,0.2039903039343651,0.39676409386889017,1.0001887135413172
0.8439,0.2278,0.5280976220275344,0.21238112996457206,0.4146032933424733,1.0912029193682389
0.9215,0.2329,0.5766583229036295,0.21713593138168935,0.4825921730441705,1.5294150347702973
0.8919,0.224,0.5581351689612015,0.208838336751818,0.46976452023140486,1.3308107305957988
0.8121,0.189,0.5081977471839799,0.17620734663434645,0.4559231889452479,1.1158784426421051
0.795,0.1859,0.4974968710888611,0.17331717322394183,0.4446652424599025,0.9399912125777911
0.7598,0.1682,0.4754693366708385,0.15681521536453477,0.4428214834951889,0.8494723144543058
0.8041,0.1808,0.5031914893617021,0.16856237180682454,0.46337636275820543,0.9181073040151978
