FLOWUSDT,1INCHUSDT,FLOWUSDT_perc,1INCHUSDT_perc,spread,zscore
1.47,0.6907,1.0,1.0,-0.3935584410113455,
1.46,0.6878,0.9931972789115646,0.9958013609381786,-0.39573403174692845,
1.61,0.7131,1.0952380952380953,1.0324308672361373,-0.31399525739856715,
1.7,0.7538,1.1564625850340136,1.0913565947589403,-0.33380679431642135,
1.79,0.7285,1.217687074829932,1.0547270884609816,-0.17554556866478244,
1.64,0.6924,1.1156462585034013,1.0024612711741712,-0.22814516368359028,
1.69,0.6726,1.1496598639455782,0.9737947010279426,-0.12472333491274212,
1.61,0.7423,1.0952380952380953,1.074706819168959,-0.39277896447476723,
1.56,0.7078,1.0612244897959184,1.0247574923990155,-0.3496954749498049,
1.51,0.6947,1.0272108843537415,1.0057912262921673,-0.36435072965192083,
1.46,0.6533,0.9931972789115646,0.9458520341682352,-0.3026505422219661,
1.53,0.6367,1.0408163265306123,0.9218184450557406,-0.18786254436357863,
1.55,0.6271,1.054421768707483,0.9079195019545389,-0.14196105162619777,
1.6,0.6375,1.08843537414966,0.922976690314174,-0.12002100209169342,
1.61,0.622,1.0952380952380953,0.9005356884320255,-0.06820088360946408,
1.6,0.6255,1.08843537414966,0.9056030114376719,-0.08764413616996736,
1.67,0.6435,1.1360544217687074,0.9316635297524251,-0.06620943505255661,
1.64,0.6872,1.1156462585034013,0.9949326769943536,-0.21411518845084232,
1.69,0.6951,1.1496598639455782,1.0063703489213842,-0.18542995851597865,
1.64,0.6393,1.1156462585034013,0.9255827421456493,-0.08487753197995263,
1.51,0.5903,1.0272108843537415,0.8546402200665992,-0.08267199613290477,1.1421485304735497
1.43,0.5595,0.9727891156462585,0.8100477776169104,-0.07957137360047462,1.0722094888979652
1.51,0.5947,1.0272108843537415,0.8610105689879832,-0.09454351363753766,0.8679970394881974
1.57,0.616,1.0680272108843538,0.8918488489937745,-0.09201245064860109,0.808463724263439
1.55,0.6524,1.054421768707483,0.9445490082524974,-0.2102222772778366,-0.35170460729169917
1.6,0.6662,1.08843537414966,0.964528738960475,-0.19745567308782164,-0.21748116197898612
1.57,0.645,1.0680272108843538,0.9338352396119879,-0.1702565432927723,0.01945002739638095
1.68,0.718,1.1428571428571428,1.0395251194440422,-0.25721581098327206,-0.7599395858526681
1.92,0.7351,1.3061224489795917,1.0642826118430577,-0.06335284492173177,1.0594553518513823
1.87,0.6758,1.272108843537415,0.9784276820616765,0.046642834174797754,2.0208692522367886
