BCHUSDT,CTSIUSDT,BCHUSDT_perc,CTSIUSDT_perc,spread,zscore
119.58,0.15751,1.0,1.0,-9.891237977795342,
112.78,0.1484,0.9431343033952166,0.94216240238715,-9.202932613198072,
116.33,0.16159,0.9728215420638903,1.025903117262396,-16.494946637241767,
114.26,0.16697,0.9555109550091989,1.0600596787505554,-22.987238938178464,
115.5,0.1674,0.96588058203713,1.0627896641483079,-22.10069352728678,
112.91,0.15665,0.944221441712661,0.9945400292044949,-15.854328799578695,
111.5,0.15649,0.9324301722696103,0.9935242206844008,-17.13281081293374,
103.21,0.15045,0.8631041980264258,0.9551774490508539,-20.4580068170866,
104.56,0.16448,0.8743937113229637,1.044251158656593,-30.64049027101629,
103.23,0.16,0.8632714500752635,1.0158085200939622,-28.287986644957485,
101.42,0.14835,0.8481351396554608,0.9418449622246207,-20.521833242371528,
106.58,0.1487,0.8912861682555612,0.9440670433623262,-15.649528838157366,
105.67,0.14798,0.8836762000334505,0.9394959050219033,-15.967697898255054,
108.1,0.15135,0.9039973239672185,0.9608913719763824,-16.307795491964498,
106.8,0.14806,0.8931259407927747,0.9400038092819503,-14.903456891577534,
106.45,0.1526,0.8901990299381167,0.9688273760396166,-18.98527976262821,
111.45,0.157,0.9320120421475163,0.9967621103422004,-17.602024395364523,
108.32,0.15496,0.9058370965044321,0.9838105517110023,-19.05517006564132,
111.3,0.1601,0.9307576517812343,1.0164434004190208,-20.30018538661058,
106.65,0.15345,0.8918715504264928,0.9742238588026156,-19.483969066679535,
99.05,0.13963,0.8283157718682054,0.8864833978794997,-15.724102970221352,0.5444338575820252
97.6,0.13605,0.8161899983274795,0.8637546822423973,-14.231388019040423,0.9373349047967802
102.31,0.14584,0.8555778558287339,0.9259094660656465,-17.568644826878753,0.3538775590748289
103.05,0.15176,0.861766181635725,0.9634943813091232,-21.694810332742193,-0.5672576116969877
106.15,0.15595,0.8876902492055528,0.9900958669290838,-22.03893760800699,-0.665533442123621
109.49,0.15905,0.9156213413614317,1.0097771570059042,-21.24709859925305,-0.4883985469478635
110.2,0.1663,0.9215587890951664,1.055805980572662,-26.4965073691027,-1.5523922481816108
121.31,0.17096,1.0144673022244524,1.0853914037203987,-19.21696873013707,0.1413337281039757
128.19,0.17439,1.0720020070245861,1.107167798869913,-15.156385568838346,0.9961503945690541
121.65,0.16293,1.0173105870546915,1.034410513618183,-12.276409775393262,1.636212789384836
123.0,0.16588,1.0286001003512293,1.0531394832074152,-13.351272654159686,1.3548274035873198
123.25,0.16002,1.0306907509616994,1.015935496158974,-8.2844263932881,2.298434490854307
122.43,0.16082,1.023833416959358,1.0210145387594438,-9.762016326512878,1.7150793839199796
131.85,0.15978,1.1026091319618665,1.014411783378833,0.5128505866793205,2.92157466067937
117.7,0.14695,0.9842783074092658,0.9329566376737984,-3.0910508592281474,1.9558022520793836
118.85,0.14831,0.9938953002174277,0.9415910100945971,-3.0589537457102836,1.7220826577513666
127.35,0.15782,1.0649774209734069,1.0019681290076818,-2.376054076919928,1.60040699268685
155.67,0.1645,1.301806322127446,1.044378134721605,20.453069980653055,3.1088994730740636
151.55,0.16416,1.267352400066901,1.0422195416164053,16.61254570227362,2.2418876673438235
145.26,0.16829,1.2147516307074762,1.0684400990413305,6.927737672000632,1.3043905378463585
139.18,0.16751,1.1639070078608464,1.0634880325058724,1.48888785689482,0.7945147027881392
137.75,0.17169,1.151948486368958,1.0900260300933273,-3.3770195442046997,0.3647650745251787
133.65,0.15916,1.1176618163572505,1.010475525363469,2.822482784928553,0.7854210277652381
133.66,0.15842,1.117745442381669,1.0057774109580344,3.4407534731614646,0.7573646901752865
134.1,0.16413,1.1214249874560962,1.0420290775188876,-0.8127946752304638,0.35621690202790146
141.9,0.17883,1.1866532865027597,1.1353564853025204,-5.0960096982359175,-0.06452460039178513
141.3,0.17437,1.181635725037632,1.1070408228049011,-2.02994582050772,0.12883513483850992
140.97,0.17589,1.1788760662318114,1.1166910037457938,-3.6093666936348257,-0.13253688463169033
143.55,0.17595,1.2004515805318616,1.117071931940829,-1.078685938626677,0.04612354216859702
134.6,0.1696,1.1256062886770362,1.0767570312996,-4.809065843654935,-0.4666047291162737
142.15,0.18572,1.1887439371132298,1.1790997396990666,-10.509502998134394,-1.1895280965006665
142.9,0.19453,1.1950158889446396,1.2350326963367404,-17.00121213777237,-1.8980239971159902
143.09,0.19585,1.1966047834085969,1.2434131166275155,-17.896235527593262,-1.8099497400311662
144.2,0.19073,1.2058872721190834,1.210907243984509,-12.577659954954669,-1.1873151353631428
139.35,0.18404,1.1653286502759659,1.1684337502380802,-11.928564138362361,-1.024303920087412
137.16,0.17986,1.1470145509282488,1.1418957526506253,-10.682656737262846,-0.8382433622878925
136.25,0.17961,1.139404582706138,1.1403085518379783,-11.387159883130096,-0.8535133270067194
133.7,0.16975,1.1180799464793443,1.077709351787188,-5.8323639561346,-0.26958667743610004
129.09,0.15653,1.079528349222278,0.9937781728144244,0.42430969040503896,0.5525261086181149
114.35,0.15122,0.956263589228968,0.960066027553806,-9.95093712781545,-0.6655793200494768
114.5,0.14914,0.9575179795952501,0.9468605167925845,-8.091203301430994,-0.316249980573855
119.6,0.15555,1.0001672520488376,0.9875563456288489,-8.260142641394609,-0.2794888161251602
122.67,0.14905,1.025840441545409,0.9462891245000316,0.1527755660568033,1.0691685598128038
133.36,0.15749,1.1152366616491054,0.9998730239349881,3.9052017705353137,1.6487306159936765
130.39,0.15065,1.0903997323967218,0.9564472097009713,6.557595699607191,1.9636488607456648
130.5,0.15507,1.0913196186653287,0.984508920068567,3.0344113185402506,1.3501294525547263
116.1,0.13925,0.9708981435022579,0.8840708526442765,1.638252248060411,1.06209668733646
115.15,0.14008,0.962953671182472,0.889340359342264,0.006002692339720284,0.8042853513812052
112.55,0.13351,0.9412109048335842,0.8476287219859056,2.806460018948286,1.124551294908774
119.5,0.14464,0.9993309918046496,0.9182909021649418,0.6077400729584355,0.802221570029115
114.55,0.1388,0.957936109717344,0.8812138911815123,0.4581465854993638,0.7365282071733619
115.07,0.1393,0.9622846629871216,0.8843882928068059,0.5671528772338661,0.6816142066367599
116.55,0.14085,0.9746613146011038,0.8942289378452162,0.7730723816108593,0.6389822576577376
116.3,0.13885,0.9725706639906339,0.8815313313440416,2.16704721467282,0.7872983386711948
117.75,0.13763,0.9846964375313598,0.8737857913783251,4.6198718628406255,1.09933083847542
118.33,0.14625,0.9895467469476501,0.9285124753983873,-1.885659667656455,-0.09914551233605838
125.6,0.13989,1.0503428667001171,0.8881340867246522,10.612180301480606,1.972982403577448
112.01,0.13016,0.9366950995149691,0.8263602310964383,5.020117864327091,0.9063918755048899
118.65,0.14147,0.9922227797290517,0.8981651958605803,2.3634401833616465,0.3151099202193518
126.5,0.14921,1.057869208897809,0.9473049330201258,3.851257579411822,0.5829625593394991
132.75,0.15435,1.1101354741595584,0.979937781728144,5.876242258442588,0.9574672237279575
132.53,0.15313,1.108295701622345,0.9721922417624277,6.659066906610377,1.1081167102411669
130.2,0.15435,1.0888108379327646,0.979937781728144,3.3262422584425764,0.110776130316843
128.88,0.15461,1.0777722027094832,0.9815884705732969,1.7925255301445162,-0.45531522793080953
117.41,0.14432,0.9818531527011206,0.916259285124754,-1.2192239537516656,-1.3628002100578551
120.0,0.14779,1.0035122930255895,0.9382896324042918,-1.4815202891141723,-1.31578217931662
117.49,0.14963,0.9825221608964709,0.9499714303853724,-5.503977135531201,-2.1864231741495006
119.5,0.15592,0.9993309918046496,0.9899054028315663,-8.664277985511092,-2.4498547774538
122.1,0.15924,1.0210737581535374,1.0109834296235158,-8.793276208393934,-2.0956325755978606
111.74,0.13805,0.9344371968556614,0.8764522887435718,-1.7353628521023978,-0.5582859821568877
111.96,0.13829,0.936276969392875,0.8779760015237127,-1.7126398320698257,-0.5265105967152159
112.71,0.13555,0.9425489212242849,0.8605802806171037,1.2896056892250698,0.09089286790816782
108.8,0.13171,0.9098511456765346,0.8362008761348485,0.5360373687040578,-0.06582756861457925
116.5,0.13944,0.9742431844790099,0.8852771252618882,1.8820746389195335,0.20343318380075448
120.1,0.1398,1.0043485532697776,0.8875626944320996,5.1861591689683735,0.8464458391493196
117.32,0.13895,0.9811005184813514,0.8821662116691003,3.1048484730197288,0.4394144830951299
113.4,0.13809,0.9483191169091822,0.8767062408735952,-0.10824234876361061,-0.24325213528725953
116.25,0.1391,0.97215253386854,0.8831185321566885,1.911550360540076,0.2948729914971986
114.15,0.13908,0.9545910687405922,0.8829915560916767,-0.17200989112930642,-0.13694802158021926
114.05,0.13968,0.953754808496404,0.886800838042029,-0.7652023410478961,-0.24444387623191244
116.82,0.14253,0.9769192172604114,0.9048949273062027,-0.33786647816118887,-0.09546493827597191
120.04,0.14215,1.0038467971232647,0.9024823820709795,3.1944887401205904,0.834343217466884
117.07,0.14044,0.9790098678708814,0.8916259285124754,1.6300872223885534,0.5359238018560051
114.25,0.13591,0.9554273289847801,0.8628658497873151,2.5336902192739217,0.8030478858446068
116.18,0.1409,0.9715671516976083,0.8945463780077455,0.3619730107843253,0.21982654638877028
121.15,0.14613,1.0131292858337515,0.9277506190083169,1.0329788223272658,0.37697661070309724
122.05,0.1448,1.0206556280314434,0.9193067106850359,3.026222086313453,0.8597229988442397
118.38,0.14223,0.9899648770697441,0.9029902863310265,1.468729746798104,0.3604986273094681
116.75,0.14382,0.9763338350894799,0.9130848834994603,-1.4682302454861684,-0.729778569892367
116.94,0.1435,0.9779227295534371,0.9110532664592723,-1.01519427219624,-1.0583824686138583
117.21,0.14537,0.9801806322127445,0.9229255285378706,-2.2823107411091996,-1.6893481728620623
111.6,0.13832,0.9332664325137983,0.8781664656212304,-2.097299454565757,-1.5587220891640727
111.05,0.1357,0.9286670011707643,0.8615326011046917,-0.49369242325455787,-0.6733580447227201
111.74,0.13467,0.9344371968556614,0.8549933337565869,1.0429546157723308,0.10450519199107489
108.8,0.13432,0.9098511456765346,0.8527712526188812,-1.6093497884418184,-1.1420515218086498
107.65,0.13187,0.9002341528683727,0.8372166846549424,-0.7454806179408848,-0.6567989994802383
108.09,0.1319,0.9039136979427999,0.83740714875246,-0.330140240436819,-0.34424333780587985
110.38,0.13646,0.9230640575347048,0.866357691575138,-1.7884028598181203,-1.1538392188432616
110.68,0.13702,0.9255728382672689,0.8699130213954669,-1.9487158130754665,-1.1340742826080497
108.71,0.13591,0.9090985114567653,0.8628658497873151,-3.0063097807260846,-1.5690629332553094
105.88,0.13013,0.8854323465462451,0.8261697669989206,-1.085222513176987,-0.49557950038777376
106.45,0.1297,0.8901990299381167,0.8234397816011682,-0.1617679240686698,0.009031283727173173
107.25,0.13118,0.8968891118916207,0.8328360104120373,-0.5783093005345137,-0.13437994619074956
108.58,0.1313,0.908011373139321,0.8335978668021078,0.653052209481757,0.6629453517259268
110.96,0.13439,0.9279143669509952,0.8532156688464224,0.4931110924010085,0.6794729858644344
107.9,0.13078,0.9023248034788427,0.8302964891118024,0.40048566607786995,0.6144556055783792
112.72,0.13116,0.9426325472487038,0.8327090343470255,4.908130447796097,2.8100379506948694
114.47,0.13545,0.9572671015219937,0.8599454002920448,3.1318044308781765,1.8421738714700382
112.51,0.13232,0.9408764007359091,0.8400736461177067,3.7446250446201645,1.9389657404490546
115.62,0.13606,0.9668840943301555,0.863818170274903,3.780392106794295,1.7053739084080595
118.57,0.14208,0.9915537715337013,0.9020379658434385,1.7820278592777328,0.725712206452549
116.34,0.14105,0.9729051680883091,0.8954986984953336,0.3986748983046624,0.04202209530878681
115.1,0.1402,0.962535541060378,0.8901022157323344,-0.14263579764400447,-0.2640157665757289
114.99,0.1374,0.9616156547917711,0.87232556663069,2.0489289686427554,0.732527340246833
113.81,0.13092,0.951747783910353,0.8311853215668846,6.195407427763527,2.239895931974033
115.77,0.14865,0.9681384846964375,0.9437496031997968,-6.418429467330824,-2.442561259658531
124.53,0.15458,1.0413948820873056,0.9813980064757792,-2.532814847359546,-1.0248334928454714
123.74,0.15138,1.0347884261582203,0.9610818360739,-0.692455114460401,-0.38676291087393344
116.55,0.14364,0.9746613146011038,0.9119420989143545,-1.5202725105105799,-0.6767866738035311
117.95,0.15213,0.9863689580197358,0.9658434385118404,-7.098945676858634,-2.204796868209653
103.2,0.12127,0.8630205720020071,0.7699193701987175,3.517585997287526,0.9091108108244288
89.14,0.09581,0.7454423816691754,0.6082788394387658,10.385385622166382,2.380956300592699
102.76,0.1163,0.85934102692758,0.7383658180432988,7.162863457446534,1.3954394252178677
103.14,0.11089,0.8625188158554943,0.7040187924576217,11.98981538087915,2.127171165497407
102.75,0.10446,0.859257400903161,0.6631959875563456,16.885194469173385,2.479164075548156
99.59,0.10039,0.8328315771868205,0.6373563583264554,17.070683254454494,2.091635531186198
103.84,0.10322,0.8683726375648102,0.6553234715256174,18.994458865671803,2.0117356099473542
103.91,0.10493,0.8689580197357417,0.6661799250841216,17.65886038340382,1.6187439249055298
104.46,0.10625,0.8735574510787757,0.6745603453748967,17.123836993582913,1.3903114981558207
103.85,0.10419,0.8684562635892289,0.661481810678687,18.207131071636738,1.3680736597885332
104.8,0.10232,0.8764007359090149,0.6496095486000888,20.694247540549682,1.474904153240489
104.89,0.10402,0.8771533701287841,0.6604025141260872,19.386868932447015,1.203176942829848
104.8,0.09959,0.8764007359090149,0.6322773157259856,22.938273187679272,1.4123568100343784
103.42,0.0982,0.8648603445392207,0.6234524792076693,22.70083569665735,1.2530093926318489
109.5,0.10223,0.9157049673858505,0.649038156307536,25.468226408037467,1.37152611869033
115.05,0.10699,0.962117410938284,0.6792584597803314,27.10556630534998,1.3702979465157874
115.92,0.1078,0.9693928750627195,0.684400990413307,27.30975649795988,1.2917383239467155
114.07,0.1083,0.9539220605452416,0.6875753920386006,25.048762789694393,0.9898900439628954
112.45,0.1068,0.9403746445893962,0.6780521871627199,24.66174391449087,0.8737331064836281
111.18,0.10667,0.9297541394882088,0.6772268427401434,23.498602278639908,0.6846491930659335
110.1,0.10572,0.9207225288509784,0.6711954796520855,23.19949032434434,0.6361011239462103
111.07,0.1079,0.9288342532196019,0.6850358707383657,22.377557756306786,0.4412932031721476
113.44,0.11112,0.9486536210068574,0.7054790172052567,22.100758275077027,0.3132333214011215
110.41,0.10912,0.9233149356079612,0.6927814107040822,20.714733108138986,-0.12424790647159276
112.0,0.1148,0.9366114734905503,0.7288426131674179,17.635844582242996,-1.1352846316296548
109.69,0.11005,0.9172938618498077,0.6986857977271284,19.230284810765184,-0.722000035319764
111.19,0.11052,0.9298377655126275,0.7016697352549044,20.343950724995622,-0.44833550323691135
110.47,0.11162,0.923816691754474,0.7086534188305503,18.719764566811534,-0.9642723888069693
112.11,0.12817,0.937531359759157,0.8137261126277696,6.75587282322374,-3.24867580937441
109.17,0.11859,0.9129453085800301,0.7529045774871437,11.69051227359057,-1.912893178583851
112.03,0.11833,0.9368623515638067,0.7512538886419909,14.764229001888623,-1.205280685569637
109.77,0.1282,0.9179628700451581,0.8139165767252873,4.391213200727805,-2.5427303062850477
109.07,0.12231,0.912109048335842,0.7765221255793282,8.532719084095305,-1.651707886308339
106.15,0.12182,0.8876902492055528,0.7734112119865405,6.015492918195491,-1.7601639895887347
106.21,0.11845,0.8881920053520656,0.7520157450320614,8.845590511904902,-1.233289231826315
110.16,0.12075,0.9212242849974912,0.7666179925084121,10.90501945388364,-0.869101407867552
108.94,0.11853,0.9110219100183977,0.7525236492921084,11.50983151858243,-0.7110357549292621
107.2,0.1157,0.8964709817695267,0.7345565360929465,12.096055907365113,-0.5571262557773926
99.95,0.10005,0.8358421140658974,0.6351977652212557,17.71015897607502,0.3418619095597115
103.0,0.10358,0.861348051513631,0.6576090406958288,17.858543395720645,0.43698930336817
101.83,0.10353,0.8515638066566316,0.6572916005332994,16.7296427665472,0.320228712999026
98.35,0.10005,0.8224619501588895,0.6351977652212557,16.110158976075013,0.28713066819725436
101.58,0.10365,0.8494731560461616,0.6580534569233699,16.381004276563473,0.40857174546935576
100.3,0.1014,0.8387690249205553,0.6437686496095486,16.95047596375818,0.5950389290233238
101.4,0.10325,0.8479678876066232,0.655513935623135,16.529799243175873,0.5739580515095246
101.89,0.10382,0.8520655628031444,0.6591327534759697,16.55126641575322,0.5940425649649633
101.65,0.1036,0.8500585382170932,0.6577360167608405,16.49210364739004,0.6253587265514292
101.35,0.1026,0.8475497574845291,0.6513872135102533,17.014091063921,0.8064944579917775
103.37,0.103,0.8644422144171267,0.6539267348104881,18.70529609730862,1.1901047421507185
101.64,0.10317,0.8499749121926744,0.655006031363088,16.835558236498343,0.6924751680694806
100.05,0.10148,0.8366783743100853,0.6442765538695956,16.634716970435704,0.5874313595671838
99.25,0.102,0.8299882923565813,0.6475779315599008,15.407283513839602,0.28716006082596524
96.61,0.1018,0.8079110219100184,0.6463081709097834,12.93168099714579,-0.46893810065221386
97.05,0.10279,0.8115905669844455,0.6525934861278649,12.55791345478012,-0.6728765648021116
96.8,0.10518,0.8094999163739756,0.6677671258967683,10.343363529271073,-1.629794823041381
99.2,0.1061,0.8295701622344874,0.6736080248873086,11.987135106062567,-1.2222100288101219
99.65,0.10707,0.8333333333333334,0.6797663640403784,11.639807312027514,-1.3999365671744308
101.49,0.10731,0.8487205218263923,0.6812900768205193,13.282530332060063,-0.817963777397571
101.15,0.10578,0.8458772369961532,0.6715764078471208,14.200171079352486,-0.5019458366259026
100.35,0.1048,0.8391871550426493,0.6653545806615453,14.205718747552837,-0.4376730805819717
