UNIUSDT,DUSKUSDT,UNIUSDT_perc,DUSKUSDT_perc,spread,zscore
14.969,0.429,1.0,1.0,4.213643662783214,
18.655,0.7067,1.2462422339501638,1.6473193473193473,0.9374934183890389,
18.407,0.9445,1.2296746609659965,2.2016317016317015,-5.272333474361897,
15.81,0.6608,1.056182777740664,1.5403263403263405,-0.7567586658108443,
17.838,1.0311,1.1916627697240967,2.4034965034965032,-8.012461350359501,
11.42,0.6081,0.7629100140289933,1.4174825174825174,-3.825529577299598,
10.8,0.5599,0.7214910815685751,1.305128205128205,-3.237118911906009,
11.67,0.5288,0.7796111964727103,1.2326340326340328,-1.5874182543595268,
10.33,0.4207,0.6900928585743871,0.9806526806526807,-0.21726902346643762,
9.353,0.3786,0.6248246375843409,0.8825174825174825,-0.13878999829901062,
9.77,0.3173,0.652682209900461,0.7396270396270397,1.815047632170427,
8.476,0.3244,0.5662368895717818,0.7561771561771562,0.34304523125145714,
8.196,0.2937,0.5475315652348186,0.6846153846153846,0.8327175845208155,
9.324,0.3391,0.6228873004208698,0.7904428904428905,0.8225050490671038,
11.407,0.39,0.76204155254192,0.9090909090909092,1.629403329802921,
11.87,0.4788,0.7929721424276839,1.1160839160839162,-0.13388021971887554,
9.882,0.3478,0.6601643396352462,0.8107226107226108,1.1623894310396317,
9.239,0.3238,0.617208898390006,0.7547785547785547,1.1210876876671456,
8.711,0.3117,0.5819360010688757,0.7265734265734265,0.8964438920501818,
7.116,0.2378,0.4753824570779611,0.5543123543123544,1.154173107249063,
7.097,0.2108,0.4741131672122387,0.49137529137529135,1.812083645955016,0.7675439732106535
5.456,0.1511,0.3644866056516802,0.35221445221445224,1.6678080593159526,0.804979147594108
5.486,0.1432,0.36649074754492617,0.3337995337995338,1.8958670687891752,0.863989888540864
4.948,0.1339,0.3305498029260472,0.31212121212121213,1.5910251432323372,0.6813482190609883
5.09,0.1408,0.3400360745540784,0.3282051282051282,1.560036894451926,0.6179641927945546
4.063,0.1099,0.2714276170752889,0.2561771561771562,1.307723399859849,0.5066109582453867
4.19,0.1166,0.2799118177566972,0.2717948717948718,1.2667493032180022,0.4177100889659943
5.6,0.1395,0.3741064867392611,0.3251748251748252,2.102628883352583,1.2250401070705914
4.916,0.1135,0.32841205157325143,0.2645687645687646,2.070468661365722,1.262362908373442
6.228,0.1193,0.4160598570378783,0.2780885780885781,3.237058249347406,2.45994066991896
6.941,0.1168,0.4636916293673592,0.27226107226107227,4.012735151079439,2.760556980452298
7.243,0.1301,0.4838666577593694,0.30326340326340323,3.9812940338650264,2.244821974330289
8.324,0.1439,0.5560825706460018,0.33543123543123543,4.7163175363042065,2.3957123961498996
8.781,0.1588,0.5866123321531165,0.3701631701631702,4.799763201981293,2.070493587157189
8.876,0.1643,0.5929587814817289,0.382983682983683,4.75687401817082,1.7730691974168367
7.205,0.1382,0.4813280780279244,0.3221445221445221,3.7402208722532406,0.9718616948074057
5.736,0.12,0.3831919299886432,0.27972027972027974,2.7275087168624372,0.20091636177802855
6.478,0.1384,0.4327610394815953,0.3226107226107226,3.0082067201146776,0.3511486040069443
6.49,0.1377,0.43356269623889376,0.320979020979021,3.0377562525996473,0.3133492442133056
5.469,0.1144,0.36535506713875343,0.26666666666666666,2.6009049767421906,-0.09469509215382793
5.656,0.111,0.37784755160665373,0.25874125874125875,2.8731455630977543,0.06402919298416727
6.26,0.1151,0.41819760839067405,0.2682983682983683,3.3743554442572212,0.4356937486508234
6.628,0.1261,0.4427817489478255,0.29393939393939394,3.4665770766362782,0.45221961918577264
6.103,0.1229,0.4077092658160198,0.28648018648018647,3.0218035108532795,0.008886883112738784
6.284,0.1196,0.4198009219052709,0.2787878787878788,3.2855370211395627,0.18388062997136068
6.894,0.1308,0.4605518070679404,0.3048951048951049,3.614744501380057,0.42729123939658753
7.247,0.1335,0.48413387667846886,0.3111888111888112,3.9000534475094613,0.6482255843140106
5.804,0.0889,0.38773465161333426,0.20722610722610724,3.5752093744089226,0.1955167330074039
5.439,0.0867,0.3633509252455074,0.2020979020979021,3.2653650479331113,-0.29985001459343535
5.405,0.0901,0.3610795644331619,0.21002331002331004,3.146124461577547,-0.598381923840946
6.267,0.096,0.4186652414990982,0.22377622377622378,3.8602069734899502,0.46682724043679524
5.916,0.0916,0.3952167813481195,0.21351981351981353,3.6195183205383277,0.12297453273506173
5.324,0.0805,0.35566838132139755,0.18764568764568765,3.3058037642285516,-0.3240340100948115
5.157,0.081,0.3445119914489946,0.18881118881118883,3.1262683838821452,-0.5407904836316922
5.246,0.0818,0.3504576123989579,0.19067599067599067,3.1952117753278952,-0.3404673932664105
5.533,0.0866,0.369630569844345,0.20186480186480185,3.3618721240023928,0.2020416639838739
