AAVEUSDT,WAVESUSDT,AAVEUSDT_perc,WAVESUSDT_perc,spread,zscore
66.37,6.941,1.0,1.0,-58.835832941417195,
61.92,5.871,0.9329516347747476,0.845843538395044,-43.98454476286709,
68.0,6.311,1.024559288835317,0.909234980550353,-45.84152307928022,
71.04,6.574,1.070363115865602,0.9471257743840945,-47.545671482045336,
69.92,6.449,1.0534880216965496,0.929116841953609,-46.41084809670069,
65.48,5.907,0.9865903269549495,0.8510301109350238,-41.07393389784633,
65.51,5.9,0.9870423384059063,0.8500216107189167,-40.917663788267035,
60.13,5.411,0.9059816182009944,0.7795706670508572,-37.4767947047988,
59.87,5.396,0.9020641856260357,0.7774095951591989,-37.466215898557444,
57.05,5.072,0.8595751092361006,0.7307304422993806,-34.44171368374414,
56.32,5.239,0.8485761639294862,0.7547903760265091,-38.18415772656457,
57.9,5.186,0.8723821003465421,0.7471545886759833,-35.648112611178455,
57.65,5.153,0.8686153382552357,0.742400230514335,-35.302839237447465,
63.02,5.503,0.9495253879764954,0.7928252413196946,-36.24634471641246,
60.65,5.255,0.9138164833509115,0.7570955193776113,-34.14277511988869,
62.94,5.315,0.9483200241072773,0.7657398069442444,-32.93509034485413,
71.16,5.595,1.072171161669429,0.8060798155885319,-29.76589472802611,
71.66,5.356,1.0797046858520414,0.7716467367814436,-24.95467241524716,
81.85,5.429,1.2332379086936867,0.7821639533208472,-16.08148927228845,
77.71,5.106,1.170860328461654,0.7356288719204725,-14.39502564455789,
69.89,4.685,1.053036010245593,0.6749747874945973,-14.620780482717123,1.8799433290029919
68.4,4.701,1.0305861081814072,0.6772799308456994,-16.399397876041235,1.6270797597277606
79.75,4.88,1.2015971071267137,0.7030687220861548,-8.278304963854765,2.033331542496494
91.15,5.086,1.3733614584902818,0.732747442731595,-0.5942539029027358,2.2423749723301367
90.35,5.074,1.3613078197981014,0.7310185852182682,-1.177790857909656,1.9189797646974271
92.85,5.135,1.3989754407111645,0.7398069442443452,0.2218553300421604,1.7881864038523207
88.16,5.032,1.328310983878258,0.7249675839216252,-2.6101702004338563,1.4274210189002885
96.14,5.412,1.4485460298327557,0.7797147385103012,-1.4848332918815572,1.3599207221245313
95.55,6.298,1.4396564712972728,0.9073620515775825,-18.057021447204377,0.17788695081552675
90.72,5.699,1.3668826276932349,0.8210632473706959,-12.081907784632861,0.5274404692411426
95.31,5.707,1.4360403796896188,0.822215819046247,-7.636216481294909,0.7685604140895125
89.45,5.51,1.3477474762693988,0.7938337415358018,-9.942614825991754,0.5279900156125477
89.3,5.523,1.3454874190146149,0.7957066705085722,-10.327116458067607,0.42768349462269034
90.63,5.466,1.3655265933403644,0.7874945973202709,-7.968916994350451,0.548750978123908
81.22,4.928,1.223745668223595,0.7099841521394612,-7.674157143827117,0.5039929461876897
81.15,4.996,1.2226909748380292,0.7197810113816454,-8.970781065454602,0.29755851628289814
83.39,5.384,1.2564411631761336,0.7756807376458724,-13.729752853564364,-0.3767289664233366
100.45,5.72,1.5134850082868765,0.8240887480190174,-2.730718113370756,1.0146281485758326
95.6,5.63,1.4404098237155338,0.8111223166690679,-5.957245275922617,0.46389930432948423
95.03,5.639,1.4318216061473557,0.8124189598040629,-6.689592559667432,0.26847560504526585
98.53,5.665,1.484556275425644,0.8161648177496038,-3.6585958238191125,0.7479839288146697
96.58,6.101,1.4551755311134547,0.8789799740671373,-13.473419791901222,-1.1225312001843208
93.43,5.73,1.4077143287629954,0.8255294626134564,-9.93110398419833,-0.5442727978870269
94.93,5.634,1.4303149013108332,0.8116986025068434,-6.699399624253644,0.10236858121984478
96.4,5.887,1.4524634624077144,0.848148681746146,-9.793162156191187,-0.4623882081201989
102.89,6.229,1.550248606298026,0.8974211208759545,-9.47235893849414,-0.32483733134723874
99.02,6.096,1.4919391291246042,0.8782596167699179,-10.943226856487442,-0.5878556327486398
101.25,6.052,1.5255386469790566,0.871920472554387,-7.919529024846113,0.23493073906925352
102.45,6.14,1.5436191050173271,0.8845987609854488,-8.306924688128746,0.2430067797562082
97.78,5.804,1.4732559891517252,0.8361907506123037,-6.915959428322353,0.6082688997980039
111.05,6.103,1.6731957209582642,0.879268116986025,0.9605030339332643,2.658401665899561
107.5,6.067,1.6197076992617145,0.8740815444460452,-1.940107831087488,1.597613898645164
114.6,6.126,1.7266837426548136,0.8825817605532345,4.095615531029836,2.5341779399503586
110.37,6.096,1.662950128069911,0.8782596167699179,0.40677314351256655,1.5045044328305812
107.29,6.07,1.6165436191050173,0.874513758824377,-2.204223592335751,0.864219116220738
107.0,5.952,1.6121741750791019,0.8575133266099986,-0.3656703165704158,1.1429707645720972
109.58,5.865,1.651047159861383,0.8449791096383806,3.783686759629461,1.735984738102804
99.91,5.605,1.5053488021696548,0.8075205301829709,-1.1962805988537042,0.7123268390115857
94.75,5.355,1.4276028326050925,0.7715026653219997,-1.8466338281644141,0.5695482018274494
83.39,4.885,1.2564411631761336,0.7037890793833741,-4.728497899268547,-0.02367703926339769
82.7,4.84,1.2460448998041282,0.6973058637083993,-4.606761480544478,-0.019208011418908683
85.85,4.93,1.2935061021545877,0.7102722950583489,-3.080234317992634,0.28475252258763023
88.35,4.825,1.3311737230676508,0.6951447918167412,1.31381732569686,1.100080796256095
89.3,5.139,1.3454874190146149,0.7403832300821208,-3.4002990182888766,0.01568081194400198
88.3,5.067,1.3304203706493896,0.7300100850021611,-3.1015207483303584,0.045211789203379274
93.12,5.096,1.4030435437697755,0.7341881573260337,1.195360226269699,0.9483696948784024
82.75,4.551,1.2467982522223895,0.6556692119291169,0.6563901863723203,0.7459738340801918
82.0,4.521,1.2354979659484706,0.6513470681458003,0.4475477988550409,0.6356854466389968
78.54,4.346,1.1833659786047914,0.6261345627431206,0.1443005383375322,0.4758943239950167
85.65,4.585,1.290492692481543,0.6605676415502089,2.943078225558594,1.3104240937612817
84.44,4.465,1.2722615639596202,0.6432790664169428,3.89770867548944,1.5615362672126178
84.83,4.495,1.2781377128220581,0.6476012102002594,3.74655106300672,1.3888156646520908
86.31,4.545,1.3004369444025914,0.6548047831724535,4.324621708868875,1.42108221752526
88.39,4.495,1.33177640500226,0.6476012102002594,7.306551063006722,2.167700627923537
87.03,4.51,1.3112852192255537,0.6497622820919176,5.675972256765377,1.4925273784608974
88.72,4.608,1.3367485309627842,0.6638812851174182,5.5981907226551755,1.3203464656951374
91.03,4.582,1.3715534126864546,0.6601354271718772,8.377193986806859,1.8103150990300143
