ILVUSDT,CELUSDT,ILVUSDT_perc,CELUSDT_perc,spread,zscore
128.4,0.7779,1.0,1.0,87.97197744435913,
125.2,0.7989,0.9750778816199377,1.026995757809487,83.68059233873055,
126.8,0.892,0.9875389408099687,1.1466769507648797,80.44211837044392,
119.3,0.8874,0.9291277258566978,1.1407635942923253,73.1811836792959,
116.4,0.904,0.9065420560747663,1.1621030980845868,69.41846973865619,
116.2,0.9049,0.9049844236760124,1.1632600591335647,69.17169609127211,
103.1,0.8992,0.8029595015576323,1.155932639156704,56.367929191371275,
106.4,0.919,0.8286604361370716,1.1813857822342204,58.6389089489215,
115.7,1.1151,0.9010903426791277,1.433474739683764,57.74745089112336,
118.3,1.1453,0.9213395638629283,1.4722972104383596,58.777935167790844,
120.6,1.1667,0.9392523364485981,1.4998071731585036,59.96576177443602,
117.6,1.0692,0.9158878504672896,1.374469726185885,62.03290690771149,
117.2,1.0982,0.9127725856697819,1.4117495822085102,60.125756047557765,
115.3,1.2909,0.8979750778816199,1.65946779791747,48.21099843543281,
113.9,1.192,0.8870716510903427,1.5323306337575522,51.9509025757502,
112.8,1.1731,0.8785046728971962,1.508034451729014,51.83314917081589,
111.3,1.1815,0.866822429906542,1.5188327548528087,49.89659512856446,
116.5,1.294,0.9073208722741433,1.663452885975061,49.24988920555431,
112.9,1.3586,0.8792834890965732,1.7464969790461498,42.2925807377636,
112.4,1.4504,0.8753894080996885,1.8645070060419076,37.02166870458731,
112.9,1.8005,0.8792834890965732,2.3145648540943564,19.32671987217971,-2.4576493662540333
105.8,1.8581,0.8239875389408099,2.3886103612289498,9.233206439598504,-2.5571618514076304
115.0,2.3589,0.895638629283489,3.0323949093713845,-7.593729793676928,-2.7368910131572877
116.8,2.4743,0.9096573208722741,3.180743026095899,-11.791150802702433,-2.4067168796884717
121.2,2.9725,0.9439252336448598,3.821185242319064,-33.28296316575718,-2.5812938741605116
117.1,3.8888,0.9119937694704049,4.99910014140635,-85.00373327468344,-3.039869252269021
113.0,3.8356,0.8800623052959501,4.930710888288983,-86.33889100709109,-2.4438249461490322
108.1,2.7952,0.8419003115264797,3.5932639156703945,-37.16855463109317,-1.2400325436190303
106.7,2.35,0.8309968847352025,3.0209538501092683,-15.431190391767672,-0.7095833481650472
102.9,2.8028,0.8014018691588786,3.6030338089728753,-42.763532097892096,-1.1646585382178383
103.2,2.8776,0.8037383177570093,3.6991901272657155,-46.35094190270242,-1.1234714715736913
90.0,2.9469,0.7009345794392523,3.7882761280370225,-63.152512751276646,-1.3242204126980088
90.3,2.5739,0.7032710280373832,3.3087800488494663,-43.467434446540764,-0.8427695996491209
92.1,2.2608,0.7172897196261682,2.9062861550327805,-25.395402228812074,-0.4032107393570823
90.8,1.7046,0.7071651090342679,2.1912842267643655,2.2107118545501407,0.24489726388468303
91.6,1.7186,0.7133956386292835,2.2092813986373567,2.2831217841310973,0.3137814904814983
89.8,1.3545,0.6993769470404984,1.7412263787119167,19.40566068695773,0.7830453792798339
91.4,1.2086,0.7118380062305296,1.5536701375498134,28.588188635110477,1.0678037821624726
79.1,0.9429,0.616043613707165,1.2121095256459697,30.096808757277557,1.1679140008787863
78.2,0.8853,0.6090342679127726,1.1380640185113766,32.19032218985876,1.2579198404774838
74.0,1.132,0.5763239875389408,1.4551998971590177,15.16914573468894,0.8611879957540691
79.6,1.3189,0.6199376947040498,1.6954621416634528,11.05581829459473,0.766521907346633
77.3,1.1137,0.60202492211838,1.4316750224964647,19.420209898165254,0.9736752480256681
77.7,1.151,0.6051401869158879,1.4796246304152205,17.88170206769167,0.8809320307174949
78.5,1.3941,0.6113707165109034,1.7921326648669493,6.0476202020581695,0.5355848609415812
76.5,1.3946,0.5957943925233644,1.7927754210052707,4.021634842400346,0.4348829313932495
74.7,1.5086,0.5817757009345794,1.939323820542486,-3.7030271595832716,0.13901861780795877
75.6,1.4441,0.5887850467289719,1.8564082786990614,0.5490842362758741,0.1683882543060934
75.3,1.4967,0.586448598130841,1.9240262244504434,-2.484575599727094,0.0028860940031207303
72.4,1.3641,0.5638629283489097,1.7535672965676823,1.5067417815275377,0.1203519056134452
73.7,1.3511,0.57398753894081,1.736855636971333,3.482361132630942,0.11934852378952245
75.0,1.2761,0.5841121495327103,1.6404422162231649,8.680165081304366,0.24291290304496524
78.9,1.3423,0.6144859813084113,1.7255431289368812,9.139703462608622,0.15083262902229727
80.1,1.3926,0.6238317757009345,1.790204396451986,7.725576281031621,-0.09273619528922515
77.8,1.6012,0.6059190031152647,2.0583622573595575,-5.4155157682120745,-1.3770536028482683
75.9,1.4388,0.5911214953271028,1.8495950636328577,1.124529048648796,-0.7814722952779196
69.7,1.4676,0.5428348909657321,1.8866178172001542,-6.572227667641798,-1.3768481320127528
71.7,1.8842,0.5584112149532711,2.4221622316493123,-26.22322933453985,-2.4376268662862297
65.5,1.8084,0.5101246105919003,2.3247204010798304,-28.48384881041389,-2.2164255195639924
64.0,1.6274,0.4984423676012461,2.0920426790075846,-20.577148614281995,-1.5492262919959652
64.2,1.5877,0.5,2.041007841624887,-18.313911057450852,-1.3282579192926447
56.2,1.3741,0.43769470404984423,1.7664224193341047,-15.212965411628915,-1.0013964542929543
57.7,1.5453,0.44937694704049846,1.9865021210952563,-22.61035255846747,-1.3904873338682866
56.9,1.4439,0.44314641744548283,1.856151176243733,-18.140521619860998,-0.9871730650197656
53.7,1.5306,0.4182242990654206,1.9676050906286153,-25.84638298452748,-1.454071295582959
56.7,1.5864,0.441588785046729,2.0393366756652527,-25.74634912234052,-1.3045715233650204
