ANTUSDT,MKRUSDT,ANTUSDT_perc,MKRUSDT_perc,spread,zscore
1.67,921.4,1.0,1.0,-0.3083742580972748,
1.666,882.6,0.9976047904191617,0.9578901671369655,-0.22906524874826872,
1.729,977.6,1.0353293413173654,1.0609941393531583,-0.37004349328836117,
1.922,1053.5,1.1508982035928144,1.1433687866290427,-0.3400113749788136,
1.875,1034.6,1.122754491017964,1.1228565226828737,-0.3464304400124161,
1.687,1001.6,1.010179640718563,1.0870414586498807,-0.46357483927743703,
1.677,1002.5,1.004191616766467,1.0880182331235078,-0.4755072647520273,
1.569,946.2,0.9395209580838323,1.0269155632732798,-0.46262331561932024,
1.597,910.7,0.9562874251497007,0.9883872368135447,-0.35839986634381193,
1.536,908.6,0.9197604790419163,0.9861080963750815,-0.4148908735697676,
1.516,892.1,0.9077844311377246,0.9682005643585848,-0.3994630732022779,
1.555,908.0,0.9311377245508982,0.9854569133926634,-0.3946025899200407,
1.559,904.1,0.9335329341317365,0.981224224006946,-0.3822287461968159,
1.634,940.4,0.9784431137724551,1.0206207944432386,-0.3851699070052934,
1.683,932.6,1.0077844311377246,1.0121554156718038,-0.31942221955884365,
1.686,995.0,1.0095808383233533,1.079878445843282,-0.4504037191304411,
1.7,988.2,1.0179640718562875,1.072498372042544,-0.42180317110020327,
1.76,960.7,1.0538922155688624,1.042652485348383,-0.30275683715438695,
1.75,996.4,1.0479041916167666,1.0813978728022575,-0.3894097143131372,
1.694,939.8,1.0143712574850299,1.0199696114608205,-0.32388162335556636,
1.55,865.5,0.9281437125748504,0.9393314521380508,-0.3083491647310519,1.0333540151699485
1.516,823.5,0.9077844311377246,0.8937486433687867,-0.2521693092501691,1.7690477512575657
1.605,855.0,0.9610778443113773,0.9279357499457348,-0.2308042008608313,2.0941512466822263
1.644,891.7,0.9844311377245509,0.9677664423703062,-0.27060421743579344,1.358172968571825
1.746,910.4,1.0455089820359282,0.9880616453223355,-0.2087557245189482,1.9323299994693357
1.771,963.0,1.0604790419161676,1.0451486867809854,-0.29669525781167305,0.7674628703079173
1.713,929.5,1.025748502994012,1.0087909702626439,-0.28276608736858777,0.8590697262705194
1.912,1048.4,1.1449101796407186,1.1378337312784894,-0.3390609639561353,0.049231442355995025
1.889,1029.1,1.1311377245508982,1.1168873453440415,-0.3206211732232529,0.22978364629162415
1.756,971.8,1.051497005988024,1.054699370523117,-0.3305900846743344,0.05924402017163094
1.776,976.7,1.0634730538922157,1.0600173648795312,-0.32111106781377097,0.1407862728714723
1.686,946.0,1.0095808383233533,1.0266985022791404,-0.3451938877360776,-0.2887027397101087
1.724,953.7,1.0323353293413173,1.0350553505535056,-0.32372686124090655,0.005809027245843236
1.709,985.0,1.0233532934131737,1.0690253961363143,-0.405932324968326,-1.3260824655007941
1.584,891.7,0.9485029940119761,0.9677664423703062,-0.33060421743579327,-0.13484511654493814
1.614,916.0,0.9664670658682636,0.9941393531582375,-0.35277970524973257,-0.4789240340603089
1.723,1010.4,1.0317365269461078,1.0965921423920122,-0.446469666140098,-2.0658268546959273
1.89,1114.5,1.1317365269461077,1.2095723898415456,-0.5029868793677152,-2.5757698993028737
1.992,1152.5,1.192814371257485,1.2508139787280226,-0.4825781771837523,-1.9339887754899956
1.971,1122.3,1.180239520958084,1.2180377686129802,-0.4387345668141647,-1.281078887387993
1.955,1101.9,1.1706586826347307,1.1958975472107662,-0.4109329227234504,-0.8555292339365638
2.031,1061.7,1.2161676646706587,1.1522682873887564,-0.24861791819174783,1.1178297230421497
1.949,1042.5,1.1670658682634731,1.1314304319513784,-0.28939284140048716,0.6540535115399346
1.926,1039.7,1.1532934131736527,1.1283915780334275,-0.3063808510350954,0.510139287114726
1.966,1050.4,1.177245508982036,1.1400043412198828,-0.2893552427885584,0.7520481728673744
2.032,1118.5,1.2167664670658684,1.2139136097243326,-0.369575437032561,-0.22564003531883686
2.017,1086.0,1.2077844311377246,1.1786411981766878,-0.3147934060056876,0.586178682437027
2.08,1126.5,1.2455089820359282,1.2225960494899066,-0.3387525523622532,0.28250799526233
2.102,1143.5,1.2586826347305389,1.2410462339917516,-0.3532539224378488,0.07467480131780198
2.112,1068.2,1.2646706586826348,1.1593227696982853,-0.18157432439712284,2.223599866082655
2.238,1115.4,1.340119760479042,1.2105491643151727,-0.15691930484230587,2.1315758018525948
