JSTUSDT,AKROUSDT,JSTUSDT_perc,AKROUSDT_perc,spread,zscore
0.02021,0.003311,1.0,1.0,-0.0011047211507053366,
0.02028,0.003341,1.003463631865413,1.0090607067351252,-0.0012278475881928493,
0.02023,0.003331,1.000989609104404,1.0060404711567503,-0.001213472109030344,
0.02028,0.00332,1.003463631865413,1.0027182120205376,-0.0010926590819515906,
0.02029,0.00335,1.003958436417615,1.011778918755663,-0.0012757855194391043,
0.02028,0.003311,1.003463631865413,1.0,-0.001034721150705336,
0.0203,0.00339,1.0044532409698168,1.0238598610691634,-0.0015232874360891213,
0.02023,0.003361,1.000989609104404,1.0151011778918755,-0.0014065985465178572,
0.02023,0.00338,1.000989609104404,1.0208396254907883,-0.0015289119569266187,
0.02009,0.00337,0.9940623453735775,1.0178193899124133,-0.0016045364777641132,
0.02009,0.003368,0.9940623453735775,1.017215342796738,-0.001591661381931609,
0.01985,0.003325,0.9821870361207323,1.004228329809725,-0.0015548468215328404,
0.01982,0.003212,0.9807026224641268,0.9700996677740863,-0.0008574039069965365,
0.01985,0.003201,0.9821870361207323,0.9667774086378736,-0.0007565908799177824,
0.01984,0.00325,0.9816922315685305,0.9815765629719118,-0.0010820307278140533,
0.01981,0.003234,0.9802078179119249,0.9767441860465116,-0.0010090299611540468,
0.01987,0.003221,0.983176645225136,0.9728178797946239,-0.0008653418382427933,
0.01989,0.003231,0.98416625432954,0.975838115372999,-0.0009097173174052939,
0.01987,0.003212,0.983176645225136,0.9700996677740863,-0.0008074039069965386,
0.01991,0.003082,0.9851558634339437,0.93083660525521,6.947732211602664e-05,
0.02014,0.00314,0.996536368134587,0.9483539716097855,-7.390045702650172e-05,2.228796757129514
0.01998,0.003084,0.9886194952993569,0.9314406523708849,0.0001266022262835266,2.199762504898562
0.02,0.003033,0.9896091044037606,0.9160374509211718,0.0004749171700122977,2.31415719593396
0.0202,0.00304,0.9995051954477981,0.9181516158260344,0.0006298543345985425,2.129025375494681
0.02026,0.003021,1.0024740227610094,0.9124131682271216,0.0008121677450073049,2.013493992457238
0.02014,0.003005,0.996536368134587,0.9075807913017214,0.000795168511667315,1.732307300028254
0.02018,0.002993,0.9985155863433944,0.9039565086076714,0.0009124190866623173,1.6413816810619557
0.02001,0.002934,0.9901039089559625,0.8861371186952581,0.0011222344137210953,1.6561039497175092
0.01992,0.00295,0.9856506679861455,0.8909694956206583,0.0009292336470610903,1.308364589190262
0.01992,0.002989,0.9856506679861455,0.9027484143763213,0.0006781692783273223,0.954113799367536
0.02087,0.003011,1.0326571004453242,0.9093929326487465,0.001486543224169811,1.634531085200238
0.02061,0.00298,1.0197921820880753,0.9000302023557837,0.0014261072095735731,1.4405865674261702
0.02049,0.002971,1.0138545274616528,0.8973119903352461,0.0013640451408198292,1.277945240871891
0.02044,0.003029,1.0113805047006432,0.9148293566898218,0.0009406673616773019,0.7305129512050577
0.02037,0.002974,1.0079168728352301,0.8982180610087587,0.0012247324970710745,0.9600471241539571
0.02034,0.002963,1.0064324591786245,0.894895801872546,0.0012655455241498345,0.9316222307539623
0.02032,0.00301,1.0054428500742207,0.9090909090909091,0.0009429807720860613,0.46455437460292603
0.02033,0.00299,1.0059376546264227,0.9030504379341588,0.0010817317304110709,0.5843342775845843
0.02031,0.003004,1.004948045522019,0.907278767743884,0.0009716060595835636,0.34101155198086375
0.02034,0.00313,1.0064324591786245,0.9453337360314104,0.0001904750221360038,-1.4032823412652284
0.02042,0.003174,1.0103908955962395,0.9586227725762609,-1.2777086179020791e-05,-1.813961231603924
0.02049,0.003191,1.0138545274616528,0.9637571730594986,-5.2215400755274005e-05,-1.9104388017401779
0.0204,0.00315,1.0094012864918358,0.9513742071881607,0.00012172406381099482,-1.5295747967890614
0.02134,0.00311,1.0559129143988126,0.9392932648746601,0.0013192259804610147,0.9804875775033642
0.02138,0.003234,1.05789213260762,0.9767441860465116,0.0005609700388459517,-0.6438289388379471
0.02136,0.00316,1.0569025235032163,0.9543944427665357,0.0010173485846484871,0.3138525382027507
0.02137,0.003163,1.057397328055418,0.9553005134400483,0.0010080359408997375,0.2718696357573388
0.02138,0.003228,1.05789213260762,0.9749320446994865,0.0005995953263434536,-0.5649361934656915
0.01744,0.00318,0.8629391390400792,0.9604349139232861,-0.0030314023736765228,-3.820941949293236
0.01744,0.003092,0.8629391390400792,0.933856840833585,-0.00246489815704648,-2.5136212968101823
0.01745,0.003061,0.8634339435922811,0.9244941105406221,-0.002255334171642715,-1.978303549316274
0.01745,0.003032,0.8634339435922811,0.9157354273633342,-0.0020686452820714504,-1.6184361744456388
0.01745,0.003052,0.8634339435922811,0.9217758985200846,-0.0021973962403964604,-1.5189403616533463
0.01744,0.00312,0.8629391390400792,0.9423135004530353,-0.0026451494987014927,-1.610670762111831
0.01744,0.00321,0.8629391390400792,0.9694956206584113,-0.003224528811164036,-1.7296733623544271
0.01744,0.00325,0.8629391390400792,0.9815765629719118,-0.0034820307278140526,-1.65918056984967
0.01991,0.003154,0.9851558634339437,0.9525823014195107,-0.0003940261278540108,0.16148349513688534
0.02006,0.00314,0.992577931716972,0.9483539716097855,-0.00015390045702650193,0.34138732989039056
0.02009,0.003129,0.9940623453735775,0.9450317124735729,-5.308742994774435e-05,0.4466305282866941
0.02003,0.003189,0.9910935180603662,0.9631531259438236,-0.0004993403049227754,0.2200347272806104
0.01998,0.00314,0.9886194952993569,0.9483539716097855,-0.00023390045702650214,0.40549725137274417
0.01984,0.003128,0.9816922315685305,0.9447296889157354,-0.000296649882031496,0.3753927560276439
