ARUSDT,XNOUSDT,ARUSDT_perc,XNOUSDT_perc,spread,zscore
9.74,0.825,1.0,1.0,-0.9949770888659124,
8.99,0.792,0.9229979466119097,0.9600000000000001,-1.315578005311277,
9.77,0.844,1.0030800821355235,1.023030303030303,-1.2122068642458554,
10.72,0.87,1.1006160164271048,1.0545454545454547,-0.6005212937131432,
10.48,0.873,1.0759753593429158,1.0581818181818183,-0.8795575740362924,
9.83,0.852,1.0092402464065708,1.0327272727272727,-1.2563036117742516,
9.99,0.84,1.0256673511293635,1.0181818181818183,-0.9401584904816556,
9.2,0.814,0.9445585215605748,0.9866666666666667,-1.3918440610143676,
9.08,0.802,0.9322381930184804,0.9721212121212123,-1.3556989397217727,
9.75,0.823,1.0010266940451744,0.9975757575757576,-0.9589529019838139,
10.74,0.815,1.1026694045174539,0.9878787878787879,0.13514384554458303,
10.18,0.808,1.0451745379876796,0.9793939393939395,-0.333771500368071,
11.63,0.807,1.1940451745379876,0.9781818181818183,1.1292405930729803,
12.1,0.844,1.242299794661191,1.023030303030303,1.1177931357541446,
11.96,0.838,1.2279260780287475,1.0157575757575759,1.0558656964004438,
11.72,0.913,1.2032854209445585,1.1066666666666667,-0.1600413116782775,
12.18,0.911,1.2505133470225873,1.1042424242424242,0.3259828752038221,
11.33,0.889,1.1632443531827514,1.0775757575757576,-0.2377510690930862,
11.7,0.913,1.2012320328542094,1.1066666666666667,-0.18004131167827886,
11.68,0.882,1.1991786447638604,1.069090909090909,0.2033335849942599,
11.98,0.843,1.2299794661190966,1.0218181818181817,1.0108052291951957,1.5276828328888823
10.93,0.835,1.12217659137577,1.0121212121212122,0.06490197672359166,0.39327413659912225
12.81,0.862,1.3151950718685832,1.044848484848485,1.5935754538152533,1.8786516315923958
14.32,0.878,1.4702258726899384,1.0642424242424242,2.895381958758458,2.5786917146297017
14.02,0.883,1.4394250513347022,1.0703030303030303,2.5303214915532095,1.915265187697136
15.93,0.925,1.635523613963039,1.1212121212121213,3.8938135670291274,2.4237587484444507
15.43,0.901,1.584188911704312,1.0921212121212123,3.7061038096143175,1.9714085742818808
16.49,0.986,1.693018480492813,1.1951515151515153,3.6600758671251015,1.7058857677089008
15.51,0.965,1.5924024640657084,1.1696969696969697,2.953329829387144,1.163747109485082
13.83,0.918,1.419917864476386,1.1127272727272728,1.8848982211164742,0.42219406797362113
14.22,0.953,1.459958932238193,1.1551515151515153,1.8194749506797407,0.30768449246569896
13.37,0.97,1.3726899383983573,1.1757575757575758,0.7482693621818957,-0.47723019283576484
13.65,0.949,1.4014373716632444,1.1503030303030304,1.301523324443938,-0.14206195985315923
13.31,0.945,1.3665297741273101,1.1454545454545455,1.0135716982081373,-0.3530384612413791
12.66,0.913,1.299794661190965,1.1066666666666667,0.779958688321722,-0.5131150892032832
12.29,0.892,1.261806981519507,1.0812121212121213,0.6832126505837639,-0.5684315620560496
14.44,0.959,1.4825462012320327,1.1624242424242424,1.9614023900334416,0.31314901162576303
13.98,0.986,1.4353182751540041,1.1951515151515153,1.1500758671251035,-0.3460400365810121
13.53,0.989,1.3891170431211497,1.1987878787878787,0.6610395868019534,-0.7935345475749372
14.73,1.011,1.5123203285420945,1.2254545454545454,1.5747735310988649,-0.12446837851846503
15.47,1.014,1.5882956878850103,1.2290909090909092,2.2757372507757143,0.41423488355213106
14.44,1.017,1.4825462012320327,1.2327272727272727,1.206700970452566,-0.5632685305423133
13.9,1.017,1.427104722792608,1.2327272727272727,0.6667009704525668,-1.1218933045562056
13.98,1.018,1.4353182751540041,1.2339393939393941,0.7336888770115166,-0.9947559982941255
14.0,1.009,1.4373716632443532,1.223030303030303,0.8707977179809632,-0.7877359931991667
14.7,1.052,1.5092402464065708,1.2751515151515154,1.0112777000158282,-0.5933122588115475
14.88,1.04,1.5277207392197125,1.2606060606060607,1.3474228213084256,-0.1886361873620086
14.65,1.053,1.504106776180698,1.2763636363636364,0.9482656065747808,-0.5560648162000655
15.1,1.079,1.5503080082135523,1.3078787878787879,1.0599511771074912,-0.3429844151465317
14.38,1.032,1.4763860369609856,1.250909090909091,0.9515195688368223,-0.46793833782219646
15.57,1.074,1.5985626283367556,1.301818181818182,1.5950116443127378,0.9513248528679322
14.79,1.087,1.5184804928131415,1.3175757575757576,0.645854429579094,-1.0317977567730663
14.92,1.107,1.5318275154004106,1.3418181818181818,0.5156125607581021,-1.2657266080127598
14.56,1.091,1.4948665297741273,1.3224242424242425,0.3638060558148961,-1.4260719909114337
13.88,1.067,1.4250513347022589,1.2933333333333334,-0.0039037015999134894,-1.8860384655169884
13.92,1.025,1.4291581108829567,1.2424242424242424,0.5826042229241697,-0.7582025698827367
13.87,1.019,1.424024640657084,1.2351515151515151,0.610676783570467,-0.6966301882123932
13.17,0.979,1.3521560574948666,1.1866666666666668,0.4311605212124494,-0.9577709823038005
12.61,0.981,1.2946611909650922,1.1890909090909092,-0.15486366566964982,-1.8242080389228519
11.85,0.886,1.2166324435318274,1.073939393939394,0.3212852112300606,-0.9144838420287237
12.24,0.899,1.2566735112936345,1.0896969696969698,0.5421279964964167,-0.45331420613122236
12.64,0.925,1.2977412731006162,1.1212121212121213,0.6038135670291283,-0.24671888446511303
12.19,0.906,1.2515400410677617,1.0981818181818184,0.4010433424090696,-0.6571006785654696
12.45,0.939,1.2782340862422996,1.1381818181818182,0.23164425885443407,-0.9951209586761808
12.45,0.928,1.2782340862422996,1.124848484848485,0.374777286705978,-0.6069277877381454
12.29,0.953,1.261806981519507,1.1551515151515153,-0.11052504932026075,-1.5516770915569185
