UNIUSDT,1INCHUSDT,UNIUSDT_perc,1INCHUSDT_perc,spread,zscore
4.773,0.6907,1.0,1.0,-2.443488063961402,
4.981,0.6878,1.0435784621831135,0.9958013609381786,-2.205188635286886,
5.62,0.7131,1.1774565262937358,1.0324308672361373,-1.8305250302749023,
5.47,0.7538,1.1460297506809134,1.0913565947589403,-2.4057618396034526,
5.62,0.7285,1.1774565262937358,1.0547270884609816,-1.9914254446154356,
5.6,0.6924,1.1732662895453594,1.0024612711741712,-1.6342497980119806,
5.33,0.6726,1.1166980934422797,0.9737947010279426,-1.6973778367170098,
4.92,0.7423,1.0307982401005658,1.074706819168959,-2.8356089327907172,
5.114,0.7078,1.0714435365598156,1.0247574923990155,-2.281150212352512,
5.004,0.6947,1.048397234443746,1.0057912262921673,-2.254280379374527,
4.857,0.6533,1.0175989943431805,0.9458520341682352,-1.96872991484868,
4.917,0.6367,1.0301697045883094,0.9218184450557406,-1.735291805884211,
4.916,0.6271,1.0299601927508906,0.9079195019545389,-1.6359902488927096,
5.347,0.6375,1.1202597946783994,0.922976690314174,-1.3136502689668346,
5.302,0.622,1.1108317619945527,0.9005356884320255,-1.196705046740976,
5.347,0.6255,1.1202597946783994,0.9056030114376719,-1.1882733227274596,
5.73,0.6435,1.2005028284098054,0.9316635297524251,-0.9933387420865225,
5.788,0.6872,1.2126545149800965,0.9949326769943536,-1.391919787974917,
6.456,0.6951,1.3526084223758643,1.0063703489213842,-0.8064596109158391,
6.228,0.6393,1.3048397234443747,0.9255827421456493,-0.4514568109027426,
5.562,0.5903,1.1653048397234445,0.8546402200665992,-0.6055009470919579,1.6467882316903664
5.534,0.5595,1.1594385082757177,0.8100477776169104,-0.3117001184108936,1.8393040946551977
6.118,0.5947,1.281793421328305,0.8610105689879832,-0.0954724940463958,1.8627508187337216
7.011,0.616,1.4688874921433062,0.8918488489937745,0.5749834263787124,2.2592380594309436
6.779,0.6524,1.4202807458621414,0.9445490082524974,-0.037326643880727595,1.3905297393703513
7.37,0.6662,1.5441022417766606,0.964528738960475,0.4094898679439902,1.6763657958893088
6.941,0.645,1.454221663523989,0.9338352396119879,0.2019891396335538,1.3019152830829717
7.332,0.718,1.5361407919547456,1.0395251194440422,-0.16972061665598126,0.8277563312317564
7.338,0.7351,1.5373978629792584,1.0642826118430577,-0.3423827650470912,0.5794338583716848
6.849,0.6758,1.4349465744814582,0.9784276820616765,-0.2118116890475097,0.6612605349189555
7.216,0.6875,1.5118374188141632,0.9953670189662661,0.03294578836909867,0.9036437377371968
6.886,0.6601,1.4426985124659544,0.9556971188649197,-0.01077685105099313,0.776641731483087
6.961,0.6799,1.4584119002723654,0.984363689011148,-0.14264881234596238,0.5106831653259235
7.243,0.675,1.5174942384244712,0.9772694368032432,0.19054677403511455,0.97808166875272
7.039,0.623,1.474753823591033,0.9019834950050674,0.5298468744057425,1.438324508707391
6.654,0.6352,1.3940917661847896,0.9196467351961778,0.01738031239571125,0.4634769507668418
8.032,0.6941,1.6827990781479154,1.0049225423483423,0.7799884679374411,1.7371579676012452
9.283,0.7728,1.9448983867588518,1.1188649196467353,1.208724662184201,2.192415923236201
9.074,0.7595,1.9011104127383198,1.0996090922252786,1.1386841109328447,1.9824779318861656
8.772,0.7658,1.837837837837838,1.1087302736354423,0.770861214157172,1.1949846529871706
8.324,0.7615,1.743976534674209,1.1025047053713624,0.36778795322628177,0.3345764967876577
8.362,0.77,1.7519379844961243,1.1148110612422182,0.3169792829733904,0.1517080092977449
8.25,0.7416,1.728472658705217,1.0736933545678298,0.5017047224065792,0.49239650435838095
8.901,0.7655,1.864864864864865,1.1082959316635297,0.9029956378131567,1.2738016166341128
8.82,0.7988,1.847894406033941,1.156507890545823,0.4740746119988888,0.32463341810028534
8.962,0.8324,1.8776450869474126,1.205154191400029,0.26501916252863644,-0.18188984029593577
8.771,0.8078,1.8376283260004194,1.1695381497031996,0.3310419023193578,-0.021991854412627312
8.781,0.8065,1.8397234443746073,1.1676560011582453,0.35462440482862334,0.015468344081045329
8.785,0.8367,1.8405614917242825,1.211379759664109,0.043092423459526685,-0.7418750801274709
8.435,0.8072,1.7672323486276977,1.1686694657593746,0.001310749631326047,-0.9276077757788355
9.216,0.8825,1.9308610936517914,1.2776893007094252,-0.004429588020757436,-0.9981226534242972
8.962,0.864,1.8776450869474126,1.2509048791081512,-0.06514012923505241,-1.1276012861045015
9.205,0.8795,1.9285564634401846,1.2733458809902996,0.01591464853908775,-0.9283304378457862
8.99,0.873,1.8835114183951396,1.2639351382655277,-0.1311728389145852,-1.3063749537520664
8.876,0.8391,1.8596270689293946,1.2148544954394094,0.10901703421165188,-0.6802180028016833
8.466,0.8195,1.7737272155876807,1.1864774866077892,-0.09620062026403531,-1.0929989515440053
8.335,0.8176,1.7462811648858163,1.1837266541190097,-0.2073492704427995,-1.3020822394051754
7.953,0.7726,1.6662476429918291,1.1185753583321267,-0.11918572204514088,-0.992571485823738
7.572,0.7319,1.586423632935261,1.059649630809324,-0.07494891271659121,-0.8397970312732483
6.897,0.6779,1.4450031426775614,0.9814680758650643,-0.18575265463940038,-1.1357329033625225
6.995,0.6745,1.4655353027446052,0.9765455335167221,-0.05222918653824404,-0.6434409572611709
7.205,0.6995,1.5095327886025562,1.0127406978427682,-0.10343115787027735,-0.7472903205707265
6.979,0.6991,1.4621831133459042,1.0121615752135515,-0.32525192632896527,-1.3697692421644438
7.111,0.7242,1.4898386758851876,1.0485015201969017,-0.4554987055463249,-1.629029406433246
7.043,0.722,1.4755918709407083,1.0453163457362096,-0.500512932069106,-1.8829488044853533
7.027,0.7433,1.4722396815420074,1.076154625742001,-0.7390570116439976,-2.4513785382397124
6.154,0.6605,1.2893358474753824,0.9562762414941364,-0.7469560825923063,-2.1151547045689703
6.052,0.6516,1.2679656400586634,0.943390762994064,-0.755968180798102,-1.908819489054459
5.736,0.631,1.2017598994343182,0.9135659475894021,-0.8567377564205074,-2.0133753116350386
6.339,0.6715,1.3280955373978631,0.9722021137975967,-0.6768849499784002,-1.277814211996046
6.169,0.6525,1.2924785250366646,0.9446937889098016,-0.6483714517660557,-1.0755486772266603
6.14,0.6628,1.286402681751519,0.9596061966121325,-0.7849866639548528,-1.3632680923473768
6.312,0.6676,1.3224387177875552,0.9665556681627334,-0.6631374424506031,-0.890176856319911
6.404,0.712,1.341713806830086,1.0308382800057911,-1.0350321435362932,-1.8097356449079078
6.307,0.6875,1.3213911586004612,0.9953670189662661,-0.8760542116309011,-1.2052772969307153
6.478,0.672,1.3572176827990783,0.9729260170841176,-0.5431089894050416,-0.14564011738881746
6.579,0.6625,1.3783783783783785,0.95917185464022,-0.3428522402988685,0.5507184054921564
5.827,0.608,1.2208254766394302,0.8802663964094397,-0.5254319427950369,-0.003673049631225969
6.114,0.63,1.28095537397863,0.9121181410163602,-0.46828967756722584,0.2600604807909488
6.172,0.6376,1.293107060548921,0.9231214709714781,-0.48969507685216396,0.2744528746806748
6.505,0.6574,1.3628745024093862,0.9517880411177067,-0.3635670381471341,0.8270171714055408
6.671,0.6565,1.3976534674209093,0.950485015201969,-0.18816376717918004,1.6423082944350336
6.49,0.6482,1.359731824848104,0.9384682206457218,-0.2824447126969458,1.3667144353183376
6.655,0.6468,1.3943012780222084,0.9364412914434632,-0.10281740230235226,1.974303782896849
6.031,0.5932,1.2635658914728682,0.8588388591284204,-0.16680037576647333,1.5507779494637637
6.181,0.6118,1.2949926670856904,0.8857680613869987,-0.21113464243750624,1.2664512722255854
5.888,0.5911,1.233605698721978,0.8557984653250326,-0.2878594101745824,0.8888531737713555
5.825,0.6156,1.2204064529645926,0.8912697263645578,-0.6068373420799755,-0.3391451390428813
6.019,0.6274,1.2610517494238425,0.9083538439264514,-0.5361246725486941,-0.11179264331608466
5.469,0.571,1.1458202388434948,0.8266975532068915,-0.4968530252236283,-0.026855387238599857
5.476,0.595,1.1472868217054264,0.8614449109598957,-0.7406069177023795,-1.0028219976069837
5.296,0.5994,1.10957469097004,0.8678152598812799,-0.9665784646568181,-1.7246158691763784
5.337,0.5614,1.1181646763042112,0.8127986101056899,-0.5285514682321288,-0.12504507240251972
5.733,0.592,1.2011313639220615,0.8571014912407702,-0.4522626811425363,0.13307889201515827
5.909,0.6077,1.2380054473077728,0.8798320544375272,-0.4402975191390528,0.0792926425658831
5.795,0.606,1.214121097842028,0.877370783263356,-0.5365357850884749,-0.4698831797642238
5.656,0.6005,1.1849989524408129,0.869407847111626,-0.6180713513954279,-0.8457860482347387
5.921,0.625,1.2405195893567988,0.904879108151151,-0.609049283300819,-0.7338853727351702
6.375,0.607,1.3356379635449405,0.8788185898363978,0.033016136058244605,2.0088473080900573
6.558,0.5853,1.3739786297925833,0.84740118720139,0.44273944717444813,2.775223394612604
6.377,0.5843,1.336056987219778,0.8459533806283481,0.27218752602772955,1.8854661497960628
6.465,0.5759,1.3544940289126337,0.8337918054147966,0.44795138839529347,2.0346776885087934
