DUSKUSDT,1000BTTUSDT,DUSKUSDT_perc,1000BTTUSDT_perc,spread,zscore
0.128,0.00082,1.0,1.0,0.0072569871132279334,
0.1225,0.000776,0.95703125,0.9463414634146342,0.008235880487640082,
0.1299,0.000804,1.0148437499999998,0.9804878048780489,0.011512948340286877,
0.1501,0.000886,1.17265625,1.0804878048780489,0.019638647051609698,
0.1453,0.000876,1.13515625,1.0682926829268293,0.01631112281852154,
0.1395,0.00086,1.08984375,1.048780487804878,0.012867084045580512,
0.1353,0.000837,1.05703125,1.0207317073170732,0.012053778309477778,
0.1264,0.000927,0.9875,1.1304878048780487,-0.010098503592728902,
0.1218,0.000847,0.9515625,1.0329268292682927,-0.0029186974574340746,
0.1118,0.000809,0.8734375,0.9865853658536586,-0.007323289543169048,
0.1095,0.00081,0.85546875,0.9878048780487805,-0.009770537119860215,
0.1127,0.000805,0.8804687499999999,0.9817073170731708,-0.0058342992364043,
0.1135,0.000815,0.88671875,0.9939024390243902,-0.006506775003316145,
0.1185,0.000874,0.9257812499999999,1.0658536585365854,-0.010194382028096083,
0.1148,0.000866,0.896875,1.0560975609756098,-0.012716401414566605,
0.1168,0.000877,0.9125,1.0695121951219513,-0.012336124758169628,
0.1256,0.000936,0.9812499999999998,1.1414634146341462,-0.01222373178294961,
0.1206,0.000905,0.9421875,1.103658536585366,-0.012659056905522839,
0.1264,0.000919,0.9875,1.1207317073170733,-0.00892052297919943,
0.1193,0.000896,0.93203125,1.0926829268292684,-0.012633828715302178,
0.1111,0.000865,0.8679687500000001,1.0548780487804879,-0.016269153837875416,-1.195716401979432
0.1038,0.000806,0.8109375,0.9829268292682927,-0.014881546813095475,-0.9772721895807858
0.1119,0.000837,0.8742187499999999,1.0207317073170732,-0.011346221690522226,-0.6026993104004355
0.114,0.000854,0.890625,1.0414634146341464,-0.011749430494272392,-0.5664170207564051
0.1193,0.000869,0.93203125,1.0597560975609757,-0.008658144144640154,-0.18627526002815534
0.1198,0.000901,0.9359375,1.0987804878048781,-0.012870066598758098,-0.5986452015104222
0.1168,0.000896,0.9125,1.0926829268292684,-0.01513382871530218,-0.9187313860841025
0.1327,0.000929,1.0367187500000001,1.1329268292682928,-0.0040929987461112705,1.7753314791682753
0.1355,0.000924,1.05859375,1.126829268292683,-0.0005567608626553533,2.2580345750565423
0.1325,0.00091,1.03515625,1.1097560975609757,-0.0014952947889787516,1.9560073063048398
0.1395,0.000927,1.08984375,1.1304878048780487,0.003001496407271098,2.4237545382348658
0.1368,0.000919,1.06875,1.1207317073170733,0.0014794770208005625,1.835056616335995
0.1347,0.000917,1.05234375,1.1182926829268292,-0.00032602782581706014,1.4019020314806099
0.1301,0.000933,1.01640625,1.1378048780487806,-0.007281989052876053,0.23331592270181842
0.1231,0.00088,0.96171875,1.0731707317073171,-0.006477867488243208,0.3390582186489295
0.1203,0.000864,0.93984375,1.053658536585366,-0.0069219062611842325,0.2200322964894469
0.1291,0.000927,1.00859375,1.1304878048780487,-0.007398503592728922,0.09948917231584549
0.1359,0.000954,1.0617187499999998,1.1634146341463414,-0.004574188163390919,0.5298404875046631
0.1352,0.00096,1.05625,1.1707317073170733,-0.006157673623538057,0.20319389468296123
0.1455,0.000947,1.13671875,1.154878048780488,0.006056544873447367,2.00472278307721
0.1439,0.000982,1.12421875,1.197560975609756,-0.0006971203107441204,0.8482385540635824
0.1541,0.000964,1.20390625,1.175609756097561,0.012153336069697207,2.410790923818377
0.1434,0.000969,1.1203125,1.181707317073171,0.0007170981862412995,0.6967240435588274
0.1446,0.000965,1.1296875,1.176829268292683,0.0025060884930060423,0.8778490496180388
0.1394,0.000955,1.0890625,1.1646341463414636,-0.0012214357400821274,0.24473134990443546
0.1507,0.000983,1.17734375,1.198780487804878,0.005955632112564696,1.2516690498874077
0.1584,0.000971,1.2375,1.1841463414634146,0.015422603032858945,2.3152423365601305
0.1588,0.000976,1.2406249999999999,1.1902439024390243,0.01508636514940298,2.0622907978738407
0.1675,0.000988,1.30859375,1.2048780487804878,0.022019394229108785,2.424615106491041
0.1759,0.000963,1.37421875,1.174390243902439,0.034100583646388405,2.8199744418274313
0.17,0.001014,1.328125,1.2365853658536585,0.020690957235137974,1.4105456681655237
0.1648,0.001006,1.2875,1.226829268292683,0.016668937848667437,0.9743903377621985
0.1745,0.00102,1.3632812499999998,1.2439024390243905,0.02430747177499082,1.4534931613167845
0.1715,0.001015,1.33984375,1.2378048780487805,0.022043709658446764,1.1503627535252148
0.1643,0.001008,1.28359375,1.2292682926829268,0.015874442695285068,0.5922941450830969
0.1572,0.000983,1.2281250000000001,1.198780487804878,0.012455632112564702,0.251197592827323
0.1546,0.000978,1.2078125,1.1926829268292682,0.01059186999602063,0.024705451214473633
0.1452,0.000956,1.134375,1.1658536585365855,0.004431316683226688,-0.6094614590881456
0.1342,0.000951,1.0484375000000001,1.1597560975609758,-0.005832445433317374,-1.5601470070412498
0.1279,0.000875,0.99921875,1.0670731707317074,-0.0009416296047872752,-1.1644486609077733
0.1224,0.000871,0.9562499999999999,1.0621951219512196,-0.00585263929802253,-1.4985983128167515
0.1382,0.000895,1.0796875,1.0914634146341464,0.00641341886138902,-0.41527265424658694
0.1283,0.00089,1.0023437499999999,1.0853658536585364,-0.002750343255155052,-1.1653740163482083
0.1294,0.000907,1.0109374999999998,1.1060975609756099,-0.004153552058905219,-1.2426281387635343
0.1327,0.000904,1.0367187500000001,1.102439024390244,-0.00041180932883164156,-0.8905180452249755
