BNBUSDT,ALGOUSDT,BNBUSDT_perc,ALGOUSDT_perc,spread,zscore
408.5,1.9742,1.0,1.0,-285.40725166826815,
344.01,1.7751,0.8421297429620562,0.8991490223888157,-279.9160269660332,
430.59,1.9833,1.0540758873929008,1.0046094620605817,-266.5157908183954,
404.12,1.7655,0.9892778457772338,0.8942862931820484,-216.43174390655827,
470.92,1.7687,1.1528029375764994,0.8959072029176375,-150.75650492638323,
475.8,1.8152,1.164749082007344,0.9194610475129166,-162.2206884957148,
524.59,1.8284,1.284186046511628,0.9261473001722217,-118.07032770249282,
649.56,1.8666,1.590110159118727,0.9454969101408166,-6.527162376653564,
650.72,1.9843,1.5929498164014688,1.005115996352953,-46.73727863709064,
583.81,1.8281,1.4291554467564258,0.9259953398845102,-58.74488135688432,
611.33,1.7127,1.4965238678090576,0.8675412825448282,9.336812920553825,
557.77,1.764,1.3654100367197062,0.8935264917434911,-62.25451217851537,
570.31,1.5393,1.3961077111383107,0.7797082362475939,29.264800682319333,
529.7,1.3556,1.2966952264381886,0.6866578867389322,53.22311297664669,
546.21,1.6066,1.3371113831089352,0.8137979941242023,-18.490329515874578,
531.0,1.6734,1.2998776009791921,0.8476344848546247,-57.179715804720786,
438.69,1.4003,1.0739045287637699,0.7092999696079425,-53.49839251903347,
498.61,1.4289,1.2205875152998775,0.7237868503697701,-3.63094413371914,
383.88,0.9888,0.9397307221542227,0.5008611082970317,36.32884487408393,
377.21,0.9448,0.9234026927784578,0.4785735994326816,45.12430889667729,
419.88,1.0249,1.027858017135863,0.5191469962516462,59.64013461918347,1.18920089805557
397.91,0.8962,0.974075887392901,0.4539560328234222,82.90661688526905,1.311030340742388
380.64,0.8449,0.9317992656058751,0.4279708236247594,83.66794198433809,1.2620641027368136
360.09,0.7978,0.8814932680538555,0.4041130584540573,79.67301824488686,1.1973810053308096
375.01,0.7464,0.9180171358629131,0.3780771958261574,112.65949212582552,1.5341144479879305
361.37,0.6808,0.8846266829865361,0.3448485462465809,122.0770930322374,1.5368658867783391
390.81,0.7414,0.9566952264381885,0.37554452436429947,130.216931219302,1.5826342470155559
430.51,0.9493,1.0538800489596083,0.48085300374835377,96.84261371254837,1.042620603007199
450.37,0.9353,1.1024969400244797,0.47376152365515145,121.62344317428267,1.2866446801981406
418.07,0.7505,1.0234271725826194,0.38015398642488096,154.27839206917474,1.5892227503678436
406.63,0.7104,0.9954222766217871,0.3598419613007801,156.9330535988564,1.4841424324035435
398.79,0.701,0.9762301101591188,0.3550805389524871,152.3970390945923,1.275544399391797
389.91,0.6016,0.9544920440636475,0.3047310302907507,178.45492827290545,1.5236135604645966
355.9,0.7292,0.871236230110159,0.369364805997366,99.59508260738471,0.32266312241729384
312.3,0.4906,0.7645042839657283,0.2485057238375038,139.86007614808415,0.8433377002928207
319.42,0.4426,0.7819339045287638,0.22419207780366732,163.8514914454587,1.0949869530171188
305.83,0.3787,0.7486658506731946,0.19182453652112247,172.72156306008856,1.186845762069336
299.07,0.3918,0.7321175030599755,0.19846013575119034,161.3570726351801,0.9987578730755915
254.8,0.3248,0.6237454100367197,0.16452233816229359,140.63675648776547,0.519937931173413
215.12,0.3146,0.5266095471236231,0.15935568838010333,104.54193223845753,-0.4540514561997749
233.89,0.3321,0.5725581395348837,0.16822003849660622,117.1608954112897,-0.23981863274125567
219.17,0.3097,0.5365238678090575,0.1568736703474825,110.31422255006451,-0.5675693015765536
234.55,0.3101,0.5741738066095472,0.15707628406443117,125.5536274225864,-0.14473800587711108
247.4,0.3363,0.6056303549571603,0.1703474825245669,129.19464657276944,-0.100674998158294
261.1,0.3405,0.6391676866585068,0.17247492655252764,141.4183977342492,0.27252339090616234
282.2,0.3361,0.6908200734394124,0.1702461756660926,164.06494413650847,1.0985119335643874
319.45,0.3559,0.7820073439412485,0.18027555465505016,194.35548532634147,1.9807807069705576
309.04,0.3639,0.7565238678090576,0.1843278289940229,181.13358277677906,1.3403444977804264
298.24,0.3063,0.7300856793145655,0.15515145375341913,190.57928113362857,1.5312494601412001
274.7,0.2822,0.6724602203182374,0.14294397730726371,175.51013756418536,0.9036950768437615
275.66,0.3124,0.6748102815177479,0.15824131293688584,165.85520543958722,0.5357012384007066
293.8,0.3265,0.7192166462668299,0.16538344645932532,179.03922719598341,0.9439233950736499
273.13,0.2927,0.6686168910648714,0.14826258737716544,170.24951546788466,0.6041275601926417
280.05,0.3882,0.6855569155446757,0.19663661229865262,143.6024287824832,-0.2580586144658614
286.15,0.3542,0.7004895960832312,0.17941444635801845,161.65301461812348,0.29550830543906903
281.05,0.3386,0.6880048959608324,0.1715125113970216,162.03622458977026,0.2713004623065918
274.65,0.3224,0.6723378212974296,0.16330665586060178,161.33032725263413,0.24909475132807102
276.76,0.3157,0.6775030599755202,0.1599128761017121,165.7952956378927,0.4373134516561648
314.35,0.3591,0.7695226438188495,0.18189646439063925,188.13072430651656,1.2088418405247294
346.98,0.4145,0.8494002447980417,0.20995846418802552,201.28829915079675,1.507751423584886
277.7,0.2619,0.6798041615667074,0.13266133117212037,185.6453402837,0.8905223608239334
264.45,0.2564,0.6473684210526316,0.1298753925640766,174.32852328652416,0.37938744450998996
311.07,0.2401,0.7614932680538555,0.12161888359841962,226.6777747312576,2.333610526054168
292.55,0.2392,0.716156670746634,0.12116300273528519,208.47411376808344,1.4709804063389582
284.38,0.2223,0.696156670746634,0.11260257319420525,206.24425790403404,1.301418723233673
250.6,0.188,0.6134638922888617,0.0952284469658596,184.52029008528294,0.2048494220770495
