ANTUSDT,IOSTUSDT,ANTUSDT_perc,IOSTUSDT_perc,spread,zscore
1.67,0.01619,1.0,1.0,-0.7511220866245196,
1.666,0.01445,0.9976047904191617,0.8925262507720815,-0.4949150186364615,
1.729,0.01503,1.0353293413173654,0.9283508338480544,-0.518650707965814,
1.922,0.01522,1.1508982035928144,0.9400864731315627,-0.3540641234357744,
1.875,0.01512,1.122754491017964,0.9339098208770846,-0.3861096942410587,
1.687,0.01428,1.010179640718563,0.8820259419394688,-0.44849248900544425,
1.677,0.01444,1.004191616766467,0.8919085855466338,-0.4824195757169898,
1.569,0.01374,0.9395209580838323,0.8486720197652873,-0.4857385713539779,
1.597,0.0137,0.9562874251497007,0.846201358863496,-0.4517567996760916,
1.536,0.01337,0.9197604790419163,0.8258184064237184,-0.4634071833335287,
1.516,0.01322,0.9077844311377246,0.8165534280420013,-0.46097553954145476,
1.555,0.01396,0.9311377245508982,0.862260654725139,-0.5326383155823533,
1.559,0.01349,0.9335329341317365,0.8332303891290921,-0.45835249836718783,
1.634,0.01388,0.9784431137724551,0.8573193329215565,-0.44167477222658036,
1.683,0.0135,1.0077844311377246,0.8338480543545399,-0.3358479412866593,
1.686,0.0137,1.0095808383233533,0.846201358863496,-0.36275679967609165,
1.7,0.01399,1.0179640718562875,0.8641136504014825,-0.392124644340768,
1.76,0.01384,1.0538922155688624,0.8548486720197653,-0.309693000548694,
1.75,0.01444,1.0479041916167666,0.8919085855466338,-0.40941957571698984,
1.694,0.01375,1.0143712574850299,0.8492896849907351,-0.3622340142734495,
1.55,0.01277,0.9281437125748504,0.78875849289685,-0.3596806081652326,0.8582080081268719
1.516,0.01261,0.9077844311377246,0.778875849289685,-0.3697535214536871,0.8308309655234869
1.605,0.01313,0.9610778443113773,0.8109944410129709,-0.35851655326621024,0.9158357941472244
1.644,0.0133,0.9844311377245509,0.8214947498455837,-0.3449390828972274,1.0451733081345582
1.746,0.01332,1.0455089820359282,0.8227300802964793,-0.24592996873617068,2.2676815176836995
1.771,0.01362,1.0604790419161676,0.8412600370599136,-0.2657932563203187,1.7429163674007966
1.713,0.01338,1.025748502994012,0.8264360716491661,-0.287902626253,1.3027863032647442
1.912,0.01426,1.1449101796407186,0.8807906114885732,-0.22050160316650125,1.8815975619970247
1.889,0.01474,1.1311377245508982,0.9104385423100679,-0.31528286330113775,0.6683898327655576
1.756,0.01383,1.051497005988024,0.8542310067943175,-0.3121975576292224,0.6353753997993666
1.776,0.01382,1.0634730538922157,0.8536133415688697,-0.2907021147097508,0.8252491479901045
1.686,0.01349,1.0095808383233533,0.8332303891290921,-0.33135249836718783,0.22768929590885262
1.724,0.01356,1.0323353293413173,0.8375540457072267,-0.3038205988034888,0.5547919901990576
1.709,0.0136,1.0233532934131737,0.8400247066090178,-0.3248023704813754,0.11123355381017691
1.584,0.01273,0.9485029940119761,0.7862878319950587,-0.3196988364873463,0.1115398081225104
