AAVEUSDT,LDOUSDT,AAVEUSDT_perc,LDOUSDT_perc,spread,zscore
90.72,1.5695,1.0,1.0,17.41296129861442,
95.31,1.629,1.0505952380952381,1.037910162472125,19.22387955109454,
89.45,1.5313,0.9860008818342152,0.9756610385473082,17.927178487778434,
89.3,1.58,0.984347442680776,1.0066900286715517,15.502535107875602,
90.63,1.6479,0.9990079365079365,1.0499522140809174,13.66111240776469,
81.22,1.4523,0.8952821869488536,0.9253265371137305,13.387051732384649,
81.15,1.4405,0.8945105820105821,0.9178082191780822,13.868197356262556,
83.39,1.915,0.9192019400352733,1.2201338005734312,-6.054395739505196,
100.45,2.2638,1.1072530864197532,1.4423701815864924,-5.285886723285557,
95.6,2.4471,1.0537918871252203,1.5591589678241478,-18.69732679589721,
95.03,2.331,1.0475088183421517,1.485186365084422,-13.844614344013891,
98.53,2.1482,1.086089065255732,1.36871615164065,-1.806527899532668,
96.58,2.0841,1.064594356261023,1.3278751194647977,-0.7625927732129298,
93.43,2.2906,1.0298721340388008,1.4594456833386429,-13.557641191076016,
94.93,2.5903,1.0464065255731922,1.6503982159923545,-26.055805892449243,
96.4,2.4299,1.062610229276896,1.5482000637145588,-17.09396198821078,
102.89,2.6564,1.1341490299823633,1.6925135393437403,-21.18315553129065,
99.02,2.6108,1.091490299823633,1.6634597005415737,-22.92330464579642,
101.25,2.4635,1.1160714285714286,1.5696081554635235,-13.813325798574951,
102.45,2.3808,1.1292989417989419,1.5169162153552087,-8.750635705803631,
97.78,2.2618,1.0778218694885362,1.441095890410959,-7.862472210763883,-0.307351955297733
111.05,2.7129,1.2240961199294533,1.7285122650525646,-15.662115510028002,-0.7416253894191055
107.5,2.6358,1.1849647266313934,1.6793883402357441,-15.610986052317386,-0.6662580109032331
114.6,2.8224,1.2632275132275133,1.7982797069130299,-17.226560070589812,-0.7139074701537227
110.37,2.9409,1.216600529100529,1.873781459063396,-26.991369937499115,-1.3796976480115128
107.29,2.674,1.1826499118165785,1.7037273016884358,-17.60520324148139,-0.5440199030191778
107.0,2.7498,1.1794532627865961,1.7520229372411598,-21.43561326605294,-0.8495519207149799
109.58,2.5732,1.2078924162257496,1.639503026441542,-10.607111810388915,0.5148325636595873
99.91,2.472,1.101300705467372,1.5750238929595413,-15.55033747679208,-0.09469076948127689
94.75,2.2374,1.0444223985890653,1.425549538069449,-9.752815157999436,0.7706421738374486
83.39,1.8595,0.9192019400352733,1.1847722204523734,-3.462143017028666,1.490862662637123
82.7,1.8574,0.9115961199294533,1.1834342147180632,-4.054057778880903,1.2864652342875602
85.85,2.1541,0.9463183421516754,1.3724753106084742,-14.762100711471618,-0.03526985872382847
88.35,2.1882,0.9738756613756613,1.3942019751513222,-13.854818149966206,0.1997934655905281
89.3,2.1331,0.984347442680776,1.3590952532653713,-10.331248329994025,0.7173742465262405
88.3,2.1702,0.9733245149911817,1.3827333545715197,-13.064087537271106,0.21734203383742806
93.12,2.0056,1.0264550264550265,1.2778591908251036,-0.5560731567371278,1.959112176470659
82.75,1.7363,0.912147266313933,1.106275884039503,1.6521909543066045,1.9681057745889532
82.0,1.6271,0.9038800705467372,1.036699585855368,6.00262333799013,2.186211321270036
78.54,1.5871,0.8657407407407408,1.0112137623446957,4.410913588423668,1.7249751466235261
85.65,1.8771,0.9441137566137567,1.1959859827970691,-2.0241907272194197,0.9099944291064153
84.44,1.7885,0.9307760141093474,1.1395348837209303,0.9040721774908462,1.1580401972783065
84.83,1.9789,0.9350749559082893,1.26084740363173,-7.598989414572756,0.17121743891676178
86.31,2.075,0.951388888888889,1.32207709461612,-10.607556741239321,-0.19687734079688196
88.39,2.191,0.9743165784832452,1.395985982797069,-13.945598467496538,-0.6042874348062869
87.03,2.004,0.9593253968253969,1.2768397578846766,-6.571341546719793,0.1562679902901232
88.72,2.06,0.9779541446208113,1.312519910799618,-7.496947897326734,-0.03121267978629988
91.03,2.029,1.0034171075837743,1.2927683975788469,-3.739022953240749,0.4153843474178078
83.42,1.8511,0.9195326278659612,1.1794201975151322,-3.039802064437623,0.4701571457135961
87.41,1.959,0.9635141093474426,1.2481682064351705,-4.089515014982084,0.2359965117896254
88.12,1.8841,0.9713403880070547,1.200446001911437,0.11885847895470647,0.8461733104526747
91.1,2.058,1.004188712522046,1.311245619624084,-5.023533384805063,0.016984159698126014
92.6,2.1034,1.0207231040564373,1.3401720293086972,-5.6440428190471295,-0.0723609803592919
91.43,2.0853,1.0078262786596122,1.328639694170118,-5.96864148072595,-0.20794292408300644
90.85,1.992,1.0014329805996471,1.269194010831475,-2.190854471589745,0.3827558276028788
82.87,1.8333,0.9134700176366843,1.1680790060528832,-2.7584129029947064,0.2157421913237431
83.55,1.8276,0.9209656084656085,1.1644472762026123,-1.8121815423079255,0.32307858521724914
78.45,1.6969,0.8647486772486773,1.081172347881491,-0.8075431490163822,0.539961625228484
79.25,1.7787,0.8735670194003528,1.1332908569608156,-3.828196711152941,-0.048931663852425866
81.31,1.8935,0.8962742504409171,1.2064351704364449,-7.130189729897168,-0.7169220818982821
72.92,1.6865,0.8037918871252205,1.0745460337687163,-5.851787683903666,-0.3202534702501698
76.23,1.8163,0.8402777777777778,1.1572475310608474,-8.604389546560455,-0.9985985447967627
73.95,1.7885,0.8151455026455027,1.1395348837209303,-9.585927822509149,-1.179816328414391
73.14,1.818,0.8062169312169313,1.1583306785600511,-11.773791882203895,-1.6447471262544369
76.65,1.7944,0.8449074074074074,1.1432940426887546,-7.161500634448103,-0.4531477176512131
77.03,1.7531,0.8490961199294533,1.1169799299139855,-4.852490950875492,0.0953860624335612
74.9,1.683,0.8256172839506174,1.0723160242115324,-3.7083122869907186,0.43757475019040193
73.6,1.5732,0.8112874779541446,1.0023574386747371,0.12014445044930255,1.5395024574526803
76.21,1.6255,0.8400573192239859,1.035680152914941,0.28735494800746153,1.4480107718421782
76.6,1.599,0.8443562610229276,1.0187957948391209,1.9150972389196852,1.7290899975077045
76.8,1.617,0.8465608465608465,1.0302644154189233,1.274366626224591,1.398233121618013
76.9,1.6035,0.8476631393298061,1.0216629499840715,2.0049145857459223,1.5195225617799706
74.61,1.5809,0.8224206349206349,1.0072634597005417,0.7704985772408577,1.0948670300316785
74.53,1.508,0.8215388007054674,0.9608155463523416,4.095457558655966,1.6851397212754609
72.63,1.4339,0.800595238095238,0.9136030582988213,5.656465247584066,1.7750449974920628
75.54,1.5262,0.8326719576719578,0.9724115960496974,4.255385494708719,1.3388552582522806
78.81,1.5778,0.8687169312169313,1.0052883083784645,5.115291071649452,1.366527927850295
78.71,1.5274,0.8676146384479717,0.9731761707550176,7.369336787195692,1.6011106236333978
77.49,1.4975,0.8541666666666666,0.9541255176807901,7.545883749394761,1.470231813126853
75.76,1.4767,0.8350970017636685,0.9408728894552405,6.787394679620206,1.2119527231789506
74.61,1.474,0.8224206349206349,0.9391525963682702,5.763504271524468,0.948725396861494
75.46,1.456,0.83179012345679,0.9276839757884677,7.454234884219545,1.1162532500806932
73.54,1.3085,0.810626102292769,0.833705001592864,12.423555182693192,1.7372053623713797
71.4,1.3215,0.7870370370370371,0.8419878942338325,9.676360851302299,1.2100018962907468
71.49,1.269,0.7880291005291005,0.8085377508760752,12.218491804996297,1.6308100221769506
70.97,1.2639,0.7822971781305115,0.8052883083784645,11.936698811926568,1.502073724902318
72.87,1.2895,0.8032407407407408,0.8215992354252948,12.640993051649112,1.5461083478012712
71.78,1.3412,0.7912257495590829,0.8545396623128385,9.136227902963782,0.7254702327906211
75.73,1.3466,0.8347663139329806,0.8579802484867793,12.834008719155257,1.465298274655606
78.8,1.533,0.8686067019400353,0.9767441860465116,7.197776152135006,0.03760338235546259
82.27,1.4621,0.9068562610229277,0.9315705638738452,13.979320621028435,1.590396235960955
82.66,1.399,0.9111552028218695,0.8913666772857599,17.316548491087318,2.1025625819096976
80.6,1.5059,0.8884479717813051,0.9594775406180313,10.26354279680372,0.37018311709034346
81.96,1.5305,0.9034391534391534,0.9751513220770947,10.474544292787101,0.3449192100021454
81.94,1.5136,0.9032186948853616,0.9643835616438358,11.243896923595258,0.48989565786697076
88.65,1.538,0.9771825396825398,0.9799299139853458,16.814239870830818,1.8570125808338864
84.95,1.51,0.9363977072310407,0.9620898375278751,14.422043046134291,1.1044514148019886
81.76,1.6438,0.9012345679012347,1.0473399171710736,4.9826121584341365,-1.616932402649367
83.49,1.7129,0.9203042328042328,1.09136667728576,3.485140750810203,-1.8495133095916636
81.4,1.6321,0.8972663139329806,1.0398853137942021,5.169087056685939,-1.325327951119043
84.05,1.6738,0.9264770723104057,1.0664542848040777,5.8713944706089904,-1.1190804669149998
85.25,1.6335,0.9397045855379189,1.0407773176170756,8.953696897920764,-0.38258928244813545
83.8,1.5559,0.923721340388007,0.9913348200063715,11.128179983761811,0.14697850251744388
83.75,1.528,0.9231701940035274,0.9735584581076777,12.381312433439192,0.4833024861712259
84.15,1.492,0.9275793650793651,0.9506212169480727,14.462773658829377,0.9575021366906099
80.36,1.5308,0.8858024691358025,0.9753424657534246,8.860532115908853,-0.4662921307625019
83.68,1.6215,0.9223985890652558,1.033131570563874,7.944183973050841,-0.6506271946149842
94.55,1.7498,1.0422178130511464,1.114877349474355,12.821642994785279,0.6100300334864359
96.13,1.7016,1.0596340388007055,1.084166932143995,16.65293274655768,1.429886553040629
87.08,1.576,0.9598765432098766,1.0041414463204843,13.469364132918955,0.6389763597876372
87.26,1.6767,0.9618606701940036,1.0683020070086016,8.945943427452562,-0.4930067795158417
72.15,1.2966,0.7953042328042329,0.8261229690984391,11.58937153219717,0.1929890099660235
58.12,0.9193,0.640652557319224,0.5857279388340236,15.182019319411417,1.1654382184420646
68.0,1.1995,0.7495590828924162,0.7642561325262823,11.97464611512455,0.3057949904282697
63.96,1.182,0.705026455026455,0.7531060847403632,8.752023099689225,-0.5093687983322505
58.04,1.0935,0.6397707231040565,0.696718700223001,6.965615278773406,-0.8998281059597304
56.57,1.0556,0.6235670194003528,0.6725708824466392,7.265820291059171,-0.749924278344446
59.08,1.1185,0.6512345679012346,0.7126473399171711,6.837933872252442,-0.7840396150269143
60.99,1.2019,0.6722883597883598,0.7657852819369226,4.852548700098545,-1.3231741467338305
58.35,1.222,0.6431878306878307,0.7785919082510354,1.273732849255694,-2.1474045005802624
