AKROUSDT,HNTUSDT,AKROUSDT_perc,HNTUSDT_perc,spread,zscore
0.003311,1.79,1.0,1.0,-9.09970989338392e-05,
0.003341,1.8,1.0090607067351252,1.005586592178771,-8.000266931894448e-05,
0.003331,1.78,1.0060404711567503,0.994413407821229,-5.199152854873379e-05,
0.00332,1.79,1.0027182120205376,1.0,-8.19970989338393e-05,
0.00335,1.8,1.011778918755663,1.005586592178771,-7.100266931894415e-05,
0.003311,1.82,1.0,1.0167597765363128,-0.00014801381008915484,
0.00339,1.8,1.0238598610691634,1.005586592178771,-3.100266931894448e-05,
0.003361,1.8,1.0151011778918755,1.005586592178771,-6.0002669318944424e-05,
0.00338,1.8,1.0208396254907883,1.005586592178771,-4.100266931894407e-05,
0.00337,1.79,1.0178193899124133,1.0,-3.1997098933839174e-05,
0.003368,1.78,1.017215342796738,0.994413407821229,-1.4991528548734083e-05,
0.003325,1.72,1.004228329809725,0.9608938547486033,5.6041893761897554e-05,
0.003212,1.75,0.9700996677740863,0.9776536312849162,-0.0001139748173934179,
0.003201,1.76,0.9667774086378736,0.9832402234636871,-0.00014398038777852342,
0.00325,1.77,0.9815765629719118,0.9888268156424581,-0.00011398595816362878,
0.003234,1.8,0.9767441860465116,1.005586592178771,-0.00018700266931894437,
0.003221,1.79,0.9728178797946239,1.0,-0.00018099709893383943,
0.003231,1.79,0.975838115372999,1.0,-0.0001709970989338394,
0.003212,1.77,0.9700996677740863,0.9888268156424581,-0.00015198595816362861,
0.003082,1.768,0.93083660525521,0.9877094972067039,-0.00027818484408660736,
0.00314,1.797,0.9483539716097855,1.0039106145251395,-0.00027530099820341275,-2.018883160055933
0.003084,1.778,0.9314406523708849,0.9932960893854749,-0.0002951904144717129,-1.9241218116081833
0.003033,1.769,0.9160374509211718,0.9882681564245809,-0.0003290854011251177,-1.9446090968608514
0.00304,1.765,0.9181516158260344,0.9860335195530725,-0.0003144831729710758,-1.5891976829409942
0.003021,1.752,0.9124131682271216,0.9787709497206704,-0.00030877593147043926,-1.3750467512092384
0.003005,1.762,0.9075807913017214,0.9843575418994414,-0.00034378150185554457,-1.494539256209335
0.002993,1.761,0.9039565086076714,0.9837988826815641,-0.00035388094481703363,-1.4167664309790509
0.002934,1.752,0.8861371186952581,0.9787709497206704,-0.0003957759314704391,-1.5598905708315254
0.00295,1.76,0.8909694956206583,0.9832402234636871,-0.00039498038777852334,-1.3948116913481983
0.002989,1.764,0.9027484143763213,0.9854748603351955,-0.0003635826159325657,-1.0582056397996915
0.003011,1.76,0.9093929326487465,0.9832402234636871,-0.0003339803877785235,-0.7569513788928792
0.00298,1.756,0.9000302023557837,0.9810055865921787,-0.0003573781596244814,-0.8719449243282695
0.002971,1.762,0.8973119903352461,0.9843575418994414,-0.0003777815018555443,-1.0602473865432498
0.003029,1.776,0.9148293566898218,0.9921787709497206,-0.00034638930039469166,-0.66373902767212
0.002974,1.769,0.8982180610087587,0.9882681564245809,-0.00038808540112511775,-1.0392121932938092
0.002963,1.755,0.894895801872546,0.9804469273743016,-0.00037247760258597067,-0.806675080130874
0.00301,1.734,0.9090909090909091,0.9687150837988826,-0.0002855659047772494,0.412494572442705
0.00299,1.733,0.9030504379341588,0.9681564245810056,-0.0003036653477387391,0.26699641732913265
0.003004,1.696,0.907278767743884,0.9474860335195531,-0.00021934473731384952,1.7307640039032224
0.00313,1.71,0.9453337360314104,0.9553072625698323,-0.00011995253585299695,3.11203898574382
0.003174,1.704,0.9586227725762609,0.9519553072625698,-6.454919362193371e-05,2.88946462519888
0.003191,1.688,0.9637571730594986,0.9430167597765363,-1.7140281005765656e-05,2.640277987527118
0.00315,1.678,0.9513742071881607,0.9374301675977653,-3.91347106206601e-05,2.0488883575967316
0.00311,1.691,0.9392932648746601,0.9446927374301676,-0.00010384195212129752,1.3590855423996644
0.003234,1.696,0.9767441860465116,0.9474860335195531,1.0655262686150215e-05,1.924315787171563
0.00316,1.695,0.9543944427665357,0.946927374301676,-6.144418027533927e-05,1.2757575290876846
0.003163,1.688,0.9553005134400483,0.9430167597765363,-4.514028100576547e-05,1.2495593659397568
0.003228,1.672,0.9749320446994865,0.9340782122905027,5.026863161040288e-05,1.6481277205749618
0.00318,1.673,0.9604349139232861,0.9346368715083799,3.6807457189222056e-07,1.2141170294452028
0.003092,1.654,0.933856840833585,0.924022346368715,-5.15213416964074e-05,0.8124356748367286
0.003061,1.634,0.9244941105406221,0.912849162011173,-4.45102009261969e-05,0.7763646543445766
0.003032,1.627,0.9157354273633342,0.9089385474860335,-6.020630165662344e-05,0.6049055485062853
0.003052,1.646,0.9217758985200846,0.9195530726256983,-7.63168853883233e-05,0.43007217149612925
0.00312,1.654,0.9423135004530353,0.924022346368715,-2.3521341696407586e-05,0.72092615621496
0.00321,1.658,0.9694956206584113,0.9262569832402234,5.8876430149550334e-05,1.2255492712417906
0.00325,1.66,0.9815765629719118,0.9273743016759776,9.507531607252928e-05,1.4410946805399767
0.003154,1.66,0.9525823014195107,0.9273743016759776,-9.246839274704502e-07,0.5987222310642843
0.00314,1.681,0.9483539716097855,0.9391061452513967,-5.483638173619208e-05,-0.04361374528422867
0.003129,1.677,0.9450317124735729,0.9368715083798883,-5.8234153582149926e-05,-0.2840493515203941
0.003189,1.655,0.9631531259438236,0.9245810055865922,4.357810126508167e-05,1.2846770207023388
0.00314,1.646,0.9483539716097855,0.9195530726256983,1.1683114611676666e-05,0.6316484892833963
0.003128,1.629,0.9447296889157354,0.9100558659217877,3.199258426635557e-05,0.9365175651221418
