1000BTTUSDT,JASMYUSDT,1000BTTUSDT_perc,JASMYUSDT_perc,spread,zscore
0.00082,0.0096,1.0,1.0,-0.00020990509755619818,
0.000776,0.0093,0.9463414634146342,0.96875,-0.0002217205632575668,
0.000804,0.0102,0.9804878048780489,1.0625000000000002,-0.00029027416615346065,
0.000886,0.0103,1.0804878048780489,1.0729166666666667,-0.0002190023442530043,
0.000876,0.0104,1.0682926829268293,1.0833333333333335,-0.000239730522352548,
0.00086,0.0098,1.048780487804878,1.0208333333333335,-0.00019136145375528554,
0.000837,0.0098,1.0207317073170732,1.0208333333333335,-0.00021436145375528556,
0.000927,0.0094,1.1304878048780487,0.9791666666666667,-8.144874135711082e-05,
0.000847,0.0092,1.0329268292682927,0.9583333333333334,-0.00013999238515802323,
0.000809,0.0094,0.9865853658536586,0.9791666666666667,-0.00019944874135711076,
0.00081,0.0092,0.9878048780487805,0.9583333333333334,-0.00017699238515802326,
0.000805,0.0093,0.9817073170731708,0.96875,-0.00019272056325756674,
0.000815,0.0094,0.9939024390243902,0.9791666666666667,-0.00019344874135711083,
0.000874,0.0103,1.0658536585365854,1.0729166666666667,-0.00023100234425300426,
0.000866,0.0099,1.0560975609756098,1.0312500000000002,-0.0001960896318548295,
0.000877,0.0103,1.0695121951219513,1.0729166666666667,-0.0002280023442530043,
0.000936,0.0111,1.1414634146341462,1.1562500000000002,-0.00025482776904935415,
0.000905,0.0109,1.103658536585366,1.1354166666666667,-0.0002643714128502668,
0.000919,0.0112,1.1207317073170733,1.1666666666666667,-0.0002825559471488979,
0.000896,0.0106,1.0926829268292684,1.1041666666666667,-0.00024118687855163542,
0.000865,0.0097,1.0548780487804879,1.0104166666666667,-0.00017563327565574196,0.763835154070654
0.000806,0.0096,0.9829268292682927,1.0,-0.0002239050975561982,-0.24614695390802224
0.000837,0.0094,1.0207317073170732,0.9791666666666667,-0.00017144874135711083,0.8016959772004771
0.000854,0.0095,1.0414634146341464,0.9895833333333334,-0.00016517691945665432,0.8582917128588916
0.000869,0.0082,1.0597560975609757,0.8541666666666669,-1.0710604162585992e-05,2.976902906464491
0.000901,0.0092,1.0987804878048781,0.9583333333333334,-8.599238515802322e-05,1.5512616493586753
0.000896,0.0091,1.0926829268292684,0.9479166666666669,-8.026420705847955e-05,1.4674895496633384
0.000929,0.0095,1.1329268292682928,0.9895833333333334,-9.017691945665434e-05,1.1975627357220797
0.000924,0.0099,1.126829268292683,1.0312500000000002,-0.0001380896318548295,0.5852262616196495
0.00091,0.0092,1.1097560975609757,0.9583333333333334,-7.699238515802322e-05,1.3716710530193468
0.000927,0.0092,1.1304878048780487,0.9583333333333334,-5.9992385158023236e-05,1.436243646191139
0.000919,0.009,1.1207317073170733,0.9375,-4.6536028958935743e-05,1.4460205199784706
0.000917,0.009,1.1182926829268292,0.9375,-4.853602895893579e-05,1.2813185429757672
0.000933,0.009,1.1378048780487806,0.9375,-3.253602895893573e-05,1.323399357789988
0.00088,0.0084,1.0731707317073171,0.875,-2.1166960361673304e-05,1.3092602118296304
